Reference,ESI source,Valuation method(s),Decision context,Value type(s)
"F. Destandau, A. P. Diop, An analysis of the value of additional information provided by a water quality measurement network. Journal of Water Resource and Protection 8, 767 (2016).",Water quality monitoring networks,Bayesian decision analysis,Water Resources; Ecological Conservation,Instrumental (monetary)
"F. Destandau, Y. Zaiter, Spatio-temporal design for a water quality monitoring network maximizing the economic value of information to optimize the detection of accidental pollution. Water Resources and Economics 32, 100156 (2020).",Water quality monitoring networks,Value of information,Water Resources; Ecological Conservation,Instrumental (monetary)
"G. Di Lallo, P. Mundhenk, M. Marchetti, M. Köhl, Understanding measurement reporting and verification systems for redd+ as an investment for generating carbon benefits. Forests (2017). https://doi.org/10.3390/f8080271.",Satellite imagery;lidar,Cost-benefit analysis; Value of information,Agriculture; Climate & Resilience,Instrumental (monetary); Instrumental (non-monetary)
"I. Diafas, P. Panagos, L. Montanarella, Willingness to Pay for Soil Information Derived by Digital Maps: A Choice Experiment Approach. Vadose Zone Journal 12, 1–8 (2013).",airborne hyper-spectral among other ground-based systems,Stated preference,Agriculture; Water Resources,Instrumental (monetary)
"S. R. Diana, F. Farida, Applying bag of words approach to determine remote sensing technology acceptance among smallholder plantations. Arab Gulf Journal Of Scientific Research (2023). https://doi.org/10.1108/agjsr-02-2023-0056.",Remote sensing,Focus groups; Semi-structured and in-depth interviews,Agriculture,Instrumental (monetary); Instrumental (non-monetary)
"S. R. Diana, F. Farida, Economic Potential of Oil Palm Plantation Using Remote Sensing-Based Technology in Indonesia. ajtm 14, 19–34 (2021).",SPOT,Econometric analysis,Agriculture,Instrumental (monetary)
"S. R. Diana, I. M. Ibrahim, Intangible economic benefit of remote sensing data in Indonesia. IJRBS 9, 150–159 (2020).",remote sensing,Surveys of preference assessments; Semi-structured and in-depth interviews,Agriculture,Instrumental (monetary); Instrumental (non-monetary)
"E. Diez, B. S. McIntosh, Organisational drivers for, constraints on and impacts of decision and information support tool use in desertification policy and management. Environmental Modelling & Software (2011). https://doi.org/10.1016/j.envsoft.2010.04.003.",NA,Semi-structured and in-depth interviews,Agriculture,Instrumental (monetary); Instrumental (non-monetary)
"H. M. I. Ebaid, S. S. Ismail, Lake nasser evaporation reduction study. Journal Of Advanced Research (2010). https://doi.org/10.1016/j.jare.2010.09.002.",remote sensing and GIS,Value of information,Water Resources,Instrumental (non-monetary)
"S. Eilola, N. Kayhko, N. Fagerholm, Lessons learned from participatory land use planning with high-resolution remote sensing images in tanzania: Practitioners’ and participants’ perspectives. Land Use Policy (2021). https://doi.org/10.1016/j.landusepol.2021.105649.",satellite imagery; aerial imagery,Semi-structured and in-depth interviews; Focus groups,Various; Capacity Building,Instrumental (non-monetary); Relational
"Y. S. Eom, J. H. Hong, Measuring the economic benefits of an environmental monitoring satellite project: The value of information approach. Space Policy 29, 203–209 (2013).",GEMS,Stated preference,Health & Air Quality,Instrumental (monetary); Instrumental (non-monetary)
"J. R. B. Fisher, E. A. Acosta, P. J. Dennedy-Frank, T. Kroeger, T. M. Boucher, Impact of satellite imagery spatial resolution on land use classification accuracy and modeled water quality. Remote Sensing In Ecology And Conservation (2018). https://doi.org/10.1002/rse2.61.",Digital Globe;Landsat,Cost-benefit analysis,Water Resources,Instrumental (monetary)
"P. D. Fisher, M. Abuzar, M. A. Rab, F. Best, S. Chandra, Advances in precision agriculture in south-eastern australia. I. A regression methodology to simulate spatial variation in cereal yields using farmers’ historical paddock yields and normalised difference vegetation index. Crop & Pasture Science (2009). https://doi.org/10.1071/cp08347.",Landsat;SPOT,Value of information,Agriculture,Instrumental (monetary)
"J. K. Fletcher, et al., Tropical africa’s first testbed for high-impact weather forecasting and nowcasting. Bulletin Of The American Meteorological Society (2023). https://doi.org/10.1175/bams-d-21-0156.1.",African Science for Weather Information and Forecasting Techniques,Surveys of preference assessments,Climate & Resilience; Capacity Building,Instrumental (monetary); Instrumental (non-monetary)
"J. Florens, C. Foucher, Pollution monitoring: Optimal design of inspection - an economic analysis of the use of satellite information to deter oil pollution. Journal Of Environmental Economics And Management (1999). https://doi.org/10.1006/jeem.1999.1072.",Satellite imagery,Cost-benefit analysis,Ecological Conservation,Instrumental (monetary); Instrumental (non-monetary)
"W. M. Forney, R. Raunikar, S. Mishra, R. Bernknopf, An economic value of remote-sensing information: Application to agricultural production and maintaining ground waterquality in 2012 Socio-Economic Benefits Workshop: Defining, Measuring, and Communicating the Socio-Economic Benefits of Geospatial Information, (IEEE, 2012), pp. 1–6.",MRLI (Landsat),Value of information,Water Resources; Agriculture,Instrumental (monetary)
"C. Fraccaroli, et al., Climate data for the european forestry sector: From end-user needs to opportunities for climate resilience. Climate Services (2021). https://doi.org/10.1016/j.cliser.2021.100247.",Copernicus Climate Change Services (C3S),Semi-structured and in-depth interviews,Agriculture; Climate & Resilience,Instrumental (non-monetary)
"J. Francis, M. Disney, S. Law, Monitoring canopy quality and improving equitable outcomes of urban tree planting using lidar and machine learning. Urban Forestry & Urban Greening (2023). https://doi.org/10.1016/j.ufug.2023.128115.",lidar,Value of information,Agriculture; Climate & Resilience,Instrumental (non-monetary); Relational
"S. Fritz, R. J. Scholes, M. Obersteiner, J. Bouma, B. Reyers, A Conceptual Framework for Assessing the Benefits of a Global Earth Observation System of Systems. IEEE Systems Journal 2, 338–348 (2008).",NA,Value of information; Cost-benefit analysis,Various,Instrumental (monetary); Instrumental (non-monetary)
"S. Fuss, J. Szolgayova, M. Obersteiner, A real options approach to satellite mission planning. Space Policy (2008). https://doi.org/10.1016/j.spacepol.2008.09.008.",Satellite imagery,Real options analysis,Disasters,Instrumental (monetary)
"M. Glantz, The value of a Long-Range weather Forecast for the west African sahel. 58 (1977).",hypothetical long-range weather forecast system,Surveys of preference assessments; Value of information,Agriculture,Instrumental (monetary); Instrumental (non-monetary)
"N. C. Gonzalez, M. Kroger, The adoption of earth-observation technologies for deforestation monitoring by indigenous people: Evidence from the amazon. Globalizations (2023). https://doi.org/10.1080/14747731.2022.2093556.","forest monitoring technology (satellite, drone)",Focus groups; Semi-structured and in-depth interviews,Agriculture; Capacity Building,Instrumental (non-monetary); Relational
"N. E. Graham, K. P. Georgakakos, C. Vargas, M. Echevers, Simulating the value of El Niño forecasts for the Panama Canal. Advances in Water Resources 29, 1665–1677 (2006).",NINO3 SST ENSO forecast,Value of information,Water Resources,Instrumental (monetary)
"A. Haara, A. Kangas, S. Tuominen, Economic losses caused by tree species proportions and site type errors in forest management planning. Silva Fennica (2019). https://doi.org/10.14214/sf.10089.",aerial imagery; satellite imagery; airborne laser scanning,Value of information,Agriculture,Instrumental (monetary)
"D. L. Halsing, K. Theissen, R. Bernknopf, A cost-benefit analysis of The National Map. Circular (2004). https://doi.org/10.3133/cir1271.",National Map,Cost-benefit analysis,Various,Instrumental (monetary)
"J. W. Hansen, A. Mishra, K. P. C. Rao, M. Indeje, R. K. Ngugi, Potential value of GCM-based seasonal rainfall forecasts for maize management in semi-arid Kenya. Agricultural Systems 101, 80–90 (2009).",GCM precipitation forecast,Value of information,Agriculture,Instrumental (monetary)
"R. Harris, N. Olby, Pricing policy and legal issues: 6th and 7th EOPOLE workshops. Space Policy 16, 287–290 (2000).",various,Market price/cost methods,Various,Instrumental (monetary)
"J. Haskins, et al., Uav to inform restoration: a case study from a california tidal marsh. Frontiers In Environmental Science (2021). https://doi.org/10.3389/fenvs.2021.642906.",UAV,Cost-benefit analysis,Ecological Conservation,Instrumental (monetary); Instrumental (non-monetary)
"R. Hautala, et al., 'Benefits of meteorological services in South Eastern Europe' (VTT Technical Research Centre of Finland, 2008).",meteorological and hydrological services,Value of information; Market price/cost methods,Various,Instrumental (monetary)
"G. C. Hays, et al., Translating marine animal tracking data into conservation policy and management. Trends In Ecology & Evolution (2019). https://doi.org/10.1016/j.tree.2019.01.009.",marine animal tracking data,Semi-structured and in-depth interviews,Ecological Conservation,Instrumental (non-monetary)
"L. Heldt, P. Beske-Janssen, Solutions from space? A dynamic capabilities perspective on the growing use of satellite technology for managing sustainability in multi-tier supply chains. International Journal Of Production Economics (2023). https://doi.org/10.1016/j.ijpe.2023.108864.",satellite forest monitoring,Semi-structured and in-depth interviews,Agriculture,Instrumental (non-monetary)
"V. Herr, et al., A method for estimating the socioeconomic impact of Earth observations in wildland fire suppression decisions. Int. J. Wildland Fire 29, 282 (2020).",MODIS,Value of information,Disasters; Wildland Fires,Instrumental (monetary)
"M. Holopainen, M. Talvitie, Effect of data acquisition accuracy on timing of stand harvests and expected net present value. Silva Fennica (2006). https://doi.org/10.14214/sf.335.",NA,Value of information; Cost-benefit analysis,Agriculture,Instrumental (monetary)
"J. Honey-Roses, J. Lopez-Garcia, E. Rendon-Salinas, A. Peralta-Higuera, C. Galindo-Leal, To pay or not to pay? Monitoring performance and enforcing conditionality when paying for forest conservation in mexico. Environmental Conservation (2009). https://doi.org/10.1017/s0376892909990063.",aerial imagery,Value of information,Ecological Conservation,Instrumental (monetary); Instrumental (non-monetary)
"M. Isik, D. Hudson, K. Coble, The value of site-specific information and the environment: Technology adoption and pesticide use under uncertainty. Journal Of Environmental Management (2005). https://doi.org/10.1016/j.jenvman.2005.01.024.",remote sensing,Cost-benefit analysis; Real options analysis,Agriculture,Instrumental (monetary)
"C. Jabbour, A. Hoayek, P. Maurel, H. Rey-Valette, J.-M. Salles, How much would you pay for a satellite image?: Lessons learned from french spatial-data infrastructure. Ieee Geoscience And Remote Sensing Magazine (2020). https://doi.org/10.1109/mgrs.2019.2941751.",GEOSUD,Stated preference,Various,Instrumental (monetary)
"C. Jabbour, A. Hoayek, J.-M. Salles, Formalizing a two-step decision-making process in land use: Evidence from controlling forest clearcutting using spatial information. Land (2023). https://doi.org/10.3390/land12010015.",GEOSUD,Bayesian decision analysis; Stated preference,Agriculture,Instrumental (monetary)
"K. Jantke, C. Schleupner, U. A. Schneider, Benefits of earth observation data for conservation planning in the case of european wetland biodiversity. Environmental Conservation (2013). https://doi.org/10.1017/s0376892912000331.",NA,Cost-benefit analysis,Ecological Conservation,Instrumental (monetary); Instrumental (non-monetary)
"D. Jin, P. Hoagland, The value of harmful algal bloom predictions to the nearshore commercial shellfish fishery in the Gulf of Maine. Harmful Algae 7, 772–781 (2008).",HAB predictions (not necessarily EO based),Value of information,Agriculture,Instrumental (monetary)
"J. W. Jones, J. W. Hansen, F. S. Royce, C. D. Messina, Potential benefits of climate forecasting to agriculture. Agriculture, Ecosystems & Environment 82, 169–184 (2000).",ENSO forecasts,Value of information,Agriculture,Instrumental (monetary)
"M. J. Kaiser, A. G. Pulsipher, The potential value of improved ocean observation systems in the Gulf of Mexico. Marine Policy 28, 469–489 (2004).",Ocean observing network,Value of information,Various,Instrumental (monetary)
"A. Kangas, T. Gobakken, S. Puliti, M. Hauglin, E. Naesset, Value of airborne laser scanning and digital aerial photogrammetry data in forest decision making. Silva Fennica (2018). https://doi.org/10.14214/sf.9923.",airborne laser scanning; digital aerial photogrammetry,Value of information,Agriculture,Instrumental (monetary)
"T. Keenan, et al., The sydney 2000 world weather research programme forecast demonstration project. Bulletin Of The American Meteorological Society (2003). https://doi.org/10.1175/bams-84-8-1041.",Nine different observationally based nowcasting systems,Surveys of preference assessments,Climate & Resilience,Instrumental (monetary)
"P. L. Kenkel, P. E. Norris, Agricultural Producers’ Willingness to Pay for Real-Time Mesoscale Weather Information. Journal of Agricultural and Resource Economics 20, 356–372 (1995).",Mesonet weather network,Stated preference,Agriculture,Instrumental (monetary)
"N. Khabarov, E. Moltchanova, M. Obersteiner, Valuing Weather Observation Systems For Forest Fire Management. IEEE Systems Journal 2, 349–357 (2008).",Aerial observation data,Value of information,Disasters; Wildland Fires,Instrumental (monetary)
"J.-H. Kim, H. Lim, J. Shin, S.-H. Yoo, Evaluating the public value of improving early detection accuracy of cumulonimbus using a geostationary satellite in south korea. Space Policy (2022). https://doi.org/10.1016/j.spacepol.2022.101507.",Cheollian Satellite 2A called Geo-Kompsat-2A,Stated preference,Climate & Resilience,Instrumental (monetary)
"H. Kite-Powell, The Value of Ocean Surface Wind Information for Maritime Commerce. mar technol soc j 45, 75–84 (2011).",Various instrument systems,Value of information,Climate & Resilience,Instrumental (monetary)
"A. Koppa, et al., A Scalable Earth Observations‐Based Decision Support System for Hydropower Planning in Africa. J American Water Resour Assoc 57, 711–736 (2021).",Earth Observing System derived P and ET datasets,Value of information,Water Resources,Instrumental (non-monetary)
"S. V. Kumar, K. W. Harrison, C. D. Peters-Lidard, J. A. Santanello, D. Kirschbaum, Assessing the impact of l-band observations on drought and flood risk estimation: a decision-theoretic approach in an osse environment. Journal Of Hydrometeorology (2014). https://doi.org/10.1175/jhm-d-13-0204.1.",Simulations based on SMAP Radiometer,Value of information,Agriculture; Water Resources,Instrumental (monetary)
"A. L’Astorina, I. Tomasoni, A. Basoni, P. Carrara, Beyond the dissemination of earth observation research: Stakeholders’ and users’ involvement in project co-design. Journal Of Science Communication (2015). https://doi.org/10.22323/2.14030303.",remote sensing,Econometric analysis,Agriculture,Instrumental (monetary)
"J. A. Larson, et al., Factors affecting farmer adoption of remotely sensed imagery for precision management in cotton production. Precision Agriculture (2008). https://doi.org/10.1007/s11119-008-9065-1.",Earth observation technologies,Semi-structured and in-depth interviews,Agriculture; Capacity Building,Instrumental (monetary)
"C. Lauer, J. Conran, J. Adkins, Estimating the Societal Benefits of Satellite Instruments: Application to a Break-even Analysis of the GeoXO Hyperspectral IR Sounder. Frontiers in Environmental Science 9 (2021).",GeoXO Hyperspectral Sounder,Value of information; Surveys of preference assessments,Climate & Resilience,Instrumental (monetary)
"J. K. Lazo, L. Chestnut, Economic Value of Current and Improved Weather Forecasts in the U.S. Household Sector. (2002).",NWS weather forecast,Stated preference; Value of information,Climate & Resilience; Various,Instrumental (monetary); Instrumental (non-monetary); Relational
"D. Letson, et al., Value of perfect ENSO phase predictions for agriculture: evaluating the impact of land tenure and decision objectives. Climatic Change 97, 145–170 (2009).",ENSO forecasts,Value of information,Agriculture,Instrumental (monetary)
"M. Li, A. Faghri, A. Ozden, Y. Yue, Economic feasibility study for pavement monitoring using synthetic aperture radar-based satellite remote sensing cost-benefit analysis. Transportation Research Record (2017). https://doi.org/10.3141/2645-01.",SAR,Cost-benefit analysis,Other,Instrumental (monetary)
"S.-Y. Liao, C.-C. Chen, S.-H. Hsu, Estimating the value of El Niño Southern Oscillation information in a regional water market with implications for water management. Journal of Hydrology 394, 347–356 (2010).",ENSO forecasts,Value of information; Econometric analysis,Water Resources,Instrumental (monetary); Instrumental (non-monetary)
"S. H. Lim, Y. Ge, J. M. Jacobs, X. Jia, Measuring the economic benefits of advanced technology use for river flood forecasting. Journal Of Flood Risk Management (2022). https://doi.org/10.1111/jfr3.12781.",satellite SWE observations,Stated preference; Econometric analysis,Agriculture,Instrumental (monetary)
"C. Linés, A. Iglesias, L. Garrote, V. Sotés, M. Werner, Do users benefit from additional information in support of operational drought management decisions in the Ebro basin? Hydrol. Earth Syst. Sci. 22, 5901–5917 (2018).",General remote sensing,Value of information; Real options analysis,Agriculture; Water Resources,Instrumental (monetary)
"J. Loomis, S. Koontz, H. Miller, L. Richardson, Valuing Geospatial Information: Using the Contingent Valuation Method to Estimate the Economic Benefits of Landsat Satellite Imagery. Photogrammetric Engineering & Remote Sensing 81, 647–656 (2015).",Landsat,Stated preference,Various,Instrumental (monetary)
"W. K. Luseno, J. G. McPeak, C. B. Barrett, P. D. Little, G. Gebru, Assessing the Value of Climate Forecast Information for Pastoralists: Evidence from Southern Ethiopia and Northern Kenya. World Development 31, 1477–1494 (2003).",climate forecasts,Semi-structured and in-depth interviews; Surveys of preference assessments,Agriculture,Instrumental (monetary); Instrumental (non-monetary)
"M. K. Macauley, The value of information: Measuring the contribution of space-derived earth science data to resource management. Space Policy 22, 274–282 (2006).",hypothetical,Value of information,Various,Instrumental (monetary)
"B. Maxwell, E. Luschei, Justification for site-specific weed management based on ecology and economics. Weed Science (2005). https://doi.org/10.1614/ws-04-071r2.",remote sensing precipitation data,Value of information,Agriculture,Instrumental (monetary)
"I. McCallum, et al., Banda Aceh-The Value of Earth Observation Data in Disaster Recovery and Reconstruction: A Case Study. (2008).",earth observation data,Surveys of preference assessments; Cost-benefit analysis,Disasters; Water Resources,Instrumental (monetary)
"B. M. Miller, The Not-So-Marginal Value of Weather Warning Systems. Weather, Climate, and Society 10, 89–101 (2018).",weather warning system,Econometric analysis,Climate & Resilience,Instrumental (monetary); Instrumental (non-monetary)
