title,abstract,year,author,keywords,doi,tags,screening_status,excl_reasons
Competition And Burn Severity Determine Post-Fire Sapling Recovery In A Nationally Protected Boreal Forest Of China: An Analysis From Very High-Resolution Satellite Imagery,"Anticipating how boreal forest landscapes will change in response to changing fire regime requires disentangling the effects of various spatial controls on the recovery process of tree saplings. Spatially explicit monitoring of post-fire vegetation recovery through moderate resolution Landsat imagery is a popular technique but is filled with ambiguous information due to mixed pixel effects. On the other hand, very-high resolution (VHR) satellite imagery accurately measures crown size of tree saplings but has gained little attention and its utility for estimating leaf area index (LAI, m2/m2) and tree sapling abundance (TSA, seedlings/ha) in post-fire landscape remains untested. We compared the explanatory power of 30 m Landsat satellite imagery with 0.5-m WorldView-2 VHR imagery for LAI and TSA based on field sampling data, and subsequently mapped the distribution of LAI and TSA based on the most predictive relationships. A random forest (RF) model was applied to assess the relative importance and causal mechanisms of spatial controls on tree sapling recovery. The results showed that pixel percentage of canopy trees (PPCT) derived from VHR imagery outperform all Landsat-derived spectral indices for explaining variance of LAI (R2VHR = 0.676 vs. R2Landsat = 0.427) and TSA (R2VHR = 0.508 vs. R2Landsat = 0.499). The RF model explained an average of 55.5% (SD = 3.0%, MSE = 0.382, N = 50) of the variation of estimated LAI. Understory vegetation coverage (competition) and post-fire surviving mature trees (seed sources) were the most important spatial controls for LAI recovery, followed by burn severity (legacy effect), topographic factors (environmental filter) and nearest distance to unburned area (edge effect). These analyses allow us to conclude that in our study area, mitigating wildfire severity and size may increase forest resilience to wildfire damage. Given the easily-damaged seed banks and relatively short seed dispersal distance of coniferous trees, reasonable human help to natural recovery of coniferous forests is necessary for severe burns with a large patch size, particularly in certain areas. Our research shows the VHR WorldView-2 imagery better resolves key characteristics of forest landscapes like LAI and TSA than Landsat imagery, providing a valuable tool for land managers and researchers alike. © 2019 by the authors. Licensee MDPI, Basel, Switzerland.",2019,"{""Crocker, E. V."",""Fang, L."",""Liu, Z."",""Yan, Y."",""Yang, J."",""Yang, Y.""}","{""Boreal forests"",""Burn severity"",""Decision trees"",Fires,""Forest recovery"",Forestry,""Leaf area index"",Pixels,Post-fire,Recovery,Resilience,""Satellite imagery"",""Tree sapling abundance"",""Tree saplings"",Vegetation,""Very high resolution"",WorldView-2}",10.3390/rs11060603,{maybe},included,NA
Demonstration Of A Modular Prototype End-To-End Simulator For Aquatic Remote Sensing Applications,"This study introduces a prototype end-to-end Simulator software tool for simulating two-dimensional satellite multispectral imagery for a variety of satellite instrument models in aquatic environments. Using case studies, the impact of variable sensor configurations on the performance of value-added products for challenging applications, such as coral reefs and cyanobacterial algal blooms, is assessed. This demonstrates how decisions regarding satellite sensor design, driven by cost constraints, directly influence the quality of value-added remote sensing products. Furthermore, the Simulator is used to identify situations where retrieval algorithms require further parameterization before application to unsimulated satellite data, where error sources cannot always be identified or isolated. The application of the Simulator can verify whether a given instrument design meets the performance requirements of end-users before build and launch, critically allowing for the justification of the cost and specifications for planned and future sensors. It is hoped that the Simulator will enable engineers and scientists to understand important design trade-offs in phase 0/A studies easily, quickly, reliably, and accurately in future Earth observation satellites and systems. © 2023 by the authors.",2023,"{""Anstee, J."",""Antoine, D."",""Dekker, A."",""Drayson, N."",""Gensemer, S."",""Matthews, M. W."",""Pease, J."",""Phinn, S."",""Price, I."",""Sharp, R."",""Woodgate, W.""}","{""Aquatic remote sensing"",""Computer aided software engineering"",""Computer software"",""Coral reef"",CubeSat,Economic,""End to end"",Modulars,""Optical remote sensing"",""Product design"",Reefs,""Remote sensing applications"",Remote-sensing,""Satellite imagery"",SmallSat,""Software prototyping"",""Space optics"",bathymetry,""coral reefs"",""cyanobacterial blooms"",design,""end-to-end simulator"",""optical sensors"",optics,""remote sensing"",satellite,""social effects""}",10.3390/s23187824,{},included,NA
National Forest Carbon Inventories: Policy Needs And Assessment Capacity,"Previous research has identified the importance of the role of land cover in the global carbon cycle. In particular, forests have been identified as a significant carbon sink that can mitigate the rate of global climate change. Policy makers are faced with complex and difficult challenges in getting timely and useful information in monitoring global forest resources. Recent advances in the tools and methods of forest carbon accounting have produced new, innovative approaches to forest-based carbon inventories. But it is important as new tools are developed that scientists understand the needs of policy makers and that policy makers understand the capabilities and limitations of forest inventory methods. This paper explores four different policy applications that rely, or could benefit from, national carbon inventories. The goal is to help build a bridge between the communities of climate policy makers and scientists specialized in forest carbon inventories. To this end, we pursue three specific objectives: First we provide an overview for policy makers about approaches to forest carbon inventories, paying particular attention to the contributions of remote sensing technologies. Second, we outline the issues particularly relevant to forest inventory scientists who are interested in responding to public policy needs. We then discuss the tradeoffs between information cost, accuracy, precision, transparency and timeliness that need to be balanced in long-term monitoring of forest carbon. Finally, the article concludes with a series of observations and recommendations for the implementation of forest carbon inventories as increasingly central components of global climate change policy. © 2008 Springer Science+Business Media B.V.",2009,"{""Andersson, K."",""Evans, T. P."",""Richards, K. R.""}","{Carbon,""Carbon accountings"",""Carbon inventories"",""Carbon sinks"",""Central components"",""Climate policies"",Climates,Costs,""Forest inventories"",""Forest resources"",Forestry,""Global carbon cycles"",""Global climate changes"",""Information Retrieval"",""Information costs"",""Innovative approaches"",Inventories,""Land covers"",""Long-term monitoring"",Monitoring,""National forests"",""New tools"",""Policy makers"",""Remote Sensing"",""Remote sensing technologies"",Resources,Tools,""carbon cycle"",""climate change"",""environmental assessment"",""environmental policy"",""forest inventory"",""land cover"",methods,""policy analysis"",""policy making""}",10.1007/s10584-008-9526-6,{},included,NA
Remote Sensing Of Soil And Water Quality In Agroecosystems,"Mismanagement of soil and water resources may not only contribute to an escalation of global poverty but also jeopardize ecosystem services, with significant costs to the environment. Although not concentrated within one geographic location (3,500 million hectares), an equivalent of approximately 24 % of the earth's land surface is degraded land, and about 2 billion people (one third of the global population) lack access to safe and affordable water for domestic purposes. It is therefore critical to develop strategies targeted at the root causes of these problems. However, to do so would require a rapid and reliable information system that has been elusive because of the complexity of the environment and the limitations of the existing tools. The increased availability and development of remote sensing and geographic data analysis tools have opened up new possibilities for exploring and monitoring environmental variables influencing key land use and soil management options. Here, we explore the major concepts, describe the constraints, and the future potential of remote sensing for mapping and providing near real-time information on soil and water quality in the context of major land use practices employed at the global scale. © 2013 Springer Science+Business Media Dordrecht.",2013,"{""Chen, J."",""De Paul Obade, V."",""Lal, R.""}","{Agronomy,""Domestic purpose"",""Ecosystem services"",Ecosystems,""Environmental variables"",""Geographic data"",""Geographic location"",""Global population"",""Land use"",Mapping,""Remote sensing"",""Soil management"",""Soil quality"",Soils,""Sustainable resource management"",""Water quality"",""Water resources"",""agricultural ecosystem"",""agricultural management"",agroecosystem,article,""conservation biology"",cost,""cost benefit analysis"",""environmental economics"",""environmental management"",""environmental monitoring"",""geographic information system"",""global positioning system"",""land surface"",""mapping method"",""resource management"",""snow cover"",vegetation,""water supply""}",10.1007/s11270-013-1658-2,{},included,NA
The Activities Of The Italian Coast Guard In The Field Of Airborne Remote Sensing And The Eventual Use Of Satellite Platforms In Marine Pollution Abatement Activities,"The Italian Coast Guard Corps operates twelve fixed-wing airplanes, type Piaggio P 166 DL3, for the performing of tasks related to the survey of marine environment. Three of them are fully equipped with a remote sensing system. This system, including a bispectral scanner system Daedalus AA 2000 and a multispectral scanner system Daedalus DS 1268, can make a quick and effective survey both of the shoreline and large areas offshore and process and interpret real time data. Environmental (oil pollution erosion, coastal assessment) and policing purposes (identification and appraisal of illegal releases, prevention and repression of unauthorized building) are supported by such surveys. Satellite platforms (ERS-1, ERS-2) can he utilized for surveillance duties, although, in the case of operational activities, a comparison with the data available from airborne remote sensing system must be made. The planning of such a programme cannot be carried out without a keen cost-benefit evaluation. (C) 1997 Elsevier Science Ltd.",1996,"{""Malfatti, A"",""Mancini, M"",""Patruno, R""}",NA,10.1016/s1353-2561(96)00031-x,{},included,NA
Monitoring And Diagnosis System For Wheat Growth With Remote Sensing And Sensor Technology,"The growth status of wheat seedlings is closely related to the latter growth biomass and the yield. Given the fact that the surrounding environment of wheat is variable and highly unpredictable during its growth, monitoring and diagnosing the vigor of winter wheat during the seedling period is of great importance. The study present a preliminary design of a remote monitoring and intelligent diagnosing system based on the combination of remote monitoring, remote sensing and WebGIS technology. The remote monitoring and remote sensing technologies can provide both field environmental information and growth information in real time. In addition, the wheat growth condition, drought and cold injury can be diagnosed and analyzed with the aid of an expert knowledge database. For practical use, the presented system is able to generate a solution for the regulation and management of wheat, which is assumed to benefit the decision making process significantly.",2011,"{""Huang, W."",""Sun, P."",""Xu, T."",""Yang, X."",""Zhang, Q.""}","{""Cold injury"",Crops,""Decision making"",""Decision making process"",""Diagnosing system"",""Environmental information"",""Expert knowledge"",Growth,""Growth (materials)"",""Growth conditions"",""Growth information"",Monitoring,Monitoring,""Preliminary design"",""Real time"",""Remote control"",""Remote diagnosis"",""Remote monitoring"",""Remote sensing"",""Remote sensing technology"",""Sensor technologies"",""Surrounding environment"",""System construction"",Web-GIS,WebGIS,""Wheat seedlings"",""Winter wheat"",diagnosis}",10.3969/j.issn.1002-6819.2011.12.022,{},included,NA
Understanding The Spatio-Temporal Behaviour Of The Sunflower Crop For Subfield Areas Delineation Using Sentinel-2 Ndvi Time-Series Images In An Organic Farming System,"The study investigates the suitability of time series Sentinel-2 NDVI-derived maps for the subfield detection of a sunflower crop cultivated in an organic farming system. The aim was to understand the spatio-temporal behaviour of subfield areas identified by the K-means algorithm from NDVI maps obtained from satellite images and the ground yield data variability to increase the efficiency of delimiting management zones in an organic farming system. Experiments were conducted on a surface of 29 ha. NDVI time series derived from Sentinel-2 images and k-means algorithm for rapidly delineating the sunflower subfield areas were used. The crop achene yields in the whole field ranged from 1.3 to 3.77 t ha-1 with a significant within-field spatial variability. The cluster analysis of hand-sampled data showed three subfields with achene yield mean values of 3.54 t ha-1 (cluster 1), 2.98 t ha-1 (cluster 2), and 2.07 t ha-1 (Cluster 3). In the cluster analysis of NDVI data, the k-means algorithm has early delineated the subfield crop spatial and temporal yield variability. The best period for identifying subfield areas starts from the inflorescences development stage to the development of the fruit stage. Analyzing the NDVI subfield areas and yield data, it was found that cluster 1 covers an area of 42.4\% of the total surface and 50\% of the total achene yield; cluster 2 covers 35\% of both surface and yield. Instead, the surface of cluster 3 covers 22.2\% of the total surface with 15\% of achene yield. K-means algorithm derived from Sentinel-2 NDVI images delineates the sunflower subfield areas. Sentinel-2 images and k-means algorithms can improve an efficient assessment of subfield areas in sunflower crops. Identifying subfield areas can lead to site-specific long-term agronomic actions for improving the sustainable intensification of agriculture in the organic farming system.",2023,"{""Marino, Stefano""}","{""Yield; Cluster analysis; K -means; Remote sensing; Semi -automatic classification""}",10.1016/j.heliyon.2023.e19507,{maybe},included,NA
An Open Data And Citizen Science Approach To Building Resilience To Natural Hazards In A Data-Scarce Remote Mountainous Part Of Nepal,"The citizen science approach has gained momentum in recent years. It can enable both experts and citizen scientists to co-create new knowledge. Better understanding of local environmental, social, and geographical contexts can help in designing appropriate plans for sustainable development. However, a lack of geospatial data, especially in the context of developing countries, often precludes context-specific development planning. This study therefore tests an innovative approach of volunteer citizen science and an open mapping platform to build resilience to natural hazards in the remote mountainous parts of western Nepal. In this study, citizen scientists and mapping experts jointly mapped two districts of Nepal (Bajhang and Bajura) using the OpenStreetMap (OSM) platform. Remote mapping based on satellite imagery, capacity building, and mobilization of citizen scientists was performed to collect the data. These data were then uploaded to OSM and later retrieved in ArcGIS to produce a usable map that could be exploited as a reference resource for evidence-based decision-making. The collected data are freely accessible to community members as well as government and humanitarian actors, and can be used for development planning and risk reduction. By piloting in two communities of western Nepal, we found that using open data platforms for collecting and analyzing location-based data has a mutual benefit for researchers and communities. Such data could be vital in understanding the local landscape, environmental risk, and distribution of resources. Furthermore, they enable both researchers and local people to transfer technical knowledge, collect location-specific data, and use them for better decision-making.",2020,"{""Baskota, Preshika"",""Buytaert, Wouter"",""Khadka, Prakash"",""Liu, Wei"",""Parajuli, Binod Prasad"",""Paul, Jonathan D."",""Pudasaini, Uttam"",""Roniksh, B. C."",""Shakya, Puja"",""Vij, Sumit""}","{""citizen science; hazards; open data; remote mapping; sustainable development""}",10.3390/su12229448,{},included,NA
Input Data Resolution Affects The Conservation Prioritization Outcome Of Spatially Sparse Biodiversity Features,"Detailed spatial data are an essential part of land use planning and decision-making. Their spatial resolution sets limitations to their use, as coarse datasets are not suitable for detecting small-scale phenomena. In this study, we explored the effects of spatial resolution on the ecological outcome of a conservation prioritization process in Zonation software. Our study area was in Evo, southern Finland, covering a mosaic of managed and conserved forests. We produced the feature layers describing the forest characteristics using high-resolution remote sensing datasets, object-based mapping methods, and forest site type data. We found that increasing the resolution above the 16 m baseline resolution resulted in substantial errors. The conservation errors were the highest for rare features related to European Aspen, whereas the common features related to dominant tree species could benefit from the growth of cell size. We conclude that adequate spatial resolution is a prerequisite for efficient conservation prioritization, and that the size and spatial distribution of the features affect the resolution requirements.",2023,"{""Heinaro, Einari"",""Kujala, Heini"",""Kumpula, Timo"",""Mayra, Janne"",""Mikkonen, Ninni"",""Tanhuanpaa, Topi""}","{""Conservation prioritization; Forests; Remote sensing; Scale; Spatial resolution; Zonation""}",10.1007/s13280-023-01885-6,{},included,NA
Is Acoustic Tracking Appropriate For Air-Breathing Marine Animals? Dugongs As A Case Study,"Marine animals face increased pressure through expanded shipping and recreational activities. Effective conservation and management of large species like marine mammals or sea turtles depend on knowledge of movement and habitat use. Previous studies have used data collected from either satellite or acoustic telemetry but rarely both. In this study, data from satellite and acoustic technologies were used to: determine the efficacy of satellite and acoustic telemetry to define dugong movement patterns; compare the benefits and limitations of each approach; examine the costs of each approach in relation to the amount and type of data provided; and relate telemetry data to the boundaries of a Go Slow area designed to protect dugongs and turtles from vessel strike within an urbanised coastal embayment (Moreton Bay, Queensland, Australia). Twenty-one dugongs were captured in seagrass habitats on the Eastern Banks of Moreton Bay in July-September 2012 and July 2013 and fitted with GPS and acoustic transmitters. Both satellite and acoustic telemetry produced reliable presence and movement data for individual dugongs. When the dugongs were within the range of the acoustic array, there was relatively good correspondence between the overall space use measures derived from GPS and acoustic transmitters, demonstrating that acoustic tracking is a potentially valuable and cost-effective tool for monitoring local dugong habitat use in environments equipped with acoustic receiver arrays. Acoustic technology may be particularly useful for species that establish home ranges with stable residency especially near large urban or port environs. However, the relative merits of the two technologies depend on the research question in the context of the species of interest, the location of the study and whether the study site has an established acoustic array. (C) 2014 Elsevier B.V. All rights reserved.",2015,"{""Babcock, Russel C."",""Fuentes, Mariana M. P. B."",""Hamann, Mark"",""Heupel, Michelle R."",""Limpus, Colin J."",""Marsh, Helene"",""Pillans, Richard D."",""Townsend, Kathy A."",""Zeh, Daniel R.""}","{""Acoustic; Dugong dugon; GPS; Marine wildlife; Satellite; Telemetry""}",10.1016/j.jembe.2014.11.013,{},included,NA
Success Stories Of Satellite Radar Altimeter Applications,"For nearly three decades, satellite nadir altimeters have provided essential information to understand primarily ocean but also inland water dynamics. A variety of parameters can be inferred via altimeter measurements, including sea surface height, sea surface wind speeds, significant wave heights, and topography of land, sea ice, and ice sheets. Taking advantage of these parameters with the long record of altimeter data spanning multiple decades has allowed a diverse range of societal applications. As the constellation of altimeter satellites grows, the proven value of the missions to a diverse user community can now be demonstrated by highlighting a selection of verifiable success stories. In this paper, we review selected altimeter success stories that incorporate altimetry data, alone or in conjunction with numerical models or other Earth observations, to solve a key societal problem. First, we define the problem or the key challenge of each use case, and then we articulate the uptake of the successful altimeter-based solution. Our review revealed steady progress by scientific and stakeholder communities in bridging the gap between data availability and their actual uptake to address a variety of applications. Highlighting these altimeter-based success stories can serve to further promote the widespread adoption of future satellite missions such as the Surface Water and Ocean Topography (SWOT) mission scheduled for launch in 2022. Knowledge of the breadth of current utility of altimeter observations can help the scientific community to demonstrate the value in continuing radar altimeter and similar missions, particularly those with expanded capabilities, such as SWOT.",2022,"{""Eldardiry, Hisham"",""Hossain, Faisal"",""Srinivasan, Margaret"",""Tsontos, Vardis""}","{""Altimetry; Decision making; Education; Satellite observations""}",10.1175/bams-d-21-0065.1,{maybe},included,NA
Cost-Effective Disaster-Induced Land Cover Analysis: A Semi-Automatic Methodology Using Machine Learning And Satellite Imagery,"This study introduces a cost-effective and automated methodology to swiftly and accurately gauge disaster-induced land cover changes, harnessing satellite imagery and machine learning. Using open-source platforms like Google Earth Engine, the approach streamlines training sample generation and assesses diverse machine learning algorithms on pre- and post-disaster Landsat images. The innovation lies in its semi-automatic training sample generation methodology, reducing time and manual effort for accurate land cover mapping and addressing the challenge of crafting training samples in disaster settings. The methodology was tested on the 2010 Chilean earthquake and tsunami, revealing a 45% increase in sediment cover and a 15% reduction in water cover, underlining vast landscape alterations. SVM stood out for its consistent accuracy. To validate the methodological robustness and broaden its applicability, we replicated the procedures using diverse land cover collection, including ESA WorldCover 10 m and Dynamic World. This comprehensive validation encompassed varied catastrophic events, extending the methodology’s relevance beyond its original scope. The consistent findings across different scenarios underscored the method’s robustness and underscored its potential for broader utilization. This streamlined, cost-effective approach suits multiple land cover products, setting the stage for constant Earth feature monitoring. In light of escalating natural disasters, the synergy of machine learning and geospatial technology spotlighted here offers promising avenues for improved disaster preparedness and response. © 2024 Informa UK Limited, trading as Taylor & Francis Group.",2024,"{""A. Warner, T."",""Abarca-Del-Rio, R."",""I. Volke, M.""}","{Automation,Chile,""Cost benefit analysis"",""Cost effective"",""Cost effectiveness"",""Disaster prevention"",Disasters,""Image classification"",Internet,""Land cover"",""Land cover analysis"",""Land cover change"",""Land-cover change"",""Learning algorithms"",""Learning systems"",Machine-learning,""Open source platforms"",Remote-sensing,Sampling,""Satellite imagery"",Semi-automatics,""Support vector machines"",""Training sample generations"",""accuracy assessment"",""classification accuracy"",""disaster management"",""machine learning"",""model validation"",""numerical model"",""remote sensing"",""satellite data""}",10.1080/01431161.2023.2292015,{},included,NA
Ecological Environment Dynamic Monitoring And Driving Force Analysis Of Karst World Heritage Sites Based On Remote-Sensing: A Case Study Of Shibing Karst,"The evaluation and monitoring of the ecological environment quality of heritage sites can help provide sustainable and healthy development strategies for heritage management organizations. In this study, an ecological evaluation model based on the remote sensing ecological index (RSEI) was used to measure the ecological environment of the Shibing Karst World Heritage Site and its buffer zone and the Moran index and geographic probe model were combined to quantify the ecological environment. The results show that, (1) from 2013 to 2020, the ecological environment quality of the heritage site and buffer zone was moderate to high and the mean RSEI values in the three periods studied were 0.720, 0.723 and 0.742, showing an overall upward and improving trend; (2) ecological environment quality grades of moderate and good accounted for more than 70\% of the area, the distribution pattern of ecological environment quality is significantly better at the heritage site than in the buffer zone and the southwest is better than the northeast; (3) the Moran index increased from 0.600 in 2013 to 0.661 in 2020, residing in the first and third quadrants, respectively, with significantly spatial aggregation; and (4) greenness and humidity were shown to play a positive feedback role on the ecological environment quality and the spatial influence ability of humidity and dryness was greater. Overall, the RSEI is an effective method of evaluating and monitoring the ecological environment quality of heritage sites, the ecological environment quality of the Karst heritage site in Shibing is in a steady state of improvement and the relevant departments of heritage conservation need to further coordinate the relationship between conservation and development to promote the sustainable development of the heritage site and provide effective solutions for the monitoring of other Karst World Heritage sites.",2023,"{""Shen, Chuhong"",""Xiao, Hua"",""Xiong, Kangning"",""Zhang, Juan"",""Zhang, Ning""}","{""remote sensing; ecological environment; world natural neritage; Shibing Karst; South China Karst""}",10.3390/land12010184,{},included,NA
The Role Of Satellite And Decentralized Strategies In Water Resources Management,"Existing and projected water shortages and related factors have helped focus attention on the need for water reuse. With recent technological advances in wastewater treatment, it is now possible to produce reclaimed water of any quality. Thus, the use of reclaimed water will depend on the reuse opportunities and the cost of the required infrastructure. Historically, centralized wastewater treatment facilities have served the needs of organized societies since the mid 1800s. However. as there are limited options for expansion of most existing centralized facilities, the use of satellite and decentralized wastewater management systems offers significant advantages including being close both to the source of wastewater generation and to potential water reuse applications. The comparative advantages of satellite and decentralized wastewater management systems for a number of water reuse applications are presented and discussed in this paper. Selected case Studies are presented to demonstrate the utility of satellite and decentralized wastewater management. Specific issues associated with the application of such systems in existing and in new developments are examined and discussed. (C) 2007 Elsevier Ltd. All rights reserved.",2009,"{""Gikas, Petros"",""Tchobanoglous, George""}","{""Wastewater; Water management; Water reuse; Recycling; Satellite system; Decentralized system""}",10.1016/j.jenvman.2007.08.016,{},included,NA
The Role Of Remote Sensing In The Development Of Smart Indicators For Ecosystem Services Assessment,"Human beings benefit from a wide range of goods and services from the natural environment that are collectively known as ecosystem services. However, rapid natural habitat loss, overexploitation and climate change is causing accelerating losses of populations and species, with largely unknown consequences on ecosystem functioning and the sustainable provision of ecosystem services. It is crucial, therefore, to develop a suite of indicators of the health and status of ecosystems, to monitor and quantify services delivery and to facilitate policy responses to stop and reverse negative trends. An effective framework to facilitate the development of suitable indicators is by using the SMART approach, which defines five criteria that could be applied to set monitoring and management goals, which are Specific, Measurable, Achievable, Realistic and Time-sensitive. Remote sensing provides a useful data source that can monitor ecosystems over multiple spatial and temporal scales. Although the development and application of landscape indicators (vegetation indices, for example) derived from remote sensing data are comparatively advanced, it is acknowledged that a number of organisms and ecosystem processes are not detectable by remote sensing. This paper explores several approaches to overcome this limitation, by examining the strong affinity of species with dominant habitat structures and through the coupling of remote sensing and ecosystem process models using examples drawn from a number of important ecosystems. © 2016 Biodiversity Conservancy International.",2016,"{""Brown, C."",""Cutler, M. E. J."",""Dawson, T. P.""}","{""Earth Observation"",biomass,carbon,degradation,""ecosystem services"",peatlands}",10.1080/14888386.2016.1246384,{},included,NA
Lake Nasser Evaporation Reduction Study,"This study aims to evaluate the reduction of evaporation of Lake Nasser's water caused by disconnecting (fully or partially) some of its secondary channels (khors). This evaluation integrates remote sensing, Geographic Information System (GIS) techniques, aerodynamic principles, and Landsat7 ETM+ images. Three main procedures were carried out in this study; the first derived the surface temperature from Landsat thermal band; the second derived evaporation depth and approximate evaporation volume for the entire lake, and quantified evaporation loss to the secondary channels' level over one month (March) by applied aerodynamic principles on surface temperature of the raster data; the third procedure applied GIS suitability analysis to determine which of these secondary channels (khors) should be disconnected. The results showed evaporation depth ranging from 2.73 mm/day at the middle of the lake to 9.58 mm/day at the edge. The evaporated water-loss value throughout the entire lake was about 0.86 billion m(3) /month (March). The analysis suggests that it is possible to save an approximate total evaporation volume loss of 19.7 million m(3) / month (March), and thus 2.4 billion m(3) /year, by disconnecting two khors with approximate construction heights of 8 m and 15 m. In conclusion, remote sensing and GIS are useful for applications in remote locations where field-based information is not readily available and thus recommended for decision makers remotely planning in water conservation and management. (C) 2010 Cairo University. Production and hosting by Elsevier B.V. All rights reserved.",2010,"{""Ebaid, Hala M. I."",""Ismail, Sherine S.""}","{""Remote sensing; Landsat; GIS; Evaporation; Lake Nasser""}",10.1016/j.jare.2010.09.002,{},included,NA
Three Most Widely Used Gnss-Based Shoreline Monitoring Methods To Support Integrated Coastal Zone Management Policies,"Shoreline monitoring is essential for integrated coastal zone management (ICZM). It provides the necessary information needed to manage the settlement of coastal areas, establishes guidelines for management of socioeconomic activities within the coastal areas, provides information necessary for recovery actions of beach regeneration, and provides a reference baseline for studies related to climate change in coastal zones. Shoreline monitoring methods are largely dependent on goals, costs, implementation, and applicability. For monitoring of short coastal shorelines (e.g., tens to hundreds of kilometers), global navigation satellite system (GNSS)-based methods are emerging as low-cost approaches that offer rapid, weather-independent, and quickly updatable products that could benefit policy makers when high costs of traditional methods, such as photogrammetry and remote sensing, are of concern. However, various GNSS methods applicable to shoreline monitoring exist, making it difficult for decision makers to choose a suitable approach. Using a case study of the Pernambuco State ICZM in Brazil, this study evaluates three of the most commonly used GNSS-based shoreline monitoring methods, that is, relative kinematic (RK), real-time kinematic (RTK), and precise point positioning (PPP) methods. It also provides a comprehensive analysis of their strengths and limitations. The results highlight the issues and important considerations in choosing an economically viable GNSS method for mapping shoreline changes, particularly for supporting ICZM policies.",2017,"{""Awange, J. L."",""Goncalves, R. M.""}","{""Integrated coastal zone management (ICZM); Global navigation satellite systems (GNSS); Precise point""}",10.1061/(asce)su.1943-5428.0000219,{},included,NA
"Applied Geomorphic Mapping For Land Management In The River Murray Corridor, Se Australia","The River Murray Corridor, in SE Australia, was the subject of a large integrated project aimed at providing answers to a number of important land and environmental management questions and guidance for land use planning. Airborne electromagnetic (AEM) surveys were carried out in conjunction with a light detection and ranging survey in 2007. These data were combined with various satellite remote-sensing data and field observations to produce a number of maps, including maps of landforms and surface materials. These latter maps were used to assess the value of the AEM data, identify potential surface and sub-surface flow pathways and map potential recharge on the Murray River floodplain surface. This allowed the assessment of potential salt storage and the impact of various land use options on salt storage and mobilisation. © 2011 Elsevier B.V.",2011,"{""Clarke, J. D. A."",""Pain, C. F."",""Wong, V. N. L.""}","{""Airborne electromagnetic survey"",""Environmental management"",Floodplain,""Land management"",LiDAR,""Remote sensing""}",10.1016/b978-0-444-53446-0.00019-7,{},included,NA
Review Of The Driving Forces And Impacts Of Land Use/Cover Change In The Yangtze River Basin,"The Yangtze River Basin is an important part of China 's ecology and social economy, and the land use/cover status is experiencing rapid changes. As the development of remote sensing technology, the Internet of things and social media, we can obtain huge, multi-dimensional relevant data of land use/cover, the process of land use/cover, driving factors and ecological response of research, the development of the Yangtze river basin planning and ecological protection provides a decision-making basis. First, this paper reviews the current research on land use/cover change in the Yangtze river basin, and then expounds the research methods and conclusions in terms of the driving mechanism and ecological effects of land use/cover change. Finally, this paper discusses the difficulties and challenges faced by existing researches from the differences of land use/cover products, regional driving factors, complexity of ecological environmental change process and comprehensive evaluation of ecological service value and the possible directions of future researches. © 2023 Wuhan University. All rights reserved.",2023,"{""Chen, N."",""Li, B."",""Wang, C."",""Wang, W."",""Yuan, X.""}","{China,""Decision making"",""Driving factors"",""Driving forces"",Ecology,Economics,Internet,""Land use"",""Land use/cover"",""Remote sensing"",""Remote sensing technology"",Rivers,""Social economy"",""Social media"",Watersheds,""Yangtze Basin"",complexity,""driving force"",""ecological effect"",""ecological impact"",""ecosystem service"",""environmental change"",""environmental planning"",""environmental protection"",""environmental research"",""future prospect"",""land cover"",""land use/cover change"",""river basin"",""the Yangtze river basin""}",10.13203/j.whugis20210368,{},included,NA
Mapping Landscape-Scale Peatland Degradation Using Airborne Lidar And Multispectral Data,"Context: An increased interest in the restoration of peatlands for delivering multiple benefits requires a greater understanding of the extent and location of natural and artificial features that contribute to degradation. Objectives: We assessed the utility of multiple, fine-grained remote sensing datasets for mapping peatland features and associated degraded areas at a landscape-scale. Specifically, we developed an integrated approach to identify and quantify multiple types of peatland degradation including: anthropogenic drainage ditches and peat cuttings; erosional gullies and bare peat areas. Methods: Airborne LiDAR, CASI and aerial image datasets of the South West UK, were combined to identify features within Dartmoor National Park peatland area that contribute to degradation. These features were digitised and quantified using ArcGIS before appropriate buffers were applied to estimate the wider ecohydrologically affected area. Results: Using fine-scale, large-extent remotely sensed data, combined with aerial imagery enabled key features within the wider expanse of peatland to be successfully identified and mapped at a resolution appropriate to future targeted restoration. Combining multiple datasets increased our understanding of spatial distribution and connectivity within the landscape. An area of 29 km2 or 9.2% of the Dartmoor peatland area was identified as significantly and directly ecohydrologically degraded. Conclusions: Using a combination of fine-grained remotely sensed datasets has advantages over traditional ground survey methods for identification and mapping of anthropogenic and natural erosion features at a landscape scale. The method is accurate, robust and cost-effective particularly given the remote locations and large extent of these landscapes, facilitating effective and targeted restoration planning, management and monitoring. © 2019, The Author(s).",2019,"{""Anderson, K."",""Brazier, R. E."",""Carless, D."",""Gatis, N."",""Luscombe, D. J.""}","{""Dartmoor National Park"",Devon,England,GIS,Landscape-scale,LiDAR,""Peatland degradation"",Peatlands,""Remote sensing"",""United Kingdom"",""aerial photograph"",""data set"",""drainage network"",ecohydrology,""environmental planning"",""gully erosion"",""integrated approach"",""land degradation"",""landscape planning"",""multispectral image"",peatland,""soil erosion""}",10.1007/s10980-019-00844-5,{maybe},included,NA
