title,author,year,key,group
The Potential Value of Improved Ocean Observation Systems in the Gulf of Mexico,"Kaiser, Mark J. and Pulsipher, Allan G.",2004,kaiser_potentialimprovedoceanobservation_2004,2
The Value of Earth Observation for Managing the Great Barrier Reef,"Bouma, Jetske and Kuik, Onno and Dekker, Arnold",NA,bouma_earthobservationmanagingbarrier_2009,2
Using Satellite Data to Fill the Gaps in the US Air Pollution Monitoring Network,"Sullivan, Daniel M and Krupnick, Alan",NA,sullivan_satellitedatafillgaps_2018,2
Exploring the Potential Value of Satellite Remote Sensing to Monitor Chlorophyll-a for Us Lakes and Reservoirs,"Papenfus, Michael and Schaeffer, Blake and Pollard, I, Amina and Loftin, Keith",2020,papenfus_exploringpotentialsatelliteremote_2020,2
A Real Options Approach to Satellite Mission Planning,"Fuss, Sabine and Szolgayova, Jana and Obersteiner, Michael",2008,fuss_realoptionsapproachsatellite_2008,2
The Adoption Of Earth-Observation Technologies For Deforestation Monitoring By Indigenous People: Evidence From The Amazon,"Gonzalez, Nidia Catherine and Kroger, Markus",2023,gonzalez_adoptionearthobservationtechnologies_2023,2
Citizen Science For Earth Observation (Citzens4eo): Understanding Current Use In The Uk,"Boyd, Doreen S. and Foody, Giles M. and Brown, Chloe and Mazumdar, Suvodeep and Marshall, Harry and Wardlaw, Jessica",2022,boyd_citizenscienceearthobservation_2022,2
A Focus Group Study Of Factors That Promote And Constrain The Use Of Satellite-Derived Fire Products By Resource Managers In Southern Africa,"Trigg, S. N. and Roy, D. P.",2007,trigg_focusstudyfactorspromote_2007,2
Assessing The Performance Of A Large-Scale Irrigation System By Estimations Of Actual Evapotranspiration Obtained By Landsat Satellite Images Resampled With Cubic Convolution,"Awada, Hassan and Ciraolo, Giuseppe and Maltese, Antonino and Provenzano, Giuseppe and Moreno Hidalgo, Miguel Angel and Ignacio Corcoles, Juan",2019,awada_assessingperformancescaleirrigation_2019,2
Factors Affecting Farmer Adoption of Remotely Sensed Imagery for Precision Management in Cotton Production,"Larson, James A. and Roberts, Roland K. and English, Burton C. and Larkin, Sherry L. and Marra, Michele C. and Martin, Steven W. and Paxton, Kenneth W. and Reeves, Jeanne M.",2008,larson_factorsaffectingfarmeradoption_2008,2
Public Health Benefits from Improved Identification of Severe Air Pollution Events with Geostationary Satellite Data,"O'Dell, Katelyn",NA,odell_publichealthbenefitsimproved_2024,3
A Skill Score Based on Economic Value for Probability Forecasts,"Wilks, D S",2001,wilks_skillscorebasedeconomic_2001,3
Simulating the Value of El Nino Forecasts for the Panama Canal,"Graham, Nicholas E. and Georgakakos, Konstantine P. and Vargas, Carlos and Echevers, Modesto",2006,graham_simulatingelninoforecasts_2006,3
Remote Sensing Satellites and Privacy: A Framework for Policy Assessment,"Brennan, T. J. and Macauley, M. K.",1995,brennan_remotesensingsatellitesprivacy_1995,3
The Value of Improved ENSO Prediction to U.S. Agriculture,"Solow, Andrew R and Adams, Richard F and Bryant, Kelly J and Legler, David M and O'Brien, James J and McCARL, BRUCE A and Nayda, William and Weiher, Rodney",1998,solow_improvedensopredictionu.s_1998,3
Formalizing a Two-Step Decision-Making Process in Land Use: Evidence from Controlling Forest Clearcutting Using Spatial Information,"Jabbour, Chady and Hoayek, Anis and Salles, Jean-Michel",2023,jabbour_formalizingstepdecisionprocess_2023,3
Comparing The Hedging Effectiveness Of Weather Derivatives Based On Remotely Sensed Vegetation Health Indices And Meteorological Indices,"Moellmann, Johannes and Buchholz, Matthias and Musshoff, Oliver",2018,moellmann_comparinghedgingeffectivenessweather_2018,3
Use and Benefits of Nasa's Recover for Post-Fire Decision Support,"Toombs, William and Weber, Keith and Stegner, Tesa and Schnase, John L. and Lindquist, Eric and Lippitt, Frances",2018,toombs_benefitsnasa'srecoverpost_2018,3
Contribution of Remote Sensing for Crop and Water Monitoring,"Courault, D. and Demarez, V. and Gu{\'e}rif, M. and Le Page, M. and Simonneaux, V. and Ferrant, S. and Veloso, A.",2016,courault_contributionremotesensingcrop_2016,3
Market-Based Methods for Monetizing Uncertainty Reduction,"Cooke, Roger and Golub, Alexander",2020,cooke_marketbasedmethodsmonetizing_2020,3
Assessing the Impact of L-Band Observations on Drought and Flood Risk Estimation: A Decision-Theoretic Approach in an Osse Environment,"Kumar, Sujay V. and Harrison, Kenneth W. and {Peters-Lidard}, Christa D. and Santanello, Jr., Joseph A. and Kirschbaum, Dalia",2014,kumar_assessingimpactbandobservations_2014,4
Justification for Site-Specific Weed Management Based on Ecology and Economics,"Maxwell, {\relax BD} and Luschei, {\relax EC",2005,maxwell_justificationsitespecificweed_2005,4
The Value of Earth Observations: Methods and Findings on the Value of Landsat Imagery,"Miller, Holly M. and Serbina, Larisa O. and Richardson, Leslie A. and Ryker, Sarah J. and Newman, Timothy R.",2016,miller_earthobservationsmethodsfindings_2016,4
Using Remote Sensing to Evaluate Environmental Institutional Designs: A Habitat Conservation Planning Example,"Schweik, {\relax CM} and Thomas, {\relax CW",2002,schweik_remotesensingevaluateenvironmental_2002,4
Input Data Resolution Affects the Conservation Prioritization Outcome of Spatially Sparse Biodiversity Features,"Tanhuanpaa, Topi and Mikkonen, Ninni and Kujala, Heini and Heinaro, Einari and Mayra, Janne and Kumpula, Timo",2023,tanhuanpaa_inputdataresolutionaffects_2023,4
Measuring the Economic Benefits of an Environmental Monitoring Satellite Project: The Value of Information Approach,"Eom, Young Sook and Hong, Jong Ho",2013,eom_measuringeconomicbenefitsenvironmental_2013,4
Beyond The Dissemination Of Earth Observation Research: Stakeholders' And Users' Involvement In Project Co-Design,"L'Astorina, A. and Tomasoni, I. and Basoni, A. and Carrara, P.",2015,lastorina_disseminationearthobservationresearch_2015,4
"The Socio-Economic Value of Satellite Earth Observations: Huge, yet to Be Measured","Tassa, Alessandra",2020,tassa_socioeconomicsatelliteearth_2020,4
Optimizing Top Dresseing Nitrogen Fertilization Using Venμs And Sentinel‐2 L1 Data,"Bonfil, D. J. and Michael, Y. and Shiff, S. and Lensky, I. M.",2021,bonfil_optimizingtopdresseingnitrogen_2021,4
An Active Service Recommendation Model for Multi-Source Remote Sensing Information Using Fusion of Attention and Multi-Perspective,"Zhu, L. and Wu, F. and Fu, K. and Hu, Y. and Wang, Y. and Tian, X. and Huang, K.",2023,zhu_activeservicerecommendationmodel_2023,4
A Method for Estimating the Socioeconomic Impact of Earth Observations in Wildland Fire Suppression Decisions,"Herr, Vincent and Kochanski, Adam K. and Miller, Van V. and McCrea, Rich and O'Brien, Dan and Mandel, Jan",2020,herr_methodestimatingsocioeconomicimpact_2020,5
Benefits Of Meteorological Services In South Eastern Europe,"Hautala, Raine",2008,hautala_benefitsmeteorologicalservicessouth_2008,5
The Value of Site-Specific Information and the Environment: Technology Adoption and Pesticide Use under Uncertainty,"Isik, M and Hudson, D and Coble, {\relax KH",2005,isik_sitespecificinformationenvironment_2005,5
Valuing Satellite Systems To Support Fishing In A Dynamic Competitive Model,"Collard, F. and Haritchabalet, C.",2012,collard_valuingsatellitesystemssupport_2012,5
"Production, Property, And The Construction Of Remotely Sensed Data","Alvarez León, L. F. and Gleason, C. J.",2017,alvarezleon_productionpropertyconstructionremotely_2017,5
Translating Marine Animal Tracking Data into Conservation Policy and Management,"Hays, Graeme C. and Bailey, Helen and Bograd, Steven J. and Bowen, W. Don and Campagna, Claudio and Carmichael, Ruth H. and Casale, Paolo and Chiaradia, Andre and Costa, Daniel P. and Cuevas, Eduardo and {de Bruyn}, P. J. Nico and Dias, Maria P. and Duarte, Carlos M. and Dunn, Daniel C. and Dutton, Peter H. and Esteban, Nicole and Friedlaender, Ari and Goetz, Kimberly T. and Godley, Brendan J. and Halpin, Patrick N. and Hamann, Mark and Hammerschlag, Neil and Harcourt, Robert and Harrison, Autumn-Lynn and Hazen, Elliott L. and Heupel, Michelle R. and Hoyt, Erich and Humphries, Nicolas E. and Kot, Connie Y. and Lea, James S. E. and Marsh, Helene and Maxwell, Sara M. and McMahon, Clive R. and {di Sciara}, Giuseppe Notarbartolo and Palacios, Daniel M. and Phillips, Richard A. and Righton, David and Schofield, Gail and Seminoff, Jeffrey A. and Simpfendorfer, Colin A. and Sims, David W. and Takahashi, Akinori and Tetley, Michael J. and Thums, Michele and Trathan, Philip N. and {Villegas-Amtmann}, Stella and Wells, Randall S. and Whiting, Scott D. and Wildermann, Natalie E. and Msequeira, Ana M. M.",2019,hays_translatingmarineanimaltracking_2019,5
Accuracy and Impact of Spatial Aids Based upon Satellite Enumeration to Improve Indoor Residual Spraying Spatial Coverage,"Bridges, Daniel J. and Pollard, Derek and Winters, Anna M. and Winters, Benjamin and Sikaala, Chadwick and Renn, Silvia and Larsen, David A.",2018,bridges_accuracyimpactspatialaids_2018,5
Swot Data Assimilation For Operational Reservoir Management On The Upper Niger River Basin,"Munier, S. and Polebistki, A. and Brown, C. and Belaud, G. and Lettenmaier, D. P.",2015,munier_swotdataassimilationoperational_2015,5
Assessing the Full Effects of Public Investment in Space,"Clark, John and Koopmans, Carl and Hof, Bert and Knee, Paula and Lieshout, Rogier and Simmonds, Paul and Wokke, Frank",2014,clark_assessingeffectspublicinvestment_2014,5
Drone-Based Participatory Mapping: Examining Local Agricultural Knowledge In The Galapagos,"Colloredo-Mansfeld, Mia and Laso, Francisco J. and Arce-Nazario, Javier",2020,colloredomansfeld_dronebasedparticipatorymapping_2020,5
Integrating Drone Imagery with Existing Rangeland Monitoring Programs,"Gillan, J. K. and Karl, J. W. and {van Leeuwen}, W. J. D.",2020,gillan_integratingdroneimageryexisting_2020,6
Index-Based Insurance for Climate Risk Management and Rural Development in Syria,"Bobojonov, Ihtiyor and {Aw-Hassan}, Aden and Sommer, Rolf",2014,bobojonov_indexbasedinsuranceclimate_2014,6
"Practicing Critical Zone Observation in Agricultural Landscapes: Communities, Technology, Environment and Archaeology","Opitz, Rachel and De Smedt, Philippe and {Mayoral-Herrera}, Victorino and Campana, Stefano and Vieri, Marco and Baldwin, Eamonn and Perna, Carolina and Sarri, Daniele and Verhegge, Jeroen",2023,opitz_practicingcriticalzoneobservation_2023,6
The Socio-Economic Value of Scientific Publications: The Case of Earth Observation Satellites,"Morretta, Valentina and Vurchio, Davide and Carrazza, Stefano",2022,morretta_socioeconomicscientificpublications_2022,6
May Smart Technologies Reduce the Environmental Impact of Nitrogen Fertilization? A Case Study for Paddy Rice,"Bacenetti, Jacopo and Paleari, Livia and Tartarini, Sofia and Vesely, Fosco M. and Foi, Marco and Movedi, Ermes and Ravasi, Riccardo A. and Bellopede, Valeria and Durello, Stefano and Ceravolo, Carlo and Amicizia, Francesca and Confalonieri, Roberto",2020,bacenetti_smarttechnologiesreduceenvironmental_2020,6
Agricultural Value of ENSO Information under Alternative Phase Definition,"Chen, Chi-Chung and McCarl, Bruce and Hill, Harvey",2002,chen_agriculturalensoinformationalternative_2002,6
Taking The Highway To Save Lives On Lake Victoria,"Roberts, Rita D. and Goodman, Steven J. and Wilson, James W. and Watkiss, Paul and Powell, Robert and Petersen, Ralph A. and Bain, Caroline and Faragher, John and Chang'a, Ladislaus B. and Kapkwomu, Julius Kiprop and Oloo, Paul N. and Sebaziga, Joseph N. and Hartley, Andrew and Donovan, Timothy and Mittermaier, Marion and Cronce, Lee and Virts, Katrina S.",2022,roberts_takinghighwaysavelives_2022,6
Assessing Forest Inventory Information Obtained From Different Inventory Approaches And Remote Sensing Data Sources,"Bergseng, E. and Ørka, H. O. and Næsset, E. and Gobakken, T.",2015,bergseng_assessingforestinventoryinformation_2015,6
Applied Welfare Economics With Bounded Rationality: Public Policies Toward Remote Sensing,"Rotheli, Tobias F.",2005,rotheli_appliedwelfareeconomicsbounded_2005,6
Uav To Inform Restoration: A Case Study From A California Tidal Marsh,"Haskins, John and Endris, Charlie and Thomsen, Alexandra S. and Gerbl, Fuller and Fountain, Monique C. and Wasson, Kerstin",2021,haskins_uavinformrestorationstudy_2021,6
Stakeholder Perceptions On The Need For Updated Tree Species Distribution Maps,"Bettinger, Pete and Merry, Krista and Garzon, Alba Rocio Gutierrez and Lee, Taeyoon and Siry, Jacek and McNulty, Steve and Gavazzi, Michael",2021,bettinger_stakeholderperceptionsupdatedtree_2021,7
Economic Losses Caused By Tree Species Proportions And Site Type Errors In Forest Management Planning,"Haara, Arta and Kangas, Annika and Tuominen, Sakari",2019,haara_economiclossescausedtree_2019,7
An Assessment of the Value of Seasonal Forecasting Technology for Western Australian Farmers,"Petersen, E.H and Fraser, R.W",2001,petersen_assessmentseasonalforecastingtechnology_2001,7
"Evaluation Of The Trmm Multisatellite Precipitation Analysis And Its Applicability In Supporting Reservoir Operation And Water Resources Management In Hanjiang Basin, China","Yang, Na and Zhang, Ke and Hong, Yang and Zhao, Qiaohua and Huang, Qin and Xu, Yinshan and Xue, Xianwu and Chen, Sheng",2017,yang_evaluationtrmmmultisatelliteprecipitation_2017,7
Impact of Global Earth Observation - Systemic View across GEOSS Societal Benefit Areas,"Rydzak, Felicjan and Obersteiner, Michael and Kraxner, Florian",2010,rydzak_impactglobalearthobservation_2010,7
Use of Remote Sensing in Control of Good Agricultural and Environmental Conditions on Agricultural Farms,"Pluto-Kossakowska}, J. and {Osi{\'n}ska-Skotak}, K. and Fija{\l}kowska, A. and Chmiel, J.",2013,plutokossakowska_remotesensingcontrolagricultural_2013,7
Benefits Of Increasing Information Accuracy In Variable Rate Technologies,"Spaeti, Karin and Huber, Robert and Finger, Robert",2021,spaeti_benefitsincreasinginformationaccuracy_2021,7
Using Big Data To Engage Undergraduate Students In Authentic Science,"Styers, D. M.",2018,styers_dataengageundergraduatestudents_2018,7
Climate Data for the European Forestry Sector: From End-User Needs to Opportunities for Climate Resilience,"Fraccaroli, Cecilia and Govigli, Valentino Marini and Briers, Siebe and Cerezo, Nieves Pena and Jimenez, Jorge Paz and Romero, Maria and Lindner, Marcus and {de Arano}, Inazio Martinez",2021,fraccaroli_climatedataeuropeanforestry_2021,7
The Public Value of Improving a Weather Forecasting System in Korea: A Choice Experiment Study,"Park, Sun-Young and Yoo, Seung-Hoon",2018,park_publicimprovingweatherforecasting_2018,7
Using Architecture Modeling to Assess the Societal Benefits of the Global Earth Observation System-of-Systems,"Martin, J.N.",2008,martin_architecturemodelingassesssocietal_2008,8
Examples Of Strategies To Analyze Spatial And Temporal Yield Variability Using Crop Models,"Batchelor, WD and Basso, B and Paz, JO",2002,batchelor_examplesstrategiesanalyzespatial_2002,8
Pricing Policy and Legal Issues: 6th and 7th EOPOLE Workshops,"Harris, Ray and Olby, Nicola",2000,harris_pricingpolicylegalissues_2000,8
The Six Dimensions of Value Associated to the Use of Copernicus Sentinel Data: Key Findings from the Sentinel Benefits Study,"Sawyer, Geoff and Mamais, Eleftherios and Papadakis, Dimitri",2022,sawyer_dimensionscopernicussentineldata_2022,8
Economic Value of Environmental and Weather Information for Agricultural Decisions - A Case Study for Oklahoma Mesonet,"Ziolkowska, Jadwiga R.",2018,ziolkowska_economicenvironmentalweatherinformation_2018,8
Solutions From Space? A Dynamic Capabilities Perspective On The Growing Use Of Satellite Technology For Managing Sustainability In Multi-Tier Supply Chains,"Heldt, Lisa and Beske-Janssen, Philip",2023,heldt_solutionsspacedynamiccapabilities_2023,8
A Conceptual Framework for Assessing the Benefits of a Global Earth Observation System of Systems,"Fritz, S. and Scholes, R.J. and Obersteiner, M. and Bouma, J. and Reyers, B.",2008,fritz_conceptualframeworkassessingbenefits_2008,8
Using Publicly Available Satellite Imagery and Deep Learning to Understand Economic Well-Being in Africa,"Yeh, Christopher and Perez, Anthony and Driscoll, Anne and Azzari, George and Tang, Zhongyi and Lobell, David and Ermon, Stefano and Burke, Marshall",2020,yeh_publiclysatelliteimagerydeep_2020,8
Grid-Scale Agricultural Land and Water Management: A Remote-Sensing-Based Multiobjective Approach,"Tang, Yikuan and Zhang, Fan and Engel, Bernard A. and Liu, Xiao and Yue, Qiong and Guo, Ping",2020,tang_gridscaleagriculturalland_2020,8
Economic Potential of Oil Palm Plantation Using Remote Sensing-Based Technology in Indonesia,"Center for Aerospace Policy Studies, National Institute of Aeronautics and Space (LAPAN), Indonesia} and Diana, Shinta Rahma and Farida, Farida and {Faculty of Economics and Bussiness, UPI, YAI, Indonesia",2021,diana_economicpotentialoilpalm_2021,8
Valuing the Potential Impacts of Geoss: A Systems Dynamics Approach,"Obersteiner, M. and Rydzak, F. and Fritz, S. and McCallum, I.",2012,obersteiner_valuingpotentialimpactsgeoss_2012,9
Applying Bag of Words Approach to Determine Remote Sensing Technology Acceptance among Smallholder Plantations,"Diana, S. R. and Farida, F.",2023,diana_applyingbagwordsapproach_2023,9
Value of Airborne Laser Scanning and Digital Aerial Photogrammetry Data in Forest Decision Making,"Kangas, A. and Gobakken, T. and Puliti, S. and Hauglin, M. and Naesset, E.",2018,kangas_airbornelaserscanningdigital_2018,9
Economic Value Of Current And Improved Weather Forecasts In The U.s. Household Sector,"Lazo, Jeffrey",2002,lazo_economiccurrentimprovedweather_2002,9
A Scalable Earth Observations-Based Decision Support System for Hydropower Planning in Africa,"Koppa, Akash and Gebremichael, Mekonnen and Hopson, Thomas M. and Riddle, Emily and Boehnert, Jennifer and Broman, Daniel P.",2021,koppa_scalableearthobservationsbased_2021,9
Lessons Learned from Participatory Land Use Planning with High-Resolution Remote Sensing Images in Tanzania: Practitioners' and Participants' Perspectives,"Eilola, Salla and Kayhko, Niina and Fagerholm, Nora",2021,eilola_lessonslearnedparticipatoryland_2021,9
Establishing And Implementing Data Collaborations For Public Good: A Critical Factor Analysis To Scale Up The Practice,"Susha, Iryna",2020,susha_establishingimplementingdatacollaborations_2020,9
The Role Of Geoscience Information In Reducing Catastrophic Loss Using A Web-Based Economics Experiment,"Bernkopf, Richard",2003,bernkopf_rolegeoscienceinformationreducing_2003,9
Value of Perfect ENSO Phase Predictions for Agriculture: Evaluating the Impact of Land Tenure and Decision Objectives,"Letson, David and Laciana, Carlos E. and Bert, Federico E. and Weber, Elke U. and Katz, Richard W. and Gonzalez, Xavier I. and Podest{\'a}, Guillermo P.",2009,letson_perfectensophasepredictions_2009,9
The Not-So-Marginal Value of Weather Warning Systems,"Miller, Benjamin M.",2018,miller_marginalweatherwarningsystems_2018,9
Exploring the Potential of Google Earth as a Communication and Engagement Tool in Collaborative Natural Flood Management Planning,"Smith, Katherine and Berry, Robert and Clarke, Lucy E.",2020,smith_exploringpotentialgoogleearth_2020,10
Value of ENSO-Forecasted Drought Information for the Management of Water Resources of Small to Mid-Size Communities,"Sharda, Vaishali and Srivastava, Puneet",2016,sharda_ensoforecasteddroughtinformation_2016,10
Valuing User Preferences for Geospatial Fire Monitoring in Guatemala,"Berenter, Jared and Morrison, Isaac and Mueller, Julie M.",2021,berenter_valuinguserpreferencesgeospatial_2021,10
Value of Improved Long-Range Weather Information,"Adams, Richard M. and Bryant, Kelly J. and Mccarl, Bruce A. and Legler, David M. and O'Brien, James and Solow, Andrew and Weiher, Rodney",1995,adams_improvedrangeweatherinformation_1995,10
Earth Observation and the Public Good,"Harris, Ray and Miller, Lewis",2011,harris_earthobservationpublic_2011,10
Supporting Operational Site-Specific Fertilization In Rice Cropping Systems With Infield Smartphone Measurements And Sentinel-2 Observations,"Nutini, Francesco and Confalonieri, Roberto and Paleari, Livia and Pepe, Monica and Criscuolo, Laura and Porta, Francesco and Ranghetti, Luigi and Busetto, Lorenzo and Boschetti, Mirco",2021,nutini_supportingoperationalsitespecific_2021,10
Estimating the Value of El Nino Southern Oscillation Information in a Regional Water Market with Implications for Water Management,"Liao, Shu-Yi and Chen, Chi-Chung and Hsu, Shih-Hsun",2010,liao_estimatingelniñosouthern_2010,10
"Economic Utility Of 3d Remote Sensing Data For Estimation Of Site Index In Nordic Commercial Forest Inventories: A Comparison Of Airborne Laser Scanning, Digital Aerial Photogrammetry And Conventional Practices","Noordermeer, Lennart and Gobakken, Terje and Naesset, Erik and Bollandsas, Ole Martin",2021,noordermeer_economicutility3dremote_2021,10
Landsat Data Ecosystem Case Study: Actor Perceptions of the Use and Value of Landsat,"Molder, Edmund B. and Schenkein, Sarah F. and McConnell, Abby E. and Benedict, Karl K. and Straub, Crista L.",2022,molder_landsatdataecosystemstudy_2022,10
Pollution Monitoring: Optimal Design of Inspection - an Economic Analysis of the Use of Satellite Information to Deter Oil Pollution,"Florens, {\relax JP} and Foucher, C",1999,florens_pollutionmonitoringoptimaldesign_1999,10
