given,family,sequence,affiliation,doi,ORCID,authenticated-orcid,error,name,suffix
Václav,Šafář,first,NA,10.7160/aol.2022.140109,NA,NA,NA,NA,NA
Karel,Charvát,additional,NA,10.7160/aol.2022.140109,NA,NA,NA,NA,NA
Tomáš,Mildorf,additional,NA,10.7160/aol.2022.140109,NA,NA,NA,NA,NA
Patrick,Crehan,additional,NA,10.7160/aol.2022.140109,NA,NA,NA,NA,NA
David,Kolitzus,additional,NA,10.7160/aol.2022.140109,NA,NA,NA,NA,NA
Tomas,Orlickas,additional,NA,10.7160/aol.2022.140109,NA,NA,NA,NA,NA
Martynas,Rimgaila,additional,NA,10.7160/aol.2022.140109,NA,NA,NA,NA,NA
Aušrius,Kučinskas,additional,NA,10.7160/aol.2022.140109,NA,NA,NA,NA,NA
Salomėja,Rybokienė,additional,NA,10.7160/aol.2022.140109,NA,NA,NA,NA,NA
Šárka,Horáková,additional,NA,10.7160/aol.2022.140109,NA,NA,NA,NA,NA
Hana,Kubíčková,additional,NA,10.7160/aol.2022.140109,NA,NA,NA,NA,NA
Richard M,Adams,first,NA,https://doi.org/10.1016/s0168-1923(02)00201-0,NA,NA,NA,NA,NA
Laurie L,Houston,additional,NA,https://doi.org/10.1016/s0168-1923(02)00201-0,NA,NA,NA,NA,NA
Bruce A,McCarl,additional,NA,https://doi.org/10.1016/s0168-1923(02)00201-0,NA,NA,NA,NA,NA
Mario,Tiscareño L,additional,NA,https://doi.org/10.1016/s0168-1923(02)00201-0,NA,NA,NA,NA,NA
Jaime,Matus G,additional,NA,https://doi.org/10.1016/s0168-1923(02)00201-0,NA,NA,NA,NA,NA
Rodney F,Weiher,additional,NA,https://doi.org/10.1016/s0168-1923(02)00201-0,NA,NA,NA,NA,NA
Richard M.,Adams,first,NA,https://doi.org/10.1111/j.1465-7287.1995.tb00720.x,NA,NA,NA,NA,NA
Kelly J.,Bryant,additional,NA,https://doi.org/10.1111/j.1465-7287.1995.tb00720.x,NA,NA,NA,NA,NA
Bruce A.,Mccarl,additional,NA,https://doi.org/10.1111/j.1465-7287.1995.tb00720.x,NA,NA,NA,NA,NA
David M.,Legler,additional,NA,https://doi.org/10.1111/j.1465-7287.1995.tb00720.x,NA,NA,NA,NA,NA
James,O'Brien,additional,NA,https://doi.org/10.1111/j.1465-7287.1995.tb00720.x,NA,NA,NA,NA,NA
Andrew,Solow,additional,NA,https://doi.org/10.1111/j.1465-7287.1995.tb00720.x,NA,NA,NA,NA,NA
Rodney,Weiher,additional,NA,https://doi.org/10.1111/j.1465-7287.1995.tb00720.x,NA,NA,NA,NA,NA
Adison,Altamirano,first,"Landscape Ecology and Conservation Lab, Departamento de Ciencias Forestales, Universidad de La Frontera, P.O. Box 54-D, Temuco 4780000, Chile",10.3390/land9090306,NA,NA,NA,NA,NA
Adison,Altamirano,first,"Butamallin Research Center for Global Change, Facultad de Ciencias Agropecuarias y Forestales, Universidad de La Frontera, P.O. Box 54-D, Temuco 4780000, Chile",10.3390/land9090306,NA,NA,NA,NA,NA
Adison,Altamirano,first,"Center for Climate and Resilience Research (CR2), Universidad de Chile, Santiago 8370449, Chile",10.3390/land9090306,NA,NA,NA,NA,NA
Carolina,Gonzalez-Suhr,additional,"Departamento de Administración y Economía, Facultad de Ciencias Jurídicas y Empresariales, Universidad de La Frontera, P.O. Box 54-D, Temuco 4780000, Chile",10.3390/land9090306,https://orcid.org/0000-0003-4397-297X,FALSE,NA,NA,NA
Caroline,Marien,additional,"Division Forest, Nature &amp; Landscape KU Leuven, 30001 Leuven, Belgium",10.3390/land9090306,NA,NA,NA,NA,NA
Germán,Catalán,additional,"Landscape Ecology and Conservation Lab, Departamento de Ciencias Forestales, Universidad de La Frontera, P.O. Box 54-D, Temuco 4780000, Chile",10.3390/land9090306,https://orcid.org/0000-0002-9903-7481,FALSE,NA,NA,NA
Germán,Catalán,additional,"Doctorado en Ciencias Agroalimentarias y Medioambiente, Facultad de Ciencias Agropecuarias y Forestales, Universidad de La Frontera, P.O. Box 54-D, Temuco 4780000, Chile",10.3390/land9090306,https://orcid.org/0000-0002-9903-7481,FALSE,NA,NA,NA
Alejandro,Miranda,additional,"Landscape Ecology and Conservation Lab, Departamento de Ciencias Forestales, Universidad de La Frontera, P.O. Box 54-D, Temuco 4780000, Chile",10.3390/land9090306,NA,NA,NA,NA,NA
Alejandro,Miranda,additional,"Center for Climate and Resilience Research (CR2), Universidad de Chile, Santiago 8370449, Chile",10.3390/land9090306,NA,NA,NA,NA,NA
Marco,Prado,additional,"Landscape Ecology and Conservation Lab, Departamento de Ciencias Forestales, Universidad de La Frontera, P.O. Box 54-D, Temuco 4780000, Chile",10.3390/land9090306,NA,NA,NA,NA,NA
Laurent,Tits,additional,"Division Forest, Nature &amp; Landscape KU Leuven, 30001 Leuven, Belgium",10.3390/land9090306,NA,NA,NA,NA,NA
Laurent,Tits,additional,"VITO Remote Sensing, Boeretang 200, 2400 Mol, Belgium",10.3390/land9090306,NA,NA,NA,NA,NA
Lorena,Vieli,additional,"Butamallin Research Center for Global Change, Facultad de Ciencias Agropecuarias y Forestales, Universidad de La Frontera, P.O. Box 54-D, Temuco 4780000, Chile",10.3390/land9090306,NA,NA,NA,NA,NA
Lorena,Vieli,additional,"Departamento de Ciencias Agronómicas y Recursos Naturales, Facultad de Ciencias Agropecuarias y Forestales, Universidad de La Frontera, P.O. Box 54-D, Temuco 4780000, Chile",10.3390/land9090306,NA,NA,NA,NA,NA
Lorena,Vieli,additional,"Center of Applied Ecology and Sustainability (CAPES), Santiago 8331150, Chile",10.3390/land9090306,NA,NA,NA,NA,NA
Paula,Meli,additional,"Landscape Ecology and Conservation Lab, Departamento de Ciencias Forestales, Universidad de La Frontera, P.O. Box 54-D, Temuco 4780000, Chile",10.3390/land9090306,https://orcid.org/0000-0001-5390-7552,FALSE,NA,NA,NA
Cocou Jaurès,Amegnaglo,first,NA,http://dx.doi.org/10.1016/j.cliser.2017.06.007,NA,NA,NA,NA,NA
Kwabena Asomanin,Anaman,additional,NA,http://dx.doi.org/10.1016/j.cliser.2017.06.007,NA,NA,NA,NA,NA
Akwasi,Mensah-Bonsu,additional,NA,http://dx.doi.org/10.1016/j.cliser.2017.06.007,NA,NA,NA,NA,NA
Edwards Ebo,Onumah,additional,NA,http://dx.doi.org/10.1016/j.cliser.2017.06.007,NA,NA,NA,NA,NA
Fulbert,Amoussouga Gero,additional,NA,http://dx.doi.org/10.1016/j.cliser.2017.06.007,NA,NA,NA,NA,NA
Raimi Abidemi,Asiyanbola,first,NA,10.4314/sajg.v7i1.3,NA,NA,NA,NA,NA
Hassan,Awada,first,NA,10.1016/j.jag.2018.10.016,https://orcid.org/0000-0002-4022-2746,FALSE,NA,NA,NA
Giuseppe,Ciraolo,additional,NA,10.1016/j.jag.2018.10.016,https://orcid.org/0000-0001-8032-4571,FALSE,NA,NA,NA
Antonino,Maltese,additional,NA,10.1016/j.jag.2018.10.016,NA,NA,NA,NA,NA
Giuseppe,Provenzano,additional,NA,10.1016/j.jag.2018.10.016,NA,NA,NA,NA,NA
Miguel Angel,Moreno Hidalgo,additional,NA,10.1016/j.jag.2018.10.016,https://orcid.org/0000-0002-5940-6123,FALSE,NA,NA,NA
Juan Ignacio,Còrcoles,additional,NA,10.1016/j.jag.2018.10.016,NA,NA,NA,NA,NA
Bruce A.,Babcock,first,Department of Economics and Business North Carolina State University,https://doi.org/10.2307/1243145,NA,NA,NA,NA,NA
Jacopo,Bacenetti,first,NA,10.1016/j.scitotenv.2020.136956,https://orcid.org/0000-0002-9188-4475,FALSE,NA,NA,NA
Livia,Paleari,additional,NA,10.1016/j.scitotenv.2020.136956,NA,NA,NA,NA,NA
Sofia,Tartarini,additional,NA,10.1016/j.scitotenv.2020.136956,NA,NA,NA,NA,NA
Fosco M.,Vesely,additional,NA,10.1016/j.scitotenv.2020.136956,NA,NA,NA,NA,NA
Marco,Foi,additional,NA,10.1016/j.scitotenv.2020.136956,NA,NA,NA,NA,NA
Ermes,Movedi,additional,NA,10.1016/j.scitotenv.2020.136956,NA,NA,NA,NA,NA
Riccardo A.,Ravasi,additional,NA,10.1016/j.scitotenv.2020.136956,NA,NA,NA,NA,NA
Valeria,Bellopede,additional,NA,10.1016/j.scitotenv.2020.136956,NA,NA,NA,NA,NA
Stefano,Durello,additional,NA,10.1016/j.scitotenv.2020.136956,NA,NA,NA,NA,NA
Carlo,Ceravolo,additional,NA,10.1016/j.scitotenv.2020.136956,NA,NA,NA,NA,NA
Francesca,Amicizia,additional,NA,10.1016/j.scitotenv.2020.136956,NA,NA,NA,NA,NA
Roberto,Confalonieri,additional,NA,10.1016/j.scitotenv.2020.136956,NA,NA,NA,NA,NA
Jonathan F.,Bard,first,NA,10.1016/0040-1625(83)90003-3,NA,NA,NA,NA,NA
Ann,Watkins,additional,NA,10.1016/0040-1625(83)90003-3,NA,NA,NA,NA,NA
Jared,Berenter,first,"Uxeda Data Collection Resources LLC, Baltimore, MD 21218, USA",10.3390/su132112077,NA,NA,NA,NA,NA
Isaac,Morrison,additional,"Uxeda Data Collection Resources LLC, Baltimore, MD 21218, USA",10.3390/su132112077,NA,NA,NA,NA,NA
Julie M.,Mueller,additional,"School of Earth and Sustainability, The W.A. Franke College of Business, Northern Arizona University, Flagstaff, AZ 86011, USA",10.3390/su132112077,NA,NA,NA,NA,NA
Even,Bergseng,first,NA,10.1007/s13595-014-0389-x,NA,NA,NA,NA,NA
Hans Ole,Ørka,additional,NA,10.1007/s13595-014-0389-x,NA,NA,NA,NA,NA
Erik,Næsset,additional,NA,10.1007/s13595-014-0389-x,NA,NA,NA,NA,NA
Terje,Gobakken,additional,NA,10.1007/s13595-014-0389-x,NA,NA,NA,NA,NA
NA,NA,NA,NA,10.1201/b20712,NA,NA,try error,NA,NA
Richard L.,Bernknopf,first,NA,10.1007/978-94-007-4839-2_10,NA,NA,NA,NA,NA
William M.,Forney,additional,NA,10.1007/978-94-007-4839-2_10,NA,NA,NA,NA,NA
Ronald P.,Raunikar,additional,NA,10.1007/978-94-007-4839-2_10,NA,NA,NA,NA,NA
Shruti K.,Mishra,additional,NA,10.1007/978-94-007-4839-2_10,NA,NA,NA,NA,NA
Richard,Bernknopf,first,"Department of Economics, University of New Mexico, Albuquerque, New Mexico",10.1175/wcas-d-16-0044.1,NA,NA,NA,NA,NA
David,Brookshire,first,"Department of Economics, University of New Mexico, Albuquerque, New Mexico",10.1175/wcas-d-16-0044.1,NA,NA,NA,NA,NA
Yusuke,Kuwayama,additional,"Resources for the Future, Washington, D.C.",10.1175/wcas-d-16-0044.1,NA,NA,NA,NA,NA
Molly,Macauley,additional,"Resources for the Future, Washington, D.C.",10.1175/wcas-d-16-0044.1,NA,NA,NA,NA,NA
Matthew,Rodell,additional,"NASA Goddard Space Flight Center, Greenbelt, Maryland",10.1175/wcas-d-16-0044.1,NA,NA,NA,NA,NA
Alexandra,Thompson,additional,"Resources for the Future, Washington, D.C.",10.1175/wcas-d-16-0044.1,NA,NA,NA,NA,NA
Peter,Vail,additional,"Resources for the Future, Washington, D.C.",10.1175/wcas-d-16-0044.1,NA,NA,NA,NA,NA
Benjamin,Zaitchik,additional,"Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, Maryland",10.1175/wcas-d-16-0044.1,NA,NA,NA,NA,NA
Richard,Bernknopf,first,"Department of Economics, University of New Mexico, Albuquerque, NM 87131-0001, USA",https://doi.org/10.3390/ijgi4031142,NA,NA,NA,NA,NA
Carl,Shapiro,additional,"Science and Decisions Center, United States Geological Survey, 12201 Sunrise Valley Drive, Mail Stop 913, Reston, VA 20192-0002, USA",https://doi.org/10.3390/ijgi4031142,NA,NA,NA,NA,NA
NA,NA,NA,NA,https://media.rff.org/documents/earth_observations_can_enable_cost-effective_conservation_of._bm_rb_ld.pdf,NA,NA,try error,NA,NA
Richard L.,Bernknopf,first,NA,https://doi.org/10.1006/jeem.1996.0963,NA,NA,NA,NA,NA
David S.,Brookshire,additional,NA,https://doi.org/10.1006/jeem.1996.0963,NA,NA,NA,NA,NA
Michael,McKee,additional,NA,https://doi.org/10.1006/jeem.1996.0963,NA,NA,NA,NA,NA
David R.,Soller,additional,NA,https://doi.org/10.1006/jeem.1996.0963,NA,NA,NA,NA,NA
NA,NA,NA,NA,https://pubs.usgs.gov/pp/1683/,NA,NA,try error,NA,NA
Pete,Bettinger,first,"Warnell School of Forestry and Natural Resources, University of Georgia, Athens, GA 30602, USA",10.3390/f12101367,https://orcid.org/0000-0002-5454-3970,FALSE,NA,NA,NA
Krista,Merry,additional,"Warnell School of Forestry and Natural Resources, University of Georgia, Athens, GA 30602, USA",10.3390/f12101367,https://orcid.org/0000-0001-6450-2286,FALSE,NA,NA,NA
Alba Rocio Gutierrez,Garzon,additional,"Independent Researcher, Summerville, SC 29483, USA",10.3390/f12101367,NA,NA,NA,NA,NA
Taeyoon,Lee,additional,"Warnell School of Forestry and Natural Resources, University of Georgia, Athens, GA 30602, USA",10.3390/f12101367,NA,NA,NA,NA,NA
Jacek,Siry,additional,"Warnell School of Forestry and Natural Resources, University of Georgia, Athens, GA 30602, USA",10.3390/f12101367,NA,NA,NA,NA,NA
Steve,McNulty,additional,"Southern Research Station, U.S. Forest Service, Research Triangle Park, Asheville, NC 27709, USA",10.3390/f12101367,https://orcid.org/0000-0003-4518-5646,FALSE,NA,NA,NA
Michael,Gavazzi,additional,"Southern Research Station, U.S. Forest Service, Research Triangle Park, Asheville, NC 27709, USA",10.3390/f12101367,NA,NA,NA,NA,NA
Ihtiyor,Bobojonov,first,NA,10.1080/17565529.2013.844676,NA,NA,NA,NA,NA
Aden,Aw-Hassan,additional,NA,10.1080/17565529.2013.844676,NA,NA,NA,NA,NA
Rolf,Sommer,additional,NA,10.1080/17565529.2013.844676,NA,NA,NA,NA,NA
Mariel,Borowitz,first,NA,10.1017/dap.2023.12,https://orcid.org/0000-0001-5238-2037,FALSE,NA,NA,NA
Janet,Zhou,additional,NA,10.1017/dap.2023.12,NA,NA,NA,NA,NA
Krystal,Azelton,additional,NA,10.1017/dap.2023.12,NA,NA,NA,NA,NA
Isabelle-Yara,Nassar,additional,NA,10.1017/dap.2023.12,NA,NA,NA,NA,NA
Sid-Ahmed,Boukabara,first,"NOAA/NESDIS/Office of Systems Architecture and Advanced Planning, Silver Spring, Maryland;",10.1175/bams-d-22-0004.1,NA,NA,NA,NA,NA
Ross N.,Hoffman,additional,"NOAA/NESDIS/Center for Satellite Applications and Research (STAR), and Cooperative Institute for Satellite Earth System Studies, University of Maryland, College Park, College Park, Maryland",10.1175/bams-d-22-0004.1,NA,NA,NA,NA,NA
J.A.,Bouma,first,NA,10.1016/j.jenvman.2008.07.016,NA,NA,NA,NA,NA
H.J.,van der Woerd,additional,NA,10.1016/j.jenvman.2008.07.016,NA,NA,NA,NA,NA
O.J.,Kuik,additional,NA,10.1016/j.jenvman.2008.07.016,NA,NA,NA,NA,NA
NA,NA,NA,NA,https://research.vu.nl/ws/portalfiles/portal/2607929/boumakuikvanderwoerddekker+final.pdf,NA,NA,try error,NA,NA
Jetske A.,Bouma,first,NA,10.1016/j.scitotenv.2011.07.023,NA,NA,NA,NA,NA
Onno,Kuik,additional,NA,10.1016/j.scitotenv.2011.07.023,NA,NA,NA,NA,NA
Arnold G.,Dekker,additional,NA,10.1016/j.scitotenv.2011.07.023,NA,NA,NA,NA,NA
NA,NA,NA,NA,https://research.vu.nl/ws/portalfiles/portal/2608005/235180.pdf,NA,NA,try error,NA,NA
Ahmed,Bounfour,first,NA,10.1016/s0265-9646(99)00025-9,NA,NA,NA,NA,NA
Eric F.,Lambin,additional,NA,10.1016/s0265-9646(99)00025-9,NA,NA,NA,NA,NA
Doreen S.,Boyd,first,"School of Geography, University of Nottingham, Nottingham, UK",10.1080/01431161.2022.2076574,NA,NA,NA,NA,NA
Doreen S.,Boyd,first,"Rights Lab, University of Nottingham, Nottingham, UK",10.1080/01431161.2022.2076574,NA,NA,NA,NA,NA
Giles M.,Foody,additional,"School of Geography, University of Nottingham, Nottingham, UK",10.1080/01431161.2022.2076574,NA,NA,NA,NA,NA
Giles M.,Foody,additional,"Rights Lab, University of Nottingham, Nottingham, UK",10.1080/01431161.2022.2076574,NA,NA,NA,NA,NA
Chloe,Brown,additional,"Rights Lab, University of Nottingham, Nottingham, UK",10.1080/01431161.2022.2076574,NA,NA,NA,NA,NA
Suvodeep,Mazumdar,additional,"The Information School, The University of Sheffield, Sheffield, UK",10.1080/01431161.2022.2076574,NA,NA,NA,NA,NA
Harry,Marshall,additional,"Rights Lab, University of Nottingham, Nottingham, UK",10.1080/01431161.2022.2076574,NA,NA,NA,NA,NA
Jessica,Wardlaw,additional,"Natural History Museum, South Kensington, London, UK",10.1080/01431161.2022.2076574,NA,NA,NA,NA,NA
Joy,Brathwaite,first,NA,10.1016/j.actaastro.2012.10.036,NA,NA,NA,NA,NA
Joseph H.,Saleh,additional,NA,10.1016/j.actaastro.2012.10.036,NA,NA,NA,NA,NA
Daniel J.,Bridges,first,NA,10.1186/s12936-018-2236-2,NA,NA,NA,NA,NA
Derek,Pollard,additional,NA,10.1186/s12936-018-2236-2,NA,NA,NA,NA,NA
Anna M.,Winters,additional,NA,10.1186/s12936-018-2236-2,NA,NA,NA,NA,NA
Benjamin,Winters,additional,NA,10.1186/s12936-018-2236-2,NA,NA,NA,NA,NA
Chadwick,Sikaala,additional,NA,10.1186/s12936-018-2236-2,NA,NA,NA,NA,NA
Silvia,Renn,additional,NA,10.1186/s12936-018-2236-2,NA,NA,NA,NA,NA
David A.,Larsen,additional,NA,10.1186/s12936-018-2236-2,NA,NA,NA,NA,NA
Marta,Bruno Soares,first,NA,https://doi.org/10.5194/asr-14-175-2017,http://orcid.org/0000-0003-3127-4461,FALSE,NA,NA,NA
Alexander,Bürgin,first,Department of Political Science and International Relations Izmir University of Economics  Izmir Turkey,10.1002/eet.1877,https://orcid.org/0000-0002-1642-8429,FALSE,NA,NA,NA
Victor E.,Cabrera,first,NA,https://doi.org/10.1016/j.agsy.2006.04.005,NA,NA,NA,NA,NA
David,Letson,additional,NA,https://doi.org/10.1016/j.agsy.2006.04.005,NA,NA,NA,NA,NA
Guillermo,Podestá,additional,NA,https://doi.org/10.1016/j.agsy.2006.04.005,NA,NA,NA,NA,NA
NA,NA,first,NA,http://dx.doi.org/10.12695/ajtm.2021.14.1.2,NA,NA,NA,"Center for Aerospace Policy Studies, National Institute of Aeronautics and Space (LAPAN), Indonesia",NA
Shinta Rahma,Diana,first,NA,http://dx.doi.org/10.12695/ajtm.2021.14.1.2,NA,NA,NA,NA,NA
Farida,Farida,additional,NA,http://dx.doi.org/10.12695/ajtm.2021.14.1.2,NA,NA,NA,NA,NA
NA,NA,additional,NA,http://dx.doi.org/10.12695/ajtm.2021.14.1.2,NA,NA,NA,"Faculty of Economics and Bussiness, UPI, YAI, Indonesia",NA
Anjan,Chamuah,first,NA,10.1007/s42452-019-1901-6,https://orcid.org/0000-0002-5113-280X,FALSE,NA,NA,NA
Rajbeer,Singh,additional,NA,10.1007/s42452-019-1901-6,NA,NA,NA,NA,NA
Chi-Chung,Chen,first,NA,https://doi.org/10.1023/a:1016160218221,NA,NA,NA,NA,NA
Bruce,McCarl,additional,NA,https://doi.org/10.1023/a:1016160218221,NA,NA,NA,NA,NA
Harvey,Hill,additional,NA,https://doi.org/10.1023/a:1016160218221,NA,NA,NA,NA,NA
B. R.,Christensen,first,NA,10.1186/s40490-015-0044-9,NA,NA,NA,NA,NA
Fabrice,Collard,first,NA,10.1080/00036846.2010.526581,NA,NA,NA,NA,NA
Carole,Haritchabalet,additional,NA,10.1080/00036846.2010.526581,NA,NA,NA,NA,NA
Mia,Colloredo-Mansfeld,first,"Department of Geography, University of North Carolina at Chapel Hill, Chapel Hill, NC 27514, USA",10.3390/drones4040062,NA,NA,NA,NA,NA
Francisco J.,Laso,additional,"Department of Geography, University of North Carolina at Chapel Hill, Chapel Hill, NC 27514, USA",10.3390/drones4040062,https://orcid.org/0000-0001-6909-2634,FALSE,NA,NA,NA
Javier,Arce-Nazario,additional,"Department of Geography, University of North Carolina at Chapel Hill, Chapel Hill, NC 27514, USA",10.3390/drones4040062,https://orcid.org/0000-0002-4051-575X,FALSE,NA,NA,NA
NA,NA,NA,NA,10.1080/14693062.2015.1110109 and ce and real option value and social cost of carbon and value of information and united states and carbon emission and decision making and emission control and environmental economics and environmental policy,NA,NA,try error,NA,NA
Roger,Cooke,first,NA,https://doi.org/10.1007/s10669-019-09748-w,NA,NA,NA,NA,NA
Alexander,Golub,additional,NA,https://doi.org/10.1007/s10669-019-09748-w,NA,NA,NA,NA,NA
Roger,Cooke,first,NA,10.1007/s10669-013-9451-8,NA,NA,NA,NA,NA
Bruce A.,Wielicki,additional,NA,10.1007/s10669-013-9451-8,NA,NA,NA,NA,NA
David F.,Young,additional,NA,10.1007/s10669-013-9451-8,NA,NA,NA,NA,NA
Martin G.,Mlynczak,additional,NA,10.1007/s10669-013-9451-8,NA,NA,NA,NA,NA
Richard M.,Adams,additional,Oregon State University,https://dx.doi.org/10.2307/1244062,NA,NA,NA,NA,NA
Stephen,Polasky,additional,Oregon State University,https://dx.doi.org/10.2307/1244062,NA,NA,NA,NA,NA
Luisa,Cristini,first,NA,http://dx.doi.org/10.1016/j.marpol.2016.05.029,NA,NA,NA,NA,NA
Richard S.,Lampitt,additional,NA,http://dx.doi.org/10.1016/j.marpol.2016.05.029,NA,NA,NA,NA,NA
Vanessa,Cardin,additional,NA,http://dx.doi.org/10.1016/j.marpol.2016.05.029,NA,NA,NA,NA,NA
Eric,Delory,additional,NA,http://dx.doi.org/10.1016/j.marpol.2016.05.029,NA,NA,NA,NA,NA
Peter,Haugan,additional,NA,http://dx.doi.org/10.1016/j.marpol.2016.05.029,NA,NA,NA,NA,NA
Nick,O'Neill,additional,NA,http://dx.doi.org/10.1016/j.marpol.2016.05.029,NA,NA,NA,NA,NA
George,Petihakis,additional,NA,http://dx.doi.org/10.1016/j.marpol.2016.05.029,NA,NA,NA,NA,NA
Henry A.,Ruhl,additional,NA,http://dx.doi.org/10.1016/j.marpol.2016.05.029,NA,NA,NA,NA,NA
François,Destandau,first,NA,http://dx.doi.org/10.4236/jwarp.2016.88062,NA,NA,NA,NA,NA
Amadou Pascal,Diop,additional,NA,http://dx.doi.org/10.4236/jwarp.2016.88062,NA,NA,NA,NA,NA
François,Destandau,first,NA,https://doi.org/10.1016/j.wre.2020.100156,NA,NA,NA,NA,NA
Youssef,Zaiter,additional,NA,https://doi.org/10.1016/j.wre.2020.100156,NA,NA,NA,NA,NA
Giulio,Di Lallo,first,"DiBT Department of Bioscience and Territory, University of Molise, Contrada Fonte Lappone snc, I-86090 Pesche, Isernia, Italy",10.3390/f8080271,https://orcid.org/0000-0002-1908-5177,FALSE,NA,NA,NA
Giulio,Di Lallo,first,"Institute for World Forestry, University of Hamburg, Leuschnerstr. 91, 21031 Hamburg, Germany",10.3390/f8080271,https://orcid.org/0000-0002-1908-5177,FALSE,NA,NA,NA
Giulio,Di Lallo,first,"The EFI Project Centre SURF—Supporting the Global Implementation of REDD+ and FLEGT, Institute for World Forestry, University of Hamburg, Leuschnerstr. 91, 21031 Hamburg, Germany",10.3390/f8080271,https://orcid.org/0000-0002-1908-5177,FALSE,NA,NA,NA
Philip,Mundhenk,additional,"Institute for World Forestry, University of Hamburg, Leuschnerstr. 91, 21031 Hamburg, Germany",10.3390/f8080271,NA,NA,NA,NA,NA
Marco,Marchetti,additional,"DiBT Department of Bioscience and Territory, University of Molise, Contrada Fonte Lappone snc, I-86090 Pesche, Isernia, Italy",10.3390/f8080271,https://orcid.org/0000-0002-5275-5769,FALSE,NA,NA,NA
Michael,Köhl,additional,"Institute for World Forestry, University of Hamburg, Leuschnerstr. 91, 21031 Hamburg, Germany",10.3390/f8080271,NA,NA,NA,NA,NA
Michael,Köhl,additional,"The EFI Project Centre SURF—Supporting the Global Implementation of REDD+ and FLEGT, Institute for World Forestry, University of Hamburg, Leuschnerstr. 91, 21031 Hamburg, Germany",10.3390/f8080271,NA,NA,NA,NA,NA
Iason,Diafas,first,Baarsjesweg 271/3 Amsterdam Netherlands,https://doi.org/10.2136/vzj2012.0198,NA,NA,NA,NA,NA
Panos,Panagos,additional,"European Commission, Joint Research Centre Institute for Environment and Sustainability Via E. Fermi 2749 I‐21027 Ispra (VA) Italy",https://doi.org/10.2136/vzj2012.0198,NA,NA,NA,NA,NA
Luca,Montanarella,additional,"European Commission, Joint Research Centre Institute for Environment and Sustainability Via E. Fermi 2749 I‐21027 Ispra (VA) Italy",https://doi.org/10.2136/vzj2012.0198,NA,NA,NA,NA,NA
Shinta Rahma,Diana,first,NA,10.1108/agjsr-02-2023-0056,http://orcid.org/0000-0002-5205-521X,FALSE,NA,NA,NA
Farida,Farida,additional,NA,10.1108/agjsr-02-2023-0056,http://orcid.org/0000-0001-5891-1323,FALSE,NA,NA,NA
Shinta Rahma,Diana,first,NA,https://doi.org/10.20525/ijrbs.v9i7.941,NA,NA,NA,NA,NA
Ida Musdafia,Ibrahim,additional,NA,https://doi.org/10.20525/ijrbs.v9i7.941,http://orcid.org/0000-0001-9444-788X,FALSE,NA,NA,NA
Esther,Diez,first,NA,10.1016/j.envsoft.2010.04.003,NA,NA,NA,NA,NA
Brian S.,McIntosh,additional,NA,10.1016/j.envsoft.2010.04.003,NA,NA,NA,NA,NA
Hala M.I.,Ebaid,first,NA,10.1016/j.jare.2010.09.002,NA,NA,NA,NA,NA
Sherine S.,Ismail,additional,NA,10.1016/j.jare.2010.09.002,NA,NA,NA,NA,NA
Salla,Eilola,first,NA,10.1016/j.landusepol.2021.105649,NA,NA,NA,NA,NA
Niina,Käyhkö,additional,NA,10.1016/j.landusepol.2021.105649,https://orcid.org/0000-0003-2482-5085,FALSE,NA,NA,NA
Nora,Fagerholm,additional,NA,10.1016/j.landusepol.2021.105649,https://orcid.org/0000-0001-5020-0746,FALSE,NA,NA,NA
Young Sook,Eom,first,NA,10.1016/j.spacepol.2013.06.003,NA,NA,NA,NA,NA
Jong Ho,Hong,additional,NA,10.1016/j.spacepol.2013.06.003,NA,NA,NA,NA,NA
Jonathan R. B.,Fisher,first,"The Nature Conservancy 4245 N Fairfax Dr, STE 100 Arlington Virginia 22203 USA",10.1002/rse2.61,https://orcid.org/0000-0001-5094-9730,FALSE,NA,NA,NA
Eileen A.,Acosta,additional,"The Nature Conservancy 4245 N Fairfax Dr, STE 100 Arlington Virginia 22203 USA",10.1002/rse2.61,NA,NA,NA,NA,NA
P. James,Dennedy‐Frank,additional,"Department of Earth System Science Stanford University 473 Via Ortega, Room 140 Stanford California 94305 USA",10.1002/rse2.61,NA,NA,NA,NA,NA
Timm,Kroeger,additional,"The Nature Conservancy 4245 N Fairfax Dr, STE 100 Arlington Virginia 22203 USA",10.1002/rse2.61,NA,NA,NA,NA,NA
Timothy M.,Boucher,additional,"The Nature Conservancy 4245 N Fairfax Dr, STE 100 Arlington Virginia 22203 USA",10.1002/rse2.61,NA,NA,NA,NA,NA
P. D.,Fisher,first,NA,10.1071/cp08347,NA,NA,NA,NA,NA
M.,Abuzar,additional,NA,10.1071/cp08347,NA,NA,NA,NA,NA
M. A.,Rab,additional,NA,10.1071/cp08347,NA,NA,NA,NA,NA
F.,Best,additional,NA,10.1071/cp08347,NA,NA,NA,NA,NA
S.,Chandra,additional,NA,10.1071/cp08347,NA,NA,NA,NA,NA
J. K.,Fletcher,first,"University of Leeds, and National Centre for Atmospheric Science, Leeds, United Kingdom;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
