title,abstract,year,author,doi,tags,screening_status,excl_reasons
Enhancing Land Cover Mapping And Monitoring: An Interactive And Explainable Machine Learning Approach Using Google Earth Engine,"Artificial intelligence (AI) and machine learning (ML) have been applied to solve various remote sensing problems. To fully leverage the power of AI and ML to tackle impactful remote sensing problems, it is essential to enable researchers and practitioners to understand how AI and ML models actually work and thus to improve the model performance strategically. Accurate and timely land cover maps are essential components for informed land management decision making. To address the ever-increasing need for high spatial and temporal resolution maps, this paper developed an interactive and open-source online tool, in Python, to help interpret and improve the ML models used for land cover mapping with Google Earth Engine (GEE). The tool integrates the workflow of both land cover classification and land cover change dynamics, which requires the generation of a time series of land cover maps. Three feature importance metrics are reported, including impurity-based, permutation-based, and SHAP (Shapley additive explanations) value-based feature importance. Two case studies are presented to showcase the tool's capability and ease of use, enabling a globally accessible and free convergent application of remote sensing technologies. This tool may inspire researchers to facilitate explainable AI (XAI)-empowered remote sensing applications with GEE.",NA,NA,10.3390/rs15184585,{maybe},included,NA
"The Gavkhouni Wetland Dryness And Its Impact On Air Temperature Variability In The Eastern Part Of The Zayandeh-Rud River Basin, Iran","The Gavkhouni wetland provides many environmental and economic benefits for the central region of Iran. In recent decades, it has completely dried up several times with substantial impacts on local ecosystems and climate. Remote sensing-based Land Surface Temperature (LST), Normalized Difference Water Index (NDWI) and Normalized Difference Vegetation Index (NDVI) in combination with in-situ data were used to investigate the trend of the Gavkhouni wetland dryness and the associated impact on the variability of local air temperature. The results indicate that the wetland has increasingly experienced drier conditions since the year 2000. The wetland was almost completely dry in 2009, 2011, 2015 and 2017. In addition, the results show that Gavkhouni wetland dryness has a significant impact on local climate, increasing the mean seasonal air temperature by ~1.6◦ C and ~1◦ C in spring and summer, respectively. Overall, this study shows that remote sensing imagery is a valuable source for monitoring dryness and air temperature variations in the region. Moreover, the results provide a basis for effective water allocation decisions to maintain the hydrological and ecological functionality of the Gavkhouni wetland. Considering that many factors such as latitude, cloud cover, and the direction of prevailing winds affect land surface and air temperatures, it is suggested to use a numerical climate model to improve a regional understanding of the effects of wetland dryness on the surrounding climate. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",2022,"{""Azadi, S."",""Dorigo, W."",""Nasr-Esfahani, M. A."",""Pourmanafi, S."",""Yazdanpanah, H.""}",10.3390/w14020172,{maybe},included,NA
A Data-Driven Approach To Hurricane Debris Modeling,"The large amount of debris generated in the aftermath of hurricane and storm events can cause severe financial and logistical burdens to coastal communities. Existing debris estimation models mainly focus on wind-induced debris and produce estimates with errors of nearly 50\%, highlighting the importance of developing more comprehensive models that can account for other types of debris while improving accuracy. Therefore, the objective of this study is to develop a probabilistic framework to estimate the presence and amount of waterborne debris following a severe storm using machine learning (ML) techniques as a function of relevant storm and landcover parameters. Machine learning techniques are leveraged to generate debris presence and volume models, employing pre- and post-event aerial and satellite imagery and a debris removal database for Hurricane Ike, respectively. The results show that the ensemble learning algorithms perform the best for both tasks, with a misclassification error of 5.56\% for the debris presence predictive model, and a normalized root mean squared error (RMSE) value of 11.98 for the debris volume model, the lowest RMSE of the tested algorithms. Dual-layer ML models are also investigated, incorporating the debris presence as a predictor in the debris volume model. The results show a percent error of 11.29\% for the dual-layer model and an approximately 5.4\% increase in performance with respect to the model that does not incorporate debris presence. The generated debris volume and presence models will provide useful tools to inform decision-making, evaluate mitigation strategies, facilitate recovery efforts, and improve resource allocation following a storm event.",NA,NA,10.1061/jwped5.wweng-1945,"{""probably not""}",included,NA
Challenges And Opportunities For Cost-Effective Use Of Unmanned Aerial System In Agriculture,"The cost of using unmanned aerial systems (UASs) and the expected economic benefits is the most crucial aspect manifesting their widescale adoption in agriculture. This chapter analyzes the main cost components of utilizing a UAS facility in agriculture addressing its direct variable and fixed costs associated with ownership, labor energy, etc., as also indirect costs related to transportation, data handling and analyzing, and other. It continues by discussing the limitations and challenges for achieving efficient and cost-effective field UAS operations, also making comparisons to the available alternatives like satellite observations and traditional machinery material applications. The chapter ends by analyzing the current state and future perspectives of UASs and how they are expected to alter the agricultural sector in the near future. © 2023 Elsevier Inc. All rights reserved.",NA,NA,10.1016/b978-0-323-91940-1.00009-8,{},included,NA
A New Method For Long-Term River Discharge Estimation Of Small- And Medium-Scale Rivers By Using Multisource Remote Sensing And Rshs: Application And Validation,"River discharge is an important hydrological parameter of river water resources. Especially in small- and medium-scale rivers, data deficiency is the biggest problem for studies of river discharge. In recent years, remote sensing has become a rapid and convenient method to estimate river discharge. However, remote sensing images still have some difficulty generating continuous long-term river discharge. To address this problem, we developed a new method coupling the remote sensing hydrology station method (RSHS) with statistical regression downscaling, using data from optical satellites (Landsat-8, Sentinel-2), radar satellites (Sentinel-1), and un-manned aerial vehicles (UAVs). We applied this method to monitor monthly river discharge for small- and medium-scale rivers from 2016 to 2020 on Yunnan-Guizhou Plateau and evaluated the accuracy of the results. The results show that (1) by applying the newly constructed method, the water body continuity index obtained by Landsat-8 increased by 7\% and the average river length percentage in the channel reached 90.7\%, a 40\% increase; (2) there were only 10 river flow data points, on average, in the 5-year period obtained before this method was applied; after this method was applied, more than 50 river flow data points could be obtained, on average, extending the quantity of data fivefold; in addition, improper extreme values could also be avoided; (3) with better continuity of water body distribution, the images provided steadier river widths. The relative error of daily flow estimation from Landsat-8 images was reduced by 60\% and the mean percentage error was reduced by one-fourth. The relative error of the multisource remote sensing composited flow was reduced by 37\% with a reduction in the mean percentage error of over a half; (4) in addition, we found that when the threshold difference between water bodies and land in remote sensing images is more than 0.2, the impact of water body recognition error on flow accuracy can be ignored. This method helps to overcome the absence of remote sensing methods for the long-term estimation of flow series in small- and medium-scale rivers, improves the accuracy of remote sensing methods for calculating flow, and provides ideas for regional water resource management and utilization.",NA,NA,10.3390/rs14081798,"{""probably not"",maybe}",included,NA
"Evaluating Remote Sensing Approaches For Mapping The Bathymetry Of Lake Manzala, Egypt","Lake Manzala is considered the largest lagoon in Egypt. The lake has significant economic and environmental impacts that should be managed based on management models. The bathymetry of this lake, which is time consuming and laborious to obtain in the field, is one of the key input files for developing hydrological models of the lake. Remote sensing technology is used to determine satellite bathymetric maps with reasonable accuracy. The objective of the present work was to utilize Landsat 8 satellite imagery to determine the bathymetry of Lake Manzala. Generalized linear model (GLM), artificial neural network (ANN), decision tree, bagging (BAG, an ensemble regression algorithm), least-squares boosting fitting ensemble (LSB), and support vector machine (SVM) approaches were used in this study to process the images and manage the database of each image. The Landsat images were corrected for atmospheric conditions and the sunglint effect. Then values from the logarithms of corrected reflectance bands (coastal, blue, green, and red) and their ratio logarithms at locations corresponding to GPS surveys were extracted. Two assessing metrics, root mean square error (RMSE) and correlation (R), were used to calibrate the derived logarithm values for the model using observed data for the lake. The results show that the BAG and decision tree approaches perform well for Lake Manzala. Such methodologies should be applied for bathymetry determination, especially for shallow lakes, to save monitoring effort and costs. This approach facilitates the development of management models for lakes.",NA,NA,10.1007/s41207-021-00285-0,{maybe},included,NA
Design Of Terrace Drainage Networks Using Uav-Based High-Resolution Topographic Data,"Hillslope viticulture has a long history in Mediterranean Europe, and still holds important cultural and economic value. Steep hillsides have widely been levelled by terraces, in order to control surface water flow and facilitate cultivation. However, under unsustainable management and growing rainfall aggressiveness, terraced vineyards have become one of the most erosion-prone agricultural landscapes. The Valcamonica valley in Lombardy (Italy) presents a typical example of an ancient wine production region where rural land abandonment has previously caused widespread degradation of the traditional terracing systems. Recently, a local revival of wine production led to restoration plans of the terraces and their drainage functioning, to safeguard productivity and hydrogeologic safety. In this study, an Unmanned Aerial Vehicle (UAV) survey was carried out to reconstruct an accurate and precise 3D terrain model of a Valcamonica vineyard through photogrammetry. The resulting high-resolution topographic data allowed insights of surface flow-induced soil erosion patterns based on the Relative Path Impact Index (RPII). Three diverse drainage networks were designed and digitally implemented, allowing scenario analysis of the costs and benefits in terms of potential erosion mitigation. The presented methodology could likely improve the time-efficiency and cost-effectiveness of similar restoration plans in degraded landscapes.",2019,"{""Pijl, Anton"",""Roder, Giulia"",""Sofia, Giulia"",""Tarolli, Paolo"",""Tosoni, Michele""}",10.3390/w11040814,{},included,NA
"Monitoring, Evaluation, Accountability, And Learning (Meal) In Anticipatory Action-Earth Observation As A Game Changer","For many decades, humanitarian assistance relied on emergency response, triggering both funding and operational activities only after disaster impacts had been recorded. In recent years, many humanitarian actors have joined forces to complement traditional, reactive mechanisms with a forward-looking approach that can be activated before a disaster strikes. Anticipatory action (AA) uses forecasts of extreme weather events and combines them with risk information to identify and implement locally-led early actions with the goal of protecting lives and livelihoods more efficiently. AA is still a relatively new approach. Hence, monitoring, evaluation, accountability and learning (MEAL) is crucial to measure its effectiveness and adjust where necessary, as well as for (government) donors that want to see the added value of their investment maximized. However, evidence-based studies that investigate potential limitations and the exact impact pathway of AA at household level are time-consuming, costly, and therefore scarce. Satellite earth observation can become a game changer in AA by strengthening the evidence base via rapid, low-cost assessments. Both commercial and freely available satellite-derived data have reached an unprecedented level of quality, spatial, and temporal resolution. Simultaneously, there are major uncertainties regarding where, when, how, and under what conditions satellite data can support MEAL for AA at all. We argue that satellite data for an advanced MEAL framework should be considered already in the design phase of AA projects and that the translation of satellite data into actionable information will require a cross-cutting community of practice.",NA,NA,10.3389/fclim.2022.923852,{},included,NA
Mapping A Specific Class For Priority Habitats Monitoring From Satellite Sensor Data,"The European Union's Habitats Directive aims to protect biodiversity through the conservation of habitats. If a habitat of interest corresponds to spectrally separable land cover class(es), then this activity can benefit from the production of accurate land cover maps from remotely sensed imagery. Traditionally, the image classification techniques used assume that the set of classes has been defined exhaustively, which requires all of the classes in the region to be included explicitly in the analysis. Often, however, interest focuses on just one or a small sub-set of the classes occurring in the region that represent the habitat(s) of particular interest. Moreover, given that the size of a training set required for an image classification is typically taken to be a function of the number of classes and discriminating variables (e. g. wavebands) used in the classification, the satisfaction of the assumption of an exhaustively defined set of classes requires that much effort is directed wastefully on classes of little, if any, direct interest. Savings in training could be achieved by focusing on the class(es) of specific interest. A more appropriate approach for mapping a specific class may be to adopt a binary classification analysis that simply seeks to separate the class of interest from all others. In this way the analysis focuses on the class(es) of interest and a small training set may be used. An attractive means to achieve this is through the adoption of decision tree- and support vector machine-based approaches to classification. This paper evaluates the accuracy with which a habitat of interest to the EU Habitats Directive, fen, can be mapped from Landsat ETM+ imagery of the Norfolk Broads using such classifiers as well as, for comparative purposes, a standard maximum likelihood decision rule implemented by a discriminant analysis. All analyses yielded accurate classifications, with a conventional approach based on a maximum likelihood allocation providing an overall classification accuracy of 88.4\%. However, both the decision tree- and support vector machine-based approaches provided classifications that were significantly more accurate than conventional maximum likelihood classification (p < 0.05), with overall accuracies of 91.6 and 93.6\%, respectively (table 3). The results highlight the ability to focus the analysis on the class of interest in a manner that is less wasteful of resources and effort and that yields a more accurate classification than the standard approach.",2006,"{""Boyd, Doreen S."",""Foody, Giles M."",""Sanchez-Hernandez, Carolina""}",10.1080/01431160600554348,{maybe},included,NA
Satellite-Based Crop Production Monitoring In Ukraine And Regional Food Security,"Every year weather vagaries have caused shortfalls of agricultural production regionally and every 3-4 years these shortfalls occurred globally. Therefore, early assessment of crop losses in response to weather fluctuations is an important task for the estimation of global, regional and countries food supply/demand, donor's decision to assists the nations in need and to those receiving the assistance. The new satellite-based technology has been recently developed to provide timely and accurate crops' monitoring and assessments. This technology includes the theory, algorithm, data base and operational implementation of vegetation health (VH) assessments from observations provided by the Advanced Very High Resolution Radiometer (AVHRR) flown on NOAA operational polar-orbiting satellites. Several AVHRR-based VH indices were developed and used to provide weekly cumulative estimation of moisture, thermal and health conditions of vegetation canopy throughout the growing season. The indices were calculated for the entire 1981-2010 period of the AVHRR sensor in space and were compared with regional crop yields in the two dozens of countries. Strong correlation between wheat (both winter and spring), corn, soybeans and sorghum yield and VH indices was found during the critical period of the tested crops. The test results showed that VH indices can be used as proxy for early (2-5 months in advance of harvest) assessment of crop yield with the errors of estimation less than 10%. This paper discusses utility of space observations for early forecasting regional crop yield in Ukraine, with specific emphasis on 2-5 months warning of weather-related losses in agricultural production and their impact on agricultural supply/demand and food security. © Springer Science+Business Media B.V. 2011.",2011,"{""Adamenko, T."",""Kogan, F."",""Kulbida, M.""}",10.1007/978-90-481-9618-0_11,{},included,NA
