title,author,year,n_tokens,summary,error,pass,screening_decision,reason_for_exclusion,Quick notes,economic_method,societal_benefit,value_units,eo_data,applied_science_theme,Notes
Three Most Widely Used Gnss-Based Shoreline Monitoring Methods to Support Integrated Coastal Zone Management Policies,"Goncalves, R. M. and Awange, J. L.",2017,12269,"The paper by Goncalves and Awange focuses on the evaluation of three widely used Global Navigation Satellite System (GNSS)-based methods for shoreline monitoring: Relative Kinematic (RK), Real-Time Kinematic (RTK), and Precise Point Positioning (PPP). The study is set in the context of Integrated Coastal Zone Management (ICZM) policies, particularly within the coastal zone of Pernambuco State, Brazil. Here’s a summary of the methods employed in the paper to estimate and quantify the societal benefits of satellite or Earth Observation data:    ### Methods Overview    1. **GNSS Methods for Shoreline Monitoring**:     - **Relative Kinematic (RK)**: Involves using a fixed reference station to determine the positions of a moving roving receiver. This method requires post-processing of data collected by both receivers to eliminate common errors (e.g., satellite clock errors, atmospheric delays). The accuracy is generally in the centimeter range, but it is affected by the distance from the reference station.         - **Real-Time Kinematic (RTK)**: Similar to RK but provides real-time position data. It requires a fixed base station and a rover; the base station transmits corrections to the rover via a communication link. While RTK offers high accuracy (centimeter-level) and real-time feedback, it is limited by the range of the radio signal between the base and the rover and can experience signal loss in obstructed areas.       - **Precise Point Positioning (PPP)**: This method differs as it only requires a single GNSS receiver, which can be advantageous in terms of cost and labor. PPP achieves high accuracy by using precise satellite orbit and clock data, allowing for post-processing to address common GNSS errors. However, it has longer convergence times to achieve centimeter-level accuracy.    2. **Data Collection and Analysis**:     - The study conducted field surveys along a 2.4 km stretch of shoreline, employing each GNSS technique to collect positional data at high tide, which serves as a reference for shoreline position.     - Data were processed using different GNSS software tailored to each method, and various statistical analyses were performed to evaluate the accuracy and precision of shoreline positions obtained from each method.    3. **Evaluation Criteria**:     - The methods were evaluated based on several criteria: mean deviations from reference shorelines, standard deviation, root mean square error (RMSE), minimum and maximum displacements, and Pearson correlation to assess the similarity between the trajectories obtained from different methods.    4. **Societal Benefits Assessment**:     - The findings provided insights into the reliability and economic viability of each GNSS method for mapping shoreline changes, which is crucial for informing coastal management policies and planning efforts.     - The study emphasizes the importance of accurate shoreline data for decision-making in coastal development, resource management, and response strategies for climate change impacts and coastal erosion.    ### Summary of Findings  - The results indicated that all three methods could be suitable for different scenarios in coastal monitoring, with PPP emerging as a cost-effective option due to its minimal equipment requirements.  - The study concluded that GNSS-based methods are instrumental in providing timely and precise shoreline data, which supports ICZM policies aimed at sustainable coastal development and environmental protection.    In summary, the paper combines empirical fieldwork with rigorous data analysis to evaluate GNSS methods for shoreline monitoring, highlighting their societal benefits in the context of integrated coastal management.",NA,1,Exclude,No ESI data,"While they use GNSS data, it is not remote observation - it is manual surveying using GPS coordinates.  Additionally, it is more comparing methods of surveying rather than calculating the value of the ESI data (such as it is).",,,,,,model
Portability of Semantic and Spatial-Temporal Machine Learning Methods to Analyse Social Media for near-Real-Time Disaster Monitoring,"Havas, Clemens and Resch, Bernd",2021,13068,"The paper discusses a methodology for estimating societal benefits from satellite or Earth observation data by utilizing social media data to enhance disaster management efforts. Below is a summary of the key methods employed in the study:    1. **Data Collection**: The authors developed a tool called ""geocrawler"" to collect georeferenced social media posts (primarily from Twitter) in a timely manner during natural disasters. The geocrawler uses both the REST and streaming APIs from Twitter to ensure comprehensive data collection, which allows for near-real-time analysis.    2. **Data Preprocessing**: Social media data is often noisy and contains irrelevant posts. The authors implemented preprocessing steps to clean the data by transforming text to lowercase, removing URLs, numbers, short words, and stop words, and stemming words to combine different forms of the same word.    3. **Semantic Topic Extraction**: The methodology employs a semi-supervised topic modeling approach using Guided Latent Dirichlet Allocation (guided LDA) to identify disaster-related topics within the tweets. Seed words associated with disasters guide the model to ensure that the topics extracted are relevant to the events being analyzed.    4. **Hot Spot Analysis**: After filtering the tweets for disaster relevance, the authors conduct a hot spot analysis using the Getis-Ord Gi* statistic to identify areas with high concentrations of disaster-related social media posts (hot spots) and areas with low concentrations (cold spots). This analysis takes into account the spatial distribution of tweets to provide a clearer picture of the impacted areas.    5. **Validation**: The results of the hot spot analysis are validated by comparing them against official datasets from authorities such as the United States Geological Survey (USGS) and the Copernicus Emergency Management Service (EMS). This comparison helps to ascertain the accuracy and reliability of the information derived from social media.    6. **Use Cases**: The methodology was tested on various natural disasters, including earthquakes and hurricanes, under both historical (cold cases) and ongoing (warm cases) scenarios. By creating hot spot maps in near real-time, the authors demonstrated the methodology's effectiveness in identifying impacted areas more swiftly than traditional satellite-based monitoring systems.    In summary, the paper illustrates a robust approach that combines machine learning techniques with social media data to enhance disaster monitoring and management. The integration of near-real-time information from social media not only complements satellite data but also provides critical insights into the societal impacts of natural disasters.",NA,1,Exclude,Does not value data,"Very interesting, looking at tweet analysis as a way to understand natural disasters in near real time, compared to ""official"" products like USGS info.  However, the emphasis is more on validating an approach, rather than showing the added value that such an approach would have (not to mention, tweets aren't ESI per se).",,,,,,validation/calibration; social media
From Forest Dynamics to Wetland Siltation in Mountainous Landscapes: A Rs-Based Framework for Enhancing Erosion Control,"Hernandez-Romero}, Gonzalo and {Alvarez-Martinez}, Jose Manuel and {Perez-Silos}, Ignacio and {Silio-Calzada}, Ana and Vieites, David R. and Barquin, Jose",2022,20459,"The paper ""From Forest Dynamics to Wetland Siltation in Mountainous Landscapes: A Remote Sensing-Based Framework for Enhancing Erosion Control"" by Hernández-Romero et al. employs a series of remote sensing methods and modeling approaches to estimate and quantify the societal benefits of Earth Observation (EO) data, particularly in the context of forest conservation and wetland protection against siltation in mountainous regions.    ### Methodological Summary:    1. **Remote Sensing Data Acquisition**:     - The authors utilized a time series of Landsat (5 TM, 7 ETM+, 8 OLI) and Sentinel (2A/2B MSI) imagery to map land use and land cover (LULC) dynamics, forest distribution, and wetland areas in the Picos de Europa National Park, Cantabrian Mountains, Spain.      - Imagery was selected based on criteria such as low cloud cover and high sun elevation angles, ensuring high-quality data for analysis.    2. **LULC Classification**:     - A supervised classification approach using a Support Vector Machine (SVM) algorithm was applied to classify LULC into various categories (broadleaf forest, coniferous forest, shrubland, etc.) for three time periods (1989, 2019, and projected 2049).     - Ground reference data were collected through field campaigns and photo-interpretation, resulting in 1,821 field-checked locations for LULC and 282 reference points for wetland distribution.    3. **Wetland Mapping**:     - Wetland distribution was modeled using spectral indices tailored for water detection (NDMI, AWEI) and topographic data (Topographic Wetness Index) to identify areas with high moisture accumulation potential.     - A multi-criteria analysis was performed to integrate wetland distribution with sediment transport and erosion potential.    4. **Erosion Potential Assessment**:     - The NetMap software was used to identify potential sediment production, transport, and deposition areas, allowing for the assessment of erosion risks and sedimentation impacts on aquatic ecosystems.     - A Generic Erosion Potential (GEP) index was developed to measure erosion risk based on topographic characteristics and flow accumulation.    5. **Scenario Modeling**:     - A scenario generator model (InVEST) was employed to project future LULC changes, estimating an increase in forest cover and its implications for erosion control and wetland protection up to the year 2049.     - The model aimed to define areas for implementing nature-based solutions (NbS) such as forest conservation and restoration to mitigate sedimentation in wetlands.    6. **Multi-Criteria Analysis**:     - The authors conducted a multi-criteria analysis to prioritize forest management strategies aimed at reducing soil erosion and enhancing sediment filtering in wetlands. This included defining areas for conservation and spontaneous vegetation regeneration.    7. **Validation and Accuracy Assessment**:     - The classification accuracy was assessed with overall accuracy scores of 86% for LULC classification and 61% for wetland mapping, showing the robustness of the remote sensing approach and its applicability in real-world scenarios.    ### Societal Benefits Estimation:  The methodology outlined in this paper highlights the potential societal benefits of EO data through the following:  - **Ecosystem Service Enhancement**: By identifying and promoting forest areas that can help mitigate soil erosion and improve water quality, the study underscores the role of ecosystems in providing essential services to society.  - **Informed Land Management**: The use of remote sensing tools allows for effective decision-making and prioritization of conservation efforts, ultimately optimizing investments in ecosystem management and restoration.  - **Adaptation to Climate Change**: The framework supports adaptive management strategies that can enhance resilience to climate impacts such as increased sedimentation and flooding, benefiting both ecological health and human communities.    In conclusion, the paper provides a comprehensive remote sensing-based approach that links forest dynamics to wetland conservation, demonstrating the utility of EO data in managing and enhancing ecosystem services in mountainous landscapes.",NA,1,Exclude,Does not value data,"Satellite-based RO data to classify LULC, which enables identification of LULC dynamics and prioritization of nature-based solutions for conservation and resource management.  But they don�t compare the value achieved based on the RS method!",,,,,,calibration/validation
The Emerging Role of Satellite Rainfall Data in Improving the Hydro-Political Situation of Flood Monitoring in the under-Developed Regions of the World,"Hossain, Faisal and Katiyar, Nitin and Hong, Yang and Wolf, Aaron",2007,7428,"The paper titled ""The Emerging Role of Satellite Rainfall Data in Improving the Hydro-Political Situation of Flood Monitoring in the Under-Developed Regions of the World"" by Hossain et al. discusses the challenges and potential of using satellite rainfall data for flood monitoring in international river basins (IRBs), particularly in developing nations. Here’s a summary of the methods used to estimate and quantify the societal benefits of satellite or Earth Observation data in the context of flood monitoring:    1. **Review of Current Hydrologic Challenges**: The authors begin by identifying the decline of in situ hydrologic measurement networks as a significant barrier to effective flood monitoring in medium to large river basins, particularly in ungauged or sparsely instrumented areas. They highlight the necessity for a cost-effective alternative, leading them to explore satellite-based measurements.    2. **Partnerships and Technological Advancements**: The paper emphasizes the importance of partnerships within the hydrologic community to leverage advancements in satellite technology, citing specific missions like the Global Precipitation Measurement (GPM) and others aimed at improving global hydrologic data collection.    3. **Parsimonious Hydrologic Modeling Approach**: The authors advocate for a parsimonious hydrologic modeling scheme to assess satellite rainfall data utility. They argue that traditional, complex hydrologic models are impractical for global assessments due to their data-intensiveness and complexity. Instead, they propose an ""open-book watershed"" concept that serves as a simplified model to capture essential hydrological processes without overwhelming detail.    4. **Modeling Framework**: The proposed model consists of two main components:     - **Hydrologic Component**: This component employs a quasi-three-dimensional physics-based model that simulates rainfall-runoff processes in a simplified watershed structure. It accounts for factors such as soil moisture storage, infiltration, and surface runoff, allowing for a dynamic response to precipitation events.     - **Hydro-Political Component**: This aspect models the territorial representation of countries within an IRB, assessing the interactions between upstream and downstream nations regarding water flow and flooding potential.    5. **Assessment of Utility**: The authors conducted a modeling exercise to evaluate the effectiveness of NASA-derived satellite rainfall data in predicting downstream river flow. They used a hypothetical scenario to simulate stream-flow hydrographs from distributed radar rainfall data and assessed the improvement in flow monitoring accuracy as a function of the area occupied by downstream nations in the IRB.    6. **Sensitivity Analysis**: A sensitivity analysis was performed to evaluate how variations in geophysical parameters affect rainfall-runoff transformation, helping to quantify the potential societal benefits of improved flood forecasting through the use of satellite data.    7. **Societal Implications**: The paper discusses the implications of improved flood monitoring for decision-making in downstream nations, highlighting how enhanced data sharing and forecasting capabilities can lead to better agricultural planning, emergency preparedness, and overall societal resilience in flood-prone regions.    Through these methods, the authors illustrate the critical role that satellite rainfall data can play in enhancing flood monitoring capabilities, particularly in regions where traditional measurement networks are insufficient. They advocate for collaboration between operational agencies and the research community to maximize the societal benefits derived from these advanced technologies.",NA,1,Exclude,Does not value data,"Focuses on a model for watersheds, the ""open book"" watershed idealization, rather than the EO data that might go into the model",,,,,,model
Extending the Utility of Modis Daily Snow-Cover Products through Snow-Cover Prediction of Cloud-Obscured Areas in Idaho's Big Lost River Basin (Usa),"Hruska, Ryan C. and Lee, Randy",2008,4123,"The paper by Hruska and Lee (2008) presents a method for improving the utility of MODIS (Moderate Resolution Imaging Spectroradiometer) daily snow-cover products in the Big Lost River Basin of Idaho, particularly during the snowmelt season when cloud cover often obscures satellite imagery. The authors focus on enhancing the accuracy of snow-cover mapping, which is vital for water resource management, stream flow forecasting, and agricultural planning in the western United States.    ### Methods Summary    1. **Study Area and Data Sources**:     - The study area is the Big Lost River Basin, covering 15,225 km² with significant elevation variations and seasonal snow precipitation.     - The authors utilized two MODIS daily snow-cover products: MOD10A1 (from the Terra satellite) and MYD10A1 (from the Aqua satellite).    2. **Snow-Cover Mapping**:     - The paper highlights the limitations of existing snow-cover datasets due to cloud contamination and presents a new procedure to predict snow cover in these cloud-obscured areas.     - The method involves the combination of the two MODIS products to leverage different viewing angles and minimize cloud cover, maximizing the visible snow cover detected.    3. **Snow Occurrence Map Technique**:     - A snow occurrence map was created by aggregating snow mapping data over the entire study period. This map classifies areas based on historical snow cover patterns, assuming that snow recession occurs predictably from year to year.     - The map was divided into 25 discrete zones to improve prediction accuracy for cloud-obscured areas.    4. **Prediction Algorithm**:     - The authors developed an algorithm that predicts snow cover for cloud-obscured areas using the snow occurrence map. If cloud cover exists within a zone, the percentage of visible snow cover is calculated, and if it exceeds a certain threshold (50%), the obscured pixels are classified as snow.     - If an entire zone is cloud-covered, the algorithm checks adjacent zones with lower snow occurrence to determine if snow cover can be inferred.    5. **Validation Process**:     - To validate the effectiveness of their prediction method, the authors compared cloud-free MOD10A1 tiles with those affected by cloud cover.     - A total of 18,225 unique combinations of cloud-free and cloud-covered tiles were analyzed to assess the accuracy of predictions under various cloud cover conditions.    6. **Results**:     - The results indicated that incorporating previous day's snow cover data significantly improved prediction accuracy.     - The prediction method demonstrated a mean proportion of correctly predicted snow cover that varied based on the level of cloud cover, with higher accuracy observed when previous snow cover data was included.    ### Conclusion  The method developed in this paper effectively extends the utility of MODIS snow-cover products by providing daily, cloud-free snow cover maps, which can enhance stream flow forecasting models and better inform water resource management decisions. The innovative combination of spatially distributed snow occurrence data with satellite imagery offers a robust approach to addressing the challenges posed by cloud cover in snow mapping.",NA,1,Exclude,Does not value data,"Improves utility of MODIS data for estimating snow cover, using a logic algorithm.  Does not connect to societal value except in passing.",,,,,,calibration
Assessing the Role of Climate and Resource Management on Groundwater Dependent Ecosystem Changes in Arid Environments with the Landsat Archive,"Huntington, Justin and McGwire, Kenneth and Morton, Charles and Snyder, Keirith and Peterson, Sarah and Erickson, Tyler and Niswonger, Richard and Carroll, Rosemary and Smith, Guy and Allen, Richard",2016,12332,"The paper investigates the societal benefits of satellite or Earth Observation data, specifically focusing on the use of the Landsat archive to assess groundwater-dependent ecosystems (GDEs) in arid environments. The methods employed in this study can be summarized as follows:    ### 1. **Data Sources**     - **Landsat Archive**: The study utilizes time series data from Landsat satellites, particularly Landsat 5, 7, and 8, to derive the Normalized Difference Vegetation Index (NDVI), a measure of vegetation vigor.     - **Meteorological Data**: Downscaled data from the North American Land Data Assimilation System (NLDAS) is used for atmospheric correction and correlation analysis.    ### 2. **Study Areas**     - The study involves six specific GDE sites in the Great Basin representing various environmental conditions, including phreatophyte shrublands, meadows, and riparian zones.    ### 3. **NDVI Calculation**     - NDVI time series are computed using atmospheric correction methods. Two algorithms are tested for atmospheric correction:       - **Landsat Surface Reflectance Climate Data Record**: Provided through the USGS Earth Resources Observation and Science (EROS) Center.       - **Tasumi et al. Method**: A method that utilizes meteorological datasets for more accurate atmospheric corrections.     - NDVI is derived from the corrected surface reflectance data across the Landsat archive.    ### 4. **Sensor Cross-Calibration**     - A cross-comparison of spectral reflectance between Landsat 7 ETM+ and Landsat 8 OLI is conducted to ensure consistency in NDVI calculations. This step is crucial due to changes in spectral bandwidths between different Landsat sensors.     - The study identifies and corrects for discrepancies in NDVI values caused by sensor differences.    ### 5. **Statistical Analysis**     - The research employs statistical methods to analyze trends in NDVI in relation to various climatic and hydrological variables, such as annual precipitation, evaporative demand, and groundwater levels.     - Statistical significance of trends is assessed using the Mann-Kendall trend test.    ### 6. **Cloud Computing**     - The analysis leverages Google’s Earth Engine, a cloud-based platform, to efficiently process large datasets, enabling rapid access to and analysis of the Landsat archive.    ### 7. **Ecological and Management Implications**     - The findings highlight the relationships between vegetation vigor (NDVI) and climatic factors, demonstrating how satellite data can inform land and water management decisions.     - The methodology supports the evaluation and monitoring of GDEs under varying climate scenarios and land management practices, contributing to ecosystem conservation efforts.    ### Conclusion  The study effectively demonstrates the utility of long-term satellite data for environmental monitoring and the quantification of societal benefits associated with ecosystem services provided by GDEs. The methodological framework established in this research aids in understanding the impacts of climate and resource management on these critical ecosystems.",NA,1,Exclude,Does not value data,"Compares results of NDVI calculations between Landsat 7 and Landsat 8, using different atmospheric correction algorithms.  More validation/calibration type",,,,Landsat,,calibration/validation
Applications and Research Using Remote Sensing for Rangeland Management,"Hunt Jr, E. R. and Everitt, J. H. and Ritchie, J. C. and Moran, M. S. and Booth, D. T. and Anderson, G. L. and Clark, P. E. and Seyfried, M. S.",2003,21563,"The paper discusses various methodologies for assessing and monitoring rangeland health using remote sensing and Earth Observation data. Here are the key methods summarized:    1. **Remote Sensing Techniques**: The authors employ several remote sensing methods, including Landsat imagery, aerial photography, and hyperspectral sensors, to assess rangeland conditions. These methods allow for large-scale and repeatable monitoring of vegetation health, species composition, and biomass.    2. **Indicators of Ecosystem Health**: Assessment of rangelands is transitioning from traditional methods based on plant succession to indicators emphasizing ecosystem health. These indicators include soil quality, plant productivity, and the presence of invasive species. Remote sensing provides an efficient means of monitoring these indicators over extensive areas.    3. **Data Integration**: Combining remote sensing data with Geographic Information Systems (GIS) and ancillary spatial data enhances the analysis. This integration supports the mapping of invasive species and the quantification of plant cover and biomass.    4. **Spectral Reflectance Analysis**: The paper highlights the use of spectral reflectance to differentiate between plant species and assess vegetation health. Specific techniques such as the Normalized Difference Vegetation Index (NDVI) and other vegetation indices are employed to estimate leaf area index (LAI) and biomass.    5. **Radiation Use Efficiency Models**: These models estimate gross primary production (GPP) based on the relationship between photosynthetically active radiation (PAR) and vegetation growth. By applying these models to remote sensing data (e.g., AVHRR and Landsat), researchers estimate rangeland productivity and inform stocking rates for grazing management.    6. **Lidar Technology**: Airborne Lidar is utilized for measuring vegetation canopy structure and surface roughness, which are crucial for understanding rangeland hydrology and erosion potential. Lidar data provides high-resolution measurements that complement traditional ground surveys.    7. **Hyperspectral Imaging**: This method is particularly useful for distinguishing fine details in vegetation composition and soil characteristics. The spectral unmixing techniques enable the separation of different land cover types, including invasive species.    8. **Cost-Effectiveness**: The methodologies discussed allow for cost-effective monitoring of extensive rangeland areas compared to traditional ground survey methods, which are time-consuming and expensive.    9. **Validation and Ground Truthing**: The paper emphasizes the importance of ground validation data to improve the accuracy of remote sensing assessments. Field experiments are often used to correlate remote sensing data with on-the-ground conditions.    10. **Operational Applications**: The authors discuss the potential for integrating these methodologies into operational systems for rangeland management, emphasizing that with ongoing advancements in technology and data processing, remote sensing can provide timely and accurate information for decision-making.    In conclusion, the paper illustrates the transformative potential of remote sensing in rangeland management, providing a suite of methodologies for assessing ecosystem health and enhancing sustainable land use practices.",NA,1,Exclude,Review,,,,,,,
The Value of Site-Specific Information and the Environment: Technology Adoption and Pesticide Use under Uncertainty,"Isik, M and Hudson, D and Coble, {\relax KH",2005,12035,"The paper by Isik, Hudson, and Coble explores the potential societal benefits of remote sensing technology and variable rate application technologies (RSVT) in agriculture, particularly in reducing pesticide use under conditions of uncertainty. The authors employ a theoretical framework and empirical analysis to examine the adoption decisions of farmers in the context of pest population dynamics and economic thresholds for pesticide applications. Below is a summary of the methods used in the study to estimate or quantify the societal benefits associated with satellite or Earth Observation data.    ### Theoretical Model  1. **Option-Value Framework**:      - The authors develop an option-value model to analyze the investment decision in RSVT. This model reflects the uncertainty surrounding output prices and crop yields, as well as the spatial and temporal randomness of pest populations within a field.     - The model combines the economic threshold of pesticide use with the adoption decision for RSVT, evaluating the potential for reduced pesticide applications based on site-specific pest data.    2. **Economic Threshold of Pesticide Use**:     - The economic threshold is refined to smaller subunits of a field using remotely sensed data, allowing for more precise pest management strategies. The model considers both the average pest population and its variability across the field.    3. **Stochastic Processes**:     - Pest population dynamics are modeled using geometric Brownian motion, accounting for the uncertainty in pest population growth and the randomness of market conditions.    4. **Investment Decision**:     - The decision to invest in RSVT is analyzed by comparing the expected quasi-rent differentials (the financial benefits of adopting RSVT) against the costs of investment, factoring in uncertainty and the irreversibility of investment choices.    ### Empirical Analysis  1. **Simulation Approach**:     - The authors perform simulations to examine the impacts of various distributions of pest populations and potential crop yields on the adoption of RSVT. They assess how these factors influence the expected returns from the investment in RSVT.    2. **Cost-Share Subsidies**:     - To evaluate the potential for increased adoption of RSVT, the study estimates the cost-share subsidies necessary to induce farmers to adopt these technologies. The analysis differentiates between the subsidies required under a net present value (NPV) rule versus those derived from the option-value approach.    3. **Sensitivity Analysis**:     - The study conducts sensitivity analyses to evaluate how changes in parameters (e.g., discount rates, pest population variability) affect investment decisions in RSVT.    ### Results and Implications  - The findings suggest that RSVT can significantly reduce pesticide use by enabling more accurate applications based on real-time pest data.   - The societal benefits of reduced pesticide use include improved environmental outcomes, such as decreased agricultural runoff and enhanced water quality.  - However, the study highlights that uncertainty and the sunk costs associated with adopting new technologies may delay farmers' decisions to invest in RSVT.  - The analysis emphasizes the role of policy interventions, such as cost-share subsidies, to promote the adoption of environmentally beneficial technologies in agriculture.    In conclusion, the paper provides a comprehensive examination of the potential benefits of remote sensing technology in agriculture, focusing on the economic and environmental implications of adopting such technologies to manage pesticide use more effectively.",NA,1,Include,,"theoretical model to compare conventional practice and remote sensing in pest management, then applies empirically",option value model; cost-benefit; voi,ag production,dollars,hypothetical,agriculture,
Cost-Effective Disaster-Induced Land Cover Analysis: A Semi-Automatic Methodology Using Machine Learning and Satellite Imagery,"I. Volke, M. and {Abarca-Del-Rio}, R. and A. Warner, T.",2024,17051,"The paper ""Cost-effective disaster-induced land cover analysis: a semi-automatic methodology using machine learning and satellite imagery"" by Matias I. Volke, Rodrigo Abarca-del-Rio, and Timothy A. Warner outlines a novel approach to assess land cover changes resulting from natural disasters, specifically focusing on the 2010 Chilean earthquake and tsunami. Here is a summary of the methods used to estimate and quantify the societal benefits of satellite or Earth Observation data, as presented in the study.    ### Methods Overview:    1. **Data Sources**:     - The methodology leverages satellite imagery from Landsat and MODIS (Moderate Resolution Imaging Spectroradiometer) to analyze land cover changes pre- and post-disaster.     - Google Earth Engine (GEE) is utilized for processing the satellite data, enabling access to a vast repository of satellite imagery and computational power.    2. **Preprocessing**:     - **Cloud Masking**: Multi-temporal image composites are created to minimize cloud cover interference, using the CFMask algorithm to mask cloud-affected areas.     - **Data Resampling**: MODIS land cover data is resampled to align with Landsat's spatial resolution (30m).    3. **Training Sample Generation**:     - A semi-automated method is proposed to generate training samples from existing land cover maps (e.g., MODIS data), reducing the time and effort required for manual sample collection.     - The approach includes:       - **Manual Selection**: Traditional method for baseline comparison.       - **MODIS Derived Samples**: Using pre-disaster MODIS data to inform training sample selection.       - **Migrated Samples**: Transfer of training samples from pre-disaster to post-disaster imagery while filtering out changed pixels.       - **Change Detection Samples**: Specific focus on distinguishing altered versus unaltered land cover post-disaster.    4. **Machine Learning Algorithms**:     - Eight different algorithms are employed for land cover classification, including Support Vector Machines (SVM), Random Forest (RF), and Deep Neural Networks (DNN), among others.      - Each algorithm is tuned for optimal performance using grid search and cross-validation techniques.    5. **Accuracy Evaluation**:     - Classification performance is assessed through overall accuracy metrics derived from confusion matrices, with validation samples obtained through stratified random sampling.     - Statistical tests (Wilcoxon signed-rank test, McNemar’s test) are utilized to compare the accuracy between different classification methods and sample selection strategies.    6. **Change Detection Analysis**:     - The study quantifies land cover changes post-disaster, highlighting significant shifts such as increases in sediment cover and reductions in water cover.     - The results indicate a robust framework for monitoring land cover changes, which can inform disaster response and recovery efforts.    ### Societal Benefits:  - The methodology provides timely and accurate information critical for disaster management, aiding in rapid assessment of affected areas.  - By automating training sample generation and leveraging satellite data, the approach minimizes the labor-intensive process of manual data collection, potentially leading to faster recovery and planning efforts.  - The ability to replicate the methodology across various disasters enhances its applicability and relevance, contributing to improved disaster preparedness and resilience strategies.    Overall, the study emphasizes the synergy between machine learning techniques and satellite data in addressing the challenges of disaster-induced land cover changes, highlighting the potential for improved societal outcomes through enhanced disaster response capabilities.",NA,1,Exclude,Does not value data,"new method of land cover analysis proposed and validated, but value not calculated (""cost-effective"" is assumed)",,,,,,calibration/validation
Spectral Matching Based on Discrete Particle Swarm Optimization: A New Method for Terrestrial Water Body Extraction Using Multi-Temporal Landsat 8 Images,"Jia, Kai and Jiang, Weiguo and Li, Jing and Tang, Zhenghong",2018,14660,"The paper ""Spectral Matching Based on Discrete Particle Swarm Optimization: A New Method for Terrestrial Water Body Extraction Using Multi-temporal Landsat 8 Images"" introduces a novel method for extracting surface water from Landsat 8 images, called Spectrum Matching based on Discrete Particle Swarm Optimization (SMDPSO). The methodology emphasizes the use of spectral matching and optimization techniques to improve the accuracy of water body classification.    ### Key Methodological Components:    1. **SMDPSO Algorithm**:     - The SMDPSO method is designed to classify water and non-water pixels in multispectral images. It operates in two main steps:       1. **Water Probability Estimation**: This is achieved through a spectral matching approach that calculates the probability of a pixel being water based on its spectral characteristics compared to a standard water spectrum.       2. **Objective Function Optimization**: The classification of pixels is finalized using an objective function that is maximized through the discrete particle swarm optimization (DPSO) algorithm.    2. **Standard Water Spectrum**:     - A standard water spectrum for Landsat 8 OLI images is established, which serves as a reference for identifying water pixels. The paper provides specific spectral values that represent the reflectance of water across various bands.    3. **Parameter Stability**:     - The method utilizes only two parameters: the standard water spectrum and the tile size for processing images. This simplicity allows for consistent performance across different environmental conditions without the need for extensive sample collection or manual adjustments.    4. **Assessment of Accuracy**:     - The performance of SMDPSO is evaluated against both supervised (e.g., maximum likelihood, support vector machine) and unsupervised methods (e.g., k-means, ISODATA). Key metrics for assessment include overall accuracy (OA), kappa coefficient (KC), commission error (CE), and omission error (OE).    5. **Sensitivity Analysis**:     - The study assesses how variations in the chosen water spectrum, tile size, and the presence of specific environmental features (such as shadows, ice, and clouds) affect classification accuracy. This analysis helps identify optimal configurations for the SMDPSO method.    6. **Case Study**:     - A case study involving flood mapping in northeastern China demonstrates the practical application of SMDPSO. The results showcase its effectiveness in accurately delineating water bodies and understanding flooding patterns using time series data.    ### Societal Benefits Quantification:  While the paper primarily focuses on the technical aspects of water extraction, it also touches on the societal benefits of accurate water body mapping, particularly in terms of:  - **Disaster Management**: Improved accuracy in mapping surface water can enhance flood response strategies and inform policy decisions, ultimately reducing economic losses and risks to human life.  - **Ecosystem Monitoring**: The ability to track changes in water bodies provides critical data for managing aquatic ecosystems, which are vital for biodiversity and resource management.  - **Urban Planning and Management**: Accurate water mapping is essential for sustainable urban development, as it helps planners understand hydrological patterns and manage water resources efficiently.    In summary, the methods presented in the paper highlight an innovative approach to satellite data analysis, promising significant societal benefits through better environmental monitoring and disaster preparedness.",NA,1,Exclude,Does not value data,"Improved method for water detection, but not valued",,,,,,
