title,author,year,key,n_tokens,summary,error,pass,screening_decision,reason_for_exclusion,quick_notes,econ_method,societal_benefit,value_units,eo_data,applied_science_theme,notes
Estimation of Surface Soil Moisture with Downscaled Land Surface Temperatures Using a Data Fusion Approach for Heterogeneous Agricultural Land,"Bai, L. and Long, D. and Yan, L.",2019,bai_estimationsurfacesoilmoisture_2019,21596,"The paper by Bai et al. (2019) utilizes advanced remote sensing techniques to estimate surface soil moisture (SSM) at a high spatial resolution of 30 meters, addressing the challenge of monitoring heterogeneous agricultural lands. The authors employed two main methods: the High-Resolution Urban Thermal Sharpener (HUTS) and the Enhanced Spatial and Temporal Adaptive Reflectance Fusion Model (ESTARFM).     Initially, HUTS was used to downscale Land Surface Temperature (LST) from Landsat data to align with the spatial resolution of visible and near-infrared data. Following this, ESTARFM fused Landsat and MODIS data to create a time series of field-scale LST (denoted as LSTE). The relationship between LSTE and LST was leveraged to estimate SSM through a trapezoidal approach, which correlates SSM with NDVI and LST in a triangular feature space.    To validate the accuracy of SSM estimates, the authors conducted comparisons with in situ measurements and found that their downscaled SSM estimates were significantly more accurate than those derived from MODIS data, demonstrating the effectiveness of their data fusion approach for agricultural water resource management.",NA,1,,,,,,,,,
Influence of Spatial Resolution on Satellite-Based Pm2.5 Estimation: Implications for Health Assessment,"Bai, H. and Shi, Y. and Seong, M. and Gao, W. and Li, Y.",2022,bai_influencespatialresolutionsatellite_2022,16612,"The paper by Bai et al. explores the influence of spatial resolution on satellite-derived PM2.5 estimations and their implications for health assessments. The authors utilize a multi-angle implementation of atmospheric correction (MAIAC) aerosol optical depth (AOD) data from 2020 over the Yangtze River Delta (YRD) and apply three PM2.5 retrieval models: mixed effects model (ME), land-use regression model (LUR), and random forest model (RF). Each model's performance is evaluated at various spatial resolutions (1, 3, 5, and 10 km) through cross-validation, measuring prediction accuracy via R² and root-mean-square error (RMSE).    To quantify societal benefits, the authors calculate annual population-weighted mean (PWM) PM2.5 concentrations and attributable mortality associated with these estimates, revealing that coarser resolutions generally lead to higher PWM values and mortality estimates. Specifically, mortality estimates at 10 km resolution increase by 7.3% to 18.3% compared to those at 1 km resolution, underscoring the importance of spatial resolution in health assessments related to PM2.5 exposure. The findings advocate for using higher resolution satellite data and machine learning methods for improved health impact predictions.",NA,1,,,,,,,,,
Geo-Cropsim: A Geo-Spatial Crop Simulation Modeling Framework for Regional Scale Crop Yield and Water Use Assessment,"Bandaru, V. and Yaramasu, R. and Jones, C. and C{\'e}sar Izaurralde, R. and Reddy, A. and Sedano, F. and Daughtry, C. S. T. and {Becker-Reshef}, I. and Justice, C.",2022,bandaru_geocropsimgeospatial_2022,19353,"The paper presents the Geo-CropSim framework, a spatial crop simulation modeling tool integrated with the Environmental Policy Integrated Climate (EPIC) model and high-resolution remote sensing data. The methodology focuses on estimating crop yields and evapotranspiration (ET) using satellite-derived variables, specifically leaf area index (LAI) and crop emergence dates.    Geo-CropSim employs several key features:     1. **Model Initialization**: It utilizes spatially resolved crop emergence dates derived from remote sensing data, allowing for accurate initialization of crop growth simulations.    2. **LAI Integration**: The framework reads in seasonal LAI data obtained through the PROSAIL inversion algorithm, enhancing the EPIC model’s ability to simulate biophysical processes like potential biomass and ET.    3. **Stress Adjustment**: A novel stress regulation factor adjusts simulated stresses based on remote sensing-derived LAI anomalies, addressing uncertainties in weather variables that impact model accuracy.    The framework was applied to Nebraska, comparing yield and ET estimates from Geo-CropSim to USDA-NASS reported values, demonstrating improved accuracy and spatial resolution in predictions. Evaluation metrics, including mean absolute percentage error (MAPE) and root mean square error (RMSE), showed substantial reductions in error compared to traditional EPIC estimates, affirming the framework's potential for regional crop monitoring and management.",NA,1,,,,,,,,,
Mapping Open Data and Big Data to Address Climate Resilience of Urban Informal Settlements in Sub-Saharan Africa,"Banzhaf, Ellen and Bulley, Henry N. and Inkoom, Justice Nana and Elze, Sebastian",2022,banzhaf_mappingdatadataaddress_2022,12771,"The paper employs a transdisciplinary approach to assess the societal benefits of Earth Observation (EO) and big data in enhancing climate resilience in urban informal settlements in Sub-Saharan Africa (SSA). Key methods include:     1. **Data Collection and Categorization**: The authors compile publicly available EO data, which includes land cover, land use, environmental hazards, and socio-economic indicators. These datasets are categorized for easy access and usability.    2. **Geospatial Analysis**: The analysis utilizes satellite remote sensing to monitor urban dynamics, assess environmental risks, and evaluate land use changes over different temporal and spatial scales. They emphasize the integration of EO data with socio-demographic datasets to enrich urban resilience assessments.    3. **Participatory Processes**: The research incorporates participatory planning charrettes to engage communities and stakeholders, facilitating the co-creation of knowledge and strategies for urban planning and disaster response.    4. **Evaluation of Data Usability**: The study discusses the barriers to effective data use, such as resolution inconsistencies and availability, and suggests methods for data resampling and fusion to enhance the quality of urban resilience assessments.    Overall, the paper emphasizes the critical role of accessible EO and big data in informing urban planning and enhancing the resilience of vulnerable communities in rapidly urbanizing contexts.",NA,1,,,,,,,,,
Testing and Validation of Cloud Infrastructures for Earth Observation Services with Satellite Constellations,"Becedas, J. and P{\'e}rez, R. and Gonz{\'a}lez, G.",2015,becedas_testingvalidationcloudinfrastructures_2015,10620,"The paper by Becedas et al. (2015) explores the use of cloud infrastructure to enhance Earth Observation (EO) services provided by a constellation of 17 satellites. The authors implemented a cloud-based system to address challenges related to high revisit times and slow data processing typically encountered in traditional ground infrastructures. They established a network of 12 global ground stations to download raw satellite data, which was then ingested into a cloud system for processing, archiving, and distribution.    To quantify the societal benefits of this system, the authors conducted experiments simulating three realistic scenarios: emergency response to the 2011 Lorca earthquake, infrastructure monitoring in Saudi Arabia, and land management in the UK. They measured processing times and delivery speeds for EO products, demonstrating that the cloud infrastructure significantly reduced the time to deliver processed imagery products to end users, from hours or days to minutes. The study highlighted the cloud's scalability, flexibility, and cost-effectiveness in managing large volumes of EO data, ultimately enhancing access to satellite products for various applications, including disaster response and environmental monitoring.",NA,1,,,,,,,,,
Operational Meteorological Satellites and Utilization of Their Data by Deutscher Wetterdienst,"Benesch, W. and Kurz, M.",1991,benesch_operationalmeteorologicalsatellitesutilization_1991,10004,"The paper discusses the methods employed by the Deutscher Wetterdienst (DWD) to derive societal benefits from satellite and Earth observation data, focusing on meteorological applications. The DWD utilizes a combination of geostationary and polar orbiting satellites to gather real-time data for weather monitoring and forecasting. Key methods include the processing and interpretation of satellite images for qualitative assessments and quantitative data extraction.    For qualitative analysis, satellite images are used to monitor weather phenomena, such as cloud patterns and atmospheric fronts, which inform short-term forecasting. The DWD also employs subjective interpretation of satellite imagery to enhance numerical weather models, thereby improving forecast accuracy.    Quantitative methods involve the extraction of essential meteorological parameters, such as sea surface temperatures and vertical temperature profiles, using advanced imaging instruments. These data support numerical weather prediction models, which are critical for generating forecasts.    Additionally, satellite data contribute to climatological and environmental studies, enabling assessments of climate trends and resource management. The paper highlights the significant economic and societal benefits derived from these applications, including enhanced weather prediction capabilities that can mitigate potential damages from severe weather events. Overall, the DWD's comprehensive approach underscores the indispensable role of satellite data in modern meteorological services.",NA,1,,,,,,,,,
More than Counting Pixels - Perspectives on the Importance of Remote Sensing Training in Ecology and Conservation,"Bernd, Asja and Braun, Daniela and Ortmann, Antonia and {Ulloa-Torrealba}, Yrneh Z. and Wohlfart, Christian and Bell, Alexandra",2017,bernd_countingpixelsperspectivesimportance_2017,9292,"The paper employs an online survey to assess the perceptions and experiences of students and professionals regarding remote sensing (RS) training in ecology and conservation. It targets participants from various academic and professional backgrounds, primarily in the Global North, to gather insights on the utility of their RS education. The survey, distributed through mailing lists of universities and conservation organizations, focuses on the perceived effectiveness of training methods, including hands-on projects, academic seminars, and web-based resources.    Quantifying societal benefits of RS data is approached through the analysis of how respondents apply their knowledge in research and conservation practices. The results indicate that a majority find their RS skills beneficial for their careers, particularly in research contexts, while gaps remain in the application for policy-making. The study highlights the importance of interdisciplinary training and practical applications of RS, suggesting that enhanced education in these areas could improve conservation outcomes and inform policy decisions. Overall, the paper advocates for a curriculum that integrates methodological training with real-world applications to maximize the societal benefits of RS data.",NA,1,,,,,,,,,
Examining the Value of Satellite Data in Halting Transmission of Polio in Nigeria: A Socioeconomic Analysis,"Borowitz, Mariel and Zhou, Janet and Azelton, Krystal and Nassar, Isabelle-Yara",2023,borowitz_examiningsatellitedatahalting_2023,17259,"The paper employs a value-of-information approach to assess the socioeconomic benefits derived from using satellite data to enhance polio vaccination efforts in Nigeria. The authors compare two scenarios: one utilizing satellite-based population estimates and mapping, and the other relying on traditional census data. They quantify the increase in the likelihood of halting polio transmission associated with satellite data, calculating net benefits from both healthcare savings and health improvements.    To estimate these benefits, the authors analyze vaccination coverage rates before and after implementing satellite data, finding a notable increase from approximately 60% to 89% post-implementation. This improvement directly correlates with enhanced accuracy in population mapping and tracking of vaccination teams through GPS technology, allowing for a comprehensive assessment of previously missed settlements.    The analysis yields net socioeconomic benefits ranging from $46 million to $153.9 million for just one year of benefits, highlighting the substantial impact of satellite data on public health initiatives while acknowledging qualitative benefits, such as improved health equity and local capacity building. The methodology emphasizes the importance of rigorous assessments in understanding the value of satellite data for informed policy and investment decisions.",NA,1,,,,,,,,,
Optimizing Observing Systems Using Aspen: An Analysis Tool to Assess the Benefit and Cost Effectiveness of Observations to Earth System Applications,"Boukabara, Sid-Ahmed and Hoffman, Ross N.",2022,boukabara_optimizingobservingsystemsaspen_2022,15835,"The paper presents the Advanced Systems Performance Evaluation Tool for NOAA (ASPEN), designed to assess the benefits and cost-effectiveness of various observing systems, including satellite and ground-based sensors. The methodology involves a comparative assessment of the performance of these systems against application-specific requirements. ASPEN quantifies societal benefits by calculating a benefit metric based on how well an observing system meets the prioritized needs of various applications, expressed in terms of geophysical variables and their attributes (e.g., spatial coverage, temporal refresh).     Key inputs include application requirements and the observational capabilities of different sensors, which are captured in structured tables. Performance scores are normalized to a scale of 0 to 1, allowing for a direct benefit-to-cost ratio calculation. The tool facilitates side-by-side comparisons of multiple observing systems and enables sensitivity analyses to examine the impact of varying inputs on outcomes. Ultimately, ASPEN provides a structured and transparent approach to optimize observing systems for enhanced societal benefits related to environmental monitoring and forecasting.",NA,1,,,,,,,,,
How Valuable Is Remotely Sensed Information? The Case of Tropical Deforestation Modelling,"Bounfour, A and Lambin, {\relax EF",1999,bounfour_valuableremotelysensedinformation_1999,9995,"The paper by Bounfour and Lambin employs a cost-benefit analysis (CBA) framework to quantify the societal benefits of Earth Observation (EO) data in the context of tropical deforestation modeling. The authors first define the project’s objectives and missions, detailing the applications of remotely sensed data in decision-making processes regarding land use and infrastructure development. They identify specific advantages associated with the implementation of an EO-based information system, such as improving decision quality, reducing the number of meetings required for project approvals, and avoiding costly mistakes from poor decision-making.    The CBA is structured into eight steps, beginning with project definition, followed by detailing objectives, identifying user applications, and assessing project duration. The analysis quantifies advantages (e.g., cost savings from improved decision-making and avoidance of project failures) and costs (e.g., model development and operational expenses). The authors evaluate both direct and indirect benefits, ultimately demonstrating that the advantages significantly outweigh the costs, thus establishing the economic viability of investing in EO data. The results highlight the value of EO information across different sectors, emphasizing its role in fostering sustainable resource management and informed policy decisions.",NA,1,,,,,,,,,
Remote Sensing Satellites and Privacy: A Framework for Policy Assessment,"Brennan, T. J. and Macauley, M. K.",1995,brennan_remotesensingsatellitesprivacy_1995,12179,"The paper by Brennan and Macauley outlines a framework for assessing the policy implications of remote sensing satellites (RSS) in relation to privacy. Their methods include a qualitative analysis of the economic and social implications of RSS data, emphasizing the need to evaluate privacy not just as an intrinsic value but as a means to achieve broader societal objectives, such as fostering competition and encouraging information generation.    The authors categorize the effects of RSS into four scenarios based on whether the observer or the observed is a private entity or a government, examining the dynamics of adversarial versus complementary relationships between these parties. They utilize economic theories, particularly regarding information asymmetries, to illustrate how RSS can promote cooperation or inhibit competition. The framework considers the implications of reduced privacy on market behavior, civil liberties, and international relations, drawing attention to the potential benefits and drawbacks of increased access to satellite data.    In summary, the paper employs a theoretical approach, integrating economic principles with legal and ethical considerations to evaluate the societal benefits and risks associated with the proliferation of remote sensing technologies.",NA,1,,,,,,,,,
Accuracy and Impact of Spatial Aids Based upon Satellite Enumeration to Improve Indoor Residual Spraying Spatial Coverage,"Bridges, Daniel J. and Pollard, Derek and Winters, Anna M. and Winters, Benjamin and Sikaala, Chadwick and Renn, Silvia and Larsen, David A.",2018,bridges_accuracyimpactspatialaids_2018,6631,"The study by Bridges et al. (2018) employed a two-stage sampling process to evaluate the accuracy of satellite enumeration for identifying households eligible for indoor residual spraying (IRS) in Zambia. The first stage involved creating a sampling frame of spray areas, from which 30 areas were randomly selected. In the second stage, trained surveyors conducted ground canvassing to verify the presence of sprayable structures identified through satellite imagery.    The mspray tool, which integrates satellite imagery with a mobile application, was utilized to enhance IRS planning and implementation. The study measured the impact of different spatial aids on IRS coverage by comparing districts that utilized various levels of spatial assistance. Logistic regression analysis was applied to determine the association between the use of these spatial aids and the likelihood of households receiving IRS, adjusting for factors such as household size and construction type.    Findings indicated that districts using satellite-based aids achieved significantly higher IRS coverage compared to those relying solely on traditional methods. The results suggest that employing satellite enumeration can effectively guide IRS campaigns, improve spatial coverage, and likely enhance malaria control efforts.",NA,1,,,,,,,,,
"Integrative Geospatial Approaches for the Comprehensive Monitoring and Assessment of Land Management Sustainability: Rationale, Potentials, and Characteristics","Buenemann, M. and Martius, C. and Jones, J. W. and Herrmann, S. M. and Klein, D. and Mulligan, M. and Reed, M. S. and Winslow, M. and {Washington-Allen}, R. A. and Lal, R. and Ojima, D.",2011,buenemann_integrativegeospatialapproachescomprehensive_2011,15727,"The paper employs integrative geospatial approaches to estimate societal benefits of satellite or Earth Observation data for monitoring land management sustainability. It emphasizes the need for comprehensive monitoring and assessment (M&A) strategies that incorporate both human and environmental data, using a spatially explicit framework. The authors advocate for the integration of qualitative and quantitative data, including field observations and remotely sensed data.    Key methods include the use of Geographic Information Systems (GIS) and remote sensing technologies, which facilitate the analysis of spatial patterns and relationships. These approaches help to capture the complexities and variations in land management sustainability across different scales and contexts. The paper outlines the importance of spatial autocorrelation and heterogeneity, suggesting that these factors inform decision-making by revealing trade-offs and interactions among stakeholders.    Furthermore, the study highlights the need for clear definitions of system boundaries, baseline conditions, and sustainability indicators, as well as the promotion of stakeholder participation in the M&A process. By applying these methods, the research aims to enhance the understanding of land degradation and support sustainable development decisions.",NA,1,,,,,,,,,
Compliance with European Union Environmental Law: An Analysis of Digitalization Effects on Institutional Capacities,"Burgin, Alexander",2020,burgin_complianceeuropeanunionenvironmental_2020,13157,"The paper employs a mixed-methods approach, combining document analysis and semistructured interviews to assess how digitalization impacts the institutional capacities of stakeholders involved in EU environmental law implementation. Key methods include:    1. **Document Analysis**: The author reviews scientific studies, reports, and statements from various actors (e.g., NGOs, local authorities, the European Commission) to understand the existing implementation landscape and identify gaps, particularly focusing on the role of digital data.    2. **Semistructured Interviews**: Conducted with 37 participants from diverse institutions, these interviews gather qualitative insights on changes in institutional capacities. Participants share perceptions regarding the effects of digitalization on their ability to monitor compliance with EU laws.    3. **Triangulation**: By integrating findings from document analysis and interviews, the study enhances validity and offers a comprehensive view of how digital tools—particularly satellite data and software for risk-based inspections—improve monitoring capabilities, facilitate data collection, and empower both governmental and non-governmental actors in environmental governance.     This methodology helps quantify the societal benefits of Earth Observation data, such as enhancing detection of environmental crimes and improving compliance monitoring.",NA,1,,,,,,,,,
Securing Sustainability in Indian Agriculture through Civilian Uav: A Responsible Innovation Perspective,"Chamuah, Anjan and Singh, Rajbeer",2020,chamuah_securingsustainabilityindianagriculture_2020,11347,"The paper employs a qualitative, exploratory methodology to assess the societal benefits of civilian unmanned aerial vehicles (UAVs) in Indian agriculture, particularly in crop insurance. It adopts a responsible innovation (RI) framework to analyze how UAV technology can enhance sustainability across social, economic, and environmental dimensions.    Data collection involves in-depth interviews with key stakeholders, including agriculturalists, scientists, and policy analysts, selected through a snowball sampling technique. This method is effective for accessing hard-to-reach populations engaged in UAV governance and deployment. The interview schedule consists of open-ended questions aimed at uncovering perceptions regarding the values and challenges associated with UAVs.    Thematic analysis of interview data identifies significant values, such as trust, transparency, and accountability, which contribute to the societal acceptance and effectiveness of UAVs. The findings indicate that UAVs improve the accuracy of crop damage assessments, thereby enhancing the transparency of insurance processes and fostering trust among farmers and insurance companies. Overall, the study highlights the potential of UAV technology to create positive social and economic outcomes while addressing environmental concerns in the agricultural sector.",NA,1,,,,,,,,,
