title,author,year,abstract,key,include,src,notes
Qoe-Driven Social Aware Caching Placement For Terrestrial-Satellite Networks,"Zhong, Guiting and Yan, Jian and Kuang, Linling",2018,"In remote terrestrial-satellite networks, caching is a very promising technique to alleviate the burden of space cloudlet (e.g., cache-enabled satellite user terminal) and to improve subscribers' quality of experience (QoE) in terms of buffering delay and achievable video streaming rate. In this paper, we studied a QoE-driven caching placement optimization problem for video streaming that takes into account the required video streaming rate and the social relationship among users. Social ties between users are used to designate a set of helpers with caching capability, which can cache popular files pro-actively when the cloudlet is idle. We model the utility function of QoE as a logarithmic function. Then, the caching placement problem is formulated as an optimization problem to maximize the user's average QoE subject to the storage capacity constraints of the helpers and the cloudlets. Furthermore, we reformulate the problem into a monotone submodular optimization problem with a partition matroid constraint, and an efficient greedy algorithm with 1 - 1/e approximation ratio is proposed to solve it. Simulation results show that the proposed caching placement approach significantly outperforms the traditional approaches in terms of QoE, while yields about the same delay and hit ratio performance compare to the delay-minimized scheme.",zhong_qoedrivensocialaware_2018,FALSE,class_round2,NA
Satellite Data Applications For Sustainable Energy Transitions,NA,NA,"Transitioning to a sustainable energy system poses a massive challenge to communities, nations, and the global economy in the next decade and beyond. A growing portfolio of satellite data products is available to support this transition. Satellite data complement other information sources to provide a more complete picture of the global energy system, often with continuous spatial coverage over targeted areas or even the entire Earth. We find that satellite data are already being applied to a wide range of energy issues with varying information needs, from planning and operation of renewable energy projects, to tracking changing patterns in energy access and use, to monitoring environmental impacts and verifying the effectiveness of emissions reduction efforts. While satellite data could play a larger role throughout the policy and planning lifecycle, there are technical, social, and structural barriers to their increased use. We conclude with a discussion of opportunities for satellite data applications to energy and recommendations for research to maximize the value of satellite data for sustainable energy transitions. Copyright © 2022 Edwards, Holloway, Pierce, Blank, Broddle, Choi, Duncan, Esparza, Falchetta, Fritz, Gibbs, Hundt, Lark, Leibrand, Liu, Madsen, Maslak, Pandey, Seto and Stackhouse.",NA,FALSE,class_round2,NA
Utility Of Biological Sensor Tags In Animal Conservation,"Wilson, A. D. M. and Wikelski, M. and Wilson, R. P. and Cooke, S. J.",2015,"Electronic tags (both biotelemetry and biologging platforms) have informed conservation and resource management policy and practice by providing vital information on the spatial ecology of animals and their environments. However, the extent of the contribution of biological sensors (within electronic tags) that measure an animal's state (e.g., heart rate, body temperature, and details of locomotion and energetics) is less clear. A literature review revealed that, despite a growing number of commercially available state sensor tags and enormous application potential for such devices in animal biology, there are relatively few examples of their application to conservation. Existing applications fell under 4 main themes: quantifying disturbance (e.g., ecotourism, vehicular and aircraft traffic), examining the effects of environmental change (e.g., climate change), understanding the consequences of habitat use and selection, and estimating energy expenditure. We also identified several other ways in which sensor tags could benefit conservation, such as determining the potential efficacy of management interventions. With increasing sensor diversity of commercially available platforms, less invasive attachment techniques, smaller device sizes, and more researchers embracing such technology, we suggest that biological sensor tags be considered a part of the necessary toolbox for conservation. This approach can measure (in real time) the state of free-ranging animals and thus provide managers with objective, timely, relevant, and accurate data to inform policy and decision making. © 2015 Society for Conservation Biology.",wilson_utilitybiologicalsensortags_2015,FALSE,class_round2,NA
Remote Sensing Of Coral Reefs For Monitoring And Management: A Review,"Hedley, John D. and Roelfsema, Chris M. and Chollett, Iliana and Harborne, Alastair R. and Heron, Scott F. and Weeks, Scarla J. and Skirving, William J. and Strong, Alan E. and Eakin, C. Mark and Christensen, Tyler R. L. and Ticzon, Victor and Bejarano, Sonia and Mumby, Peter J.",2016,"Coral reefs are in decline worldwide and monitoring activities are important for assessing the impact of disturbance on reefs and tracking subsequent recovery or decline. Monitoring by field surveys provides accurate data but at highly localised scales and so is not cost-effective for reef scale monitoring at frequent time points. Remote sensing from satellites is an alternative and complementary approach. While remote sensing cannot provide the level of detail and accuracy at a single point than a field survey, the statistical power for inferring large scale patterns benefits in having complete areal coverage. This review considers the state of the art of coral reef remote sensing for the diverse range of objectives relevant for management, ranging from the composition of the reef: physical extent, benthic cover, bathymetry, rugosity; to environmental parameters: sea surface temperature, exposure, light, carbonate chemistry. In addition to updating previous reviews, here we also consider the capability to go beyond basic maps of habitats or environmental variables, to discuss concepts highly relevant to stakeholders, policy makers and public communication: such as biodiversity, environmental threat and ecosystem services. A clear conclusion of the review is that advances in both sensor technology and processing algorithms continue to drive forward remote sensing capability for coral reef mapping, particularly with respect to spatial resolution of maps, and synthesis across multiple data products. Both trends can be expected to continue.",hedley_remotesensingcoralreefs_2016,FALSE,class_round2,NA
Remote Sensing Of Croplands,"Friedl, M. A.",2017,"Mapping and monitoring of croplands is one of the most important and widely applied uses of remote sensing. Indeed, much of the technological and methodological basis for contemporary land remote sensing was initially developed to support the need for improved monitoring of croplands at local, regional, and global scales. Early field experiments, including LACIE and AgRISTARS, provided the initial proof-of-concept and methodological foundation, demonstrating the ability and utility of remote sensing for mapping a wide array of cropland attributes including crop type, crop health, crop phenology, and soil and canopy attributes. As instrumentation, computing power, and methods of analysis have improved over the last several decades, the depth, breadth, and sophistication of remote-sensing applications in both basic research and management of croplands have expanded rapidly. This chapter provides an overview of remote sensing applied to croplands, along with a survey of key literature and important applications. We provide a brief overview of the history and core applications for which remote sensing has been used in croplands, followed by a summary of key areas where remote sensing is currently most widely exploited in both basic and applied research in croplands. Key topics include remote sensing of cropland extent and type at local, regional, and global scales, biophysical remote sensing of croplands, and important specialized applications. Key thematic topics related to biophysical remote sensing of croplands include spectral properties of soils and crop canopies, spectral vegetation indices, mapping crop yields, and monitoring crop phenology. Specialized applications include irrigation mapping, field delineation, remote sensing of water use by crops, and precision agriculture. © 2018 Elsevier Inc. All rights reserved.",friedl_remotesensingcroplands_2017,FALSE,class_round2,NA
Populating Digital Earth: Improving Access To Chinese Remote Sensing Data For Terrestrial Applications,"Li, Mengxue and Townshend, John R.",2014,"Global change has a significant impact on the lives of humankind. Earth observation can help to better understand our earth and cope with global change. With the availability of more reliable environmental data sets, digital earth is becoming a popular way to monitor the Earth and provide information to researchers and decision makers on environment protection, disaster mitigation, and social benefits. Therefore, accessing data with lowering costs is essential for digital earth. Nevertheless, there are big challenges in ensuring the feasibility of access to Chinese remote sensing data. This paper outlines some of the main challenges in realizing data sharing, provides an analysis of the core reasons leading to these challenges, and proposes recommendations to overcome the challenges. Amongst the main challenges are differences in data policy to gain access to satellite data, diverse data formats, and delivery mechanisms. The major challenge for the decision makers is to define a more open policy and for the scientist the challenge is to implement these polices for the benefit of all. This paper proposes that governments should adopt policies encouraging more open distribution and access to their data, in order to generate an improved digital earth with increased benefits to human society.",li_populatingdigitalearthimproving_2014,FALSE,class_round2,NA
Blockchain For Environmental Governance: Can Smart Contracts Reinforce Payments For Ecosystem Services In Namibia?,"Oberhauser, Daniel",2019,"The Global South harbors some of the planet's most precious natural resources and is hence key in addressing the pressing environmental challenges of the Anthropocene. Here, payments for ecosystem services (PES) have recently gained importance as a means of environmental governance, increasingly complementing conventional command-and-control approaches. For instance, climate change is now mitigated through carbon offset payments and biodiversity loss is addressed through wildlife conservation performance payments. However, such payment schemes in the Global South face numerous challenges as identified by a large body of literature. This paper investigates if blockchain technology can help address some of the challenges by reinforcing PES programs with tamper-proof blockchain smart contracts. To this end, the paper presents a proof-of-concept of a blockchain-based wildlife conservation performance payments scheme in Namibia: the habitat integrity of an elephant corridor is assessed by remote sensing algorithms, which in turn trigger fictitious blockchain smart contract payments to surrounding communities. The application allows to practically discuss the potential of blockchain technology regarding three key aspects of PES: (i) effectiveness (conditionality) of environmental monitoring (ii) efficiency and transaction costs, as well as (iii) equity and benefit distribution. The case presented here is an example for linking the digital Blockchain sphere to practical challenges of natural resource management in the physical world. As such, it illustrates some potentials of the technology, but also shows how Blockchain technology is unlikely to provide transformative solutions in geographies with complex environmental governance.",oberhauser_blockchainenvironmentalgovernancesmart_2019,FALSE,class_round2,NA
Space Technology Meets Policy: An Overview Of Earth Observation Sensors For Monitoring Of Cultural Landscapes Within Policy Framework For Cultural Heritage,"Cuca, Branka and Hadjimitsis, Diofantos G.",2017,"A wide range of satellite sensors that provide potentially useful imagery for digital documentation, mapping and monitoring of archaeological sites and cultural landscapes. Although some satellites have stopped acquiring new data, their archived satellite imagery can still be accessed, downloaded and exploited for monitoring of changes and therefore useful for research domain of archaeology and cultural landscapes. The aim of this paper is 1) to make an overview of past and current satellite earth observation optical sensors useful for land monitoring, with focus on cultural landscapes and 2) to illustrate a policy framework that goes beyond recommendations, suggesting the need of valuable information possibly provided by the in satellite imagery. Paper will put focus on Copernicus programme as the most recent mission that provides imagery on the global scale and free of charge. Paper, furthermore, highlights the need for a more structured consideration of the contribution that space technologies services and products can offer to the non-space sectors. The actions for implementation of strategies regarding the currently renewed attention towards cultural heritage protection and management, could soon benefit from the technological achievements of satellite technologies in terms of dedicated operational services and applications, tailored to the needs of end-users such as archaeologists, landscape professionals, public administration, researchers and students.",cuca_spacetechnologymeetspolicy_2017,FALSE,class_round2,NA
Revealing Preferences For Urban Biodiversity As An Environmental Good,"Ratzke, Leonie",2023,"Biodiversity is essential for human well-being, but little is known about urban dwellers' preferences and willingness to pay (WTP) for urban biodiversity. Since a large share of the global population concentrates in cities, urban areas are a critical space where humans and nature interact and biodiversity-related preferences are formed. This study investigates urban dwellers' WTP for biodiversity using a revealed-preference approach on a real estate dataset of approximately 140,000 unique entries of rental and sales transactions of apartments. Three biodiversity indicators were used to investigate heterogeneous preferences for biodiversity as an environmental good. The findings indicate that WTP for biodiversity is positive and economically significant. This implies that urban biodiversity conservation and enhancement can result in co-benefits for the local urban population. Moreover, this study identifies a satellite-based biodiversity indicator as a potential alternative to conventional species richness indicators. This finding is significant for benefit transfer studies and primary biodiversity valuation in regions with limited data availability. The results can inform biodiversity conservation and management decisions by highlighting the importance of incorporating urban biodiversity in biodiversity policies.",ratzke_revealingpreferencesurbanbiodiversity_2023,FALSE,class_round2,NA
Direct Delivery Of Remote Sensing Data To User Computer Systems Using Satellite-Based Data Broadcast Techniques,"Manjunatha, A. S. and Chandrasekhar, M. G. and Virupaksha, A. R. and Adiga, S. and Nageswara Rao, P. P.",2000,"The remote sensing applications are growing very rapidly with the availability of high-resolution data from the state of the art satellites like IRS-1C/1D/P4. The advancement in computer hardware and software in the area of remote sensing also enhance the growth of remote sensing applications. 1RS-1C/1D/P4 provides data with the resolution of 5.6m in panchromatic mode giving more information of the ground area covered. The remote sensing satellites with high-resolution sensors and wide coverage capabilities will provide the data with better resolution, coverage and revisit to meet the growing application needs. Many applications like crop acreage and yield estimation, draught monitoring and assessment, flood mapping, waste land mapping, mineral prospectus, forest resource survey etc. have become an integral part of the resources management system in the developing countries. These resource management systems need the data to be transferred in real time or near real time for processing. The transfer of data in real time or near real time calls for advanced data delivery techniques to deliver the data as quickly as possible. Processing of remote sensing data can be performed even on low cost personal computers, which in turn further increases the remote sensing applications enabling by setting up the processing centers even at grass root level i.e., at district, taluk or village level. Setting up of processing centers at grass root level demands for quick, cost effective and efficient data delivery mechanism to transfer remote sensing data with or without value added services. The digital revolution has reached broadcasting with the introduction of direct broadcasting of digital data. These modify the traditional data transfer techniques by separating the actual service from the transmission system, thus enabling the distribution of any kind of digital data to stationary, portable or mobile terminals. This allows remote sensing data to reach a large number of users simultaneously and independent of their location. This article highlights the concepts, possibilities, and implementation mechanisms to realize the remote sensing data transfer through direct broadcasting technique and enhance remote sensing applications.",manjunatha_directdeliveryremotesensing_2000,FALSE,class_round2,NA
Environmental Monitoring And Landscape Design Of Green City Based On Remote Sensing Image And Improved Neural Network,"Gu, Haiyan and Wei, Yinan",2021,"In some developed countries in Europe, cities are developing very rapidly, but the rapid development of these countries also has to go through the following stages, which are the three essential development processes of urbanization, counter-urbanization and re-urbanization. My country's development situation is relatively uneven. In the more developed areas of my country, the speed of urbanization is relatively rapid, such as cities near the Yangtze River Delta and the Pearl River Delta. But with the development of urbanization, these areas are also facing a very troublesome problem, that is, the balance between the development of the city and the environmental ecosystem. In order to monitor this situation, we will use remote sensing technology to conduct a comprehensive survey of the urban environmental ecosystem and analyze the impact and effect of the rapid development of the city on the changes in the ecosystem. This article will focus on the area around the Yangtze River Delta, and investigate the spatial patterns of urban environmental ecosystems by comparing this area with cities in developed regions such as Western Europe and North America. Under the conditions of different regions and different degrees of urbanization, the comprehensive situation of environmental elements in the city is investigated, and the environmental impact effects and the causes, effects and effects of environmental changes are more accurately studied. Combine the BP network model related to the nervous system in the experiment, and continuously optimize the model during the experiment. The experimental data selects environmental difference reports displayed in different years and different seasons to predict the air pollution value of a certain city. The reason why we use this method is that this model can improve the accuracy of statistical data and greatly simplify the unnecessary and complicated steps in the research process, and it can also reduce the error problems generated in the operation of the BP system, such as when we When entering a piece of data, the data obtained is often very different from the target data. Therefore, we will use the ant colony algorithm to solve the above problems, and add stereo and 3D technologies, which can monitor experiments in real time, greatly improve the speed of the experiment, and the 3D stereo technology can make the results more perceptual to meet the needs of the experiment. (C) 2021 Elsevier B.V. All rights reserved.",gu_environmentalmonitoringlandscapedesign_2021,FALSE,class_round2,NA
