"id","title","abstract","publication_year","authors","date_screened_t&a","t&a_status","t&a_exclusion_reasons","doi"
6669797,"Data Justice And Biodiversity Conservation","Increases in data availability coupled with enhanced computational capacities are revolutionizing conservation. But in the excitement over the opportunities afforded by new data, there has been less discussion of the justice implications of data used in conservation, that is, how people and environments are represented through data, the conservation choices made based on data, and the distribution of benefits and harms arising from these choices. We propose a framework for understanding the justice dimensions of conservation data composed of five elements: data composition, data control, data access, data processing and use, and data consequences. For each element, we suggest a set of guiding questions that conservationists could use to think through their collection and use of data and to identify potential data injustices. The need for such a framework is illustrated by a synthesis of recent critiques of global conservation prioritization analyses. These critiques demonstrate the range of ways data could serve to produce social and ecological harms due to the choice of underlying data sets, assumptions made in the analysis, oversimplification of real-world conservation practice, and crowding out of other forms of knowledge. We conclude by arguing that there are ways to mitigate risks of conservation data injustices, through formal ethical and legal frameworks and by promoting a more inclusive and more reflexive conservation research ethos. These will help ensure that data contribute to conservation strategies that are both socially just and ecologically effective. © 2022 The Authors. Conservation Biology published by Wiley Periodicals LLC on behalf of Society for Conservation Biology.",2022,"{""Brockington, D."",""Kiwango, W. A."",""Oldekop, J. A."",""Pritchard, R."",""Sauls, L. A.""}",2024-04-15 17:54:59,"included",NA,"10.1111/cobi.13919"
6691687,"Banda Aceh-The Value of Earth Observation Data in Disaster Recovery and Reconstruction: A Case Study","On 26 December 2004, Banda Aceh in Indonesia was at the center of one of the worst natural disasters to affect mankind. Large amounts of international aid poured in to assist in the relief and reconstruction efforts. Amongst this effort, were investments in basic earth observation data from in-situ, airborne and space observations. While the use of this data is assumed to be crucial, few efforts have gone into quantifying the benefits of its acquisition. The objectives of this study were to interview a cross-section of agencies operating in Banda Aceh and across the province of Nanggroe Aceh Darussalam on the use, sources and quality of earth observation data in the relief/reconstruction effort; and to analyze and quantify the value that earth observation data brings to the relief/reconstruction effort based on the survey results and specific examples. Key findings from the interviews point to an overall improvement in the spatial data situation since the tsunami. Problems identified included insufficient training, lack of timely data and sometimes poor spatial resolution. Specific examples of the costbenefits of earth observation data were typically on the order of millions of dollars and involved large time savings.",2008,"{""McCallum, Ian""}",2024-04-23 22:07:54,"included",NA,"http://pure.iiasa.ac.at/8741/"
7036946,"Quantitative Assessment Of Soil Condition, Basic Environmental Factors And Productivity Of Linum Usitatissimum In The Steppe Zone Of Kazakhstan Using The Remote Sensing Method","The influence of environmental factors, such as lack of water and uneven rainfall, depletion of nutrients in the soil and reduced soil fertility, planting patterns and plant density, uneven growth stages, are the main limiting factors that hinder the growth of agricultural production in arid regions. The aim of the study was to assess the potential of Sentinel-2 to quantify soil conditions, which can improve the understanding of spatiotemporal dynamics in organic agriculture in the steppe zone of Kazakhstan and improve productivity management of Linum usitatissimum. In the course of the research, the influence of individual factors of the general environmental impact, such as the influence of humidity, meteorological conditions, the content of individual nutrient components of the soil on the yield, was studied. The meteorological conditions in this region in 2021 and the data of agrochemical analysis of the soil on which the oilseed crop was grown were evaluated. Sentinel-2 satellite images were used to determine the NDVI and GNDVI indices. A high content of nitrate nitrogen (12.3-16.2 mg/kg), a very low level of available phosphorus (3-10 mg/kg), and a high content of potassium (289-420 mg/kg) were found in the soil. A low content of humus (2.68-3.31%) and sulfur (1.1-4.9 mg/kg) was found. A study of the NDVI growth index showed that the highest value was reached by the period of July 20, 2021. After this period, a decrease in the vegetation index was observed. In conditions of severe drought, this change occurred earlier than under favorable conditions, and correlated with low flax yield (1.6-6.9 c/ha). This study demonstrates the potential of Sentinel-2 for quantifying soil conditions, which not only improves our understanding of spatial-temporal dynamics and environmental components in organic agriculture in the steppe zone of Kazakhstan, but also improves the management of Linum usitatissimum productivity. © 2023, Instituto Internacional de Ecologia. All rights reserved.",NA,NA,2024-10-30 15:59:55,"included",NA,"10.1590/1519-6984.277283"
7037711,"Mapping Of Environmental Sensitivity Index To Oil Spill From Landsat Tm Images: ""A Study Case On The Amazon Coastal Plain""","The environmental sensitivity index (ESI) is represented by a scale ranging from 1 to 10, where the intensity of the impact caused by the oil spill is specified and, the higher the value the higher the sensitivity index. Oil spills impact the environment and are not exclusive to certain regions of the world. Therefore, the production of maps representing the ESI has become important for the implementation of contingency and emergency plans. Curuçá city, located in northeastern Pará state, does not have a map of semi-detailed environmental sensitivity, for that reason, this study aimed to generate a tactical map, scale of 1:100,000, with recognition of coastal environments identified by digital processing of Landsat images and field surveys. The map will help identify the areas more prone to suffer from a possible oil spill. Thus, eight indices were classified as follows: ESI 1B retaining wall, ESI 1C cliffs, ESI 3A sandy beaches and exposed dunes, ESI 7 sandy tidal flat, ESI 9 ebb tide delta, ESI 10A salt marsh, ESI 10B freshwater marsh and ESI 10 mangrove. Finally, the ESI represented in these maps can support the decision making process to prevent and control accidents that may happen during oil production and transportation. Benefits may reflect on lower costs of cleaning and restoration of the impacted areas in case of oil and other potentially harmful load spills.",NA,NA,2024-11-21 21:27:25,"included",NA,"10.22564/rbgf.v30i4.240"
7036939,"A Real Options Approach To Satellite Mission Planning","Satellite missions are one instrument of Earth observation targeted at obtaining information for improved decision making in sustainable development. But satellite missions are expensive undertakings involving large sunk costs and facing uncertain benefit streams. In the area of avoiding damages through, for example, better weather forecasts or better-informed rescue missions, the benefits are high, but also difficult to quantify. Using real options to optimize the timing of the launch of a satellite enables us not only to optimize the timing of the mission, but also to derive the value that such information conveys when it can be used to reduce the extent of the damage from disasters and their consequences: with low benefit expectations or large uncertainty, launching will be postponed, so ex ante Earth observation benefit assessment is an important task. (C) 2008 Elsevier Ltd. All rights reserved.",NA,NA,2024-10-25 19:18:35,"included",NA,"10.1016/j.spacepol.2008.09.008"
6691550,"The Value of El Niño Forecasts in the Management of Salmon: A Stochastic Dynamic Assessment","The El Niño‐Southern Oscillation (ENSO) is the largest source of interannual variability in global climate. Variability in climate has been linked to variability in fisheries, specifically salmon stocks of the Pacific Northwest. The ability to forecast El Niño events already exists and is likely to improve in coming years. An accurate prediction may have value because it allows for better management decisions. In this article, we develop a bioeconomic model of the coho salmon fishery and derive the value of information from improved El Niño forecasting ability. We find that a perfect El Niño forecast results in an annual welfare gain of approximately $1 million, while imperfect forecasts lead to smaller gains. Results also suggest that optimal management in the face of uncertainty involves a “conservative” management strategy, resulting in lower harvest, higher wild fish escapement, and lower hatchery releases than management in the absence of such uncertainty.",2020,"{""Costello, Christopher""}",2024-04-25 02:28:50,"included",NA,"https://dx.doi.org/10.2307/1244062"
6691642,"The Value of Satellite-Based Active Fire Data for Monitoring, Reporting and Verification of REDD+ in the Lao PDR","Shifting cultivation is a dominant land-use system in Laos, and fire is the tool commonly used to clear fallow vegetation for subsequent cultivation. We assessed the feasibility of active fire data derived from the Moderate Resolution Imaging Spectroradiometer (MODIS) for monitoring fires in Laos. Specifically, we investigated the potential of the active fire data as input into monitoring, reporting and verification (MRV) systems to assess the effectiveness of measures related to Reducing Emissions from Deforestation and Forest Degradation plus the enhancement of forest carbon stocks (REDD+). Our qualitative and quantitative accuracy assessments of the fire data yielded mixed results with varying degrees of undetected fires and false detections. Hence, at IPCC Tier 3, the uncertainties inherent in the detection accuracy become too large. Active fire data can be valuable for supporting national-level MRV at Tier 2 in combination with auxiliary data for characterizing fire-dependent local land-use systems, such as shifting cultivation.",2013,"{""Müller, Daniel""}",2024-04-26 19:16:55,"included",NA,"https://doi.org/10.1007/s10745-013-9565-0"
7037437,"Space-Based Earth Observations For Disaster Risk Management","As space-based Earth observations are delivering a growing amount and variety of data, the potential of this information to better support disaster risk management is coming into increased scrutiny. Disaster risk management actions are commonly divided into the different steps of the disaster management cycle, which include: prevention, to minimize future losses; preparedness and crisis management, often focused on saving lives; and post-crisis management aiming at re-establishing services supporting human activities. Based on a literature review and examples of studies in the area of coastal, hydro-meteorological and geohazards, this review examines how space-based Earth observations have addressed the needs for information in the area of disaster risk management so far. We show that efforts have essentially focused on hazard assessments or supporting crisis management, whereas a number of needs still remain partly fulfilled for vulnerability and exposure mapping, as well as adaptation planning. A promising way forward to maximize the impact of Earth observations includes multi-risk approaches, which mutualize the collection of time-evolving vulnerability and exposure data across different hazards. Opportunities exist as programmes such as the Copernicus Sentinels are now delivering Earth observations of an unprecedented quality, quantity and repetitiveness, as well as initiatives from the disaster risk science communities such as the development of observatories. We argue that, as a complement to this, more systematic efforts to (1) build capacity and (2) evaluate where space-based Earth observations can support disaster risk management would be useful to maximize its societal benefits.",NA,NA,2024-10-25 21:26:31,"included",NA,"10.1007/s10712-020-09586-5"
6862756,"Evaluation Of Earth Observation Systems For Estimating Environmental Determinants Of Microbial Contamination In Recreational Waters","Public health risks related to the microbial contamination of recreational waters are increased by global environmental change. Intensification of agriculture, urban sprawl, and climate change are some of the changes which can lead to favorable conditions for the emergence of waterborne diseases. Earth observation (EO) images have several advantages for the characterization and monitoring of environmental determinants that could be associated with the risk of microbial contamination of recreational waters in vast territories like Canada. There are a large number of EO systems characterized by different spatial, temporal, spectral, and radiometric resolutions. Also, they have different levels of accessibility. In this study, we compared several EO systems for the estimation of environmental determinants to assess their usefulness and their added value in monitoring programs of recreational waters. Satellite images from EO systems WorldView-2, GeoEye-1, SPOT-5/HRG, Landsat-5/TM, Envisat/MERIS, Terra/MODIS, NOAA/AVHRR, and Radarsat-2 were acquired in 2010 and 2011 in southern Quebec, Canada. A supervised classification of these images with a maximum likelihood algorithm was used to estimate five key environmental determinants (agricultural land, impervious surfaces, water, forest, and wetlands) within the area of influence of 78 beaches. Logistic regression models were developed to establish the relationship between fecal contamination of beaches and environmental determinants derived from satellite images. The power prediction of these models and criteria such as accuracy of classified images, the ability of the sensor to detect environmental determinants in the area of influence of beaches, the correlation between the estimated environmental determinants in the area of influence by the sensor with those estimated by very high spatial resolution reference sensors (WorldView-2 and GeoEye-1), and general criteria of accessibility (cost of the images, imaging swath, satellite revisit interval, hours of work, and expertise and material required to process the images) were used to evaluate the EO systems. The logistic regression model establishing the relationship between environmental determinants from Landsat-5/TM images and the level of fecal contamination of beaches is the one which performs best. These images are also those that best meet all of the evaluation criteria. This study showed that environmental determinants like agricultural lands and impervious surfaces present in the area of influence of beaches are those which contribute the most to the microbial contamination of beaches. Our study demonstrated the utility and the added value that EO images could bring to programs monitoring the microbial contamination of recreational waters. © 2008-2012 IEEE.",2015,"{""Brazeau, S."",""Essono, F. N."",""Fournier, R. A."",""Kotchi, S. O."",""Lavigne, M. P."",""Legare, J."",""Michel, P."",""Pelcat, Y."",""Turgeon, P.""}",2024-07-12 19:24:29,"included",NA,"10.1109/jstars.2015.2426138"
7037605,"Study Of Productivity And Biomass Above The Ground, Using Vegetation Indices In Plantations Of Tectona Grandis L. (Teak) Located In Guanacaste, Costa Rica","The estimation of wood volume or biomass in forest plantations is one of the key variables for forest management decision making, to improve productivity and profitability of the products and environmental services they offer. Traditional techniques have been based on field inventories, through sampling with plots and human intervention in the acquisition of variables at tree and stand level. Current technology allows estimates to be made using sensors in autonomous vehicles and satellites. In Costa Rica, studies with Landsat and RapidEye satellite images have made it possible to generate updated maps on land cover and land use, including forest types. However, there are few studies on the relationship between volume and biomass values, calculated from data measured in the field and those calculated with remote sensing. This article presents the proposed methodology to estimate the productivity of Tectona grandis L. (Teak) forest plantations using Sentinel-2 satellite images. Taking into account the recommendations of other authors and the experience of the researchers. It is proposed to compare the information generated with Sentinel-2 and that acquired with a UAV with a multispectral camera. It is expected to provide a methodology that uses representative sampling sites, with an adequate sample size, with a control of environmental conditions, considering age, phenological stage and silvicultural treatments.",NA,NA,2024-11-18 18:49:30,"included",NA,"10.18845/tm.v35i6.6229"
7037213,"The Role Of African Emerging Space Agencies In Earth Observation Capacity Building For Facilitating The Implementation And Monitoring Of The African Development Agenda: The Case Of African Earth Observation Program","AU-Agenda 2063 was adopted at the 24th Ordinary Session of the African Heads of State and Government in 2015 as the blueprint for the future development of the continent. Built upon the continent's past experiences, challenges, and successes, AU-Agenda 2063 comprehensively describes the strategic path for Africa's future development in the next 50 years. Thus, the monitoring of its implementation in various African states is critical for ensuring sustainable development and track progress. However, the higher cost of collecting data for accurately and reliably monitoring the implementation of Agenda 2063 may hinder the progress towards achieving these goals. Satellite Earth observation provides ample data, and thus has provided opportunities for the development of novel products and services with the potential to support implementation, monitoring and reporting for AU-Agenda 2063 development imperatives. However, it has been limitedly exploited in Africa, as evidenced by lower research outputs and investments. This calls for increased capacity building in the use of available EO data and products for various users including decision makers to advance national, regional and continental priorities. The use of such data products is often hampered by the capability to understand the products and thus their value for addressing socio-economic challenges. This paper discusses the potential of Earth observation capacity building for supporting the implementation, monitoring of, and reporting towards achieving AU-Agenda 2063 development imperatives. Specifically, this paper identifies existing capacity building resources, including the role of open and free Earth observation data, open-source software, and product dissemination platforms that can be leveraged for supporting national development, service delivery and the achievement of AU-Agenda 2063 targets. Furthermore, the paper recognizes the importance of bilateral and multilateral partnerships in leveraging existing know-how, technology and other resources for advancing strategic goals of African emerging space agencies and promoting sustainable development, with examples from South African National Space Agency (SANSA). Then, the challenges and opportunities for capacity building and the wide adoption of EO in Africa are discussed in the context of AU-Agenda 2063. The paper thus concludes that EO capacity building is essential to address the skills and data gaps and increase the use of EO-based solutions for decision making in various sectors, critical for achieving AU-A2063.",NA,NA,2024-10-25 21:55:28,"included",NA,"10.3390/ijgi8070292"
6691625,"Landsat and Water—Case Studies of the Uses and Benefits of Landsat Imagery in Water Resources","The Landsat program has been collecting and archiving moderate resolution earth imagery since 1972. The number of Landsat users and uses has increased exponentially since the enactment of a free and open data policy in 2008, which made data available free of charge to all users. Benefits from the information Landsat data provides vary from improving environmental quality to protecting public health and safety and informing decision makers such as consumers and producers, government officials and the public at large. Although some studies have been conducted, little is known about the total benefit provided by open access Landsat imagery. \nThis report contains a set of case studies focused on the uses and benefits of Landsat imagery. The purpose of these is to shed more light on the benefits accrued from Landsat imagery and to gain a better understanding of the program’s value. The case studies tell a story of how Landsat imagery is used and what its value is to different private and public entities. Most of the case studies focus on the use of Landsat in water resource management, although several other content areas are included.",2014,"{""Serbina, Larisa""}",2024-04-22 02:56:59,"included",NA,"http://dx.doi.org/10.3133/ofr20141108"
6691614,"The social innovation potential of ICT-enabled citizen observatories to increase eParticipation in local flood risk management","We live in the age of Big Data, yet many areas of environmental management are still suffering from a lack of relevant data, information and knowledge that impedes sound decision making in the face of change and increasing challenges. A highly relevant phenomenon is therefore the so-called citizen observatories whereby the observations of ordinary citizens, and not just those of professionals and scientists, are included in earth observation and environmental management. Advanced citizen observatories can enable a two-way communication paradigm between citizens and decision makers, potentially resulting in profound changes to local environmental management processes and, as such, in social innovation processes and outcomes. This paper analyses the social innovation potential of such ICT-enabled citizen observatories to increase eParticipation in local flood risk management. The findings from empirical research in two case study locations highlight the divergent roles that authorities conceive for citizens and the role(s) that citizens in practice assign to themselves. Moreover, given the institutional structures identified in these cases and the obligation of authorities to be accountable for their decisions, citizen observatories do not automatically imply that citizens will have a higher level of participation in flood risk management, nor that communication between stakeholders improves.",2015,"{""Wehn, Uta""}",2024-04-22 02:40:52,"included",NA,"https://doi.org/10.1016/j.techsoc.2015.05.002"
