"study_id","deduplication_status","citation_screening_status","fulltext_screening_status","data_extraction_screening_status","data_source_type","data_source_name","data_source_url","citation_title","citation_abstract","citation_authors","citation_journal_name","citation_journal_volume","citation_pub_year","citation_keywords","fulltext_filename","fulltext_exclude_reasons"
6447802,"not_duplicate","included","not_screened","not_started","database","Web of Science","","A Conceptual Framework for Assessing the Benefits of a Global Earth Observation System of Systems","The aim of the Global Earth Observation System-ofSystems (GEOSS) is to improve the information available to decision makers, at all levels, relating to human health and safety, protection of the global environment, the reduction of losses from natural disasters, and achieving sustainable development. Speciﬁcally, GEOSS proposes that better international cooperation in the collection, interpretation, and sharing of Earth observation information is an important and cost-effective mechanism for achieving this aim. While there is a widespread intuition that this proposition is correct, at some point the following question needs to be answered: how much additional investment in Earth observation (and speciﬁcally, in its international integration) is enough? This leads directly to some challenging subsidiary questions, such as how can the beneﬁts of Earth observation be assessed? What are the incremental costs of GEOSS? Are there societal beneﬁt areas where the return on investment is higher than in others? The GeoBene Project has developed a “beneﬁt chain” concept as a framework for addressing these questions. The basic idea is that an incremental improvement in the observing system (including its data collection, interpretation and information-sharing aspects) will result in an improvement in the quality of decisions based on that information. In turn, this will lead to better societal outcomes, which have a value. This incremental value must be judged against the incremental cost of the improved observation system. Since in many cases there will be large uncertainties in the estimation of both the costs and the beneﬁts, and it may not be possible to express them in comparable monetary terms, we show how order-of-magnitude approaches and a qualitative understanding of the shape of the cost and beneﬁt curves can help guide rational investment decisions in Earth Observation Systems.","Bouma, J.; Fritz, S.; Obersteiner, M.; Reyers, B.; Scholes, R.J.","IEEE Systems Journal","2",2008,"","",""
6447803,"not_duplicate","included","not_screened","not_started","database","Web of Science","","Estimating the Value of Near-real-time Satellite Information for Monitoring Deforestation in the Brazilian Amazon","We estimate the amount of avoided deforestation due to the use of near-real-time satellite imagery (DETER) to support the Action Plan for the Prevention and Control of Deforestation in the Legal Amazon (PPCDAm), the conservation of indigenous and other protected areas, and compliance with the Brazilian Forest Code (FC). We develop a Directed Acyclical Graph (DAG) that outlines some of the econometric challenges that arise from the role of policy in the estimation of satellite data on deforestation and consider that policy could be a mediator and/or a moderator along this causal chain. We control for policies that were introduced simultaneously with DETER, and allow for changes in the influences of prices, agricultural settlement, and forest conservation policies on deforestation after near-real-time monitoring was introduced. We find both direct impacts of DETER on deforestation, and indirect impacts via changes in the influences of commodity prices on deforestation. In total we estimate the amount of avoided deforestation is approximately 467-471 thousand km2 between 2001-2015, an area that is larger than the state of California, more than twice the amount of deforestation recorded in that region in the same time period, and translates to approximately 12 billion tons of avoided CO2. The net benefits of satellite monitoring range from US$1-5.4 billion per year when estimated using the WTP to preserve Amazon rainforest and between US$54 US$197 billion per year when estimating using the social cost of carbon.","Biggs, Trent; Caviglia-Harris, Jill; Mullan, Katrina; Ribeiro, Jime Rodrigues; Santiago, Thaís Ottoni; Sills, Erin; West, Thales A P","","",2022,"","",""
6447804,"not_duplicate","included","not_screened","not_started","database","Web of Science","","The value of remotely-sensed data in terrestrial habitat corridor design for large migratory species","Cost-effective conservation program design to support seasonal migratory species is urgently needed, but to-date has received little attention by economists. Conserving migratory corridors is a complicated design problem because of the large spatial scales over which migratory species can travel and the weakest-link characteristic of the problem. If one section or area of a potential migratory corridor is unable to support species movement, the migration through that route will not be successful. We develop and apply an integer-programming modeling approach that leverages innovative new data products to propose a costeffective, landscape-scale conservation planning approach. We apply our approach to the Cody elk herd range within the Greater Yellowstone Ecosystem (GYE), leveraging satellite data on crop type and density over time and GPS collar data on elk migrations. We provide empirical evidence that using new satellite data products can avoid unconnected corridors and increase the cost effectiveness of corridor construction. In the Cody context, we estimate that achieving the conservation outcome associated with using satellite data on both costs and beneﬁts would cost close to twice as much when using satellite beneﬁt data but only limited cost data and about three times as much when using satellite cost data but only limited beneﬁt data. Empirical work across additional herds is needed to provide additional insights into characteristics of contexts under which we expect gains from satellite and/or GPS collar data.","Gigliotti, Laura; Kroetz, Kailin; Leonard, Bryan; Middleton, Arthur","","",2022,"","",""
6447805,"not_duplicate","included","not_screened","not_started","database","Web of Science","","Earth Observations Can Enable Cost-Effective Conservation of Eastern North Pacific Blue Whales: A Value of Information Analysis","We conduct an analysis to estimate the value of information (VOI) of Earth observations for prospective regulation of marine shipping to conserve Eastern North Pacific blue whales in the Exclusive Economic Zone of the United States. Outcomes are driven by differences across two data products that can be used to inform regulations to limit ship strikes. In the reference case, vessel speed limits depend on species distribution data from shipboard surveys. In the counterfactual case, speed limits depend on species distributions predicted by WhaleWatch, a federal data product incorporating information from several remote sensing technologies. The VOI is identified as the difference in costs to marine shipping operators under the reference and counterfactual cases for regulation of vessel speeds. We estimate that the annual VOI of WhaleWatch is US$21–332 million, depending on the conservation goals of the modeled regulation. Conserving more blue whales—averting more ship strikes—increases the VOI.","Bernknopf, Richard; Kuwayama, Yusuke; Steinkruger, Andrew","","",2021,"","",""
6447806,"not_duplicate","included","not_screened","not_started","database","Web of Science","","The Six Dimensions of Value Associated to the use of Copernicus Sentinel Data: Key Findings From the Sentinel Benefits Study","The role of Earth Observation (EO) data from satellites in supporting informed decision-making and more efficient operational processes is becoming increasingly recognized. However, analysing the value that this generates remains a challenge. Often, top-down cost-benefit analyses are used to justify budgets but with very broad-based, macro-economic assumptions. The approach discussed in this paper is bottom-up building on the use of a single product or service arising from the use of data coming from one or more of the Copernicus Sentinel satellites. This allows a much finer, detailed understanding of how the data is being used and hence contributing to informed decision making. A case-based, value-chain methodology has been applied through which the impact on society can be analysed. Whilst early cases focused on economic value i.e., monetized benefits, later ones recognise that often the benefits may be wider than this. For instance, organisations can benefit through an increased reputation, or societal values such as quality of life can be felt. Consequently, a set of non-monetary dimensions have been defined which provide a new framework for the analysis. The six dimensions are described in the paper and have been tested on a significant number of recent cases. The paper describes the updated methodology and the results obtained through its application.","Mamais, Eleftherios; Papadakis, Dimitri; Sawyer, Geoff","","10",2022,"","",""
6447807,"not_duplicate","included","not_screened","not_started","database","Web of Science","","Valuing Geospatial Information: Using the Contingent Valuation Method to Estimate the Economic Benefits of Landsat Satellite Imagery","While the U.S. government does not charge for downloading Landsat images, the images have value to users. This paper demonstrates a method that can value Landsat and other imagery to users. A survey of downloaders of Landsat images found: (a) established US users have a mean value of $912 USD per scene; (b) new US users and users returning when imagery became free have a mean value of $367 USD per scene. Total US user benefits for the 2.38 million scenes downloaded is $1.8 billion USD. While these benefits indicate a high willingness-to-pay among many Landsat downloaders, it would be economically inefficient for the US government to charge for Landsat imagery. Charging a price of $100 USD a scene would result in an efficiency loss of $37.5 million a year. This economic information should be useful to policy-makers who must decide about the future of this and similar remote sensing programs.","Koontz, Steve; Loomis, John; Miller, Holly; Richardson, Leslie","Photogrammetric Engineering & Remote Sensing","81",2015,"","",""
6447808,"not_duplicate","included","not_screened","not_started","database","Web of Science","","The Value of Remotely Sensed Information: The Case of a GRACE-Enhanced Drought Severity Index","Abstract A decision framework is developed for quantifying the economic value of information (VOI) from the Gravity Recovery and Climate Experiment (GRACE) satellite mission for drought monitoring, with a focus on the potential contributions of groundwater storage and soil moisture measurements from the GRACE data assimilation (GRACE-DA) system. The study consists of (i) the development of a conceptual framework to evaluate the socioeconomic value of GRACE-DA as a contributing source of information to drought monitoring; (ii) structured listening sessions to understand the needs of stakeholders who are affected by drought monitoring; (iii) econometric analysis based on the conceptual framework that characterizes the contribution of GRACE-DA to the U.S. Drought Monitor (USDM) in capturing the effects of drought on the agricultural sector; and (iv) a demonstration of how the improved characterization of drought conditions may influence decisions made in a real-world drought disaster assistance program. Results show that GRACE-DA has the potential to lower the uncertainty associated with the understanding of drought and that this improved understanding has the potential to change policy decisions that lead to tangible societal benefits.","Bernknopf, Richard; Brookshire, David; Kuwayama, Yusuke; Macauley, Molly; Rodell, Matthew; Thompson, Alexandra; Vail, Peter; Zaitchik, Benjamin","","10",2018,"","",""
6447809,"not_duplicate","included","not_screened","not_started","database","Web of Science","","The socio-economic value of satellite earth observations: huge, yet to be measured","Earth-observing satellites provide regular and accurate data that can support evidence-based decisions and public policies in a wide range of domains, potentially bringing huge socio-economic benefits. However, obstacles to effective data exploitation and poor awareness about their impacts risk hindering this potentiality and threaten the investments. Leveraging on the case of the Copernicus Programme, we review the challenges related to the full exploitation of free environmental space data and to the measurement of the related impacts. We then discuss the need for empirical approaches based on value-chain analysis with the objective to stimulate further societal and economic research.","Tassa, Alessandra","","23",2020,"Socio-economic benefits; impact assessment; open environmental geospatial data; policy making; satellite-based earth observations","",""
6447810,"not_duplicate","excluded","not_screened","not_started","database","Web of Science","","The Costs and Costs Avoided From Wildfire Fire Management—A Conceptual Framework for a Value of Information Analysis","Wildﬁre is an integral part of many ecosystems, and wildland ﬁres also have the potential for costly impacts to human health and safety, and damage to structures and natural resources. Public land managers use various strategies for managing landscape conditions that can affect wildﬁre, broadly: fuel treatment (and other pre-ﬁre risk mitigation), ﬁre suppression, and post-ﬁre landscape rehabilitation. However, with any of these strategies there is considerable uncertainty in the outcomes that managers can obtain, and thus on the societal costs and beneﬁts associated with wildland ﬁre management. Managers address that uncertainty by using available information to inform their strategy choices. The value of information (VOI) to the land manager is deﬁned as the expected gains from improved wildland ﬁre management outcomes that result from using the information. This paper discusses estimating the value of information using two approaches: a microeconomic theoretical approach, and the Bayesian decisiontree approach frequently used in the VOI literature. These approaches could be used for valuing speciﬁc pieces of information (with absolute values), and for prioritizing (with relative values) which areas to focus on for future research.","Crowley, Christian; Franco, Fabiano; Simon, Benjamin","Front. Environ. Sci.","10",2022,"","",""
6447811,"not_duplicate","excluded","not_screened","not_started","database","Web of Science","","Opportunities for Increasing the Impact of NASA’s Earth Observations along Environmental Justice Dimensions","Environmental justice (EJ) is an important social priority and has become a policy goal at the federal level. Executive Order 14008, Tackling the Climate Crisis at Home and Abroad, requires all federal agencies to develop programs, policies, and activities to address the disproportionately high adverse environmental impacts faced by marginalized communities. This raises the question of how NASA can increase the impact of its scientific outputs along EJ dimensions. How can the agency’s existing data products be leveraged to enable progress on EJ-related questions? What new scientific information can NASA produce to help reduce environmental inequities? Many of NASA’s earth observations (EOs) offer complete geographic coverage and thus have strong potential to help systematically quantify the unequal burden of environmental harm and promote the equal enforcement of environmental law. For example, this report shows that using satellite-derived measures for monitoring compliance with environmental regulations could have potentially large equity implications. But despite recent efforts to increase the use of satellite data for such policy applications, satellite resources remain largely underutilized. While state and federal agencies are increasingly turning to satellite data for EJ research studies, these results often fall short of influencing decisionmaking (Holloway and Bratburd 2021). Barriers to use for EOs include difficulty in handling the native observations, a lack of trust in the accuracy of the data, and incompatibility of satellite-derived measures with legal compliance monitoring requirements (Prados et al. 2021). Produced as part of the VALUABLES Consortium, this paper aims to outline ways that NASA can use its data products to promote EJ and overcome the barriers faced in the use of satellite data to influence decisionmaking. Importantly, the set of recommendations provided here is not intended to substitute for NASA’s direct engagement with EJ communities to learn what would be of most value to them, but rather is meant to complement these efforts by providing a perspective from the environmental policy community. Specifically, the insights that this perspective can provide are based on environmental policy scholars’ understanding of how scientific information, including remotely sensed information, plays a role in the formation of policy within a variety of economic, political, and social contexts. In addition, the recommendations here are informed by the literature on policy evaluation and knowledge of which kinds of policies have proven to be more effective than others, including those with EJ dimensions. This report focuses on four broad categories of opportunities for promoting EJ: 1. leveraging EOs to reduce the inequitable burden of environmental harm 2. making NASA’s data products more accessible to EJ communities 3. developing new sensors and missions to fill EJ data gaps 4. contributing to the development of quantifiable metrics to measure progress toward EJ goals. This set of recommendations builds on existing efforts at NASA to increase the impact of satellite data along EJ dimensions. In particular, NASA’s Health and Air Quality Applied Sciences Team (HAQAST) has a Tiger Team tasked with leveraging satellite data for EJ. HAQAST members are working with public stakeholders to identify communities disproportionately affected by environmental health risks, build capacity among EJ communities for using and interpreting satellite data sets, and increase the accessibility of satellite data for EJ applications. Additionally, in 2021, NASA announced a new funding opportunity providing an estimated $3 million in awards to advance progress on EJ domestically through the application of earth science, geospatial, and socioeconomic information. The aim of this document is to reinforce the need for this type of work at NASA and identify additional opportunities for advancing EJ using agency resources.","Druckenmiller, Hannah","","",2023,"","",""
6447812,"not_duplicate","excluded","not_screened","not_started","database","Web of Science","","Seasonal synchrony: the key to tick-borne encephalitis foci identified by satellite data","A previous analysis of tick infestation patterns on rodents in Slovakia suggested that the key to the focal distribution of western-type tick-borne encephalitis virus (TBEv) in Europe is the geographically variable degree of synchrony in the seasonal activity of larval and nymphal Ixodes ricinus ticks. This prediction is here tested by examining records, from 7 different countries, of the seasonal variation in the abundance of larvae and nymphs feeding on rodents or questing on the vegetation. Larvae consistently started feeding and questing earlier in the year at sites within TBEv foci than elsewhere, so that they appeared in the spring as soon as nymphs were active. Such larval–nymphal synchrony is associated with a rapid fall in ground-level temperatures from August to October as revealed by the satellite-derived index of Land Surface Temperature (LST). Likewise, of 1992 pixels sampled on a grid across Europe, the 418 that fell within TBEv foci were characterized by a higher than average rate of autumnal cooling relative to the peak midsummer LST. It is proposed that such a seasonal temperature profile may cause unfed larvae to pass the winter in quiescence, from which they emerge synchronously with nymphs in the spring.","Green, R. M.; Peacey, M. F.; Randolph, S. E.; Rogers, D. J.","Parasitology","121",2000,"","",""
6447813,"not_duplicate","excluded","not_screened","not_started","database","Web of Science","","Virtual globes and geospatial health: the potential of new tools in the management and control of vector-borne diseases","The rapidly growing field of three-dimensional software modeling of the Earth holds promise for applications in the geospatial health sciences. Easy-to-use, intuitive virtual globe technologies such as Google Earth™ enable scientists around the world to share their data and research results in a visually attractive and readily understandable fashion without the need for highly sophisticated geographical information systems (GIS) or much technical assistance. This paper discusses the utility of the rapid and simultaneous visualization of how the agents of parasitic diseases are distributed, as well as that of their vectors and/or intermediate hosts together with other spatially-explicit information. The resulting better understanding of the epidemiology of infectious diseases, and the multidimensional environment in which they occur, are highlighted. In particular, the value of Google Earth™, and its web-based pendant Google Maps™, are reviewed from a public health view point, combining results from literature searches and experiences gained thus far from a multidisciplinary project aimed at optimizing schistosomiasis control and transmission surveillance in sub-Saharan Africa. Although the basic analytical capabilities of virtual globe applications are limited, we conclude that they have considerable potential in the support and promotion of the geospatial health sciences as a userfriendly, straightforward GIS tool for the improvement of data collation, visualization and exploration. The potential of these systems for data sharing and broad dissemination of scientific research and results is emphasized.","Kristensen, Thomas K.; Mushinge, Gabriel; Møhlenberg, Flemming; Rahbek, Carsten; Saarnak, Christopher F.L.; Simoonga, Christopher; Stensgaard, Anna-Sofie; Utzinger, Jürg; Vounatsou, Penelope","Geospat Health","3",2009,"","",""
