title,author,abstract,journal,year,doi,screening_status,pub_year,keywords
Enhancing the Application of Earth Observations for Improved Environmental Decision-Making Using the Early Warning eXplorer (EWX),"Shukla, Shraddhanand","The mitigation of losses due to extreme climate events and long-term climate adaptation requires climate informed decision-making. In the past few decades, several remote sensing and modeled-based Earth observations (EOs) have been developed to provide an unprecedented global overview and routine monitoring of climate and its impacts on vegetation and hydrologic conditions, with the goal of supporting informed decision-making. However, their usage in decision-making is particularly limited in climate-risk vulnerable and in situ data-scarce regions such as sub-Saharan Africa, due to lack of access to EOs. Here, we describe the Early Warning eXplorer (EWX), which was developed to address this crucial limitation and facilitate the application of EOs in decision-making, particularly in the food and water-insecure regions of the world. First, the EWX’s core framework, which includes (i) the Viewer, (ii) GeoEngine, and (iii) Support Applications, is described. Then, a comprehensive overview of the Viewer, which is a web-based interface used to access EOs, is provided. This includes a description of (i) the maps and associated features to access gridded EO data and anomalies for different temporal averaging periods, (ii) time series graphs and associated features to access EOs aggregated over polygons such as administrative boundaries, and (iii) commonly used EOs served by the EWX that provide assessments of climate and vegetation conditions. Next, examples are provided to demonstrate how EWX can be used to monitor development, progression, spatial extent, and severity of climate-driven extreme events to support timely decisions related to mitigation of food insecurity and flooding impacts. Finally, the value of a regional implementation of EWX at the Regional Centre for Mapping of Resources for Development (RCMRD) in Nairobi, Kenya, is highlighted. Regional implementation of the EWX facilitates access to regionally focused EOs and their availability at polygon boundaries most relevant to the local decision-makers. Similar instances of EWX implemented in other regions, especially those susceptible to food and water security, will likely further enhance the application of EOs for informed decision-making.",Frontiers in Climate,2021,https://doi.org/10.3389/fclim.2020.583509,included,2021,USAID|USGS|DARPA|ARO|earth observation|food security|water security|web service|drought|climate serv
Valuing User Preferences for Geospatial Fire Monitoring in Guatemala,"Berenter, Jared","Like many landscapes across Central America, forests in Guatemala’s Maya Biosphere Reserve (MBR) are increasingly susceptible to forest fire, with most forest fires resulting from untended agricultural fires. Fire damage poses significant risk to the MBR’s natural resources and cultural heritage, but budget challenges limit the capacity of national, regional, and local institutions to effectively detect, monitor, and control forest fires. The Geospatial Information System for Fire Management (SIGMA-I) is a United States government-subsidized suite of geospatial fire management tools that are widely disseminated, free of charge, to land managers and other users in Guatemala for on-the-ground fire prevention and response. Provision of SIGMA-I geospatial data and tools such as daily thermal “hotspot” maps provide positive benefits for sustainable fire management. However, little research exists supporting the nonmarket monetary value of geospatial fire monitoring tools and their component features. We used a choice experiment to estimate land managers’ willingness to pay for individual attributes of SIGMA-I hotspot mapping in Guatemala. We found quantitative evidence of positive willingness to pay for geospatial data, demonstrating positive nonmarket value of geospatial data for sustainable fire management in developing countries and regions where agricultural fires are common. Our results indicate strong preferences from Guatemala’s forest fire management community for improving the frequency of hotspot reporting and reducing detection of erroneous hotspots. As the availability of geospatial data increases, use of tools like SIGMA-I has the potential to significantly improve fire management, especially in regions where funding and resources for fire management are scarce. Our results support continued multinational funding for tools like SIGMA-I for forest fire management in Guatemala and other developing countries.",Sustainability,2021,https://doi.org/10.3390/su132112077,included,2021,Guatemala|Maya Biosphere Reserve|geospatial|remote sensing|forest fire|hotspot|value of information|
Quantifying the human health benefits of using satellite information to detect cyanobacterial harmful algal blooms and manage recreational advisories in U.S. lakes,"Stroming, Signe","Significant recent advances in satellite remote sensing allow environmental managers to detect and monitor cyanobacterial harmful algal blooms (cyanoHAB), and these capabilities are being used more frequently in water quality management. A quantitative estimate of the socioeconomic benefits generated from these new capabilities, known as an impact assessment, was missing from the growing literature on cyanoHABs and remote sensing. In this paper, we present an impact assessment framework to characterize the socioeconomic benefits of satellite remote sensing for detecting cyanoHABs and managing recreational advisories at freshwater lakes. We then apply this framework to estimate the socioeconomic benefits of satellite data that were used to manage a 2017 cyanoHAB event in Utah Lake. CyanoHAB events on Utah Lake can pose health risks to people who interact with the blooms through recreation. We find that the availability of satellite data yielded socioeconomic benefits by improving human health outcomes valued at approximately $370,000, though a sensitivity analysis reveals that this central estimate can vary significantly ($55,000–$1,057,000 in benefits) as a result of different assumptions regarding the time delay in posting a recreational advisory, the number of people exposed to the cyanoHAB, the number of people who experience gastrointestinal symptoms, and the cost per case of illness.",GeoHealth,2020,https://doi.org/10.1029/2020GH000254,included,2020,NA
"Interactive Model for Assessing Mangrove Health, Ecosystem Services, Policy Consequences, and Satellite Design in Rio de Janeiro Using Earth Observation Data","Reid, Jack","There is an increasing need for tools to translate Earth Observation (EO) data into societally relevant metrics to inform human decision-making. To address this need, we present a multi-disciplinary, interactive modeling framework to advance ecological forecasting and policymaking using EO data. This framework will integrate four model components into one tool: Earth Science, Social Impact, Human Behavior and Satellite Design. The capabilities provided by this framework will improve the management of EO and socioeconomic data in a format usable by non-experts, while harnessing cloud computing, machine learning, economic analysis, complex systems modeling, and model-based systems engineering. This paper presents a prototype that demonstrates the viability of the framework via a case study: the mangrove forests in the Guaratiba area of Rio de Janeiro. These mangroves are vulnerable due to urbanization and rising sea levels. They provide a variety of ecosystem services, including serving as a mechanism for carbon sequestration, supporting subsistence shing, preventing coastal erosion, and attracting an ecotourism industry. The case study of mangrove and community health in Rio de Janeiro demonstrates all four model components. The Earth Science Model builds upon work by NASA biospheric scientists to use EO data, cloud computing and machine learning to track mangrove extent, health, and vulnerability over time for a 600 km2 area, as well as work by the Espa co research group at the Universidade Federal do Rio de Janeiro on the local mangrove ecosystem. To create the Human Decision Making model, we have partnered with Instituto Pereira Passos (the data science o ce of the Rio de Janeiro municipal government) to understand the policy history and socioeconomic factors. To build the Social Impact model, we are collaborating with ecosystem services economists to explain how policies impact mangrove health and how mangroves impact socioeconomic wellbeing. The Satellite Design Model accounts for the types of data collection used by policy makers since 1985. Through such collaborations, we are able to build an integrated, interactive model that policymakers can use to assess mangrove health, ecosystem services value, and policy consequences. The model helps answer such questions as: (a) What is the state of the mangroves over time? (b) How are human communities impacting the mangroves? (c) what is the value of the mangrove ecosystem services to human communities? and (d) what policies can improve human and mangrove outcomes? This case study is demonstrative of the viability of a similar approach for ecosystems around the world.",NA,2020,https://hdl.handle.net/1721.1/129598,included,2020,earth observation|model-based systems engineering|mangroves|machine learning|decision support
Market-based methods for monetizing uncertainty reduction,"Cooke, Roger","New measurement systems are often expensive and need a solid economic justification. Traditional tools based on the value of information are sometimes difficult to apply. When risks are traded in a market, it may be possible to use market instruments to monetize the reductions in uncertainty. This paper illustrates such market-based methods with a satellite system designed to reduce uncertainty in predicting soil moisture in the USA. Soil moisture is a key variable in managing agricultural production and predicting crop yields. Using data on corn and soybean futures, we find that a 30% reduction in the weather-related component of uncertainty in corn and soybean futures pricing yields a yearly US consumer surplus of $1.44 billion. The total present value of information from the satellite system for the USA—calculated with a 3% discount rate—is about $22 billion, assuming the system is in operation for 20 years. The global value of the improvements in weather forecasting could be $63 billion.",Environment Systems and Decisions,2020,https://doi.org/10.1007/s10669-019-09748-w,included,2020,Value of Information|options pricing|SMAP|Bachelier formula|Black-Scholes-Merton model
Knowledge generation using satellite earth observations to support sustainable development goals (SDG): A use case on Land degradation,"Giuliani, Gregory","Land degradation is a critical issue globally requiring immediate actions for protecting biodiversity and associated services provided by ecosystems that are supporting human quality of life. The latest Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services Landmark Assessment Report highlighted that human activities are considerably degrading land and threating the well-being of approximately 3.2 billion\npeople. In order to reduce and ideally reverse this prevailing situation, national capacities should be strengthened to enable effective assessments and mapping of their degraded lands as recommended by the United Nations Sustainable Development Goals (SDGs). The indicator 15.3.1 (“proportion of land that is degraded over total land area”) requires regular data production by countries to inform and assess it through space and time. Earth\nObservations (EO) can play an important role both for generating the indicator in countries where it is missing, as well complementing or enhancing national official data sources. In response to this issue, this paper presents an innovative, scalable and flexible approach to monitor land degradation at various scales (e.g., national, regional, global) using various components of the Global Earth Observation System of Systems (GEOSS) platform to leverage EO resources for informing SDG 15.3.1. The proposed approach follows the Data-Information-Knowledge pattern using the Trends.Earth model (http://trends.earth) and various data sources to generate the indicator. It also implements additional components for model execution and orchestration, knowledge management, and visualization. The proposed approach has been successfully applied at global, regional and national scales and advances the vision of (1) establishing data analytics platforms that can potentially support countries to discover, access and use the necessary datasets to assess land degradation; and (2) developing new capacities to effectively and efficiently use EO-based resources.",International Journal of Applied Earth Observation and Geoinformation,2020,https://doi.org/10.1016/j.jag.2020.102068,included,2020,Land degradation|Sustainable development goal|knowledge|earth observations|Vlab|GEOSS|Trends.Earth
Essential Variables for Environmental Monitoring: What Are the Possible Contributions of Earth Observation Data Cubes?,"Giuliani, Gregory","Environmental sustainability is nowadays a major global issue that requires efficient and effective responses from governments. Essential variables (EV) have emerged in different scientific communities as a means to characterize and follow environmental changes through a set of measurements required to support policy evidence. To help track these changes, our planet has been under continuous observation from satellites since 1972. Currently, petabytes of satellite Earth observation (EO) data are freely available. However, the full information potential of EO data has not been yet realized because many big data challenges and complexity barriers hinder their effective use. Consequently, facilitating the production of EVs using the wealth of satellite EO data can be beneficial for environmental monitoring systems. In response to this issue, a comprehensive list of EVs that can take advantage of consistent time-series satellite data has been derived. In addition, a set of use-cases, using an Earth Observation Data Cube (EODC) to process large volumes of satellite data, have been implemented to demonstrate the practical applicability of EODC to produce EVs. The proposed approach has been successfully tested showing that EODC can facilitate the production of EVs at different scales and benefiting from the spatial and temporal dimension of satellite EO data for enhanced environmental monitoring.\n",Data,2020,https://doi.org/10.3390/data5040100 ,included,2020,essential variables|climate|biodiversity|water|earth observations|data cube
Valuation of Calibration for Satellite Constellations,"Siddiqi, Alfreen","Earth observation systems, consisting of in-space and air borne platforms and sensors, are providing a growing number of high resolution spatial and temporal services including agricultural crop yield predictions, local weather forecasts, and traffic management. As the complexity of these systems increases with multi-platform elements and sophisticated processing and modeling, there are also increasing avenues for introduction of errors. It is important to characterize and quantify the uncertainties and errors. Here, it shown that a value-chain approach can be used for conceptualizing errors and modeling uncertainties relevant for final decisions. This approach can then be applied for improving system value assessments and obtaining an ‘error-adjusted’ value of the remote sensing system. The error-adjusted value can be used in optimization or trade-studies for system design. This value system is then applied, as an example, to the FLARE real world calibration/validation system to look at potential Return on Investment (ROI) of better calibration to satellite image prices and market penetration.",NA,2020,https://digitalcommons.usu.edu/calcon/CALCON2020/all2020content/30/,included,2020,NA
Ten rules to increase the societal value of earth observations,"Virapongse, Arika","Earth Observation (EO) data play an important role in our society today, but there is still tremendous opportunity to improve how these data are used to affect change. In this paper, we provide guidance to help data providers and intermediaries within the EO value chain (from data to applications) increase the societal value ofthe EO data, information, and data products that they work with. We first describe the EO value chain as a conceptual framework for how data are translated and applied for societal benefit. We then introduce three approaches that are often used to assess and improve the EO value chain. Finally, we present ""10 rules"" that can be implemented to increase the societal benefits of Earth science information. The 10 rules emphasize meeting user needs, problem-solving within interdisciplinary teams, and long-term sustainable solutions. Some rules focus on a specific segment of the value chain or phase in the problem-solving process, while others are relevant to the value chain or process as a whole. Each rule includes at least one case study example to illustrate the key points. The rules are loosely organized according to project management principles with the initial rules focusing on defining problems, planning for data use, creating effective teams, and examining a diverse selection ofsolutions. The next set ofrules are best applied throughout a project, and include such concepts as evaluation, interoperability, trust, adoption, and documentation. Finally, the last rule addresses the challenge of determining when to close a project.",Earth Science Informatics,2020,https://doi.org/10.1007/s12145-020-00453-w,included,2020,Earth observation|Data|Information|Value|Societal benefit|Value chain
Cloud services with big data provide a solution for monitoring and tracking sustainable development goals,"Wu, Bingfang","To achieve the Sustainable Development Goals (SDGs), high-quality data are needed to inform the formulation of policies and investment decisions, to monitor progress towards the SDGs and to evaluate the impacts of policies. However, the data landscape is changing. With emerging big data and cloud-based services, there are new opportunities for data collection, influencing both official data collection processes and the operation of the programmes they monitor. This paper uses cases and examples to explore the potential of crowdsourcing and public earth observation (EO) data products for monitoring and tracking the SDGs. This paper suggests that cloud-based services that integrate crowdsourcing and public EO data products provide cost-effective solutions for monitoring and tracking the SDGs, particularly for low-income countries. The paper also discusses the challenges of using cloud services and big data for SDG monitoring. Validation and quality control of public EO data is very important; otherwise, the user will be unable to assess the quality of the data or use it with confidence.",Geography and Sustainability,2020,https://doi.org/10.1016/j.geosus.2020.03.006,included,2020,Big data|Cloud services|SDGs|Monitoring
Assessing the full effects of public investment in space,"Clark, John","Many space-related impact studies have been carried out in the past, but there is no conclusive, comprehensive evaluation of the economic and social effects of public investments in space. Such evaluations are not easy to perform, for several reasons: the space sector is not a recognised category in official statistics; social benefits, which are likely to be very important, are hard to assess; and impacts from R&D are complex and occur in the long term. However, important steps can be made towards better evaluation of impacts. The full set of impacts of space investments may be simultaneously evaluated from both a ""bottom-up"" and a ""top-down"" perspective. In the bottom-up perspective, each effect is measured separately, while the top-down perspective provides a framework for integrating the effects. Although both perspectives have their own advantages and drawbacks, combining them yields both detailed and integrated results. Our discussion of the bottom up approach starts by identifying an extensive list of impacts. Next, data availability issues and methodological improvements are identified, leading to recommendations on programmes to collect data and perform case studies. Finally, suggestions are made for presenting impacts in the form of a scoreboard. The core of the top-down evaluation methodology proposed is social cost benefit analysis. Effects are weighted, where possible, on the basis of observed market prices or other estimations of monetary values. For effects that are hard to measure or monetize, multi-criteria analysis can be applied using surveys and expert opinion. Our core recommendations are to clearly define the space sector, to collect additional data, and to use improved methodologies. Social, strategic and environmental impacts deserve special attention, aiming at a more comprehensive coverage of impacts. Comprehensive evaluations can contribute to more upport for space expenditures.",Space Policy,2020,http://dx.doi.org/10.1016/j.spacepol.2014.03.001,included,2020,Space investments|Impacts|Evaluation
Intangible economic benefit of remote sensing data in Indonesia,"Diana, Shinta Rahma","Indonesian National Institute of Aeronautics and Space (LAPAN) as a space ecosystem runner government institution of the space agency in Indonesia is mandated by Indonesia space law of 2013 to carry out remote sensing activities that are not only strategic nationally in nature but also charged being benefits economically. This study investigated the intangible economic benefits of remote sensing activities in Indonesia. This research explored qualitatively the advantage of the use of remote sensing information by users obtained from the results of questionnaires and in-depth interviews. The conceptual framework of intangible benefit is based on the information system success model by the De-Lone and McLean Information Value model. The results showed that the quality of remote sensing was good. This can be seen from most responses of user respondents on the Perceived System Quality and Information Quality indicators giving a good rating. The response of the user respondents caused a sense of satisfaction and also caused the use of the system to be more intense. These had a good impact on the performance of respondents, both individually and organizationally. Strengthened by indepth interviews showed that economically provide benefits with an average of 64% increasing in the efficiency of the performance by Agriculture and Palm Oil sectors. In short, space agency in Indonesia is proven to provide intangible economic benefits on remote sensing activities.",International Journal of Research in Business & Social Science,2020,https://doi.org/10.20525/ijrbs.v9i7.941,included,2020,Government Institutions|Remote Sensing|Perceived System Quality|Information Quality|intangible econo
The socio-economic value of scientific publications: The case of Earth Observation satellites,"Morretta, Valentina","This paper provides a conceptual framework to estimate the socio-economic benefits of new knowledge generated within research infrastructures from the scientific community’s perspective. We use Earth Observation (EO) satellites as a case study. Constructing, operating, and exploiting cutting-edge EO infrastructures is generating a vast amount of knowledge ultimately embodied in scientific publications. Using bibliometric and machine learning techniques, we analyse 1,235 publications in 1998–2018 related to Cosmo Skymed, the EO satellites constellation of the Italian Space Agency. Thanks to these satellites, 2,377 authors from 160 institutions and 68 countries worldwide have contributed to various subjects in several scientific fields. By using the marginal social value method in a cost-benefit analysis perspective, we conservatively estimate the value of such publications, including their marginal cost and value of citations. This original and straightforward approach can be used to estimate the socio-economic value of scientific publications produced within any research infrastructure, including universities, in any field of study.",Technological Forecasting and Social Change,2020,https://doi.org/10.1016/j.techfore.2022.121730,included,2020,Earth observation|Cost-benefit analysis|Research infrastructures|Marginal Social Value|Scientififc p
A method for estimating the socioeconomic impact of Earth observations in wildland fire suppression decisions,"Herr, Vincent","A method for estimating the socioeconomic impact of Earth observations is proposed and deployed. The core of the method is the analysis of outcomes of hypothetical fire suppression scenarios generated using a coupled atmosphere–fire behaviour model, based on decisions made by an experienced wildfire incident management team with and without the benefits of MODIS (Moderate Resolution Imaging Spectroradiometer) satellite observations and the WRF-SFIRE wildfire behaviour simulation system. The scenarios were based on New Mexico’s 2011 Las Conchas fire. For each scenario, fire break line location decisions served as inputs to the model, generating fire progression outcomes. Fire model output was integrated with a property database containing thousands of coordinates and property values and other asset values to estimate the total losses associated with each scenario. An attempt to estimate the socioeconomic impact of satellite and modelling data used during the decision-making process was made. We analysed the impact of Earth observations and include considerations for estimating other socioeconomic impacts.",International Journal of Wildland Fire,2020,https://doi.org/10.1071/WF18237,included,2020,fire economics|fire management|fire modelling|fire sumulation modelling|remote sensing|socioeconomic
