"id","type_of_work","title","abstract","publication_year","authors","keywords","type_of_reference","journal_name","doi","other_fields","tags","date_screened_t&a","t&a_screened_by","t&a_status","t&a_exclusion_reasons"
6447797,NA,"Assessing the value of information for water quality management in the North Sea","Global Earth Observation (GEO) is one of the most important sources of information for environmental resource management and disaster prevention. With budgets for GEO increasingly under pressure, it is becoming important to be able to quantify the returns to informational investments. For this, a clear analytical framework is lacking. By combining Bayesian decision theory with an empirical, stakeholder-oriented approach, this paper attempts to develop such a framework. The analysis focuses on the use of satellite observations for Dutch water quality management in the North Sea. Dutch water quality management currently relies on information from ‘in situ’ measurements but is considering extending and deepening its information base with satellite observations. To estimate returns to additional investments in satellite observation, we analyze the added value of an extended monitoring system for the management of eutrophication, potentially harmful algal blooms and suspended sediment and turbidity in the North Sea. First, we develop a model to make the potential contribution of information to welfare explicit. Second, we use this model to develop a questionnaire and interpret the results. The results indicate that the expected welfare impact of investing in satellite observation is positive, but that outcomes strongly depend on the accuracy of the information system and the range of informational benefits perceived.",2009,"{""Bouma, J. A."",""Kuik, O. J."",""van der Woerd, H. J.""}","{""Bayesian decision theory"",""Marine water quality"",""Satellite observation"",""Stakeholder consultation"",""Value of information"",""Water resource management""}","journal","Journal of Environmental Management","10.1016/j.jenvman.2008.07.016","{""url"": ""https://www.sciencedirect.com/science/article/pii/S0301479708001977"", ""date"": ""2009-02-01"", ""pages"": ""1280"", ""end_page"": ""1288"", ""access_date"": ""2023-04-19 16:09:29"", ""link_to_pdf"": ""https://www.sciencedirect.com/science/article/pii/S0301479708001977/pdfft?md5=4be6ac7d5a17b5029576aec89c7e1390&pid=1-s2.0-S0301479708001977-main.pdf&isDTMRedir=Y"", ""link_to_fulltext"": ""https://www.sciencedirect.com/science/article/pii/S0301479708001977?casa_token=YoWzQXyzgZYAAAAA:P0rifwSdUX-fN-pPWtxedLbFjEg-SNuSUTeZ3L4UQpWBUsKBv6x8MKQ4WagCmpPlDcyoX1k6QfQ"", ""database_provider"": ""ScienceDirect"", ""journal_name_user_abbr_2"": ""Journal of Environmental Management""}","{benchmark}",NA,NA,NA,NA
6447804,NA,"The value of remotely-sensed data in terrestrial habitat corridor design for large migratory species","Cost-effective conservation program design to support seasonal migratory species is urgently needed, but to-date has received little attention by economists. Conserving migratory corridors is a complicated design problem because of the large spatial scales over which migratory species can travel and the weakest-link characteristic of the problem. If one section or area of a potential migratory corridor is unable to support species movement, the migration through that route will not be successful. We develop and apply an integer-programming modeling approach that leverages innovative new data products to propose a costeffective, landscape-scale conservation planning approach. We apply our approach to the Cody elk herd range within the Greater Yellowstone Ecosystem (GYE), leveraging satellite data on crop type and density over time and GPS collar data on elk migrations. We provide empirical evidence that using new satellite data products can avoid unconnected corridors and increase the cost effectiveness of corridor construction. In the Cody context, we estimate that achieving the conservation outcome associated with using satellite data on both costs and beneﬁts would cost close to twice as much when using satellite beneﬁt data but only limited cost data and about three times as much when using satellite cost data but only limited beneﬁt data. Empirical work across additional herds is needed to provide additional insights into characteristics of contexts under which we expect gains from satellite and/or GPS collar data.",2022,"{""Gigliotti, Laura"",""Kroetz, Kailin"",""Leonard, Bryan"",""Middleton, Arthur""}",NA,"report",NA,NA,"{""url"": ""https://www.rff.org/publications/working-papers/the-value-of-remotely-sensed-data-in-terrestrial-habitat-corridor-design-for-largely-migratory-species/"", ""date"": ""2022-01-19"", ""link_to_pdf"": ""https://media.rff.org/documents/WP_22-21_rGlUga4.pdf"", ""place_published"": ""Washington, D.C."", ""database_provider"": ""Zotero""}","{benchmark}",NA,NA,NA,NA
6673028,NA,"Assessing The Value Of Information For Water Quality Management In The North Sea","Global Earth Observation (GEO) is one of the most important sources of information for environmental resource management and disaster prevention. With budgets for GEO increasingly under pressure, it is becoming important to be able to quantify the returns to informational investments. For this, a clear analytical framework is lacking. By combining Bayesian decision theory with an empirical, stakeholder-oriented approach, this paper attempts to develop such a framework. The analysis focuses on the use of satellite observations for Dutch water quality management in the North Sea. Dutch water quality management currently relies on information from `in situ' measurements but is considering extending and deepening its information base with satellite observations. To estimate returns to additional investments in satellite observation, we analyze the added value of an extended monitoring system for the management of eutrophication, potentially harmful algal blooms and suspended sediment and turbidity in the North Sea. First, we develop a model to make the potential contribution of information to welfare explicit. Second, we use this model to develop a questionnaire and interpret the results. The results indicate that the expected welfare impact of investing in satellite observation is positive, but that outcomes strongly depend on the accuracy of the information system and the range of informational benefits perceived.",2009,"{""Bouma, J. A."",""Kuik, O. J."",""{van der Woerd}, H. J.""}","{""Bayesian decision theory,Marine water quality,Satellite observation,Stakeholder consultation,Value o""}","ARTICLE",NA,"10.1016/j.jenvman.2008.07.016","{}","{benchmark}",NA,NA,NA,NA
6673026,NA,"Monetising The Savings Of Remotely Sensed Data And Information In Burn Area Emergency Response (Baer) Wildfire Assessment","We used a value of information approach to demonstrate the cost-effectiveness of using satellite imagery as part of the Burn Area Emergency Response (BAER), a US federal program that identifies imminent post-wildfire threats to human life and safety, property and critical natural or cultural resources. We compared the costs associated with producing a Burn Area Reflectance Classification map and implementing a BAER when imagery from satellites (either Landsat or a commercial satellite) was available to when the response team relied on information collected solely by aerial reconnaissance. The case study included two evaluations with and without Burn Area Reflectance Classification products: (a) savings of up to US\$51 000 for the Elk Complex wildfire incident request and (b) savings of a multi-incident map production program. Landsat is the most cost-effective way to input burn severity information into the BAER program, with savings of up to US\$35 million over a 5-year period.",2020,"{""Bernknopf, Richard"",""Bernknopf, Richard"",""Blakely, Jessica"",""Blakely, Jessica"",""Clifford, T. J."",""Clifford, T. J."",""Epting, Justin"",""Epting, Justin"",""Gibson, Reily"",""Gibson, Reily"",""Goodrich, David"",""Goodrich, David"",""Hardy, Terry"",""Hardy, Terry"",""Kuwayama, Yusuke"",""Kuwayama, Yusuke"",""Mabee, Bethany"",""Mabee, Bethany"",""Quayle, Brad"",""Quayle, Brad""}",NA,"ARTICLE",NA,"10.1071/WF19209","{}","{benchmark}",NA,NA,NA,NA
6447807,NA,"Valuing Geospatial Information: Using the Contingent Valuation Method to Estimate the Economic Benefits of Landsat Satellite Imagery","While the U.S. government does not charge for downloading Landsat images, the images have value to users. This paper demonstrates a method that can value Landsat and other imagery to users. A survey of downloaders of Landsat images found: (a) established US users have a mean value of $912 USD per scene; (b) new US users and users returning when imagery became free have a mean value of $367 USD per scene. Total US user benefits for the 2.38 million scenes downloaded is $1.8 billion USD. While these benefits indicate a high willingness-to-pay among many Landsat downloaders, it would be economically inefficient for the US government to charge for Landsat imagery. Charging a price of $100 USD a scene would result in an efficiency loss of $37.5 million a year. This economic information should be useful to policy-makers who must decide about the future of this and similar remote sensing programs.",2015,"{""Koontz, Steve"",""Loomis, John"",""Miller, Holly"",""Richardson, Leslie""}",NA,"journal","Photogrammetric Engineering and Remote Sensing","10.14358/PERS.81.8.647","{""date"": ""2015-08-01"", ""pages"": ""647"", ""end_page"": ""656"", ""link_to_pdf"": ""https://www.ingentaconnect.com/search/download;jsessionid=3opupikpd17kq.x-ic-live-01?pub=infobike%3a%2f%2fasprs%2fpers%2f2015%2f00000081%2f00000008%2fart00013&mimetype=application%2fpdf&host=https://www.ingentaconnect.com"", ""short_title"": ""Valuing Geospatial Information"", ""database_provider"": ""IngentaConnect"", ""journal_name_user_abbr_2"": ""Photogrammetric Engineering & Remote Sensing""}","{benchmark}",NA,NA,NA,NA
6673034,NA,"Estimating The Societal Benefits Of Satellite Instruments: Application To A Break-Even Analysis Of The Geoxo Hyperspectral Ir Sounder","This paper describes the process, and lessons learned in a preliminary benefits study of a proposed infrared hyperspectral sounder (HSS) for NOAA's next generation geostationary satellite program (GeoXO). The valuation of government-owned satellite systems providing a public good with a complex array of instruments is a nascent field of study. Many different sensor configurations are possible, but there are restrictions due to physical and budget constraints. Accounting for economic considerations during the design and planning phase for satellite constellations helps to ensure that the most cost effective instruments are selected. To assess whether the HSS instrument should be included on GeoXO, we applied a value of information approach and found the benefits associated with this instrument are likely to substantially outweigh the costs. Value of information studies often focus on data and information that has a direct use case. Estimating benefits for the HSS is especially challenging because data are not used directly by decision makers. Instead these data along with information from other Earth observing (EO) satellites play a key role in producing the inputs necessary for modern numerical hydrometeorological modeling. We describe strategies to assess the marginal (i.e., incremental) contribution of an instrument that is part of a complex information production process. We make several recommendations that, if implemented, would improve the quality of future studies of this kind. This includes (1) a systems approach to observing system planning, (2) improving the design of observing system experiments (OSSE and OSE), and (3) better tracking of the decisions and needs of end-users, especially those external to the agency.",2021,"{""Adkins, Jeffery"",""Conran, Joseph"",""Lauer, Christopher""}",NA,"ARTICLE",NA,NA,"{}","{benchmark}",NA,NA,NA,NA
6673030,NA,"Value Of Information For Climate Observing Systems","The Interagency Working Group Memo on the social cost of carbon is used to compute the value of information (VOI) of climate observing systems. A generic decision context is posited in which society switches from a business as usual (BAU) emissions path to a reduced emissions path upon achieving sufficient confidence that a trigger variable exceeds a stipulated critical value. Using assessments of natural variability and uncertainty of measuring instruments, it is possible to compute the time at which the required confidence would be reached under the current and under a new observing system, if indeed the critical value is reached. Economic damages (worldwide) from carbon emissions are computed with an integrated assessment model. The more accurate observing system acquires the required confidence earlier and switches sooner to the reduced emissions path, thereby avoiding more damages which would otherwise be incurred by BAU emissions. The difference in expected net present value of averted damages under the two observing systems is the VOI of the new observing system relative to the existing system. As illustration, the VOI for the proposed space-borne CLARREO system relative to current space-borne systems is computed. Depending on details of the decision context, the VOI ranges from 2 to 30 trillion US dollars.",2014,"{""Cooke, Roger"",""Mlynczak, Martin G."",""Wielicki, Bruce A."",""Young, David F.""}","{""CLARREO,Climate observing system,DICE,Social cost of carbon,Value of information""}","ARTICLE",NA,"10.1007/s10669-013-9451-8","{}","{benchmark}",NA,NA,NA,NA
6673042,NA,"The Socio-Economic Value Of Satellite Earth Observations: Huge, Yet To Be Measured","Earth-observing satellites provide regular and accurate data that can support evidence-based decisions and public policies in a wide range of domains, potentially bringing huge socio-economic benefits. However, obstacles to effective data exploitation and poor awareness about their impacts risk hindering this potentiality and threaten the investments. Leveraging on the case of the Copernicus Programme, we review the challenges related to the full exploitation of free environmental space data and to the measurement of the related impacts. We then discuss the need for empirical approaches based on value-chain analysis with the objective to stimulate further societal and economic research.",2020,"{""Tassa, Alessandra""}","{""impact assessment,open environmental geospatial data,policy making,satellite-based earth observation""}","ARTICLE",NA,"10.1080/17487870.2019.1601565","{}","{benchmark}",NA,NA,NA,NA
6673027,NA,"The Value Of Remotely Sensed Information: The Case Of A Grace-Enhanced Drought Severity Index","Abstract A decision framework is developed for quantifying the economic value of information (VOI) from the Gravity Recovery and Climate Experiment (GRACE) satellite mission for drought monitoring, with a focus on the potential contributions of groundwater storage and soil moisture measurements from the GRACE data assimilation (GRACE-DA) system. The study consists of (i) the development of a conceptual framework to evaluate the socioeconomic value of GRACE-DA as a contributing source of information to drought monitoring; (ii) structured listening sessions to understand the needs of stakeholders who are affected by drought monitoring; (iii) econometric analysis based on the conceptual framework that characterizes the contribution of GRACE-DA to the U.S. Drought Monitor (USDM) in capturing the effects of drought on the agricultural sector; and (iv) a demonstration of how the improved characterization of drought conditions may influence decisions made in a real-world drought disaster assistance program. Results show that GRACE-DA has the potential to lower the uncertainty associated with the understanding of drought and that this improved understanding has the potential to change policy decisions that lead to tangible societal benefits.",2018,"{""Bernknopf, Richard"",""Brookshire, David"",""Kuwayama, Yusuke"",""Macauley, Molly"",""Rodell, Matthew"",""Thompson, Alexandra"",""Vail, Peter"",""Zaitchik, Benjamin""}",NA,"ARTICLE",NA,"10.1175/WCAS-D-16-0044.1","{}","{benchmark}",NA,NA,NA,NA
6447798,NA,"The Value of Near Real-Time Earth Observations for Improved Flood Disaster Response","Information is a critical resource in disaster response scenarios. Data regarding the geographic extent, severity, and socioeconomic impacts of a disaster event can help guide emergency responders and relief operations, particularly when delivered within hours of data acquisition. Information from remote observations provides a valuable tool for assessing conditions “on the ground” more quickly and efficiently. Here, we evaluate the social value of a near real-time flood impact system using a disaster response case study, and quantify the Value of Information (VOI) of satellite-based observations for rapid response using a hypothetical flooding disaster in Bangkok, Thailand. MODIS imagery from NASA's Land, Atmosphere Near real-time Capability for EOS (LANCE) system is used to produce operational estimates of inundation depths and economic damages. These rapid Earth observations are coupled with a decision-analytical model to inform decisions on emergency vehicle routing. Emergency response times from vehicles routed using flood damage data are compared with baseline routes without the benefit of advance information on road conditions. Our results illustrate how the application of near real-time Earth observations can improve the response time and reduce potential encounters with flood hazards when compared with baseline routing strategies. Results indicate a potential significant economic benefit (i.e., millions of dollars) from applying near real-time Earth observations for improved flood disaster response and management.",2019,"{""Bolten, John D."",""Oddo, Perry C.""}",NA,"journal","Frontiers in Environmental Science",NA,"{""url"": ""https://www.frontiersin.org/articles/10.3389/fenvs.2019.00127"", ""date"": ""2019-01-19"", ""access_date"": ""2023-04-21 20:31:42"", ""link_to_pdf"": ""https://www.frontiersin.org/articles/10.3389/fenvs.2019.00127/pdf"", ""database_provider"": ""Frontiers""}","{benchmark}",NA,NA,NA,NA
