title,author,year,pdf_out,csv_out
The Role of Stakeholders in Creating Societal Value From Coastal and Ocean Observations,"Mackenzie, Bev and Celliers, Louis and Assad, Luiz Paulo De Freitas and Heymans, Johanna J. and Rome, Nicholas and Thomas, Julie and Anderson, Clarissa and Behrens, James and Calverley, Mark and Desai, Kruti and DiGiacomo, Paul M. and Djavidnia, Samy and Dos Santos, Francisco and Eparkhina, Dina and Ferrari, Jos{\'e} and Hanly, Caitriona and Houtman, Bob and Jeans, Gus and Landau, Luiz and Larkin, Kate and Legler, David and Le Traon, Pierre-Yves and Lindstrom, Eric and Loosley, David and Nolan, Glenn and Petihakis, George and Pellegrini, Julio and Roberts, Zoe and Siddorn, John R. and Smail, Emily and {Sousa-Pinto}, Isabel and Terrill, Eric",2019,_data/5a_societal_benefits/pdf/mackenzie_2019_the_role_of_stakeholders.pdf,_data/5a_societal_benefits/csv/mackenzie_2019_the_role_of_stakeholders.csv
The Value of Remotely Sensed Information: The Case of a GRACE-Enhanced Drought Severity Index,"Bernknopf, Richard and Brookshire, David and Kuwayama, Yusuke and Macauley, Molly and Rodell, Matthew and Thompson, Alexandra and Vail, Peter and Zaitchik, Benjamin",2018,_data/5a_societal_benefits/pdf/bernknopf_2018_the_value_of_remotely.pdf,_data/5a_societal_benefits/csv/bernknopf_2018_the_value_of_remotely.csv
Improved Hydrological Decision Support System for the Lower Mekong River Basin Using Satellite-Based Earth Observations,"Mohammed, Ibrahim and Bolten, John and Srinivasan, Raghavan and Lakshmi, Venkat",2018,_data/5a_societal_benefits/pdf/mohammed_2018_improved_hydrological_decision_support.pdf,_data/5a_societal_benefits/csv/mohammed_2018_improved_hydrological_decision_support.csv
Do Users Benefit from Additional Information in Support of Operational Drought Management Decisions in the Ebro Basin?,"Lin{\'e}s, Clara and Iglesias, Ana and Garrote, Luis and Sot{\'e}s, Vicente and Werner, Micha",2018,_data/5a_societal_benefits/pdf/line_2018_do_users_benefit_from.pdf,_data/5a_societal_benefits/csv/line_2018_do_users_benefit_from.csv
Engaging Global Youth in Participatory Spatial Data Creation for the UN Sustainable Development Goals: The Case of Open Mapping for Malaria Prevention,"Sol{\'i}s, Patricia and McCusker, Brent and Menkiti, Nwasinachi and Cowan, Nuala and Blevins, Chad",2018,_data/5a_societal_benefits/pdf/soli_2018_engaging_global_youth_in.pdf,_data/5a_societal_benefits/csv/soli_2018_engaging_global_youth_in.csv
Satellite Earth Observations and Their Impact on Society and Policy,NA,2017,_data/5a_societal_benefits/pdf/2017_satellite_earth_observations_and.pdf,_data/5a_societal_benefits/csv/2017_satellite_earth_observations_and.csv
Benefits and Beneficiaries of the Oklahoma Mesonet: A Multisectoral Ripple Effect Analysis,"Ziolkowska, Jadwiga R. and Fiebrich, Christopher A. and Carlson, J. D. and Melvin, Andrea D. and Sutherland, Albert J. and Kloesel, Kevin A. and McManus, Gary D. and Illston, Bradley G. and Hocker, James E. and Reyes, Reuben",2017,_data/5a_societal_benefits/pdf/ziolkowska_2017_benefits_and_beneficiaries_of.pdf,_data/5a_societal_benefits/csv/ziolkowska_2017_benefits_and_beneficiaries_of.csv
Free Satellite Imagery and Digital Elevation Model Analyses Enabling Natural Resource Management in the Developing World: Case Studies from Eastern Indonesia,"Fisher, Rohan Peter and Hobgen, Sarah Elizabeth and Haleberek, Kristianus and Sula, Nelson and Mandaya, Iradaf",2017,_data/5a_societal_benefits/pdf/fisher_2017_free_satellite_imagery_and.pdf,_data/5a_societal_benefits/csv/fisher_2017_free_satellite_imagery_and.csv
Seeing Our Planet Whole: A Cultural and Ethical View of Earth Observation,"Eyres, Harry",2017,_data/5a_societal_benefits/pdf/eyres_2017_seeing_our_planet_whole.pdf,_data/5a_societal_benefits/csv/eyres_2017_seeing_our_planet_whole.csv
Cost and Value of Multidisciplinary Fixed-Point Ocean Observatories,"Cristini, Luisa and Lampitt, Richard S. and Cardin, Vanessa and Delory, Eric and Haugan, Peter and O'Neill, Nick and Petihakis, George and Ruhl, Henry A.",2016,_data/5a_societal_benefits/pdf/cristini_2016_cost_and_value_of.pdf,_data/5a_societal_benefits/csv/cristini_2016_cost_and_value_of.csv
Data Poverty: A Global Evaluation for 2009 to 2013 - Implications for Sustainable Development and Disaster Risk Reduction,"Leidig, Mathias and Teeuw, Richard M. and Gibson, Andrew D.",2016,_data/5a_societal_benefits/pdf/leidig_2016_data_poverty_a_global.pdf,_data/5a_societal_benefits/csv/leidig_2016_data_poverty_a_global.csv
Economic Assessment of the Use Value of Geospatial Information,"Bernknopf, Richard and Shapiro, Carl",2015,_data/5a_societal_benefits/pdf/bernknopf_2015_economic_assessment_of_the.pdf,_data/5a_societal_benefits/csv/bernknopf_2015_economic_assessment_of_the.csv
The Social Innovation Potential of ICT-enabled Citizen Observatories to Increase eParticipation in Local Flood Risk Management,"Wehn, Uta and Evers, Jaap",2015,_data/5a_societal_benefits/pdf/wehn_2015_the_social_innovation_potential.pdf,_data/5a_societal_benefits/csv/wehn_2015_the_social_innovation_potential.csv
"The Value of Satellite-Based Active Fire Data for Monitoring, Reporting and Verification of REDD+ in the Lao PDR","M{\""u}ller, Daniel and Suess, Stefan and Hoffmann, Anja A. and Buchholz, Georg",2013,_data/5a_societal_benefits/pdf/mu_2013_the_value_of_satellite.pdf,_data/5a_societal_benefits/csv/mu_2013_the_value_of_satellite.csv
A User-Driven Approach to Determining Critical Earth Observation Priorities for Societal Benefit,"Zell, Erica and Huff, Amy K. and Carpenter, Adam T. and Friedl, Lawrence A.",2012,_data/5a_societal_benefits/pdf/zell_2012_a_user_driven_approach.pdf,_data/5a_societal_benefits/csv/zell_2012_a_user_driven_approach.csv
CEOS Contributions to Informing Energy Management and Policy Decision Making Using Space-Based Earth Observations,"Eckman, Richard S. and Stackhouse, Paul W.",2012,_data/5a_societal_benefits/pdf/eckman_2012_ceos_contributions_to_informing.pdf,_data/5a_societal_benefits/csv/eckman_2012_ceos_contributions_to_informing.csv
Program Goals for the NASA/NOAA Earth Observation Program Derived from a Stakeholder Value Network Analysis,"Sutherland, Timothy A. and Cameron, Bruce G. and Crawley, Edward F.",2012,_data/5a_societal_benefits/pdf/sutherland_2012_program_goals_for_the.pdf,_data/5a_societal_benefits/csv/sutherland_2012_program_goals_for_the.csv
The Value of Information: Methodological Frontiers and New Applications in Environment and Health,NA,2012,_data/5a_societal_benefits/pdf/2012_the_value_of_information.pdf,_data/5a_societal_benefits/csv/2012_the_value_of_information.csv
Satellite Earth Observation Value Added Services in the Nigerian Economy,Zahrah Naankwat Musa} and {Halilu A. Shaba,2010,_data/5a_societal_benefits/pdf/zahrahnaankwatmusa_2010_satellite_earth_observation_value.pdf,_data/5a_societal_benefits/csv/zahrahnaankwatmusa_2010_satellite_earth_observation_value.csv
From Science to Applications: Determinants of Diffusion in the Use of Earth Observations,"Macauley, Molly K. and Maher, Joseph Andrew and Shih, J. S.",2010,_data/5a_societal_benefits/pdf/macauley_2010_from_science_to_applications.pdf,_data/5a_societal_benefits/csv/macauley_2010_from_science_to_applications.csv
Use of Climate Information for Socio-Economic Benefits,"Gunasekera, Don",2010,_data/5a_societal_benefits/pdf/gunasekera_2010_use_of_climate_information.pdf,_data/5a_societal_benefits/csv/gunasekera_2010_use_of_climate_information.csv
Operational Use and Impact of Satellite Remotely Sensed Ocean Surface Vector Winds in the Marine Warning and Forecasting Environment,"Chang, Paul and Jelenak, Zorena and Sienkiewicz, Joseph and Knabb, Richard and Brennan, Michael and Long, David and Freeberg, Mark",2009,_data/5a_societal_benefits/pdf/chang_2009_operational_use_and_impact.pdf,_data/5a_societal_benefits/csv/chang_2009_operational_use_and_impact.csv
Potential Benefits of Coastal Ocean Observing Systems to Alaskan Commercial Fisheries,"Wellman, Katharine F. and Hartley, Marcus",2008,_data/5a_societal_benefits/pdf/wellman_2008_potential_benefits_of_coastal.pdf,_data/5a_societal_benefits/csv/wellman_2008_potential_benefits_of_coastal.csv
Assimilation of GRACE Terrestrial Water Storage Data into a Land Surface Model: Results for the Mississippi River Basin,"Zaitchik, Benjamin F. and Rodell, Matthew and Reichle, Rolf H.",2008,_data/5a_societal_benefits/pdf/zaitchik_2008_assimilation_of_grace_terrestrial.pdf,_data/5a_societal_benefits/csv/zaitchik_2008_assimilation_of_grace_terrestrial.csv
Ascribing Societal Benefit to Environmental Observations of Earth from Space: The Multiangle Imaging Spectroradiometer (Misr,"Macauley, Molly K.",2006,_data/5a_societal_benefits/pdf/macauley_2006_ascribing_societal_benefit_to.pdf,_data/5a_societal_benefits/csv/macauley_2006_ascribing_societal_benefit_to.csv
The Potential Value of Improved Ocean Observation Systems in the Gulf of Mexico,"Kaiser, Mark J. and Pulsipher, Allan G.",2004,_data/5a_societal_benefits/pdf/kaiser_2004_the_potential_value_of.pdf,_data/5a_societal_benefits/csv/kaiser_2004_the_potential_value_of.csv
A Benefit-Cost Analysis of a Regional Global Ocean Observing System: Seawatch Europe,"Stel, Jan H and Mannix, Brian F",1996,_data/5a_societal_benefits/pdf/stel_1996_a_benefit_cost_analysis.pdf,_data/5a_societal_benefits/csv/stel_1996_a_benefit_cost_analysis.csv
As Seen From Space: Tele-Epidemiological Data as Pandemic Memory,"Gleason, Louis",2022,_data/5a_societal_benefits/pdf/gleason_2022_as_seen_from_space.pdf,_data/5a_societal_benefits/csv/gleason_2022_as_seen_from_space.csv
Valuation of Calibration for Satellite Constellations,"Siddiqi, Afreen and Baber, Sheila and {de Weck}, Olivier L and Durell, Chris and Russell, Brandon and Holt, Jeff",2020,_data/5a_societal_benefits/pdf/siddiqi_2020_valuation_of_calibration_for.pdf,_data/5a_societal_benefits/csv/siddiqi_2020_valuation_of_calibration_for.csv
"Users, Uses, and Value of Landsat Satellite Imagery: Results from the 2012 Survey of Users","Miller, Holly M. and Richardson, Leslie A. and Koontz, Stephen R. and Loomis, John and Koontz, Lynne",2013,_data/5a_societal_benefits/pdf/miller_2013_users_uses_and_value.pdf,_data/5a_societal_benefits/csv/miller_2013_users_uses_and_value.csv
"Demonstrating the Value of Earth Observations---Methods, Practical Applications, and Solutions---Group on Earth Observations Side Event Proceedings","Pearlman, Francoise and Lawrence, Collin B. and Pindilli, Emily J. and Geppi, Denna and Shapiro, Carl D. and Grasso, Monica and Pearlman, Jay and Adkins, Jeffery and Sawyer, Geoff and Tassa, Alessandra",2019,_data/5a_societal_benefits/pdf/pearlman_2019_demonstrating_the_value_of.pdf,_data/5a_societal_benefits/csv/pearlman_2019_demonstrating_the_value_of.csv
A Cost-Benefit Analysis of The National Map,"Halsing, David L. and Theissen, Kevin and Bernknopf, Richard",2004,_data/5a_societal_benefits/pdf/halsing_2004_a_cost_benefit_analysis.pdf,_data/5a_societal_benefits/csv/halsing_2004_a_cost_benefit_analysis.csv
Landsat and Water: Case Studies of the Uses and Benefits of Landsat Imagery in Water Resources,"Serbina, Larisa O. and Miller, Holly M.",2014,_data/5a_societal_benefits/pdf/serbina_2014_landsat_and_water_case.pdf,_data/5a_societal_benefits/csv/serbina_2014_landsat_and_water_case.csv
"Interactive Model for Assessing Mangrove Health, Ecosystem Services, Policy Consequences, and Satellite Design in Rio de Janeiro Using Earth Observation Data","Reida, Jack B. and Wood, Danielle",2020,_data/5a_societal_benefits/pdf/reida_2020_interactive_model_for_assessing.pdf,_data/5a_societal_benefits/csv/reida_2020_interactive_model_for_assessing.csv
Banda Aceh-The Value of Earth Observation Data in Disaster Recovery and Reconstruction: A Case Study,"McCallum, I. and Kidd, R. and Fritz, S. and Kraxner, F. and Obersteiner, M. and Shvidenko, Anatoly",2008,_data/5a_societal_benefits/pdf/mccallum_2008_banda_aceh_the_value.pdf,_data/5a_societal_benefits/csv/mccallum_2008_banda_aceh_the_value.csv
Investigating the Global Socio-Economic Benefits of Satellite Industry and Remote Sensing Applications,"Alvino, Letizia and Marino, Stefano and Ahmad, Uzair and Alvino, Arturo",2020,_data/5a_societal_benefits/pdf/alvino_2020_investigating_the_global_socio.pdf,_data/5a_societal_benefits/csv/alvino_2020_investigating_the_global_socio.csv
Earth Observation in a Cost-Benefit Analysis Perspective: Cosmo SkyMed Satellites of the Italian Space Agency,"Cl{\`o}, Stefano and Florio, Massimo and Morretta, Valentina and Vurchio, Davide",NA,_data/5a_societal_benefits/pdf/clo_earth_observation_in_a.pdf,_data/5a_societal_benefits/csv/clo_earth_observation_in_a.csv
Visual Evidence from Above: Assessing the Value of Earth Observation Satellites for Supporting Human Rights,"Notley, Tanya and {Webb-Gannon}, Camellia",2016,_data/5a_societal_benefits/pdf/notley_2016_visual_evidence_from_above.pdf,_data/5a_societal_benefits/csv/notley_2016_visual_evidence_from_above.csv
Position Paper: Evaluation Methods and Techniques,"Smart, Alan",2014,_data/5a_societal_benefits/pdf/smart_2014_position_paper_evaluation_methods.pdf,_data/5a_societal_benefits/csv/smart_2014_position_paper_evaluation_methods.csv
What Is the Economic Value of Satellite Imagery?,"Raunikar, Ronald P. and Forney, William M. and Benjamin, Susan P.",2013,_data/5a_societal_benefits/pdf/raunikar_2013_what_is_the_economic.pdf,_data/5a_societal_benefits/csv/raunikar_2013_what_is_the_economic.csv
Empowering Brazilian Unprivileged Communities with High Geotechnological Tools,"Brito, Patricia Lustosa and Reis, Daniel Nadier Cavalcanti and Brito, Ricardo Lustosa and {de Oliveira Fernandes}, Vivian and Alixandrini, Mauro",2013,_data/5a_societal_benefits/pdf/brito_2013_empowering_brazilian_unprivileged_communities.pdf,_data/5a_societal_benefits/csv/brito_2013_empowering_brazilian_unprivileged_communities.csv
An Economic Value of Remote Sensing Information: Application to Agricultural Production and Maintaining Ground Waterquality,"Forney, William M. and Raunikar, R. and Mishra, Shruti and Bernknopf, R.",2012,_data/5a_societal_benefits/pdf/forney_2012_an_economic_value_of.pdf,_data/5a_societal_benefits/csv/forney_2012_an_economic_value_of.csv
Socio-Economic Benefits from the Use of Earth Observation,"Borzacchiello, Maria Teresa and Craglia, Massimo",2011,_data/5a_societal_benefits/pdf/borzacchiello_2011_socio_economic_benefits_from.pdf,_data/5a_societal_benefits/csv/borzacchiello_2011_socio_economic_benefits_from.csv
Identifying Methods for Quantifying the Societal Impacts of the National Oceanic and Atmospheric Administration,"Pendleton, Linwood and Wiley, Peter and {Beller-Simms}, Nancy and Curtis, Rita and Gaynor, John and Huffer, Hillary and Morris, Charlie and Sagar, Heather and Smith, Adam and Sprague, Jennifer and Triezenberg, Heather",2011,_data/5a_societal_benefits/pdf/pendleton_2011_identifying_methods_for_quantifying.pdf,_data/5a_societal_benefits/csv/pendleton_2011_identifying_methods_for_quantifying.csv
Assessing the Economic Value of Early Warning Systems,"Klafft, Michael and Meissen, Ulrich",2011,_data/5a_societal_benefits/pdf/klafft_2011_assessing_the_economic_value.pdf,_data/5a_societal_benefits/csv/klafft_2011_assessing_the_economic_value.csv
The Value of Earth Observation for Managing the Great Barrier Reef,"Bouma, Jetske and Kuik, Onno and Dekker, Arnold",NA,_data/5a_societal_benefits/pdf/bouma_the_value_of_earth.pdf,_data/5a_societal_benefits/csv/bouma_the_value_of_earth.csv
The Value of Earth Observation for Marine Water Quality Management,"Bouma, J. A. and Kuik, O. J. and {van der Woerd}, H. J. and Dekker, A. G.",2009,_data/5a_societal_benefits/pdf/bouma_2009_the_value_of_earth.pdf,_data/5a_societal_benefits/csv/bouma_2009_the_value_of_earth.csv
A PROFESSIONAL REVIEW FOR INTEGRATION OF EARTH OBSERVATIONS INTO FEWS NET DECISION SUPPORT,"Ross, Kenton W. and Underwood, Lauren W. and Brown, Molly E.",NA,_data/5a_societal_benefits/pdf/ross_a_professional_review_for.pdf,_data/5a_societal_benefits/csv/ross_a_professional_review_for.csv
Integrating Earth Observation Data into Geospatial Databases That Support Public Health Decisions,"Morain, S. A. and Budge, A. M.",2006,_data/5a_societal_benefits/pdf/morain_2006_integrating_earth_observation_data.pdf,_data/5a_societal_benefits/csv/morain_2006_integrating_earth_observation_data.csv
The Socioeconomic Benefits of Earth Science and Applications Research: Reducing the Risks and Costs of Natural Disasters in the USA,"Williamson, Ray A and Hertzfeld, Henry R and Cordes, Joseph and Logsdon, John M",2002,_data/5a_societal_benefits/pdf/williamson_2002_the_socioeconomic_benefits_of.pdf,_data/5a_societal_benefits/csv/williamson_2002_the_socioeconomic_benefits_of.csv
