"id","title","abstract","publication_year","authors","type_of_reference","journal_name","doi","other_fields","tags","date_screened_t&a","t&a_status","t&a_exclusion_reasons","date_screened_fulltext"
7038182,"Use Of Satellite Image Derived Products For Early Warning And Monitoring Of The Impact Of Drought On Food Security In Africa","African and other countries in theworld suffer from regular occurrence of extreme weather events of which droughts form a significant part. This is seriously affecting the ability of those countries to cover their population needs in food supply and to maintain their livelihood. However, the pattern of droughts is extremely variable both temporally and spatially and it is crucial that decision makers be informed in advance of the extent and location of potential drought conditions to target relief measures. Approaches to food security monitoring based on the temporal and spatial analyses of Satellite image derived products are presented. These approaches demonstrate that the extent and severity of a drought can effectively be characterised in near real time. Examples of previouswork in Zambia showed the benefit of integrating historical agricultural statistics with satellite derived products to better attribute vegetation development variability to agricultural production thus providing a means to predict potential crop production levels for the current growing season. Other work in Namibia, Niger, Senegal, South Sudan and Botswana shows that such techniques can be used to monitor rangeland primary production levels for a given season. Lessons from the implementation of these approaches operationally are summarized, emphasizing the importance of institutional support. © Springer Science+Business Media New York 2015. All rights reserved.",NA,NA,"article",NA,"10.1007/978-1-4939-2602-2_12","{""notes"": ""('sannier_satelliteimagederivedproducts_2015',)""}","{}",2024-12-13 18:31:23,"included",NA,NA
6863498,"The Value Of Site-Specific Information And The Environment: Technology Adoption And Pesticide Use Under Uncertainty","Remote sensing technology offers an opportunity to significantly increase the amount of site-specific information about field characteristics such as pest populations. Coupled with variable rate application technologies, this added information has the potential to provide environmental benefits through reduced pesticide applications. However, producers face a complicated adoption decision because output prices and crop yields are uncertain. A model is developed to examine the potential value of remote sensing information to pesticide applications in an option-value framework under uncertainty. Simulations suggest that remote sensing information could decrease pesticide use, but uncertainty and irreversibility are likely to limit technological adoption by farmers. Potential cost-share subsidies are discussed. (c) 2005 Elsevier Ltd. All rights reserved.",2005,"{""Coble, KH"",""Hudson, D"",""Isik, M""}","article",NA,"10.1016/j.jenvman.2005.01.024","{""notes"": ""('isik_sitespecificinformationenvironment_2005',)""}","{}",2024-07-12 19:48:02,"included",NA,NA
6863048,"Where Have All The People Gone? Enhancing Global Conservation Using Night Lights And Social Media","Conservation prioritization at large scales is complex, combining biological, environmental, and social factors. While conservation scientists now more often aim to incorporate human-related factors, a critical yet unquantified challenge remains: to identify which areas people use for recreation outside urban centers. To address this gap in applied ecology and conservation, we developed a novel approach for quantifying human presence beyond populated areas by combining social media ""big data"" and remote sensing tools. We used data from the Flickr photo-sharing website as a surrogate for identifying spatial variation in visitation globally, and complemented this estimate with spatially explicit information on stable night lights between 2004 and 2012, used as a proxy for identifying urban and industrial centers. Natural and seminatural areas attracting visitors were defined as areas both highly photographed and non-lit. The number of Flickr photographers within protected areas was found to be a reliable surrogate for estimating visitor numbers as confirmed by local authority censuses (r = 0.8). Half of all visitors' photos taken in protected areas originated from under 1\% of all protected areas on Earth (250 of 27 000). The most photographed protected areas globally included Yosemite and Yellowstone National Parks (USA), and the Lake and Peak Districts (UK). Factors explaining the spatial variation in protected areas Flickr photo coverage included their type (e.g., UNESCO World Heritage sites have higher visitation) and accessibility to roads and trails. Using this approach, we identified photography hotspots, which draw many visitors and are also unlit (i.e., are located outside urban centers), but currently remain largely unprotected, such as Brazil's Pantanal and Bolivia's Salar de Uyuni. The integrated big data approach developed here demonstrates the benefits of combining remote sensing sources and novel geo-tagged and crowd-sourced information from social media in future efforts to identify spatial conservation gaps and pressures in real time, and their spatial and temporal variation globally.",2015,"{""Crandall, David"",""Kark, Salit"",""Levin, Noam""}","article",NA,"10.1890/15-0113.1.sm","{""notes"": ""('levin_peopleenhancingglobalconservation_2015',)""}","{}",2024-07-12 19:45:45,"included",NA,NA
6669797,"Data Justice And Biodiversity Conservation","Increases in data availability coupled with enhanced computational capacities are revolutionizing conservation. But in the excitement over the opportunities afforded by new data, there has been less discussion of the justice implications of data used in conservation, that is, how people and environments are represented through data, the conservation choices made based on data, and the distribution of benefits and harms arising from these choices. We propose a framework for understanding the justice dimensions of conservation data composed of five elements: data composition, data control, data access, data processing and use, and data consequences. For each element, we suggest a set of guiding questions that conservationists could use to think through their collection and use of data and to identify potential data injustices. The need for such a framework is illustrated by a synthesis of recent critiques of global conservation prioritization analyses. These critiques demonstrate the range of ways data could serve to produce social and ecological harms due to the choice of underlying data sets, assumptions made in the analysis, oversimplification of real-world conservation practice, and crowding out of other forms of knowledge. We conclude by arguing that there are ways to mitigate risks of conservation data injustices, through formal ethical and legal frameworks and by promoting a more inclusive and more reflexive conservation research ethos. These will help ensure that data contribute to conservation strategies that are both socially just and ecologically effective. © 2022 The Authors. Conservation Biology published by Wiley Periodicals LLC on behalf of Society for Conservation Biology.",2022,"{""Brockington, D."",""Kiwango, W. A."",""Oldekop, J. A."",""Pritchard, R."",""Sauls, L. A.""}","journal",NA,"10.1111/cobi.13919","{}","{cco,maybe}",2024-04-15 17:54:59,"included",NA,NA
6669797,"Data Justice And Biodiversity Conservation","Increases in data availability coupled with enhanced computational capacities are revolutionizing conservation. But in the excitement over the opportunities afforded by new data, there has been less discussion of the justice implications of data used in conservation, that is, how people and environments are represented through data, the conservation choices made based on data, and the distribution of benefits and harms arising from these choices. We propose a framework for understanding the justice dimensions of conservation data composed of five elements: data composition, data control, data access, data processing and use, and data consequences. For each element, we suggest a set of guiding questions that conservationists could use to think through their collection and use of data and to identify potential data injustices. The need for such a framework is illustrated by a synthesis of recent critiques of global conservation prioritization analyses. These critiques demonstrate the range of ways data could serve to produce social and ecological harms due to the choice of underlying data sets, assumptions made in the analysis, oversimplification of real-world conservation practice, and crowding out of other forms of knowledge. We conclude by arguing that there are ways to mitigate risks of conservation data injustices, through formal ethical and legal frameworks and by promoting a more inclusive and more reflexive conservation research ethos. These will help ensure that data contribute to conservation strategies that are both socially just and ecologically effective. © 2022 The Authors. Conservation Biology published by Wiley Periodicals LLC on behalf of Society for Conservation Biology.",2022,"{""Brockington, D."",""Kiwango, W. A."",""Oldekop, J. A."",""Pritchard, R."",""Sauls, L. A.""}","journal",NA,"10.1111/cobi.13919","{}","{cco,maybe}",2024-04-18 19:23:24,"included",NA,NA
6691687,"Banda Aceh-The Value of Earth Observation Data in Disaster Recovery and Reconstruction: A Case Study","On 26 December 2004, Banda Aceh in Indonesia was at the center of one of the worst natural disasters to affect mankind. Large amounts of international aid poured in to assist in the relief and reconstruction efforts. Amongst this effort, were investments in basic earth observation data from in-situ, airborne and space observations. While the use of this data is assumed to be crucial, few efforts have gone into quantifying the benefits of its acquisition. The objectives of this study were to interview a cross-section of agencies operating in Banda Aceh and across the province of Nanggroe Aceh Darussalam on the use, sources and quality of earth observation data in the relief/reconstruction effort; and to analyze and quantify the value that earth observation data brings to the relief/reconstruction effort based on the survey results and specific examples. Key findings from the interviews point to an overall improvement in the spatial data situation since the tsunami. Problems identified included insufficient training, lack of timely data and sometimes poor spatial resolution. Specific examples of the costbenefits of earth observation data were typically on the order of millions of dollars and involved large time savings.",2008,"{""McCallum, Ian""}","ARTICLE",NA,"http://pure.iiasa.ac.at/8741/","{}","{}",2024-04-23 22:07:54,"included",NA,NA
7036946,"Quantitative Assessment Of Soil Condition, Basic Environmental Factors And Productivity Of Linum Usitatissimum In The Steppe Zone Of Kazakhstan Using The Remote Sensing Method","The influence of environmental factors, such as lack of water and uneven rainfall, depletion of nutrients in the soil and reduced soil fertility, planting patterns and plant density, uneven growth stages, are the main limiting factors that hinder the growth of agricultural production in arid regions. The aim of the study was to assess the potential of Sentinel-2 to quantify soil conditions, which can improve the understanding of spatiotemporal dynamics in organic agriculture in the steppe zone of Kazakhstan and improve productivity management of Linum usitatissimum. In the course of the research, the influence of individual factors of the general environmental impact, such as the influence of humidity, meteorological conditions, the content of individual nutrient components of the soil on the yield, was studied. The meteorological conditions in this region in 2021 and the data of agrochemical analysis of the soil on which the oilseed crop was grown were evaluated. Sentinel-2 satellite images were used to determine the NDVI and GNDVI indices. A high content of nitrate nitrogen (12.3-16.2 mg/kg), a very low level of available phosphorus (3-10 mg/kg), and a high content of potassium (289-420 mg/kg) were found in the soil. A low content of humus (2.68-3.31%) and sulfur (1.1-4.9 mg/kg) was found. A study of the NDVI growth index showed that the highest value was reached by the period of July 20, 2021. After this period, a decrease in the vegetation index was observed. In conditions of severe drought, this change occurred earlier than under favorable conditions, and correlated with low flax yield (1.6-6.9 c/ha). This study demonstrates the potential of Sentinel-2 for quantifying soil conditions, which not only improves our understanding of spatial-temporal dynamics and environmental components in organic agriculture in the steppe zone of Kazakhstan, but also improves the management of Linum usitatissimum productivity. © 2023, Instituto Internacional de Ecologia. All rights reserved.",NA,NA,"article",NA,"10.1590/1519-6984.277283","{""notes"": ""('nugmanov_quantitativeassessmentsoilcondition_2023',)""}","{}",2024-10-30 15:59:55,"included",NA,NA
7036941,"Challenges In Geospatial Technology For Water","Geospatial technology has revolutionized water resources development and research by expanding our knowledge ofterrestrial environment system and processes. However, geospatial techniques cannot substitute ground-based methods towards providing high quality data at a point scale. e high superiority lies in mapping conditions at regional, continental and even global scales and on a recurring basis. is chapter discusses the importance and value of Remote Sensing and Geographical Information System (GIS) and points out the challenges in this eld that should be taken care of by researchers, policy makers and practitioners in order to view the technology in a proper perspective. INTRODUCTION Earth's physical environment and resources undergo certain, inevitable and virtually constant changes that often seriously affector even threaten the well being of humans. A growing population with limited water resources poses a competing environment for different sectors such as industrial, agricultural and domestic needs for sustenance (Tilman et al. 2002). Water being a physiological necessity and its assessment, conservation and management has great concern for all those who. © 2017 by Taylor & Francis Group.",NA,NA,"article",NA,"10.1201/9781315370989-29","{""notes"": ""('srivastava_challengesgeospatialtechnologywater_2016',)""}","{}",2024-12-13 18:09:09,"included",NA,NA
7037711,"Mapping Of Environmental Sensitivity Index To Oil Spill From Landsat Tm Images: ""A Study Case On The Amazon Coastal Plain""","The environmental sensitivity index (ESI) is represented by a scale ranging from 1 to 10, where the intensity of the impact caused by the oil spill is specified and, the higher the value the higher the sensitivity index. Oil spills impact the environment and are not exclusive to certain regions of the world. Therefore, the production of maps representing the ESI has become important for the implementation of contingency and emergency plans. Curuçá city, located in northeastern Pará state, does not have a map of semi-detailed environmental sensitivity, for that reason, this study aimed to generate a tactical map, scale of 1:100,000, with recognition of coastal environments identified by digital processing of Landsat images and field surveys. The map will help identify the areas more prone to suffer from a possible oil spill. Thus, eight indices were classified as follows: ESI 1B retaining wall, ESI 1C cliffs, ESI 3A sandy beaches and exposed dunes, ESI 7 sandy tidal flat, ESI 9 ebb tide delta, ESI 10A salt marsh, ESI 10B freshwater marsh and ESI 10 mangrove. Finally, the ESI represented in these maps can support the decision making process to prevent and control accidents that may happen during oil production and transportation. Benefits may reflect on lower costs of cleaning and restoration of the impacted areas in case of oil and other potentially harmful load spills.",NA,NA,"article",NA,"10.22564/rbgf.v30i4.240","{""notes"": ""('rodrigues_mappingenvironmentalsensitivityindex_2013',)""}","{}",2024-11-21 21:27:25,"included",NA,NA
7036939,"A Real Options Approach To Satellite Mission Planning","Satellite missions are one instrument of Earth observation targeted at obtaining information for improved decision making in sustainable development. But satellite missions are expensive undertakings involving large sunk costs and facing uncertain benefit streams. In the area of avoiding damages through, for example, better weather forecasts or better-informed rescue missions, the benefits are high, but also difficult to quantify. Using real options to optimize the timing of the launch of a satellite enables us not only to optimize the timing of the mission, but also to derive the value that such information conveys when it can be used to reduce the extent of the damage from disasters and their consequences: with low benefit expectations or large uncertainty, launching will be postponed, so ex ante Earth observation benefit assessment is an important task. (C) 2008 Elsevier Ltd. All rights reserved.",NA,NA,"article",NA,"10.1016/j.spacepol.2008.09.008","{""notes"": ""('fuss_realoptionsapproachsatellite_2008',)""}","{}",2024-10-25 19:18:35,"included",NA,NA
7036801,"Data Integration For Climate Vulnerability Mapping In West Africa","Vulnerability mapping reveals areas that are likely to be at greater risk of climate-related disasters in the future. Through integration of climate, biophysical, and socioeconomic data in an overall vulnerability framework, so-called hotspots of vulnerability can be identified. These maps can be used as an aid to targeting adaptation and disaster risk management interventions. This paper reviews vulnerability mapping efforts in West Africa conducted under the USAID-funded African and Latin American Resilience to Climate Change (ARCC) project. The focus is on the integration of remotely sensed and socioeconomic data. Data inputs included a range of sensor data (e.g., MODIS NDVI, Landsat, SRTM elevation, DMSP-OLS night-time lights) as well as high-resolution poverty, conflict, and infrastructure data. Two basic methods were used, one in which each layer was transformed into standardized indicators in an additive approach, and another in which remote sensing data were used to contextualize the results of composite indicators. We assess the benefits and challenges of data integration, and the lessons learned from these mapping exercises.",NA,NA,"article",NA,"10.3390/ijgi4042561","{""notes"": ""('desherbinin_dataintegrationclimatevulnerability_2015',)""}","{}",2024-12-12 21:14:19,"included",NA,NA
7036856,"Deriving Water Quality Parameters Using Sentinel-2 Imagery: A Case Study In The Sado Estuary, Portugal","Monitoring water quality parameters and their ecological effects in transitional waters is usually performed through in situ sampling programs. These are expensive and time-consuming, and often do not represent the total area of interest. Remote sensing techniques offer enormous advantages by providing cost-effective systematic observations of a large water system. This study evaluates the potential of water quality monitoring using Sentinel-2 observations for the period 2018-2020 for the Sado estuary (Portugal), through an algorithm intercomparison exercise and time-series analysis of different water quality parameters (i.e., colored dissolved organic matter (CDOM), chlorophyll-a (Chl-a), suspended particulate matter (SPM), and turbidity). Results suggest that Sentinel-2 is useful for monitoring these parameters in a highly dynamic system, however, with challenges in retrieving accurate data for some of the variables, such as Chl-a. Spatio-temporal variability results were consistent with historical data, presenting the highest values of CDOM, Chl-a, SPM and turbidity during Spring and Summer. This work is the first study providing annual and seasonal coverage with high spatial resolution (10 m) for the Sado estuary, being a key contribution for the definition of effective monitoring programs. Moreover, the potential of remote sensing methodologies for continuous water quality monitoring in transitional systems under the scope of the European Water Framework Directive is briefly discussed. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",NA,NA,"article",NA,"10.3390/rs13051043","{""notes"": ""('sent_derivingwaterqualityparameters_2021',)""}","{}",2024-12-13 18:50:28,"included",NA,NA
