title,abstract,year,author,doi,tags,screening_status,excl_reasons
Incorporation Of Satellite Remote Sensing Pan-Sharpened Imagery Into Digital Soil Prediction And Mapping Models To Characterize Soil Property Variability In Small Agricultural Fields,"Soil prediction models based on spectral indices from some multispectral images are too coarse to characterize spatial pattern of soil properties in small and heterogeneous agricultural lands. Image pan-sharpening has seldom been utilized in Digital Soil Mapping research before. This research aimed to analyze the effects of pan-sharpened (PAN) remote sensing spectral indices on soil prediction models in smallholder farm settings. This research fused the panchromatic band and multispectral (MS) bands of WorldView-2, GeoEye-1, and Landsat 8 images in a village in Southern India by Brovey, Gram-Schmidt and Intensity-Hue-Saturation methods. Random Forest was utilized to develop soil total nitrogen (TN) and soil exchangeable potassium (Kex) prediction models by incorporating multiple spectral indices from the PAN and MS images. Overall, our results showed that PAN remote sensing spectral indices have similar spectral characteristics with soil TN and Kex as MS remote sensing spectral indices. There is no soil prediction model incorporating the specific type of pan-sharpened spectral indices always had the strongest prediction capability of soil TN and Kex. The incorporation of pan-sharpened remote sensing spectral data not only increased the spatial resolution of the soil prediction maps, but also enhanced the prediction accuracy of soil prediction models. Small farms with limited footprint, fragmented ownership and diverse crop cycle should benefit greatly from the pan-sharpened high spatial resolution imagery for soil property mapping. Our results show that multiple high and medium resolution images can be used to map soil properties suggesting the possibility of an improvement in the maps’ update frequency. Additionally, the results should benefit the large agricultural community through the reduction of routine soil sampling cost and improved prediction accuracy. © 2016 International Society for Photogrammetry and Remote Sensing, Inc. (ISPRS)",NA,NA,10.1016/j.isprsjprs.2016.11.001,{},included,NA
Evaluating Nox Emission Inventories For Regulatory Air Quality Modeling Using Satellite And Air Quality Model Data,"The purpose of this study was to assess the accuracy of NOx emissions in the Texas Commission on Environmental Quality's (TCEQ) State Implementation Plan (SIP) modeling inventories of the southeastern U.S. We used retrieved satellite tropospheric NO2 columns from the Ozone Monitoring Instrument (OMI) together with NO2 columns from the Comprehensive Air Quality Model with Extensions (CAMx) to make top-down NOx emissions estimates using the mass balance method. Two different top -down NOx emissions estimates were developed using the KNMI DOMINO v2.0 and NASA SP2 retrievals of OMI NO2 columns. Differences in the top-down NOx emissions estimates made with these two operational products derived from the same OMI radiance data were sufficiently large that they could not be used to constrain the TCEQ NOx emissions in the southeast. The fact that the two available operational NO2 column retrievals give such different top-down NOx emissions results is important because these retrievals are increasingly being used to diagnose air quality problems and to inform efforts to solve them. These results reflect the fact that NO2 column retrievals are a blend of measurements and modeled data and should be used with caution in analyses that will inform policy development. This study illustrates both benefits and challenges of using satellite NO2 data for air quality management applications. Comparison with OMI NO2 columns pointed the way toward improvements in the CAMx simulation of the upper troposphere, but further refinement of both regional air quality models and the NO2 column retrievals is needed before the mass balance and other emission inversion methods can be used to successfully constrain NOx emission inventories used in U.S. regulatory modeling. (C) 2015 Elsevier Ltd. All rights reserved.",NA,NA,10.1016/j.atmosenv.2015.07.002,{},included,NA
Role Of Irs-1c In Developing Remote Sensing Applications For Water Management In India,"Efficient water management is essential for water and food security leading to socio-economic development. In order to build resilience and achieve water security, planning and management of water resources projects needs to be based on realistic assessment of related aspects. This requires comprehensive, reliable and easily accessible information on demand, availability and utilisation of water resources. Observational capabilities from ground monitoring systems and supplementary/complementary data from satellite remote sensing provide unique opportunities for data integration and value addition supporting water management decisions. While LANDSAT-1 initiated various remote sensing based activities with respect to management of hydrology and water resources across the globe, the launch of Indian remote sensing satellite, IRS-1A in 1988, along with its follow-up satellites, provided fillip to these activities mainly in India. The launch of IRS-1C in December 1995, with unique combination of sensors, has greatly improved extensive utilisation of satellite remote sensing for various facets of water management. This article presents a review of various applications carried out using IRS-1C data while highlighting the capabilities and advantage of IRS-1C sensors achieving significant improvement in mapping water bodies, inventory and monitoring of irrigated crops, irrigation system performance evaluation, assessment of reservoir sedimentation, mapping and monitoring of snow cover, snowmelt runoff forecasting, watershed developmental planning and management, etc.",NA,NA,10.1007/s12524-020-01280-8,{},included,NA
Building User-Readiness For Satellite Earth Observing Missions: The Case Of The Surface Water And Ocean Topography (Swot) Mission,"The goal in this commentary is to share the development of the NASA Applied Science pre-launch protocol called the Early Adopter Program (EAP) that is designed to build user-readiness of planned satellite Earth observing missions proactively and before the launch. Here we focus in particular on the Surface Water and Ocean Topography satellite mission EAP as an illustration of benefits of such a program of proactive and sustained user community engagement. Such a commentary will be of value to other satellite Earth observation missions that are currently in service, scheduled for launch or prioritized for development in the near future. Plain Language Summary The commentary sheds light on the many years of preparation for a planned satellite mission for surface water (Surface Water and Ocean Topography mission) to make the data as user-ready as possible. We believe such a commentary may be of interest to other communities involved in planning, operation or use of other satellite missions.",NA,NA,10.1029/2022av000680,{},included,NA
Research On Monitoring And Environmental Control Of Farmland Operation Based On Multi-Sensor Data Fusion,"Because traditional methods fail to accurately obtain environmental sensing data, resulting in poor farmland operation monitoring performance and low agricultural production efficiency, the impact of farmland operation monitoring technology on environmental regulation is proposed. The adaptive fusion method is introduced to fuse the collected farmland environmental data to make the multi-sensor data fusion result optimal. The soil temperature, humidity, oxygen, carbon dioxide and plant height environmental data acquisition sensors are activated to obtain field environmental sensing data, and determine the function keys based on the early warning value and time value. Adjustments were made to the farmland environment based on the judgment results with focus on the environmental control of farmland operation monitoring technology impact. The experimental results show that after the introduction of farmland operation monitoring technology, the accuracy of farmland environment monitoring is higher and the error of farmland environment regulation is lower, which meets the basic needs of users. Copyright © 2020 Inderscience Enterprises Ltd.",NA,NA,10.1504/ijetm.2020.114134,{},included,NA
"The Potential Of Remote Sensing Data For Decision Makers At The State, Local And Tribal Level: Experiences From Nasa's Synergy Program","NASA's Earth Observation System (EOS) satellite data are contributing to the development of policy relevant, remote sensing applications. To promote the use of EOS data for application development, NASA funded the Synergy program in 2000 in partnership with academia, end users, and industry. Three examples of remote sensing applications from the Synergy program are presented here and include agriculture, range management, and water resource management. These examples show that remote sensing products have the potential to be useful to a variety of decision makers and policy makers because of the opportunity to reduce chemicals in the environment, improve crop yields and better manage range lands and water resources. Transitioning from research and development to successful applications must overcome challenges such as the lack of awareness by end users of these technologies, inadequate feedback mechanism between application developers and end users, and unproven cost benefits of remote sensing data. Experience from the Synergy program indicates that these issues could be mitigated by educating and training end users, demonstrating the utility of remote sensing data in improving decision making, and establishing and maintaining a continuous dialogue between developers and end users. Sustainability of remote sensing applications ultimately depends on users continuing reliance on products and benefits from remote sensing data. The Synergy program also demonstrates that remote sensing data sets that are collected primarily for global change research contribute to the development of applications in a variety of disciplines at the regional and local level. (C) 2003 Elsevier Ltd. All rights reserved.",NA,NA,10.1016/j.envsci.2003.08.002,{},included,NA
Public Health Benefits From Improved Identification Of Severe Air Pollution Events With Geostationary Satellite Data,"Despite improvements in ambient air quality in the US in recent decades, many people still experience unhealthy levels of pollution. At present, national-level alert-day identification relies predominately on surface monitor networks and forecasters. Satellite-based estimates of surface air quality have rapidly advanced and have the capability to inform exposure-reducing actions to protect public health. At present, we lack a robust framework to quantify public health benefits of these advances in applications of satellite-based atmospheric composition data. Here, we assess possible health benefits of using geostationary satellite data, over polar orbiting satellite data, for identifying particulate air quality alert days (24hr PM2.5 > 35 μg m−3) in 2020. We find the more extensive spatiotemporal coverage of geostationary satellite data leads to a 60% increase in identification of person-alerts (alert days × population) in 2020 over polar-orbiting satellite data. We apply pre-existing estimates of PM2.5 exposure reduction by individual behavior modification and find these additional person-alerts may lead to 1,200 (800–1,500) or 54% more averted PM2.5-attributable premature deaths per year, if geostationary, instead of polar orbiting, satellite data alone are used to identify alert days. These health benefits have an associated economic value of 13 (8.8–17) billion dollars ($2019) per year. Our results highlight one of many potential applications of atmospheric composition data from geostationary satellites for improving public health. Identifying these applications has important implications for guiding use of current satellite data and planning future geostationary satellite missions. © 2024 The Authors. GeoHealth published by Wiley Periodicals LLC on behalf of American Geophysical Union.",NA,NA,10.1029/2023gh000890,{},included,NA
"Geoinformatics For Disaster Risk Assessment, Monitoring, And Management","Over the past years, there has been a shift in focus from “disaster recovery and response” to “risk management and mitigation,” and the use of geoinformatics has become an integrated, well-developed, and successful tool in disaster risk management. Geoinformatics technologies include communication and information technologies coupled with geographic information systems, or GIS, GPS, and remote sensing. There are many technologies that can be used to facilitate mitigation, preparedness, response, and recovery when dealing with natural disasters due to climate issues. However, the most effective programs will require coordination, cooperation, and communication. Technologies are developing rapidly while costs are falling, and disaster relief efforts stand to benefit. © Springer Science+Business Media B.V. 2017.",NA,NA,10.1007/978-94-024-1071-6_14,{},included,NA
Use Of Remote Sensing In Control Of Good Agricultural And Environmental Conditions On Agricultural Farms,"In the frame of EU common agricultural policy, applicant farmers shall receive subsidies for agricultural production. A producer receiving payments is required to meet the basic requirements for the maintenance of all farmland in good agricultural conditions consistence with environmental protection. Since 2009, applicant farmer is obliged to comply with standards adopted by Poland in the so-called cross-compliance requirements. Member States shall determine at the national level for Good Agricultural and Environmental Conditions (GAEC). Compliance with these standards, to maintain good agricultural practice is controlled selectively in the annual inspection campaigns conducted by the Agency for Restructuring and Modernization of Agriculture (ARMA). One of control method is Control with Remote Sensing (CwRS), method that involves the determination in satellite or aerial images boundaries of areas subject to subsidies. Experience in the use of remote sensing, however, indicate the potential for the use of processed satellite or air orthophotomaps not only for cropping delineation but also to verify certain elements of agricultural practices. During the CwRS routine, one could indicate a possible non-compliance issues directly on the image and thereby optimize the process of control. The studies indicated which of the requirements to maintain land in good agricultural conditions might be monitored with CwRS. The results of the series of experiments showed that both kind of aerial and satellite orthophoto can be consider as equivalent materials. Features or phenomenon spread over a large area or occurred point-wise are detectable in image easier than during field inspection. Also wherever access or visibility on the ground is limited due to the morphology complexity, road network, etc., orthophotomap provide better angle of view. Nevertheless, the ratio benefit/cost for managing the entire control on national level should be checked against the efficiency of field control.",NA,NA,10.2478/ecoq-2013-0018,{},included,NA
Potential Of Virtual Earth Observation Constellations In Archaeological Research,"Earth observation sensors continually provide datasets with different spectral and spatial characteristics, while a series of pre- and postprocessing techniques are needed for calibration purposes. Nowadays, a variety of satellite images have become accessible to researchers, while big data cloud platforms allow them to deal with an extensive number of datasets. However, there is still difficulty related to these sensors meeting specific needs and challenges such as those of cultural heritage and supporting archaeological research world-wide. The harmonization and synergistic use of different sensors can be used in order to maximize the impact of earth observation sensors and enhance their benefit to the scientific community. In this direction, the Committee on Earth Observation Satellites (CEOS) has proposed the concept of virtual constellations, which is defined as ""a coordinated set of space and/or ground segment capabilities from different partners that focuses on observing a particular parameter or set of parameters of the Earth system"". This paper provides an overview of existing and future earth observation sensors, the various levels of interoperability as proposed by Wulder et al., and presents some preliminary results from the Thessalian plain in Greece using integrated optical and radar Sentinel images. The potential for archaeolandscape studies using virtual constellations is discussed here.",NA,NA,10.3390/s19194066,{},included,NA
"Smart Environmental Monitoring And Assessment Technologies (Semat)—A New Paradigm For Low-Cost, Remote Aquatic Environmental Monitoring","Expense and the logistical difficulties with deploying scientific monitoring equipment are the biggest limitations to undertaking large scale monitoring of aquatic environments. The Smart Environmental Monitoring and Assessment Technologies (SEMAT) project is aimed at addressing this problem by creating an open standard for low-cost, near real-time, remote aquatic environmental monitoring systems. This paper presents the latest refinement of the SEMAT system in-line with the evolution of existing technologies, inexpensive sensors and environmental monitoring expectations. We provide a systems analysis and design of the SEMAT remote monitoring units and the back-end data management system. The system’s value is augmented through a unique e-waste recycling and repurposing model which engages/educates the community in the production of the SEMAT units using social enterprise. SEMAT serves as an open standard for the community to innovate around to further the state of play with low-cost environmental monitoring. The latest SEMAT units have been trialled in a peri-urban lake setting and the results demonstrate the system’s capabilities to provide ongoing data in near real-time to validate an environmental model of the study site. © 2018 by the authors. Licensee MDPI, Basel, Switzerland.",NA,NA,10.3390/s18072248,{},included,NA
Acquisition Of Earth Science Remote Sensing Observations From Commercial Sources: Lessons Learned From The Space Imaging Ikonos Example,"Over the last decade, NASA and other federal agencies have been increasingly encouraged to explore commercial sources of land remote sensing data rather than pursuing government-funded sources of these measurements (prior to U.S. Commercial Executive, 2003. U.S. Commercial Remote Sensing Policy. White House, Washington, DC). The science and applications users have been skeptical of this move to commercial sources of observations both because of uncertainty over the capabilities of the private sector and the unsatisfactory outcomes of previous efforts to commercialize satellite-acquired land remote sensing observations. In an effort to more fully explore the potential of commercial remotely sensed land data sources, the NASA Earth Science Enterprise (ESE) implemented an experimental Scientific Data Purchase (SDP) that solicited bids from the private sector to meet ESE-user data needs. The SDP activity spanned nearly 5 years and supplied many US and international researchers with sources of land remote sensing observations that had not been previously available. The images from the Space Imaging IKONOS system provided a particularly good match to the current ESE missions such as Terra and Landsat 7 and therefore serve as focal point in this analysis. Throughout the SDP process, there have been many lessons learned concerning interactions between US industry, government agencies and the science user community. The specifies of the Space Imaging IKONOS experience under the NASA SDP are most valuable with respect to possible future uses of commercial vendors to supply NASA ESE user needs for space-acquired land observations. Areas where valuable lessons were learned included the technical, scientific, proprietary and management aspects of the interactions. As this activity has evolved, user confidence in the technical and scientific qualities of the IKONOS measurements has increased substantially. There are still areas where further progress could be achieved, with respect to proprietary and management aspects of scientific commercial data buys. To date, the NASA scientific and applications users who have examined the IKONOS imagery have found the data to be of high quality, providing substantial value to their specific pursuits. They have found that the novel attributes of IKONOS, particularly in the spatiotemporal domain have introduced new analysis challenges not previously experienced with EOS sensors such as Landsat and MODIS. The technical qualities of the observations have been substantially improved during the SDP activity as a result of independent validation and verification by the Joint Agency Commercial Imagery Evaluation (JACIE) of the IKONOS observations. The experience gained from the Space Imaging IKONOS SDP activity, suggests that US private sector is technically capable of meeting the needs of NASA ESE science and application users. The future success of such interactions between industry, government and users appears to be far more dependent on the organizational and legal aspects of such arrangements than technical capabilities of the data providers. (C) 2003 Elsevier Inc. All rights reserved.",NA,NA,10.1016/j.rse.2003.06.007,{},included,NA
Monitoring Daily Evapotranspiration Over Two California Vineyards Using Landsat 8 In A Multi-Sensor Data Fusion Approach,"California's Central Valley grows a significant fraction of grapes used for wine production in the United States. With increasing vineyard acreage, reduced water availability in much of California, and competing water use interests, it is critical to be able to monitor regional water use and evapotranspiration (ET) over large areas, but also in detail at individual field scales to improve water management within these viticulture production systems. This can be achieved by integrating remote sensing data from multiple satellite systems with different spatiotemporal characteristics. In this research, we evaluate the utility of a multi-scale system for monitoring ET as applied over two vineyard sites near Lodi, California during the 2013 growing season, leading into the drought in early 2014. The system employs a multi-sensor satellite data fusion methodology (STARFM: Spatial and Temporal Adaptive Reflective Fusion Model) combined with a multi-scale ET retrieval algorithm based on the Two Source Energy Balance (TSEB) land-surface representation to compute daily ET at 30 m resolution. In this system, TSEB is run using thermal band imagery from the Geostationary Environmental Operational Satellites (GOES; 4 km spatial resolution, hourly temporal sampling), the Moderate Resolution Imaging Spectroradiometer (MODIS) data (1 km resolution, daily acquisition) and the new Landsat 8 satellite (sharpened to 30 m resolution, similar to 16 day acquisition). Estimates of daily ET generated in two neighboring fields of Pinot noir vines of different age agree with ground-based flux measurements acquired in-field during most of the 2013 season with relative mean absolute errors on the order of 19-23\% (root mean square errors of approximately 1 mm d(-1)), reducing to 14-20\% at the weekly timestep relevant for irrigation management (similar to 5 mm wk(-1)). A model overestimation of ET in the early season was detected in the younger vineyard, perhaps relating to an inter-row grass cover crop. Spatial patterns of cumulative ET generally correspond to measured yield maps and indicate areas of variable crop moisture, soil condition, and yield within the vineyards that could require adaptive management. The results suggest that multi-sensor remote sensing observations provide a unique means for monitoring crop water use and soil moisture status at field-scales over extended growing regions, and may have value in supporting operational water management decisions in vineyards and other high value crops. Published by Elsevier Inc. This is an open access article under the CC BY-NC-ND license.",NA,NA,10.1016/j.rse.2015.10.025,{},included,NA
Evaluating The Public Value Of Improving Early Detection Accuracy Of Cumulonimbus Using A Geostationary Satellite In South Korea,"The Cheollian Satellite 2A called Geo-Kompsat-2A is a geostationary meteorological satellite operated by Korea Meteorological Administration for weather and space-weather observation purposes. This article seeks to evaluate the public value arising from improving the accuracy of early detection of cumulo-nimbus using Geo-Kompsat-2A. To this end, an economic technique called contingent valuation (CV) is adopted taking a three step approach. In step 1, a CV questionnaire was prepared for deriving the willingness to pay (WTP) for the improvement. In step 2, a nationwide survey of 1000 households was conducted using the CV questionnaire and employing person-to-person interviews with household visits. In step 3, the average WTP was estimated. The yearly household average WTP was KRW 2143 (USD 1.91), securing statistical significance. Adjusting this value to suit the entire population of South Korea produces a yearly public value of KRW 44.1 billion (USD 39.3 million). Although it is not easy to accu-rately evaluate the costs involved in the improvement, the results of conducting a pilot cost-benefit analysis suggest that the improvement secures social desirability.(c) 2022 Elsevier Ltd. All rights reserved.",NA,NA,10.1016/j.spacepol.2022.101507,{},included,NA
