title,author,year,key,pdf_out,csv_out
Optimizing Observing Systems Using Aspen: An Analysis Tool to Assess the Benefit and Cost Effectiveness of Observations to Earth System Applications,"Boukabara, Sid-Ahmed and Hoffman, Ross N.",2022,boukabara_optimizingobservingsystemsaspen_2022,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/boukabara_2022_optimizing_observing_systems_using.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/boukabara_2022_optimizing_observing_systems_using.csv
How Valuable Is Remotely Sensed Information? The Case of Tropical Deforestation Modelling,"Bounfour, A and Lambin, {\relax EF",1999,bounfour_valuableremotelysensedinformation_1999,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/bounfour_1999_how_valuable_is_remotely.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/bounfour_1999_how_valuable_is_remotely.csv
Remote Sensing Satellites and Privacy: A Framework for Policy Assessment,"Brennan, T. J. and Macauley, M. K.",1995,brennan_remotesensingsatellitesprivacy_1995,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/brennan_1995_remote_sensing_satellites_and.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/brennan_1995_remote_sensing_satellites_and.csv
Accuracy and Impact of Spatial Aids Based upon Satellite Enumeration to Improve Indoor Residual Spraying Spatial Coverage,"Bridges, Daniel J. and Pollard, Derek and Winters, Anna M. and Winters, Benjamin and Sikaala, Chadwick and Renn, Silvia and Larsen, David A.",2018,bridges_accuracyimpactspatialaids_2018,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/bridges_2018_accuracy_and_impact_of.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/bridges_2018_accuracy_and_impact_of.csv
"Integrative Geospatial Approaches for the Comprehensive Monitoring and Assessment of Land Management Sustainability: Rationale, Potentials, and Characteristics","Buenemann, M. and Martius, C. and Jones, J. W. and Herrmann, S. M. and Klein, D. and Mulligan, M. and Reed, M. S. and Winslow, M. and {Washington-Allen}, R. A. and Lal, R. and Ojima, D.",2011,buenemann_integrativegeospatialapproachescomprehensive_2011,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/buenemann_2011_integrative_geospatial_approaches_for.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/buenemann_2011_integrative_geospatial_approaches_for.csv
Compliance with European Union Environmental Law: An Analysis of Digitalization Effects on Institutional Capacities,"Burgin, Alexander",2020,burgin_complianceeuropeanunionenvironmental_2020,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/burgin_2020_compliance_with_european_union.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/burgin_2020_compliance_with_european_union.csv
Securing Sustainability in Indian Agriculture through Civilian Uav: A Responsible Innovation Perspective,"Chamuah, Anjan and Singh, Rajbeer",2020,chamuah_securingsustainabilityindianagriculture_2020,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/chamuah_2020_securing_sustainability_in_indian.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/chamuah_2020_securing_sustainability_in_indian.csv
Characterization of Field-Scale Soil Variation Using a Stepwise Multi-Sensor Fusion Approach and a Cost-Benefit Analysis,"Chatterjee, Sumanta and Hartemink, Alfred E. and Triantafilis, John and Desai, Ankur R. and Soldat, Doug and Zhu, Jun and Townsend, Philip A. and Zhang, Yakun and Huang, Jingyi",2021,chatterjee_characterizationfieldscalesoil_2021,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/chatterjee_2021_characterization_of_field_scale.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/chatterjee_2021_characterization_of_field_scale.csv
Ground Level Lidar as a Contributing Indicator in an Environmental Protection Application,"Coman, Ciprian M. and Toma, Bogdan C. and Constantin, Mihai A. and Florescu, Adriana",2023,coman_groundlevellidarcontributing_2023,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/coman_2023_ground_level_lidar_as.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/coman_2023_ground_level_lidar_as.csv
"Testing the Water Balance Model Criteria Using Tdr Measurements, Micrometeorological Data and Satellite-Based Information","Consoli, S. and Licciardello, F. and Vanella, D. and Pasotti, L. and Villani, G. and Tomei, F.",2016,consoli_testingwaterbalancemodel_2016,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/consoli_2016_testing_the_water_balance.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/consoli_2016_testing_the_water_balance.csv
Using the Social Cost of Carbon to Value Earth Observing Systems,"Cooke, R. and Golub, A. and Wielicki, B. A. and Young, D. F. and Mlynczak, M. G. and Baize, R. R.",2017,cooke_socialcostcarbonearth_2017,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/cooke_2017_using_the_social_cost.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/cooke_2017_using_the_social_cost.csv
Contribution of Remote Sensing for Crop and Water Monitoring,"Courault, D. and Demarez, V. and Gu{\'e}rif, M. and Le Page, M. and Simonneaux, V. and Ferrant, S. and Veloso, A.",2016,courault_contributionremotesensingcrop_2016,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/courault_2016_contribution_of_remote_sensing.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/courault_2016_contribution_of_remote_sensing.csv
High Resolution Satellite Image Orientation Models,"Crespi, M. and Fratarcangeli, F. and Giannone, F. and Pieralice, F.",2009,crespi_resolutionsatelliteimageorientation_2009,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/crespi_2009_high_resolution_satellite_image.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/crespi_2009_high_resolution_satellite_image.csv
System Modelling of Very Low Earth Orbit Satellites for Earth Observation,"Crisp, N. H. and Roberts, P. C. E. and Romano, F. and Smith, K. L. and Oiko, V. T. A. and {Sulliotti-Linner}, V and Hanessian, V and Herdrich, G. H. and {Garcia-Alminana}, D. and Kataria, D. and Seminari, S.",2021,crisp_systemmodellinglowearth_2021,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/crisp_2021_system_modelling_of_very.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/crisp_2021_system_modelling_of_very.csv
Using Remote Sensing as a Support to the Implementation of the European Marine Strategy Framework Directive in Sw Portugal,"Cristina, Sonia and Icely, John and Goela, Priscila Costa and Angel DelValls, Tomas and Newton, Alice",2015,cristina_remotesensingsupportimplementation_2015,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/cristina_2015_using_remote_sensing_as.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/cristina_2015_using_remote_sensing_as.csv
Possibilities of the Practical Application of Remote Sensing Data in Real Property Appraisal,"D{\k a}browski, R. and Latos, D.",2015,dabrowski_possibilitiespracticalapplicationremote_2015,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/dka_2015_possibilities_of_the_practical.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/dka_2015_possibilities_of_the_practical.csv
Role of Satellite Remote Sensing in the Geographic Information Economics in France,"Den{\'e}gre, J.",1991,denegre_rolesatelliteremotesensing_1991,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/dene_1991_role_of_satellite_remote.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/dene_1991_role_of_satellite_remote.csv
"Use of Social Networks for Outreach, Education and Training on Space Applications: Know-how and Experience of Planete Sciences Midi-Pyrenees and Cnes","Denis, Gil and Klein, Severine and Gueguen, Berengere",2014,denis_socialnetworksoutreacheducation_2014,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/denis_2014_use_of_social_networks.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/denis_2014_use_of_social_networks.csv
Challenges and Opportunities of Digital Technology in Soil Quality and Land Management Research,"de Paul Obade}, V. and Gaya, C. and Obade, P. T.",2021,depaulobade_challengesopportunitiesdigitaltechnology_2021,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/depaulobade_2021_challenges_and_opportunities_of.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/depaulobade_2021_challenges_and_opportunities_of.csv
Applying Bag of Words Approach to Determine Remote Sensing Technology Acceptance among Smallholder Plantations,"Diana, S. R. and Farida, F.",2023,diana_applyingbagwordsapproach_2023,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/diana_2023_applying_bag_of_words.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/diana_2023_applying_bag_of_words.csv
Implication of Geo-Informatics (Gis/Rs) on Agricultural Irrigation Management: The State of the Art,"Elbana, M. and Bakr, N. and Karajeh, F.",2019,elbana_implicationgeoinformaticsgis_2019,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/elbana_2019_implication_of_geo_informatics.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/elbana_2019_implication_of_geo_informatics.csv
Integrating Inland and Coastal Water Quality Data for Actionable Knowledge,"El Serafy, Ghada Y. H. and Schaeffer, Blake A. and Neely, Merrie-Beth and Spinosa, Anna and Odermatt, Daniel and Weathers, Kathleen C. and Baracchini, Theo and Bouffard, Damien and Carvalho, Laurence and Conmy, Robyn N. and De Keukelaere, Liesbeth and Hunter, Peter D. and Jamet, Cedric and Joehnk, Klaus D. and Johnston, John M. and Knudby, Anders and Minaudo, Camille and Pahlevan, Nima and Reusen, Ils and Rose, Kevin C. and Schalles, John and Tzortziou, Maria",2021,elserafy_integratinginlandcoastalwater_2021,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/elserafy_2021_integrating_inland_and_coastal.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/elserafy_2021_integrating_inland_and_coastal.csv
Pollution Monitoring: Optimal Design of Inspection - an Economic Analysis of the Use of Satellite Information to Deter Oil Pollution,"Florens, {\relax JP} and Foucher, C",1999,florens_pollutionmonitoringoptimaldesign_1999,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/florens_1999_pollution_monitoring_optimal_design.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/florens_1999_pollution_monitoring_optimal_design.csv
Climate Data for the European Forestry Sector: From End-User Needs to Opportunities for Climate Resilience,"Fraccaroli, Cecilia and Govigli, Valentino Marini and Briers, Siebe and Cerezo, Nieves Pena and Jimenez, Jorge Paz and Romero, Maria and Lindner, Marcus and {de Arano}, Inazio Martinez",2021,fraccaroli_climatedataeuropeanforestry_2021,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/fraccaroli_2021_climate_data_for_the.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/fraccaroli_2021_climate_data_for_the.csv
Multilayer Data and Artificial Intelligence for the Delineation of Homogeneous Management Zones in Maize Cultivation,"Gallardo-Romero}, Diego Jose and {Apolo-Apolo}, Orly Enrique and {Martinez-Guanter}, Jorge and {Perez-Ruiz}, Manuel",2023,gallardoromero_multilayerdataartificialintelligence_2023,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/gallardoromero_2023_multilayer_data_and_artificial.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/gallardoromero_2023_multilayer_data_and_artificial.csv
Sharing Environmental Data through Geoss,"Giuliani, Gregory and Ray, Nicolas and Schwarzer, Stefan and De Bono, Andrea and Peduzzi, Pascal and Dao, Hy and Van Woerden, Jaap and Witt, Ron and Beniston, Martin and Lehmann, Anthony",2011,giuliani_sharingenvironmentaldatageoss_2011,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/giuliani_2011_sharing_environmental_data_through.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/giuliani_2011_sharing_environmental_data_through.csv
Crossing the (Watershed) Divide: Satellite Data and the Changing Politics of International River Basins,"Gleason, Colin J. and Hamdan, Ali N.",2017,gleason_crossingwatersheddividesatellite_2017,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/gleason_2017_crossing_the_watershed_divide.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/gleason_2017_crossing_the_watershed_divide.csv
"Wireless Sensor Networks to Study, Monitor and Manage Cattle in Grazing Systems","Gonzalez, L. A. and {Bishop-Hurley}, G. and Henry, D. and Charmley, E.",2014,gonzalez_wirelesssensornetworksstudy_2014,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/gonzalez_2014_wireless_sensor_networks_to.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/gonzalez_2014_wireless_sensor_networks_to.csv
2d vs. 3d Change Detection Using Aerial Imagery to Support Crisis Management of Large-Scale Events,"Gstaiger, Veronika and Tian, Jiaojiao and Kiefl, Ralph and Kurz, Franz",2018,gstaiger_2d3dchangedetection_2018,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/gstaiger_2018_2d_vs_3d_change.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/gstaiger_2018_2d_vs_3d_change.csv
Monitoring Water-Related Ecosystems with Earth Observation Data in Support of Sustainable Development Goal (Sdg) 6 Reporting,"Hakimdavar, Raha and Hubbard, Alfred and Policelli, Frederick and Pickens, Amy and Hansen, Matthew and Fatoyinbo, Temilola and Lagomasino, David and Pahlevan, Nima and Unninayar, Sushel and Kavvada, Argyro and Carroll, Mark and Smith, Brandon and Hurwitz, Margaret and Wood, Danielle and Uz, Stephanie Schollaert",2020,hakimdavar_monitoringwaterrelatedecosystems_2020,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/hakimdavar_2020_monitoring_water_related_ecosystems.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/hakimdavar_2020_monitoring_water_related_ecosystems.csv
Precision Farming: Technologies and Information as Risk-Reduction Tools,"Hall, F. R.",1999,hall_precisionfarmingtechnologiesinformation_1999,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/hall_1999_precision_farming_technologies_and.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/hall_1999_precision_farming_technologies_and.csv
Developments in Land Information Systems: Examples Demonstrating Land Resource Management Capabilities and Options,"Hallett, S. H. and Sakrabani, R. and Keay, C. A. and Hannam, J. A.",2017,hallett_developmentslandinformationsystems_2017,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/hallett_2017_developments_in_land_information.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/hallett_2017_developments_in_land_information.csv
"Comparing the Information Content of Coral Reef Geomorphological and Biological Habitat Maps, Amirantes Archipelago (Seychelles), Western Indian Ocean","Hamylton, S. and Andrefouet, S. and Spencer, T.",2012,hamylton_comparinginformationcontentcoral_2012,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/hamylton_2012_comparing_the_information_content.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/hamylton_2012_comparing_the_information_content.csv
Spaceborne Imaging Spectroscopy for Sustainable Agriculture: Contributions and Challenges,"Hank, Tobias B. and Berger, Katja and Bach, Heike and Clevers, Jan G. P. W. and Gitelson, Anatoly and {Zarco-Tejada}, Pablo and Mauser, Wolfram",2019,hank_spaceborneimagingspectroscopysustainable_2019,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/hank_2019_spaceborne_imaging_spectroscopy_for.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/hank_2019_spaceborne_imaging_spectroscopy_for.csv
Perspectives from Landscape Ecology Can Improve Environmental Impact Assessment,"Harker, Karly J. and Arnold, Lauren and Sutherland, Ira J. and Gergel, Sarah E.",2021,harker_perspectiveslandscapeecologyimprove_2021,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/harker_2021_perspectives_from_landscape_ecology.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/harker_2021_perspectives_from_landscape_ecology.csv
"Gap-Free Monitoring of Annual Mangrove Forest Dynamics in ca Mau Province, Vietnamese Mekong Delta, Using the Landsat-7-8 Archives and Post-Classification Temporal Optimization","Hauser, L. T. and Binh, N. A. and Hoa, P. V. and Quan, N. H. and Timmermans, J.",2020,hauser_gapfreemonitoringannual_2020,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/hauser_2020_gap_free_monitoring_of.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/hauser_2020_gap_free_monitoring_of.csv
"Mapping Crop Fractional Green Canopy Cover Using High Spatial Resolution Thermal and Optical Remote Sensing in Southern Ontario, Canada","He, Y. and Dosanjh, M. and Shang, J. and Liu, J. and Drury, C. F. and Yang, X. and Yang, J. and Dao, P. D. and Axiotis, A. and Proctor, C.",2022,he_mappingcropfractionalgreen_2022,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/he_2022_mapping_crop_fractional_green.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/he_2022_mapping_crop_fractional_green.csv
To Pay or Not to Pay? Monitoring Performance and Enforcing Conditionality When Paying for Forest Conservation in Mexico,"Honey-Roses}, Jordi and {Lopez-Garcia}, Jose and {Rendon-Salinas}, Eduardo and {Peralta-Higuera}, Armando and {Galindo-Leal}, Carlos",2009,honeyroses_paypaymonitoringperformance_2009,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/honeyroses_2009_to_pay_or_not.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/honeyroses_2009_to_pay_or_not.csv
