title,key,classification_prediction
Drought Monitoring In The Coastal Belt Of Bangladesh Using Landsat Time Series Satellite Images,ahmed_droughtmonitoringcoastalbelt_2019,0
Gis-Based Spatial Distribution Analysis Of Water Quality Assessment Using Water Pollution Index Of Yamuna River At Delhi,ahmed_gisbasedspatialdistribution_2022,0
Vehicular Traffic Noise Prediction And Propagation Modelling Using Neural Networks And Geospatial Information System,ahmed_vehiculartrafficnoiseprediction_2019,1
"Application Of Remote Sensing For Estimating Crop Water Requirements, Yield And Water Productivity Of Wheat In The Gezira Scheme",ahmed_applicationremotesensingestimating_2010,0
Analyzing Trends And Drivers Of Land Use And Land Cover Dynamics In Drought-Prone Livelihood Zones Of The Northwestern Escarpment Of The Ethiopian Rift Valley,ahmed_analyzingtrendsdriversland_2023,0
Enhancing Object Detection In Remote Sensing: A Hybrid Yolov7 And Transformer Approach With Automatic Model Selection,ahmed_enhancingobjectdetectionremote_2024,1
"Estimates Of Seasonal Influenza-Associated Mortality In Bangladesh, 2010-2012",ahmed_estimatesseasonalinfluenzamortality_2018,0
Integration Of Sentinel-2 Derived Spectral Indices And In-Situ Forest Inventory To Predict Forest Biomass,ahmed_integrationsentinel2derived_2021,1
Winter-Time Cover Crop Identification: A Remote Sensing-Based Methodological Framework For New And Rapid Data Generation,ahmed_wintertimecovercrop_2023,0
Sodium Monitoring In Commercially Processed And Restaurant Foods,ahuja_sodiummonitoringcommerciallyprocessed_2015,0
The Spatial Temporal Variation And Factor Analysis Of The Tropospheric No2 Columns In The Sichuan Basin From 2005 To 2016,ai_spatialtemporalvariationfactor_2018,0
Ndvi Change And Its Influencing Factors Of Daqingshan National Nature Reserve Based On Gee,ai_ndvichangeinfluencingfactors_2023,0
"Analysis Of Extreme Rainfall Associated With Natural Disaster Occurring In Angra Dos Reis - Rj In 2010, Applying The Brams Model",aires_analysisextremerainfallnatural_2022,0
Digital Mapping Of Soil Ecosystem Services In Scotland Using Neural Networks And Relationship Modelling—Part 1: Mapping Of Soil Classes,aitkenhead_digitalmappingsoilecosystem_2019,0
Packet Scheduling For Internet Of Remote Things (Iort) Devices In Next Generation Satellite Networks,aiyetoro_packetschedulinginternetremote_2022,1
"Evaluation Of Ecological Quality Status And Changing Trend In Arid Land Based On The Remote Sensing Ecological Index: A Case Study In Xinjiang, China",aizizi_evaluationecologicalqualitystatus_2023,0
Mapping And Assessing The Seasonal Dynamics Of Surface Urban Heat Intensity Using Landsat-8 Oli/Tirs Images,ajayi_mappingassessingseasonaldynamics_2023,0
Sensor And Software Use For The Glycaemic Management Of Insulin-Treated Type 1 And Type 2 Diabetes Patients,ajjan_sensorsoftwareglycaemicmanagement_2016,0
"Identification Of Suitable Sites And Structures For Artificial Groundwater Recharge For Sustainable Water Resources Management In Vamanapuram River Basin, South India",aju_identificationsuitablesitesstructures_2021,0
Automatic Building Extraction From Image And Lidar Data With Active Contour Segmentation,akbulut_automaticbuildingextractionimage_2018,0
"Mining And Environmental Change In Sierra Leone, West Africa: A Remote Sensing And Hydrogeomorphological Study",akiwumi_miningenvironmentalchangesierra_2008,0
Geometrical Correction Of Cbers-4/Pan Images With Generalized Models Using As Reference National System Of Land Management Data,akiyama_geometricalcorrectioncbers4_2018,0
Assessing The Performance Of Machine Learning Algorithms For Soil Salinity Mapping In Google Earth Engine Platform Using Sentinel-2a And Landsat-8 Oli Data,aksoy_assessingperformancemachinelearning_2022,0
Predicting Groundwater Recharge Potential Zones Using Geospatial Technique,akter_predictinggroundwaterrechargepotential_2020,0
"Monitoring Forest Canopy Cover Change With Icesat-2 Data In Fire-Prone Areas: A Case Study In Antalya, Türkiye",akturk_monitoringforestcanopycover_2023,1
Technological Advances Shaping Diabetes Care,akturk_technologicaladvancesshapingdiabetes_2019,1
Rapid Estimation Of Water Stress In Choy Sum (Brassica Chinensis Var. Parachinensis) Using Integrative Approach,alaasmi_rapidestimationwaterstress_2022,0
Patient Perspectives And Expectations In Inflammatory Bowel Disease: A Systematic Review,alkhoury_patientperspectivesexpectationsinflammatory_2022,0
"Prediction Of Groundwater Flowing Well Zone At An-Najif Province, Central Iraq Using Evidential Belief Functions Model And Gis",alabadi_predictiongroundwaterflowingzone_2015,0
Water Quality Monitoring Of Al-Habbaniyah Lake Using Remote Sensing And In Situ Measurements,alfahdawi_waterqualitymonitoringal_2015,1
Drought Monitoring For Northern Part Of Iraq Using Temporal Ndvi And Rainfall Indices,alhedny_droughtmonitoringnortherniraq_2020,0
Spatial Landslide Susceptibility Assessment Using Machine Learning Techniques Assisted By Additional Data Created With Generative Adversarial Networks,alnajjar_spatiallandslidesusceptibilityassessment_2021,0
"Flood Risk Assessment Of Srinagar City In Jammu And Kashmir, India",alam_floodriskassessmentsrinagar_2018,0
Supporting Indoor Navigation Using Access Rights To Spaces Based On Combined Use Of Indoorgml And Ladm Models,alattas_supportingindoornavigationaccess_2017,1
Estimation Of Sugarcane Evapotranspiration From Remote Sensing And Limited Meteorological Variables Using Machine Learning Models,alavi_estimationsugarcaneevapotranspirationremote_2024,0
Towards A Standardised Surveillance For Trichinella In The European Union,alban_standardisedsurveillancetrichinellaeuropean_2011,0
Cost-Effective Methods For Accurate Determination Of Sea Level Rise Vulnerability: A Solomon Islands Example,albert_costeffectivemethodsaccurate_2013,0
"Water Quality Challenges Associated With Industrial Logging Of A Karst Landscape: Guadalcanal, Solomon Islands",albert_waterqualitychallengesindustrial_2021,0
A Protocol For Canopy Cover Monitoring On Forest Restoration Projects Using Low-Cost Drones,albuquerque_protocolcanopycovermonitoring_2022,0
Chiropractic Care Of A Patient With Erb's Palsy With A Review Of The Literature,alcantara_chiropracticcarepatienterb's_2008,0
Accuracy Evaluation For Coastline Extraction From Pléiades Imagery Based On Ndwi And Ihs Pan-Sharpening Application,alcaras_accuracyevaluationcoastlineextraction_2023,0
Optimized Behavior Of Long-Term Rainfall For The Red Sea Semi-Arid Region,aldrees_optimizedbehaviortermrainfall_2021,0
Information Technology In Real-Time For Monitoring And Managing Natural Disasters,alexander_informationtechnologyrealtime_1991,0
Mapping Irrigated Area In Mediterranean Basins Using Low Cost Satellite Earth Observation,alexandridis_mappingirrigatedmediterraneanbasins_2008,0
The Importance Of Maintaining A Proper Database On Forest Restoration Program For Orangutans In Borneo,alfred_importancemaintainingproperdatabase_2010,0
Evapotranspiration In The Tono Reservoir Catchment In Upper East Region Of Ghana Estimated By A Novel Tseb Approach From Aster Imagery,alhassan_evapotranspirationtonoreservoircatchment_2020,0
An Adaptive Edge Detection Algorithm For Weed Image Analysis,alhwaiti_adaptiveedgedetectionalgorithm_2023,1
Utilization Of Solar Radiation In High Energy Intensive Of The World By Pv System,alirahoma_utilizationsolarradiationenergy_2008,1
"Gaussian Class-Conditional Simplex Loss For Accurate, Adversarially Robust Deep Classifier Training",ali_gaussianclassconditionalsimplex_2023,0
A Cost-Effectiveness Analysis Of Traditional And Geographic Information System-Supported Microplanning Approaches For Routine Immunization Program Management In Northern Nigeria,ali_costeffectivenessanalysistraditional_2020,0
Evaluation And Comparison Of Cmip6 Models And Merra-2 Reanalysis Aod Against Satellite Observations From 2000 To 2014 Over China,ali_evaluationcomparisoncmip6models_2022,0
"Remote Sensing For Surface Coal Mining And Reclamation Monitoring In The Central Salt Range, Punjab, Pakistan",ali_remotesensingsurfacecoal_2022,0
"Analyzing The Occurrence Of Floods And Droughts In Connection With Climate Change In Punjab Province, Pakistan",ali_analyzingoccurrencefloodsdroughts_2020,0
Improving Drought Mitigation Strategies And Disaster Risk Reduction Through Modis And Trmm-Based Data In Relation To Climate Change Over Pakistan,ali_improvingdroughtmitigationstrategies_2023,0
Shared Decision-Making In Atrial Fibrillation: Patient-Reported Involvement In Treatment Decisions,aliahmed_shareddecisionatrialfibrillation_2020,1
A Delphi-Based Framework For Systems Architecting Of In-Orbit Exploration Infrastructure For Human Exploration Beyond Low Earth Orbit,aliakbargolkar_delphibasedframeworksystems_2014,0
Dos And Don'ts Of Using Drone Technology In The Crop Fields,aliloo_dosdon'tsdronetechnology_2024,0
Model Of Traditional Market As Cultural Product Outlet And Tourism Destination In Current Era,aliyah_modeltraditionalmarketcultural_2020,0
Temporal Monitoring Of Land Use/Land Cover Change In Kahramanmaraş City Center,aliyazicioglu_temporalmonitoringlandland_2021,0
Land Use And Land Cover Classification Using River Formation Dynamics Algorithm With Deep Learning On Remote Sensing Images,aljebreen_landlandcoverclassification_2024,0
Optimizing Land Use Identification With Social Networks: Comparative Evaluation Of Machine Learning Algorithms,aljeri_optimizinglandidentificationsocial_2023,0
An Overview Of Spectral Imaging Of Human Skin Toward Face Recognition,allen_overviewspectralimaginghuman_2016,1
Use Of Clinical Pathway Simulation And Machine Learning To Identify Key Levers For Maximizing The Benefit Of Intravenous Thrombolysis In Acute Stroke,allen_clinicalpathwaysimulationmachine_2022,1
"Advances In Remote Sensing Of Coastal Wetlands: Lidar, Sar, And Object-Oriented Case Studies From North Carolina",allen_advancesremotesensingcoastal_2014,1
Sea Level Rise Exposure Assessment Of U.s. East Coast Cargo Container Terminals,allen_sealevelriseexposure_2022,0
A Novel Methodology For Groundwater Flooding Susceptibility Assessment Through Machine Learning Techniques In A Mixed-Land Use Aquifer,allocca_methodologygroundwaterfloodingsusceptibility_2021,0
Prediction Of High-Risk Areas For Visceral Leishmaniasis Using Socioeconomic Indicators And Remote Sensing Data,almeida_predictionriskvisceralleishmaniasis_2014,0
Future Scenarios For Land Use And Coverage In The Morro Do Chapéu State Park/Bahia/Brazil,almeida_futurescenarioslandcoverage_2023,0
Machine Learning For Anomaly Detection In Cyanobacterial Fluorescence Signals,almuhtaram_machinelearninganomalydetection_2021,0
Management Of Early-Stage Cutaneous Melanoma,aloia_managementstagecutaneousmelanoma_2005,0
Patient Engagement Approaches In Total Joint Arthroplasty: A Review Of Two Decades,alokozai_patientengagementapproachestotal_2021,0
Water Quality Assessment At Ömerli Dam Using Remote Sensing Techniques,alparslan_waterqualityassessmentömerli_2007,0
Analysis Of Landscape Changes As An Indicator For Environmental Monitoring,alphan_analysislandscapeindicatorenvironmental_2017,0
Platforms And Viability Of Mobile Gis In Real-Time Hydrological Models: A Review And Proposed Model,alsabhan_platformsviabilitymobilegis_2011,1
Assessment Of Carbon Productivity Trends And Their Resilience To Drought Disturbances In The Middle East Based On Multi-Decadal Space-Based Datasets,alsafadi_assessmentcarbonproductivitytrends_2022,0
Automatic Manhole Extraction From Mms Data To Update Basemaps,alshaiba_automaticmanholeextractionmms_2020,0
"Investigation Into The Use Of Satellite Data In Aiding Characterization Of Particulate Air Quality In The Atlanta, Georgia Metropolitan Area",alston_investigationsatellitedataaiding_2011,0
"Design, Development, And Experimental Verification Of A Trajectory Algorithm Of A Telepresence Robot",altalbe_designdevelopmentexperimentalverification_2023,1
Woody Species Diversity In Temperate Andean Forests: The Need For New Conservation Strategies,altamirano_woodyspeciesdiversitytemperate_2010,0
"How Useful Are Plant Functional Types In Global Simulations Of The Carbon, Water, And Energy Cycles?",alton_plantfunctionaltypesglobal_2011,1
The Value Of Crowdsourced Street-Level Imagery: Examining The Shifting Property Regimes Of Openstreetcam And Mapillary,alvarezleon_crowdsourcedstreetlevelimagery_2019,0
Sensing Lights: The Challenges Of Transforming Street Lights Into An Urban Intelligence Platform,alvarez_sensinglightschallengestransforming_2022,0
Cost Analysis Of A Neonatal Point-Of-Care Monitor,alvesdunkerson_costanalysisneonatalcare_2002,1
Analysis From The New Solar Radiation Atlas For Saudi Arabia,alyahya_analysissolarradiationatlas_2016,0
Building Energy Conservation In Atrium Spaces Based On Ecotect Simulation Software In Hot Summer And Cold Winter Zone In Iran,amani_buildingenergyconservationatrium_2018,0
Estimating Coastal Digital Elevation Model Uncertainty,amante_estimatingcoastaldigitalelevation_2018,0
"A Review Of Uav Platforms, Sensors, And Applications For Monitoring Of Sugarcane Crops",amarasingam_reviewuavplatformssensors_2022,0
"Mapping Of The Vulnerability To Marine Intrusion “In Coastal Cherchell Aquifer, Central Algeria” Using The Galdit Method",amarni_mappingvulnerabilitymarineintrusion_2020,0
Human Resource Development And Management In The Philippines’ National Space Capacity Building Program,ambatali_humanresourcedevelopmentmanagement_2024,0
Causes Of High O3 In The Lower Free Troposphere Over The Pacific Northwest As Observed At The Mt. Bachelor Observatory,ambrose_o3lowerfreetroposphere_2011,0
Economic Effects And Spin-Offs In A Small Space Economy: The Case Of Canada,amesse_economiceffectsspinoffs_2002,0
"Drought Risk Assessment: A Case Study In Punjab, Pakistan",amin_droughtriskassessmentstudy_2019,0
Urban Land Use And Land Cover Change Analysis Using Random Forest Classification Of Landsat Time Series,amini_urbanlandlandcover_2022,1
"Modeling The Impact And Risk Assessment Of Urbanization On Urban Heat Island And Thermal Comfort Level Of Beijing City, China (2005–2020)",amirsiddique_modelingimpactriskassessment_2023,0
Spatiotemporal Variability Of Soil Moisture In Arid Vegetation Communities Using Modis Vegetation And Dryness Indices,amiri_spatiotemporalvariabilitysoilmoisture_2020,0
Rs And Gis Based Approach For Detecting Land-Use Changes And Its Impact On The Groundwater Aquifer,ammeish_rsgisbasedapproach_2016,0
Infralittoral Mapping Around An Oceanic Archipelago Using Meris Fr Satellite Imagery And Deep Kelp Observations: A New Tool For Assessing Mpa Coverage Targets,amorim_infralittoralmappingoceanicarchipelago_2015,0
Characterization Of Primary Productivity Levels Of Niger By Means Of Noaa Ndvi Variations,amparo_characterizationprimaryproductivitylevels_1995,0
Optimal Daily Scheduling Of Mobile Machines To Transport Cellulosic Biomass From Satellite Storage Locations To A Bioenergy Plant,an_optimaldailyschedulingmobile_2019,0
Relationship Of Construction Land Expansion And Ecological Environment Changes In The Three Gorges Reservoir Area Of China,an_relationshipconstructionlandexpansion_2023,0
Use Of Remote Sensing And Gis For Identifying Tanks And Rehabilitation Benefits To The Rural Areas,anand_remotesensinggisidentifying_2019,1
Detecting Mistletoe Infestation On Silver Fir Using Hyperspectral Images,ancic_detectingmistletoeinfestationsilver_2014,0
Hyperspectral Sensors And Application In Forestry,ancic_hyperspectralsensorsapplicationforestry_2019,1
"Leaf Area Index Variations In Ecoregions Of Ardabil Province, Iran",andalibi_leafindexvariationsecoregions_2021,0
The Application Of Spatial Technologies For Rangeland Research And Management: State Of The Art,anderson_applicationspatialtechnologiesrangeland_1996,1
Predictions By Early Indicators Of The Time And Height Of The Peaks Of Yearly Influenza Outbreaks In Sweden,andersson_predictionsindicatorstimeheight_2008,1
"The Peri-Urban Gentrification Process In Cisauk Subdistrict, Tangerang Regency, Indonesia",andini_periurbangentrificationprocess_2023,0
"Vegetation Fragmentation Of Marapanim River Watershed, Northeastern Of Pará State",andrade_vegetationfragmentationmarapanimriver_2020,0
Detecting Microrefugia In Semi-Arid Landscapes From Remotely Sensed Vegetation Dynamics,andrew_detectingmicrorefugiasemiarid_2017,0
A Cost-Effectiveness Analysis Of Dexamethasone Versus Prednisone In Pediatric Acute Asthma Exacerbations,andrews_costeffectivenessanalysisdexamethasone_2012,1
Patterns Of Forest Cover Change And Their Association With Forest Management Regimes Of Forest Reserves In The High Forest Zone Of Ghana,ankomah_patternsforestcoverchange_2019,0
Evaluation Of Regional Land Surface Conditions Developed Using The High-Resolution Land Data Assimilation System (Hrldas) With Satellite And Global Analyses Over India,ankur_evaluationregionallandsurface_2021,0
Progress Of Aerosol Direct Radiative Forcing,annan_progressaerosoldirectradiative_2024,0
New Perspectives In The Monitoring Of Marine Sedimentary Transport By Satellites—Advantage And Research Directions,anne_perspectivesmonitoringmarinesedimentary_2020,1
Remote Sensing And Gis-Based Analysis To Envisage Urban Sprawl To Enhance Transport Planning In A Fast Developing Indian City,anoona_remotesensinggisbased_2020,0
Space And Ground-Based Remote Sensing Comparison Of Seasonal Interaction Of Aerosol-Cloud-Precipitable Water,anoruo_spacegroundbasedremote_2020,0
High Reliability Of Care In Orthopedic Surgery: Are We There Yet?,anoushiravani_reliabilitycareorthopedicsurgery_2016,0
How To Solve Big Problems: Bespoke Versus Platform Strategies,ansar_solvebespokeversusplatform_2022,0
Synergy Between Satellite Altimetry And Optical Water Quality Data Towards Improved Estimation Of Lakes Ecological Status,anspertoomsalu_synergysatellitealtimetryoptical_2021,0
"Estimated Potential Death And Disability Averted With Vehicle Safety Interventions, Association Of Southeast Asian Nations",antonamakoshi_estimatedpotentialdeathdisability_2023,1
Geospatial Approaches For Monitoring And Mapping Of Water Resources In Semi-Arid Regions Of Southern India,anusha_geospatialapproachesmonitoringmapping_2022,0
Spatio-Temporal Characteristics Of Water-Use Efficiency And Its Relationship With Climatic Factors In The Haihe River Basin,anzhou_spatiotemporalcharacteristicswater_2019,0
Detecting Shrub Recovery In Sagebrush Steppe: Comparing Landsat-Derived Maps With Field Data On Historical Wildfires,applestein_detectingshrubrecoverysagebrush_2021,0
Satellite-Derived Plant Cover Maps Vary In Performance Depending On Version And Product,applestein_satellitederivedplantcover_2023,0
How The Covid-19 Pandemic Will Change The Future Of Critical Care,arabi_covid19pandemicchange_2021,0
Low-Cost Dispersive Hyperspectral Sampling Scanner For Agricultural Imaging Spectrometry,arad_lowcostdispersivehyperspectral_2023,0
Effects Of Temporal Bias On The Assessment Of An Ecological Perturbation: A Case Study Of The Prestige Oil Spill,aragon_effectstemporalbiasassessment_2015,0
Gis-Based Approach To Zoning The Risk Associated With Municipal Solid Waste Management: Application To Regional Scale,araizaaguilar_gisbasedapproachzoning_2021,0
"Conservation Of Vegetation Coverage In Maderas Del Carmen, Coahuila, Multitemporal Analysis Using Savi Index",aranda_conservationvegetationcoveragemaderas_2022,0
"The Seasonal Carbon And Water Balances Of The Cerrado Environment Of Brazil: Past, Present, And Future Influences Of Land Cover And Land Use",arantes_seasonalcarbonwaterbalances_2016,0
Application Of Spatial Environmental Indicators In The Assessment Of Degradation Potential Of Water Resources In Water Basins,arantes_applicationspatialenvironmentalindicators_2023,0
Mapping Soil Transmitted Helminths And Schistosomiasis Under Uncertainty: A Systematic Review And Critical Appraisal Of Evidence,araujonavas_mappingsoiltransmittedhelminths_2016,0
Phenotyping Genotypic Performance Under Multistress Conditions: Mediterranean Wheat As A Case Study,araus_phenotypinggenotypicperformancemultistress_2023,0
A Set Of Landscape Indicators To Describe Environmental Impacts Of Crop-Shelter Coverage,arcidiacono_setlandscapeindicatorsdescribe_2012,0
Provisional Patent In Argentina,ardila_provisionalpatentargentina_2022,0
