page,p
4,"therefore, to determine the value of additional infor- mation, we rewrite equation (5) under two alternative scenarios, 1) and 2): ε * 1) for p > , x will be chosen a priori."
4,"the additional information has a value only if the decision ε +ε maker modifies his action a posteriori, i.e., if it conveys the message, i s . =′ p (1 − ∝ ) ⋅ u x s + (1 − p ) ∝ ⋅ u x s + (1 − p )(1 − ∝ ) ⋅ u x s + p ∝ ⋅ u x s vi =′ p (1 − ∝ ) ⋅ ( 0 ) + (1 − p ) ∝ ⋅ ( 0 ) + (1 − p )(1 − ∝ ) ⋅ ( ε ) + p ∝ ⋅ ( −ε ) ⇔ vi ⇔ vi ′= (1 − p )(1 − ∝ ) ⋅ ε − p ∝ ⋅ ε the first two utilities, u x s and u x s , are null because the decision maker does not modify his decision."
4,"the third, u x s , is positive since the additional information allowed the decision maker to make a better deci- sion."
4,"the fourth utility, u x s , is negative."
4,"the inaccuracy of the additional information does not exclude the case where the a posteriori choice is less appropriate than the a priori choice. ε * 2) for p < , x will be chosen a priori."
4,"the additional information has a value only if the decision ε +ε maker modifies his action a posteriori, i.e., if it conveys the message, i s ."
4,"vi = ′′ p (1 − ∝ ) ⋅ u x s + (1 − p ) ∝ ⋅ u x s + (1 − p )(1 − ∝ ) ⋅ u x s + p ∝ ⋅ u x s ⇔ vi = ′′ p (1 − ∝ ) ⋅ ( ε ) + (1 − p ) ∝ ⋅ ( −ε ) + (1 − p )(1 − ∝ ) ⋅ ( 0 ) + p ∝ ⋅ ( 0 ) ⇔ vi = ′′ p (1 − ∝ ) ⋅ ε − (1 − p ) ∝ ⋅ ε in this scenario, and for the same reasons as those given in scenario (i), the first utility u x s is positive, the second utility u x s is negative, and the last two utilities u x s and u x s are null."
4,analysis of the value of additional information 2.4.1.
4,"the value of additional information in section 2.3 above, we defined the value of information as follows: ε for p > , vi ′= (1 − p )(1 − ∝ ) ⋅ ε − p ∝ ⋅ ε ε +ε ε for p < , vi=′′ p (1 − ∝ ) ⋅ ε − (1 − p ) ∝ ⋅ ε (6) ε +ε ε if p = , the two actions are different a priori and the value of information is therefore maximal and ex- ε +ε pressed as: εε vi max = (1 − 2 ∝ ) ε +ε 2.4.2."
4,"impact of the inaccuracy on the value of additional information ∂vi ′ ∂vi ′′ ∂vi max εε − (1 − p ) ⋅ ε − p ⋅ ε < 0, = − p ⋅ ε − (1 − p ) ⋅ ε < 0, = −2 = <0 ∂α ∂α ∂α ε +ε 770"
5,"destandau, a."
5,"diop not surprisingly, we find that information has a higher value when it is more precise."
5,2.4.3.
5,"impact of initial assumptions on the value of additional information ∂vi ′ ∂vi ′′ ∂vi max = − (1 − ∝ ) ⋅ ε − ∝ ⋅ ε < 0, = (1 − ∝ ) ⋅ ε + ∝ ⋅ ε > 0, =0 ∂p ∂p ∂p initial assumptions or a priori probabilities can have a positive or negative influence on the value of informa- tion."
5,"if the initial choice is action x (derivatives of vi ′ ), an increase in the occurrence probability p of s only strengthens this choice; the value of information, which increases when we approach the status quo, is therefore reduced."
5,"in contrast, if the initial choice is x (derivatives of vi ′′ ), a rise in the occurrence probability p increases the doubt and, therefore, the value of additional information. ε the derivative of vi max logically cancels itself out since p = maximizes the a priori uncertainty ε +ε and, therefore, the value of information."
5,2.4.4.
5,"impact of the costs of a poor decision on the value of additional information ∂vi ′ ∂vi ′′ ∂vi max ε2 = (1 − p )(1 − ∝ ) > 0, = − (1 − p ) ∝ < 0, (1 − 2 ∝ ) >0 ∂ε ∂ε ∂ε (ε + ε ) 2 ∂vi ′ ∂vi ′′ ∂vi max ε2 = − p ∝ < 0, = p (1 − ∝ ) > 0, (1 − 2 ∝ ) >0 ∂ε ∂ε ∂ε (ε + ε ) 2 the costs linked to a poor decision or error cost can have a positive or negative influence on the value of in- formation."
5,"if the initial choice is the action x (derivatives of vi ′ ), then an increase in the error cost by wrongly choosing x increases the uncertainty and, therefore, the value of information."
5,"on the other hand, an increase in the error cost by wrongly choosing x only confirms the initial choice and, therefore, reduces the value of in- formation."
5,the same reasoning justifies the derivatives of vi ′′ when the initial choice is x .
5,the derivatives of vi max are positive.
5,a rise in the costs linked to a poor decision generally increases the ε maximal value of information (for p = ).
5,"when costs tend toward infinity, the limits of the value of in- ε +ε formation are as follows: εε εε limε →+∞ vi max = limε →+∞ (1 − 2 ∝= ) limε →+∞ (1 − 2= ∝) limε →+∞ (1 − 2 ∝ ) ⋅ ε ε +ε ε εε εε limε →+∞ vi max = limε →+∞ (1 − 2 ∝= ) limε →+∞ (1 − 2= ∝) limε →+∞ (1 − 2 ∝ ) ⋅ ε (7) ε +ε ε the contextualization of the preceding theoretical model will make it possible to illustrate the above results."
5,empirical application 3.1.
5,monitoring networks in france and in the bas-rhin department water quality monitoring networks appeared in france in 1971.
5,many networks were created over time with different objectives.
5,"some were created before the implementation of the european water framework directive (wfd) in 2007: the national pollution survey (inventaire national du degré de pollution, inp), the national basin network (réseau national de bassin, rnb) and the national complementary basin network (réseau- complémentaire de bassin, rcb)."
5,"others were created afterwards: the control and monitoring network (réseau de contrôleet de surveillance, rcs), the operational control network (réseau de contrôle opération- 771"
6,"destandau, a."
6,"diop nel, rco), the reference control network (réseau de contrôle de référence, rcr), the survey control net- work (réseau de contrôled’ enquête, rce) and the additional control network (réseau de contrôle addi- tionnel, rca)."
6,"local networks can be added to these, including the departmental interest network (réseaud’ intérêt départemental) in the bas-rhin department (rid 67) that supplements the national networks."
6,the modification of these networks in 2007 when the wfd was implemented corresponded to a change in the way these networks were designed.
6,"until then, they mainly fulfilled a time-oriented objective, i.e., to measure water quality at a regular frequency at a specific number of measurement stations (generally located on rivers over 10 km long) in order to observe water quality."
6,"with the wfd, the objective became space-oriented since information about the quality of each specific water body then became a necessity."
6,this finer spatial grid is ac- companied by a rationalization of the measurement frequency that is now linked to observed qualitative prob- lems.
6,a water body that has difficulty in achieving good status will be more closely monitored.
6,the steinbach measurement station as a decision-making tool 3.2.1.
6,the context and its formalization the steinbach is a stream in the bas-rhin department of france.
6,"it is 8 km long and flows into the sauer river, passing through the towns of dambach, lembach, niedersteinbach and obersteinbach."
6,"it is considered to be a water body according to the definition of the european water framework directive and, as a result, has a water quality measurement station that is part of the rid 67, station n˚02045160, located within the city limits of lembach."
6,"in 2013, a wastewater treatment plant with a population equivalent (pe) of 740 was built in niedersteinbach in order to collect and treat the effluents of the neighboring communities before discharging them into the steinbach."
6,"two purification techniques were studied for this treatment plant: activated sludge, which is a bio- logical treatment technique that uses wastewater treatment microorganisms, and a natural lagoon-based waste- water treatment system that uses a bacterial culture to break down organic matter."
6,the activated sludge tech- nique is more costly but more effectively treats the nutrients that can lead to eutrophication when they are dis- charged into the stream.
6,"eutrophication, which is produced by the proliferation of plants, can have an impact on the fauna and flora by depriving them of oxygen, and generates additional costs to produce drinking water."
6,"when choosing a treatment technique, it is therefore important to know if the environment is sensitive to nu- trients and, consequently, if the risk of eutrophication is real."
6,"is it better to use the more costly activated sludge technique to avoid all risks of eutrophication, or the natural lagoon-based system at the risk of having to assume the ecological damage linked to the eutrophication of the water body?"
6,the steinbach measurement station made it possible to provide information about the sensitivity of the envi- ronment so that a well-informed decision could be made.
6,"to calculate the value of this information, we identify: -two states of nature: s = the water body sensitive to nutrients; s = the water body insensitive to nutrients -and two possible actions concerning the choice of the technique to be used at the wastewater plant: x = activated sludge; x = natural lagoon-based system the use of activated sludge will eliminate the risk of eutrophication, regardless of the state of nature: ( x, s ) c ( x ) ( x , s ) c= c= the use of a natural lagoon-based system will lead to damage linked to eutrophication e of the stream if the environment is sensitive to nutrients: , s ) c ( x ) and c ( x= c ( x= , s ) c ( x) + e the costs of a poor decision (equation (2)) can be expressed as follows: ε= c ( x ) − c ( x ) , ε= c ( x ) + e − c ( x ) (8) 3.2.2."
6,value of the parameters the rhin-meuse water agency produces technical datasheets [20] that make it possible to estimate the operat- ing and investment costs for the different treatment techniques according to the population equivalent (pe).
6,"for a pe of 740, we have: 772"
7,"destandau, a."
7,"diop investment cost for lagoon-based system = 676.3 × (740) − 93,858 = €406,604 operating cost for lagoon-based system = 3.6501 × (740) + 1117.3 = €3,818/year investment cost for activated sludge = 11,023 × (740)0.6159 = €644,851 operating cost for activated sludge = 14.454 × (740) + 6433.8 = €17,130/year by calculating the constant annuity with a discount rate of 4% and a lifespan of 25 years, we have: =c ( x ) €58408 = year , c ( x ) €29846 year estimating the damage linked to eutrophication is complicated because it is closely linked to the local context."
7,"the water from the steinbach is not used to produce drinking water, whereas fish farming and recreational fish- ing could be affected, and the fauna and flora could be subjected to environmental damage."
7,sutton et al. [21] mention different studies that attempted to estimate this damage.
7,"söderqvist and hasselström [22] found, for eu- trophication in the baltic sea, damage of 70 to 800 euros per year and per household."
7,the aqua money policy brief [23] for the european water framework directive estimates this damage at between 20 and 200 euros per year and per household for 11 watersheds.
7,"the steinbach goes through four villages: dambach (809 inhabitants), obersteinbach (241 inhabitants), nie- dersteinbach (155 inhabitants) and lembach (1730 inhabitants), with 6%, 77%, 76% and 14% of the municipali- ties, respectively, located on the water body."
7,we can therefore estimate the number of inhabitants affected by the quality of the water body at 594.
7,"with an average household size of 2.3 in france, this means that 258 households are affected, resulting in damage costs of €18,082 to €206,647/year basing ourselves on the figures of söderqvist and hasselström [22], and of €5166 to €51,662/year with aqua money [23]."
7,"in order for the information provided by the monitoring station to have value, the damage must be greater than c ( x ) − c ( x ) , or €28,562/year."
7,"if not, the lagoon-based system would always be preferable."
7,"the aim of this article is not to precisely estimate the damage and, consequently, the value of information, but to instead understand how the parameters influence this value."
7,"we illustrate our model with the two upper bounds of the estimates found in the literature, €51,662 and €206,647/year."
7,"the error costs (equation (8)) then become: =ε €28562 = year , ε €23100 year or €178085 year (9) 3.3."
7,"the value of information concerning the risk of eutrophication on the steinbach taking the equations used to express the value of additional information described in equation (6), the error costs given in equation (9), and the inaccuracy, equation (3), of 1%, 5% and 10%, figure 1 shows the evolution of the value of information according to the priori probability𝑝𝑝 that the environment is sensitive to nutrients."
7,"we can see in figure 1 that when p, the a priori occurrence of eutrophication, is low, the value of informa- tion is higher when the damage is greater."
7,"in contrast, when p is high, the value of information is higher when the damage is lower."
7,"in fact, if the damage is high (low) and its probability of occurrence is also high (also low), the value of in- formation is low because the choice of opting a priori for activated sludge (natural lagoon-based system) ap- pears to be more appropriate."
7,additional information in this case therefore provides little information.
7,"in this example, the use of additional information can even lead to a negative value when the additional in- formation is not accurate."
7,"in fact, there is a non-null probability that additional information may lead to the modification of a decision that was appropriate a priori."
7,"the greatest a priori uncertainty and, therefore, the greatest value of information is obtained when the dam- age is high and its probability of occurrence is low, or inversely."
7,the peaks of the graphs in figure 1 indicate the probability𝑝𝑝for which uncertainty is a priori maximal for each value of the damage and of the uncertainty of the additional information.
7,"in figure 2, we can observe the evolution of these “peaks” that express the maximal value of information for different values of the damage."
7,"the limits of these maximal information values for damage that tend towards infinity are, taking equation (7): €27,991/year, €25,706/year and €22,850/year, respectively, for uncertainties of 1%, 5% and 10%."
7,conclusions the european water framework directive is placing increasing demands on the acquisition of information 773
8,"destandau, a."
8,diop figure 1.
8,"value of information according to the ecological damage, the accuracy of additional information and the a priori probabilities on the state of nature."
8,figure 2.
8,maximal value of information according to ecological damage. about the quality of aquatic environments.
8,"in france, the cost of water quality monitoring is estimated at 30 mil- lion euros per year."
8,"consequently, a reflection on the rationalization of monitoring networks is necessary."
8,"to do this, it is important to estimate the economic value of information produced by a network."
8,the aim of this article is to contribute to this reflection.
8,"to do so, we used the bayesian framework to define the value of additional information in relation to the following parameters: prior probabilities on the states of nature, costs linked to a poor decision (error costs) and accuracy of additional information."
8,"we then analyzed the impact of these parameters on this value, particularly the combined role of prior probabilities and error 774"
9,"destandau, a."
9,diop costs that increased or decreased the value of information depending on the initial uncertainty level.
9,we then il- lustrated the results using a case study of a stream in the bas-rhin department in france.
9,"in the bayesian framework, the value of information is based on the direct use of this information to influence a decision."
9,the limit of this method is that it does not calculate a value prior to the decision and ignores the fu- ture potential uses of the information.
9,"in our illustration, this would mean that the steinbach measurement sta- tion would not have any more value once the wastewater station is operational."
9,"nevertheless, even if the baye- sian framework only provides a partial estimation of the value of information, it in no way detracts from its ex- planatory power."
9,knowing the economic value of the information produced by water quality monitoring networks can lead to a cost-benefit analysis to rationalize the design of these networks.
9,"to do this, it is also necessary to study the costs of monitoring stations whose calculation is not necessarily direct when certain costs are shared and the frequen- cies and types of measurements are irregular."
9,"however, this is not within the scope of this article."
9,"acknowledgements we would like to express our deep gratitude to alain kieber, head of the réseaud’ intérêt départemental (rid 67) of the conseil départemental du bas-rhin, for providing us with all of the information necessary to build our case study."
9,"references [1] sanders, t.g., ward, r.c., loftis, j.c., steele, t.d., adrian, d.d. and yevjevich, v."
9,(1983) design of networks for monitoring water quality.
9,"water resources publication llc, highlands ranch, co."
9,"[2] strobl, r.o. and robillard, p.d."
9,(2008) network design for water quality monitoring of surface freshwater: a re- view.
9,"journal of environmental management, 90, 639-648. http://dx.doi.org/10.1016/j.jenvman.2007.03.001 [3] ward, r.c., loftis, j.c. and mcbride, g.b."
9,(1986) the “data-rich and information-poor syndrome” in water quality monitoring.
9,"environmental management, 10, 291-297. http://dx.doi.org/10.1007/bf01867251 [4] alvarez-vazquez, l.j., martınez, a., vazquez-mendez, m.e. and vilar, m.a."
9,(2006) optimal location of sampling points for river pollution control.
9,"mathematics and computers in simulation, 71, 149-160. http://dx.doi.org/10.1016/j.matcom.2006.01.005 [5] destandau, f. and point, p."
9,(2003) analysecoûtefficacitéet discrimination partielle de la redevance.
9,"in: ferrari, s. and point, p., eds., eau et littoral: préservation et valorisation de l’eaudans les espacesinsulaires, les editions kartala, paris, 301-330."
9,"[6] do, h.t., lo, s.l., chiueh, p.t. and thi, l.a.p."
9,(2012) design of sampling locations for mountainous river moni- toring.
9,"environmental modelling & software, 27, 62-70. http://dx.doi.org/10.1016/j.envsoft.2011.09.007 [7] park, s.y., choi, j.h., wang, s. and park, s.s."
9,(2006) design of a water quality monitoring network in a large river system using the genetic algorithm.
9,"ecological modelling, 199, 289-297. http://dx.doi.org/10.1016/j.ecolmodel.2006.06.002 [8] telci, i.t., nam, k., guan, j. and aral, m.m."
9,(2009) optimal water quality monitoring network design for river systems.
9,"journal of environmental management, 90, 2987-2998. http://dx.doi.org/10.1016/j.jenvman.2009.04.011 [9] harmancioglu, n.b. and alpaslan, n."
9,(1992) water quality monitoring network design: a problem of multi-objec- tive decision making.
9,"journal of the american water resources association, 28, 179-192. http://dx.doi.org/10.1111/j.1752-1688.1992.tb03163.x [10] mogheir, y. and singh, v.p."
9,(2002) application of information theory to groundwater quality monitoring networks.
9,"water resources management, 16, 37-49. http://dx.doi.org/10.1023/a:1015511811686 [11] shannon c.e."
9,(1948) a mathematical theory of communication.
9,"bell system technical journal, 27, 379-423, 623- 656. http://dx.doi.org/10.1002/j.1538-7305.1948.tb00917.x [12] macauley, m. and laxminarayan, r."
9,(2010) valuing information: methodological frontiers and new applications for realizing social benefits.
9,"space policy, 26, 549-551. http://dx.doi.org/10.1016/j.spacepol.2010.08.007 [13] yokota, f. and thompson, k.m."
9,"(2004) value of information analysis in environmental health risk management decisions: past, present and future."
9,"risk analysis, 24, 635-650. http://dx.doi.org/10.1111/j.0272-4332.2004.00464.x [14] mäntyniemi, s., kuikka, s., rahikainen, m., kell, l.t. and kaitala, v."
9,(2009) the value of information in fisheries management: north sea herring as an example.
9,"ices journal of marine science, 66, 2278-2283. http://dx.doi.org/10.1093/icesjms/fsp206 775"
10,"destandau, a."
10,"diop [15] wu, b. and zheng, y."
10,(2013) assessing the value of information for water quality management: a watershed pers- pective from china.
10,"environmental monitoring and assessment, 185, 3023-3035. http://dx.doi.org/10.1007/s10661-012-2769-8 [16] bouma, j.a., van der woerd, h. and kuik, o."
10,(2009) assessing the value of information for water quality manage- ment in the north-sea.
10,"journal of environmental management, 90, 1280-1288. http://dx.doi.org/10.1016/j.jenvman.2008.07.016 [17] bouma, j.a., kuik, o. and dekker, a.g."
10,(2011) assessing the value of earth observation for managing the coral reefs: an example from the great barrier reef.
10,"science of the total environment, 409, 4497-4503. http://dx.doi.org/10.1016/j.scitotenv.2011.07.023 [18] bouzit, m., graveline, n. and maton, l."
10,(2013) assessing the value of information of emerging water quality moni- toring.
10,"working paper, brgm."
10,"[19] khader, a.i., rosenberg, d.e. and mckee, m."
10,(2013) a decision tree model to estimate the value of information provided by a groundwater quality monitoring network.
10,"hydrology and earth system sciences, 17, 1797-1807. http://dx.doi.org/10.5194/hess-17-1797-2013 [20] agence de l’eaurhin-meuse (2007) les procédésd’épuration des petites collectivités du bassinrhin-meuse: éléments de comparaison techniques et économiques. http://cdi.eau-rhin-meuse.fr/geidefile/30228_rm.pdf?"
10,"archive=170782499896&file=30228+rm_pdf [21] sutton, m.a.m., howard, c.m., willem erisman, w., billen, g., bleeker, a., grennfelt, p., van grinsven, h. and grizzetti, b."
10,(2011) the european nitrogen assessment.
10,"cambridge university press, cambridge. http://dx.doi.org/10.1017/cbo9780511976988 [22] söderqvist, t. and hasselström, l."
10,(2008) the economic value of ecosystem services provided by the baltic sea and skagerrak. http://www.naturvardsverket.se/documents/publikationer/978–91–620–5874–6.pdf [23] aquamoney (2010) http://www.aquamoney.ecologic-events.de/sites/results.html submit your manuscript at: http://papersubmission.scirp.org/ 776
