title,key,author,journal,year,doi
Operational Evaluation Of A Wildfire Air Quality Model From A Forecaster Point Of View,ainslie_operationalevaluationwildfireair_2022,"Ainslie, Bruce and So, Rita and Chen, Jack",Weather And Forecasting,2022,10.1175/waf-d-21-0064.1
Bioclimatic Variables From Precipitation And Temperature Records Vs. Remote Sensing-Based Bioclimatic Variables: Which Side Can Perform Better In Species Distribution Modeling?,amiri_bioclimaticvariablesprecipitationtemperature_2020,"Amiri, Mohadeseh and Tarkesh, Mostafa and Jafari, Reza and Jetschke, Gottfried",Ecological Informatics,2020,10.1016/j.ecoinf.2020.101060
Mapping Of Potential Fuel Regions Using Uncrewed Aerial Vehicles For Wildfire Prevention,andrada_mappingpotentialfuelregions_2023,"Andrada, Maria Eduarda and Russell, David and Arevalo-Ramirez, Tito and Kuang, Winnie and Kantor, George and Yandun, Francisco",Forests,2023,10.3390/f14081601
Identification Of Agricultural Management Zones Through Clustering Algorithms With Thermal And Multispectral Satellite Imagery,arango_identificationagriculturalmanagementzones_2017,"Arango, R. B. and Campos, A. M. and Combarro, E. F. and Canas, E. R. and Diaz, I.",International Journal Of Uncertainty Fuzziness And Knowledge-Based Systems,2017,10.1142/s0218488517400062
Mapping Open Data And Big Data To Address Climate Resilience Of Urban Informal Settlements In Sub-Saharan Africa,banzhaf_mappingdatadataaddress_2022,"Banzhaf, Ellen and Bulley, Henry N. and Inkoom, Justice Nana and Elze, Sebastian",Climate,2022,10.3390/cli10120186
More Than Counting Pixels - Perspectives On The Importance Of Remote Sensing Training In Ecology And Conservation,bernd_countingpixelsperspectivesimportance_2017,"Bernd, Asja and Braun, Daniela and Ortmann, Antonia and Ulloa-Torrealba, Yrneh Z. and Wohlfart, Christian and Bell, Alexandra",Remote Sensing In Ecology And Conservation,2017,10.1002/rse2.27
Examining The Value Of Satellite Data In Halting Transmission Of Polio In Nigeria: A Socioeconomic Analysis,borowitz_examiningsatellitedatahalting_2023,"Borowitz, Mariel and Zhou, Janet and Azelton, Krystal and Nassar, Isabelle-Yara",Data \& Policy,2023,10.1017/dap.2023.12
Optimizing Observing Systems Using Aspen: An Analysis Tool To Assess The Benefit And Cost Effectiveness Of Observations To Earth System Applications,boukabara_optimizingobservingsystemsaspen_2022,"Boukabara, Sid-Ahmed and Hoffman, Ross N.",Bulletin Of The American Meteorological Society,2022,10.1175/bams-d-22-0004.1
How Valuable Is Remotely Sensed Information? The Case Of Tropical Deforestation Modelling,bounfour_valuableremotelysensedinformation_1999,"Bounfour, A and Lambin, EF",Space Policy,1999,10.1016/s0265-9646(99)00025-9
Accuracy And Impact Of Spatial Aids Based Upon Satellite Enumeration To Improve Indoor Residual Spraying Spatial Coverage,bridges_accuracyimpactspatialaids_2018,"Bridges, Daniel J. and Pollard, Derek and Winters, Anna M. and Winters, Benjamin and Sikaala, Chadwick and Renn, Silvia and Larsen, David A.",Malaria Journal,2018,10.1186/s12936-018-2236-2
"Integrative Geospatial Approaches For The Comprehensive Monitoring And Assessment Of Land Management Sustainability: Rationale, Potentials, And Characteristics",buenemann_integrativegeospatialapproachescomprehensive_2011,"Buenemann, M. and Martius, C. and Jones, J. W. and Herrmann, S. M. and Klein, D. and Mulligan, M. and Reed, M. S. and Winslow, M. and Washington-Allen, R. A. and Lal, R. and Ojima, D.",Land Degradation \& Development,2011,10.1002/ldr.1074
Compliance With European Union Environmental Law: An Analysis Of Digitalization Effects On Institutional Capacities,burgin_complianceeuropeanunionenvironmental_2020,"Burgin, Alexander",Environmental Policy And Governance,2020,10.1002/eet.1877
Securing Sustainability In Indian Agriculture Through Civilian Uav: A Responsible Innovation Perspective,chamuah_securingsustainabilityindianagriculture_2020,"Chamuah, Anjan and Singh, Rajbeer",Sn Applied Sciences,2020,10.1007/s42452-019-1901-6
Characterization Of Field-Scale Soil Variation Using A Stepwise Multi-Sensor Fusion Approach And A Cost-Benefit Analysis,chatterjee_characterizationfieldscalesoil_2021,"Chatterjee, Sumanta and Hartemink, Alfred E. and Triantafilis, John and Desai, Ankur R. and Soldat, Doug and Zhu, Jun and Townsend, Philip A. and Zhang, Yakun and Huang, Jingyi",Catena,2021,10.1016/j.catena.2021.105190
Ground Level Lidar As A Contributing Indicator In An Environmental Protection Application,coman_groundlevellidarcontributing_2023,"Coman, Ciprian M. and Toma, Bogdan C. and Constantin, Mihai A. and Florescu, Adriana",Ieee Access,2023,10.1109/access.2023.3319453
"Testing The Water Balance Model Criteria Using Tdr Measurements, Micrometeorological Data And Satellite-Based Information",consoli_testingwaterbalancemodel_2016,"Consoli, S. and Licciardello, F. and Vanella, D. and Pasotti, L. and Villani, G. and Tomei, F.",Agricultural Water Management,2016,10.1016/j.agwat.2015.11.003
System Modelling Of Very Low Earth Orbit Satellites For Earth Observation,crisp_systemmodellinglowearth_2021,"Crisp, N. H. and Roberts, P. C. E. and Romano, F. and Smith, K. L. and Oiko, V. T. A. and Sulliotti-Linner, V and Hanessian, V and Herdrich, G. H. and Garcia-Alminana, D. and Kataria, D. and Seminari, S.",Acta Astronautica,2021,10.1016/j.actaastro.2021.07.004
Using Remote Sensing As A Support To The Implementation Of The European Marine Strategy Framework Directive In Sw Portugal,cristina_remotesensingsupportimplementation_2015,"Cristina, Sonia and Icely, John and Goela, Priscila Costa and Angel DelValls, Tomas and Newton, Alice",Continental Shelf Research,2015,10.1016/j.csr.2015.03.011
The Role Of Satellite Technologies In Relief Logistics,delmonteil_rolesatellitetechnologiesrelief_2017,"Delmonteil, Francois-Xavier and Rancourt, Marie-Eve",Journal Of Humanitarian Logistics And Supply Chain Management,2017,10.1108/jhlscm-07-2016-0031
"Use Of Social Networks For Outreach, Education And Training On Space Applications: Know-How And Experience Of Planete Sciences Midi-Pyrenees And Cnes",denis_socialnetworksoutreacheducation_2014,"Denis, Gil and Klein, Severine and Gueguen, Berengere",Acta Astronautica,2014,10.1016/j.actaastro.2013.09.010
Integrating Inland And Coastal Water Quality Data For Actionable Knowledge,elserafy_integratinginlandcoastalwater_2021,"El Serafy, Ghada Y. H. and Schaeffer, Blake A. and Neely, Merrie-Beth and Spinosa, Anna and Odermatt, Daniel and Weathers, Kathleen C. and Baracchini, Theo and Bouffard, Damien and Carvalho, Laurence and Conmy, Robyn N. and De Keukelaere, Liesbeth and Hunter, Peter D. and Jamet, Cedric and Joehnk, Klaus D. and Johnston, John M. and Knudby, Anders and Minaudo, Camille and Pahlevan, Nima and Reusen, Ils and Rose, Kevin C. and Schalles, John and Tzortziou, Maria",Remote Sensing,2021,10.3390/rs13152899
Pollution Monitoring: Optimal Design Of Inspection - An Economic Analysis Of The Use Of Satellite Information To Deter Oil Pollution,florens_pollutionmonitoringoptimaldesign_1999,"Florens, JP and Foucher, C",Journal Of Environmental Economics And Management,1999,10.1006/jeem.1999.1072
Climate Data For The European Forestry Sector: From End-User Needs To Opportunities For Climate Resilience,fraccaroli_climatedataeuropeanforestry_2021,"Fraccaroli, Cecilia and Govigli, Valentino Marini and Briers, Siebe and Cerezo, Nieves Pena and Jimenez, Jorge Paz and Romero, Maria and Lindner, Marcus and de Arano, Inazio Martinez",Climate Services,2021,10.1016/j.cliser.2021.100247
Multilayer Data And Artificial Intelligence For The Delineation Of Homogeneous Management Zones In Maize Cultivation,gallardoromero_multilayerdataartificialintelligence_2023,"Gallardo-Romero, Diego Jose and Apolo-Apolo, Orly Enrique and Martinez-Guanter, Jorge and Perez-Ruiz, Manuel",Remote Sensing,2023,10.3390/rs15123131
Sharing Environmental Data Through Geoss,giuliani_sharingenvironmentaldatageoss_2011,"Giuliani, Gregory and Ray, Nicolas and Schwarzer, Stefan and De Bono, Andrea and Peduzzi, Pascal and Dao, Hy and Van Woerden, Jaap and Witt, Ron and Beniston, Martin and Lehmann, Anthony",International Journal Of Applied Geospatial Research,2011,10.4018/jagr.2011010101
Crossing The (Watershed) Divide: Satellite Data And The Changing Politics Of International River Basins,gleason_crossingwatersheddividesatellite_2017,"Gleason, Colin J. and Hamdan, Ali N.",Geographical Journal,2017,10.1111/geoj.12155
"Wireless Sensor Networks To Study, Monitor And Manage Cattle In Grazing Systems",gonzalez_wirelesssensornetworksstudy_2014,"Gonzalez, L. A. and Bishop-Hurley, G. and Henry, D. and Charmley, E.",Animal Production Science,2014,10.1071/an14368
2d Vs. 3d Change Detection Using Aerial Imagery To Support Crisis Management Of Large-Scale Events,gstaiger_2d3dchangedetection_2018,"Gstaiger, Veronika and Tian, Jiaojiao and Kiefl, Ralph and Kurz, Franz",Remote Sensing,2018,10.3390/rs10122054
Monitoring Water-Related Ecosystems With Earth Observation Data In Support Of Sustainable Development Goal (Sdg) 6 Reporting,hakimdavar_monitoringwaterrelatedecosystems_2020,"Hakimdavar, Raha and Hubbard, Alfred and Policelli, Frederick and Pickens, Amy and Hansen, Matthew and Fatoyinbo, Temilola and Lagomasino, David and Pahlevan, Nima and Unninayar, Sushel and Kavvada, Argyro and Carroll, Mark and Smith, Brandon and Hurwitz, Margaret and Wood, Danielle and Uz, Stephanie Schollaert",Remote Sensing,2020,10.3390/rs12101634
Developments In Land Information Systems: Examples Demonstrating Land Resource Management Capabilities And Options,hallett_developmentslandinformationsystems_2017,"Hallett, S. H. and Sakrabani, R. and Keay, C. A. and Hannam, J. A.",Soil Use And Management,2017,10.1111/sum.12380
"Comparing The Information Content Of Coral Reef Geomorphological And Biological Habitat Maps, Amirantes Archipelago (Seychelles), Western Indian Ocean",hamylton_comparinginformationcontentcoral_2012,"Hamylton, S. and Andrefouet, S. and Spencer, T.",Estuarine Coastal And Shelf Science,2012,10.1016/j.ecss.2012.06.001
Spaceborne Imaging Spectroscopy For Sustainable Agriculture: Contributions And Challenges,hank_spaceborneimagingspectroscopysustainable_2019,"Hank, Tobias B. and Berger, Katja and Bach, Heike and Clevers, Jan G. P. W. and Gitelson, Anatoly and Zarco-Tejada, Pablo and Mauser, Wolfram",Surveys In Geophysics,2019,10.1007/s10712-018-9492-0
Perspectives From Landscape Ecology Can Improve Environmental Impact Assessment,harker_perspectiveslandscapeecologyimprove_2021,"Harker, Karly J. and Arnold, Lauren and Sutherland, Ira J. and Gergel, Sarah E.",Facets,2021,10.1139/facets-2020-0049
To Pay Or Not To Pay? Monitoring Performance And Enforcing Conditionality When Paying For Forest Conservation In Mexico,honeyroses_paypaymonitoringperformance_2009,"Honey-Roses, Jordi and Lopez-Garcia, Jose and Rendon-Salinas, Eduardo and Peralta-Higuera, Armando and Galindo-Leal, Carlos",Environmental Conservation,2009,10.1017/s0376892909990063
Viirs Nighttime Light Data For Income Estimation At Local Level,ivan_viirsnighttimelightdata_2020,"Ivan, Kinga and Holobaca, Iulian-Horia and Benedek, Jozsef and Torok, Ibolya",Remote Sensing,2020,10.3390/rs12182950
Formalizing A Two-Step Decision-Making Process In Land Use: Evidence From Controlling Forest Clearcutting Using Spatial Information,jabbour_formalizingstepdecisionprocess_2023,"Jabbour, Chady and Hoayek, Anis and Salles, Jean-Michel",Land,2023,10.3390/land12010015
The Utility Of Airborne Hyperspectral And Satellite Multispectral Images In Identifying Natura 2000 Non-Forest Habitats For Conservation Purposes,jarocinska_utilityairbornehyperspectralsatellite_2023,"Jarocinska, Anna and Kopec, Dominik and Niedzielko, Jan and Wylazlowska, Justyna and Halladin-Dabrowska, Anna and Charyton, Jakub and Piernik, Agnieszka and Kaminski, Dariusz",Scientific Reports,2023,10.1038/s41598-023-31705-6
Big Data Analysis Applied In Agricultural Planting Layout Optimization,jiang_dataanalysisappliedagricultural_2019,"Jiang, Y. M. and Wang, T. and Zhao, H. H. and Shao, X. D. and Cui, W. H. and Huang, K. and Li, L. P.",Applied Engineering In Agriculture,2019,10.13031/aea.12790
An Observing System Simulation Experiment Framework For Air Quality Forecasts In Northeast Asia: A Case Study Utilizing Virtual Geostationary Environment Monitoring Spectrometer And Surface Monitored Aerosol Data,kim_observingsystemsimulationexperiment_2022,"Kim, Hyeon-Kook and Lee, Seunghee and Bae, Kang-Ho and Jeon, Kwonho and Lee, Myong-In and Song, Chang-Keun",Remote Sensing,2022,10.3390/rs14020389
On Timeliness And Accuracy Of Wildfire Detection By The Goes Wf-Abba Algorithm Over California During The 2006 Fire Season,koltunov_timelinessaccuracywildfiredetection_2012,"Koltunov, Alexander and Ustin, Susan L. and Prins, Elaine M.",Remote Sensing Of Environment,2012,10.1016/j.rse.2012.09.001
Supporting Management Of Refugee Streams By Earth Observation And Geoinformation,komp_supportingmanagementrefugeestreams_2016,"Komp, Klaus-Ulrich and Mueterthies, Andreas",Photogrammetrie Fernerkundung Geoinformation,2016,10.1127/pfg/2016/0308
Open-Source Satellite Data And Gis For Land Resource Mapping,kumar_sourcesatellitedatagis_2018,"Kumar, Nirmal and Singh, S. K. and Mishra, V. N. and Reddy, G. P. Obi and Bajpai, R. K.",NA,2018,10.1007/978-3-319-78711-4\_10
Resilience Aspects In The Sensor Web Infrastructure For Natural Disaster Monitoring And Risk Assessment Based On Earth Observation Data,kussul_resilienceaspectssensorweb_2014,"Kussul, Nataliia and Skakun, Sergii and Shelestov, Andrii Yu and Kussul, Olga and Yailymov, Bohdan",Ieee Journal Of Selected Topics In Applied Earth Observations And Remote Sensing,2014,10.1109/jstars.2014.2313573
Ocean Colour Opportunities From Meteosat Second And Third Generation Geostationary Platforms,kwiatkowska_oceancolouropportunitiesmeteosat_2016,"Kwiatkowska, Ewa J. and Ruddick, Kevin and Ramon, Didier and Vanhellemont, Quinten and Brockmann, Carsten and Lebreton, Carole and Bonekamp, Hans G.",Ocean Science,2016,10.5194/os-12-703-2016
Estimating The Societal Benefits Of Satellite Instruments: Application To A Break-Even Analysis Of The Geoxo Hyperspectral Ir Sounder,lauer_estimatingsocietalbenefitssatellite_2021,"Lauer, Christopher and Conran, Joseph and Adkins, Jeffery",Frontiers In Environmental Science,2021,10.3389/fenvs.2021.749044
"Earth Observation For Citizen Science Validation, Or Citizen Science For Earth Observation Validation? The Role Of Quality Assurance Of Volunteered Observations",leibovici_earthobservationcitizenscience_2017,"Leibovici, Didier G. and Williams, Jamie and Rosser, Julian F. and Hodges, Crona and Chapman, Colin and Higgins, Chris and Jackson, Mike J.",Data,2017,10.3390/data2040035
In-Season Prediction Of Corn Grain Yield Through Planetscope And Sentinel-2 Images,li_seasonpredictioncorngrain_2022,"Li, Fenling and Miao, Yuxin and Chen, Xiaokai and Sun, Zhitong and Stueve, Kirk and Yuan, Fei",Agronomy-Basel,2022,10.3390/agronomy12123176
Optimal Decision-Making Model Of Spatial Sampling For Survey Of China's Land With Remotely Sensed Data,li_optimaldecisionmodelspatial_2005,"Li, LF and Wang, JF and Liu, JY",Science In China Series D-Earth Sciences,2005,10.1360/03yd0376
Measuring The Economic Benefits Of Advanced Technology Use For River Flood Forecasting,lim_measuringeconomicbenefitsadvanced_2022,"Lim, Siew Hoon and Ge, Yue and Jacobs, Jennifer M. and Jia, Xinhua",Journal Of Flood Risk Management,2022,10.1111/jfr3.12781
Remote Sensing For Assessing Landslides And Associated Hazards,lissak_remotesensingassessinglandslides_2020,"Lissak, Candide and Bartsch, Annett and De Michele, Marcello and Gomez, Christopher and Maquaire, Olivier and Raucoules, Daniel and Roulland, Thomas",Surveys In Geophysics,2020,10.1007/s10712-020-09609-1
Managing Agricultural Water Considering Water Allocation Priority Based On Remote Sensing Data,luo_managingagriculturalwaterwater_2021,"Luo, Biao and Zhang, Fan and Liu, Xiao and Pan, Qi and Guo, Ping",Remote Sensing,2021,10.3390/rs13081536
