title,abstract,year,author,doi,screening_status,excl_reasons
Initial Assessment Of Burn Severity Using Transfer Learning Model,"[Objective] Forest fires have broken out frequently in recent years, which severely damages the structure and function of forest ecosystem around the world. Initial assessment of burn severity after forest fires could provide a quantitative basis for rapid implementations of restoration measures in burned areas. In last decades, remote sensing-based models have become an appropriate choice to assess burn severity, which generally requires a certain amount of field survey data. However, this requirement could not be satisfied sufficiently in most cases, since the field survey work would cost a lot of time, labor, and money. Therefore, this would largely limit the efficient application of remote sensing technology to the initial assessment of burn severity. To improve the time-efficiency of traditional remote sensing-based models, a transfer learning algorithm (i.e., SSTCA, semi-supervised Transfer Component Analysis) was employed in this study to build an initial assessment model of burn severity. [Method] At first, the SSTCA algorithm was applied to project a series of new features from original spectral features of remotely sensed data. Based on these projected features, a SVR (Support Vector Regression) model was then trained using historical field survey data of source areas (i.e., Bear fire on June 27, 2002 and Mule fire on July 11, 2002). After that, this combined SSTCA-SVR model was transferred to the initial assessment of burn severity of a target area (i.e., Lushan fire on March 30, 2020). Finally, its performance was quantitatively compared with that of some traditional models (i.e., dNDVI-, dLST-, dNBR-, and SVR-based models). [Results] Results showed that original spectral features of remote sensing images over source and target areas were quite different. After the projection of SSTCA, projected features of source and target samples have similar distribution patterns in the new features-based space. Meanwhile, in the initial assessment of burn severity, dNDVI- and dNBR-based models have overestimated burn severity levels with the lowest accuracy (i.e., overall accuracy was from 20.80% to 24.80% and Kappa value was between 0.01 and 0.06). Compared to these spectral indices-based models, dLST-based model has a better performance with an overall accuracy of 34.80% and a Kappa value of 0.19. Although SVR-based model has shown a promising performance with an overall accuracy of 58.00% and a Kappa value of 0.48, this machine learning model still has overestimated burn severity in some regions of burned areas. Compared to that of mentioned-above models, assessment results of burn severity levels using the SSTCA-SVR model was more accurate with an overall accuracy of 71.20% and a Kappa value of 0.64. [Conclusion] It could be concluded that the application of a transferring learning algorithm would be very helpful for building an assessment model of burn severity with a good transferring ability. In this way, more accurate results could be obtained in the initial assessment of burn severity and the response of post-fire management could thus be speeded up after forest fires. © 2022 National Remote Sensing Bulletin. All rights reserved.",NA,NA,10.11834/jrs.20210156,included,NA
Nasa?S Global Precipitation Measurement Mission: Leveraging Stakeholder Engagement \& Applications Activities To Inform Decision-Making,"The application of satellite precipitation estimates from NASA's Global Precipitation Measure-ment (GPM) Mission for decision-making has been a focus for the mission since launch. As a result, GPM data have enabled a range of applications that address societal needs, including water resource management, crop forecasting, ecological monitoring, disaster response, public health, aviation, weather forecasting, and climate modeling, among others. GPM applications activities have continued to focus on user engagement through in person trainings and interviews, work-shops, webinars, and educational outreach activities. The goals of these efforts are to synthesize community data needs in order to effectively support and enable decision-making across agencies, academia and the global community. While these efforts have helped the GPM mission establish a large stakeholder community that encompasses federal and state partners, academic institutions, and private and nonprofit companies, there remains difficulties associated with accessing, pro-cessing, and applying the data to support or enable applications. In this article, we present GPM applications strategies and approaches used to enhance the applications value of GPM data, and most importantly, demonstrate how these efforts have and can inform different decision-making contexts. This work also provides a discussion on key lessons learned from the user community and how this information can be utilized to help better support and shape applications ap-proaches for future NASA Earth Science missions.",NA,NA,10.1016/j.rsase.2022.100853,included,NA
Contribution Of Remote Sensing For Crop And Water Monitoring,"Agriculture brings with it a number of issues: agricultural production and food security, water and soil resource conservation, limiting the impact of farming on the quality of our environment (water, air, soil). In the context of global changes and the challenges they pose for agriculture sustainability, our ability to characterize how croplands function in terms of water, carbon and particle fluxes is crucial. Developments of agro-ecosystems modeling, including their interactions with the atmosphere and the anthropogenic factors are valuable tools for progress in this direction. Remote sensing, with the high variety of spectral ranges and the fine spatial and temporal resolution currently available, is a tool of great value for various applications in agriculture. The availability of robust inverse methods that allow surface biophysical variables to be assessed, combined with modeling approaches, makes it a high performance tool. The major contributions of remote sensing include:. -its ability to cover large stretches of land and to provide information on the various land uses and practices generated by agriculture. These uses and practices are important to know, both for census purposes (agricultural statistics, agri-environmental monitoring, etc.) and for modeling the behavior of agro-hydrosystems;-providing frequent variables characterizing soil and vegetation properties that allows us to monitor the status of crops, their production potential, their irrigation requirements. This monitoring is a highly strategic issue, both for forecasting purposes, food security and good resource management;-the possibility, from the same information, of assessing the contribution of agricultural lands to net emissions of CO2 and other greenhouse gases (GHGs); this assessment is essential for proposing alternative agricultural scenarios for mitigating the contribution of croplands to climate change-thanks to the fine spatial and temporal resolution of information, the possibility of providing a decision support for farming activities according to the intra-field variability (precision farming). This dimension represents an important lever for enabling agricultural systems to achieve better efficiency and economical use of inputs for an agriculture that respects the environment. © ISTE Press Ltd 2016.",NA,NA,10.1016/b978-1-78548-103-1.50004-2,included,NA
Predicting Poverty Index Using Deep Learning On Remote Sensing And Household Data,"The main challenge for approving and implementing policies aiming at sustainable development of country is correct prediction of socioeconomic condition. Deep learning algorithms in recent researches have been identified as potential resource to be applied in this domain. Another challenge is availability of sufficient amount of data which is solved using transfer learning in Convolutional Neural Network (CNN). We used pre-trained Inception Net-v3 and Ridge regression model to estimate poverty level using publicly available dataset comprising of daylight images, nightlight images and survey data. Each cluster of samples contains households between 1-28. Its mean is 21.09, median 21 and a standard deviation is 1.36. Proposed deep learning inspired model estimates wealth-score for 28393 clusters with an r value i.e. Pearson Correlation Coefficient of 0.73, signifying r2 value i.e. Coefficient of determination of 0.54. It shows that daytime satellite images, nightlight intensity and demographic data available can be utilized for precise evaluations about the spatial scattering of monetary prosperity crosswise over different nations. © BEIESP.",NA,NA,10.35940/ijrte.c3918.098319,included,NA
Integrating Inland And Coastal Water Quality Data For Actionable Knowledge,"Water quality measures for inland and coastal waters are available as discrete samples from professional and volunteer water quality monitoring programs and higher-frequency, near-continuous data from automated in situ sensors. Water quality parameters also are estimated from model outputs and remote sensing. The integration of these data, via data assimilation, can result in a more holistic characterization of these highly dynamic ecosystems, and consequently improve water resource management. It is becoming common to see combinations of these data applied to answer relevant scientific questions. Yet, methods for scaling water quality data across regions and beyond, to provide actionable knowledge for stakeholders, have emerged only recently, particularly with the availability of satellite data now providing global coverage at high spatial resolution. In this paper, data sources and existing data integration frameworks are reviewed to give an overview of the present status and identify the gaps in existing frameworks. We propose an integration framework to provide information to user communities through the the Group on Earth Observations (GEO) AquaWatch Initiative. This aims to develop and build the global capacity and utility of water quality data, products, and information to support equitable and inclusive access for water resource management, policy and decision making.",NA,NA,10.3390/rs13152899,included,NA
"Wireless Sensor Networks To Study, Monitor And Manage Cattle In Grazing Systems","Monitoring and management of grazing livestock production systems can be enhanced with remote monitoring technologies collecting information with high temporal and spatial detail. However, the potential benefits of such technologies have yet to be realised and challenges still exist with hardware, and data analysis and interpretation. The objective of this paper was to propose analytical methods and demonstrate the value of remotely collected liveweight (LW) and behaviour of beef cattle grazing tropical pastures. Three remote weighing systems were set up at the water troughs to capture LW of three groups of 20 animals for 341 days. LW data reflected short-term effects following the first rain event (>50 mm) at the end of the dry season, which resulted in LW losses of 22 +/- 8.8 kg of LW at a rate of -1.54 +/- 0.46 kg/day (n = 60). This period was followed by a peak daily LW change (LWC) of +2 kg/day. The remote weighing system also captured longer environmental effects related to seasonal changes in forage quality and quantity with highest LWC during the wet season and weight loss during the dry season. Effects of management on LW and LWC were observed as a result of moving animals to paddocks with more edible forage during the dry season when the negative trend in LWC was reversed after rotating animals. Behavioural monitoring indicated that resting and ruminating took place at camping sites, and foraging resulted in grazing hotspots. Remotely collected LW data captured both short-and long-term temporal changes associated with environmental and management factors, whereas remote monitoring collars captured the spatial distribution of behaviours in the landscape. Wireless sensor networks have the ability to provide data with sufficient detail in real-time making it possible for increased understanding of animal biology and early management interventions that should result in increased production, animal welfare and environmental stewardship.",NA,NA,10.1071/an14368,included,NA
A Daily 25km Short-Latency Rainfall Product For Data-Scarce Regions Based On The Integration Of The Global Precipitation Measurement Mission Rainfall And Multiple-Satellite Soil Moisture Products,"Rain gauges are unevenly spaced around the world with extremely low gauge density over developing countries. For instance, in some regions in Africa the gauge density is often less than one station per 10 000 km(2). The availability of rainfall data provided by gauges is also not always guaranteed in near real time or with a timeliness suited for agricultural and water resource management applications, as gauges are also subject to malfunctions and regulations imposed by national authorities. A potential alternative is satellite-based rainfall estimates, yet comparisons with in situ data suggest they are often not optimal. In this study, we developed a short-latency (i.e. 2-3 d) rainfall product derived from the combination of the Integrated Multi-Satellite Retrievals for GPM (Global Precipitation Measurement) Early Run (IMERG-ER) with multiplesatellite soil-moisture-based rainfall products derived from ASCAT (Advanced Scatterometer), SMOS (Soil Moisture and Ocean Salinity) and SMAP (Soil Moisture Active and Passive) L3 (Level 3) satellite soil moisture (SM) retrievals. We tested the performance of this product over four regions characterized by high-quality ground-based rainfall datasets (India, the conterminous United States, Australia and Europe) and over data-scarce regions in Africa and South America by using triple-collocation (TC) analysis. We found that the integration of satellite SM observations with in situ rainfall observations is very beneficial with improvements of IMERG-ER up to 20\% and 40\% in terms of correlation and error, respectively, and a generalized enhancement in terms of categorical scores with the integrated product often outperforming reanalysis and ground-based long-latency datasets. We also found a relevant overestimation of the rainfall variability of GPM-based products (up to twice the reference value), which was significantly reduced after the integration with satellite soil-moisture-based rainfall estimates. Given the importance of a reliable and readily available rainfall product for water resource management and agricultural applications over data-scarce regions, the developed product can provide a valuable and unique source of rainfall information for these regions.",NA,NA,10.5194/hess-24-2687-2020,included,NA
Perspectives From Landscape Ecology Can Improve Environmental Impact Assessment,"The outcomes of environmental impact assessment (EIA) influence millions of hectares of land and can be a contentious process. A vital aspect of an EIA process is consideration of the accumulation of impacts from multiple activities and stressors through a cumulative effects assessment (CEA). An opportunity exists to improve the rigor and utility of CEA and EIA by incorporating core scientific principles of landscape ecology into EIA. With examples from a Canadian context, we explore realistic hypothetical situations demonstrating how integration of core scientific principles could impact EIA outcomes. First, we demonstrate how changing the spatial extent of EIA boundaries can misrepresent cumulative impacts via the exclusion or inclusion of surrounding natural resource development projects. Second, we use network analysis to show how even a seemingly small, localized development project can disrupt regional habitat connectivity. Lastly, we explore the benefits of using long-term historical remote sensing products. Because these approaches are straightforward to implement using publicly available data, they provide sensible opportunities to improve EIA and enhance the monitoring of natural resource development activities in Canada and elsewhere.",NA,NA,10.1139/facets-2020-0049,included,NA
Centers For Space Science And Technology Education - A United-Nations Initiative,"The availability of environmental and Earth resources data acquired by satellites can assist all countries to gain a better understanding of how to safeguard their environment as well as ensure a more efficient management and productive harnessing of their natural resources. However, in order for the developing countries to share in the benefits inherent in remote sensing technology and in programmes related to environmental information systems, particularly through their participation in international, regional and national programmes and projects, there must be an adequate and long-term commitment to and an investment in the development of skills and knowledge in the discipline at the local level. This article focuses on the United Nations initiative to establish regional Centres for Space Science and Technology Education which should provide a unique opportunity for the development of such an indigenous capability. These Centres have the potential to contribute significantly to the implementation of the recommendations of the Rio Conference, otherwise known as Agenda 21, and to the successful execution of the programme of activities of the user communities in the developing countries.",NA,NA,10.1080/01431169308953992,included,NA
Construction Of Super-Resolution Model Of Remote Sensing Image Based On Deep Convolutional Neural Network,"With the continuous improvement of satellite remote sensing technology, using super-resolution image reconstruction technology to reconstruct remote sensing images has important application significance for social development. In the generator model proposed in this paper, the standard convolution layer in the residual network structure is replaced by empty convolution to improve the overall performance of the model while keeping the number of parameters unchanged and the receptive field of convolution at each stage unchanged. By analyzing the advantages of residual network, dense connection network, and cavity convolution in the field of image super resolution, an optimized super-resolution reconstruction model of GAN image with cavity convolution is constructed with dense connection block of cavity residue as a generator component. The cloud computing-based service model is introduced into the image reconstruction system, and the background management module is built through the cloud service system, which is responsible for model training, image transmission, image processing request and database reading. Through experimental analysis, it is proved that the whole automatic data processing from automatic matching data to processing data can be completed, and the performance is better than the traditional service mode, which can produce great economic benefits.",NA,NA,10.1016/j.comcom.2021.06.022,included,NA
Conservation Impacts Of A Near Real-Time Forest Monitoring And Alert System For The Tropics,"Near real-time (NRT) forest monitoring and alert systems based on remotely sensed data are among the most recently developed tools to help manage and protect forest resources. The use of satellite and airborne remote sensing to quickly and accurately detect activities associated with deforestation has great potential for catalyzing local response teams responsible for assessing and interdicting threats to tropical forest ecosystems. To better understand the utility of NRT monitoring technologies in improving environmental protection and management, from 2008 to 2016 Conservation International conducted a series of surveys and interviews with users of these systems in four countries where wildfires threaten tropical forest ecosystems: Madagascar, Indonesia, Bolivia and Peru. Users reported that NRT forest monitoring systems made significant contributions to improving the ability of conservation and forest management organizations to respond to and reduce the impacts of fire, deforestation and other illegal or undesirable forest activity. Understanding the types of applications for which users successfully employed forest monitoring data, the challenges they faced in accessing, analyzing or disseminating these data, and the lessons learned from our attempts to develop and deploy NRT forest monitoring systems is useful to institutions interested in successfully incorporating NRT monitoring into their work.",NA,NA,10.1002/rse2.78,included,NA
Accessing Satellite Imagery For Disaster Response Through The International Charter: Lessons Learned From The 2011 Us Midwestern Floods,"The International Charter 'Space and Major Disasters' (""Charter"") is a collaboration among Earth observation satellite owners and operators to provide remotely sensed (RS) data following natural and man-made disasters. Charter members provided post-flood and pre-flood or archived RS data after the April 2011 floods in the Midwestern US. These multispectral and RADAR images provided valuable information to end users"" and first responders in the flood affected states for their planning and relief efforts. This effort was successful because of the process established by the Charter for soliciting requests, and acquiring and distributing data through a network of international and national agencies, and data vendors. This.paper describes the a) role played by the Charter to acquire and distribute RS data through six of its members, b) value of archived satellite data, c) need for image processing experts to process these near real-time data, and transfer them in a timely manner, and d) data acquisition and distribution policies of the Charter. Lessons learned from this response along with the policy recommendations will be helpful in future activations for maximizing the value of RS data and services provided by the Charter.",NA,NA,10.1016/j.spacepol.2017.08.003,included,NA
"Groundwater Recharges Assessment Using Novel Remote Sensing Approach In Asir Region, Saudi Arabia","Remote sensing technology have showed robust capacities in meeting challenges of water resource management, in the countries like kingdom of Saudi Arabia where rapid population growth is imposing stress on scarce water resources. In addition, continual Earth observations from space are important to manage water resources for the benefit of humankind and the environment, as well provide important forecasting services to prevent water-related disasters such as floods and droughts. Remote sensing approaches to assess and manage of water resources are important especially in the region of Saudi Arabian because no satisfactory hydrological networks exist. Cloud detection is important issue in extracting information of geophysical, geomorphological and meteorological interest from remotely sensed images. Present work aimed at imposing a new method for cloud detecting and producing cloud probability mapping of multispectral images acquired using MERIS images. The algorithm was implemented on 59 satellite imageries collected from January 2006 to October 2011. © IDOSI Publications, 2013.",NA,NA,10.5829/idosi.wasj.2013.28.01.1871,included,NA
Assumption-Versus Data-Based Approaches To Summarizing Species' Ranges,"For conservation decision making, species' geographic distributions are mapped using various approaches. Some such efforts have downscaled versions of coarse-resolution extent-of-occurrence maps to fine resolutions for conservation planning. We examined the quality of the extent-of-occurrence maps as range summaries and the utility of refining those maps into fine-resolution distributional hypotheses. Extent-of-occurrence maps tend to be overly simple, omit many known and well-documented populations, and likely frequently include many areas not holding populations. Refinement steps involve typological assumptions about habitat preferences and elevational ranges of species, which can introduce substantial error in estimates of species' true areas of distribution. However, no model-evaluation steps are taken to assess the predictive ability of these models, so model inaccuracies are not noticed. Whereas range summaries derived by these methods may be useful in coarse-grained, global-extent studies, their continued use in on-the-ground conservation applications at fine spatial resolutions is not advisable in light of reliance on assumptions, lack of real spatial resolution, and lack of testing. In contrast, data-driven techniques that integrate primary data on biodiversity occurrence with remotely sensed data that summarize environmental dimensions (i.e., ecological niche modeling or species distribution modeling) offer data-driven solutions based on a minimum of assumptions that can be evaluated and validated quantitatively to offer a well-founded, widely accepted method for summarizing species' distributional patterns for conservation applications.",NA,NA,10.1111/cobi.12801,included,NA
Remotely Sensed Data For Ecosystem Analyses: Combining Hierarchy Theory And Scene Models,"Remotely sensed data have been used extensively for environmental monitoring and modeling at a number of spatial scales; however, a limited range of satellite imaging systems often. constrained the scales of these analyses. A wider variety of data sets is now available, allowing image data to be selected to match the scale of environmental structure(s) or process(es) being examined. A framework is presented for use by environmental scientists and managers, enabling their spatial data collection needs to be linked to a suitable form of remotely sensed data. A six-step approach is used, combining image spatial analysis and scaling tools, within the context of hierarchy theory. The main steps involved are: (1) identification of information requirements for the monitoring or management problem; (2) development of ideal image dimensions (scene model), (3) exploratory analysis of existing remotely sensed data using scaling techniques, (4) selection and evaluation of suitable remotely sensed data based on the scene model, (5) selection of suitable spatial analytic techniques to meet information requirements, and (6) cost-benefit analysis. Results from a case study show that the framework provided an objective mechanism to identify relevant aspects of the monitoring problem and environmental characteristics for selecting remotely sensed data and analysis techniques.",NA,NA,10.1007/s00267-002-2837-x,included,NA
