title,author,year,n_tokens,summary,error,pass,screening_decision,reason_for_exclusion,Quick notes,econ_method,societal_benefit,value_units,eo_data,applied_science_theme,revisited
Assessing the Value of Earth Observation for Managing Coral Reefs: An Example from the Great Barrier Reef,"Bouma, Jetske A. and Kuik, Onno and Dekker, Arnold G.",2011,10785,"The paper employs expert elicitation based on Bayesian decision theory to estimate the value of Earth Observation (EO) information for managing the Great Barrier Reef. The analysis focuses on the potential contribution of EO information, specifically regarding sediment flows. Decision-makers' perceptions of informational accuracy (Type I and II errors) were assessed to determine the value of EO information for a range of prior beliefs. The results indicate that increasing informational accuracy can lead to substantial economic benefits, with potential cost savings reaching up to 37 million AUD per year. The study suggests a business case for additional investments in EO for better protecting the Great Barrier Reef. The Bayesian decision theory approach provides insights into decision-making under uncertainty and the importance of updating decision-makers' beliefs about the value of informational investments. The study highlights the significance of increasing informational accuracy to enhance decision-making and the economic value of EO information in environmental resource management.",NA,1,Include,NA,"VOI/Bayesian decision theory, elicitation of decision maker perceptions - marine conservation, Great Barrier Reef",voi; expert elicitation,improved water quality management decisions (GBR),financial,hypothetical,conservation,
The Value of Earth Observation for Managing the Great Barrier Reef,"Bouma, Jetske and Kuik, Onno and Dekker, Arnold",NA,11020,"The paper explores the economic benefits of informational investments, specifically focusing on investments in Earth Observation (EO) data for managing the Great Barrier Reef. Here is a summary of the methods used to estimate the societal benefits:    1. **Expert Elicitation Approach**: The study develops an expert elicitation method based on Bayesian decision theory to estimate the expected contribution of informational investments to decision-making.    2. **Model Development**: A model is developed to optimize emission reductions under different states, considering uncertainties related to water quality management in the region. The states represent the variability in pollution impacts on the reef from different catchments.    3. **Value of Information Assessment**: The study uses Bayesian decision theory to determine the value of information. The value of information is assessed based on decision-makers' responses on the perceived accuracy of EO data and their prior beliefs about the states-of-the-world.    4. **Questionnaire Design**: A questionnaire is designed to elicit decision-makers' perceptions of the accuracy of EO information. Respondents were asked about the present and future informedness of decision-making with and without access to EO data.    5. **Data Collection**: The questionnaire is sent to researchers, water managers, and policymakers involved in Great Barrier Reef management. Responses from 27 participants are analyzed to assess the perceived accuracy of EO data and decision-makers' beliefs about the current states-of-the-world.    6. **Expected Utility Analysis**: Expected utilities of alternative actions under different states are calculated, enabling the determination of decision-makers' prior beliefs.    7. **Value of Information Calculation**: The value of EO information is calculated using Bayesian decision theory, incorporating the estimated type-I and type-II errors in decision-making. The analysis considers the range of decision-makers' prior beliefs and the perceived accuracy of information.    8. **Results**: The study estimates the value of EO information at 13.9 million AUD per year, showing that improving information accuracy increases its value and widens the range of decision-makers willing to pay for such information.    The paper showcases the application of economic methods and Bayesian decision theory to quantify the societal benefits of EO data for better decision-making in environmental management.",NA,1,Include,NA,"VOI/Bayesian decision theory, elicited decision maker perceptions of value - marine conservation, Great barrier Reef",voi; expert elicitation,improved water quality management decisions (GBR),financial,hypothetical,conservation,
Bayesian Framework for Assessing the Value of Scientific Space Systems: Value of Information Approach with Application to Earth Science Spacecraft,"Brathwaite, Joy and Saleh, Joseph H.",2013,13741,"The paper discusses a Bayesian framework for assessing the value of scientific space systems based on the information they provide to stakeholders. The framework views space systems as information sources and stakeholders as information recipients, evaluating the systems based on the impact of the information transmitted on stakeholders' actions and resulting pay-offs. The framework is applied to an Earth science satellite that provides hurricane information to oil rig operators in the Gulf of Mexico. Probability models of stakeholders' beliefs and economic models of pay-offs are integrated, along with spacecraft design tools, to determine the value of the system.    The methods used in the paper involve:    1. Defining information: The authors discuss both statistical and pragmatic definitions of information in an engineering context to develop a comprehensive definition for spacecraft design and acquisition.    2. Bayesian framework development: A theoretical framework based on Bayesian updating is developed to quantify the value of information provided by the space system, linking the information products to stakeholders' beliefs and decision-making processes.    3. Application to Earth science satellites: The Bayesian framework is applied to a case study involving an Earth science satellite providing hurricane information to oil rig operators. The framework is used to assess the value of the system based on the information it provides and the resulting cost savings for stakeholders.    4. Analysis and integration of cost considerations: The paper integrates the assessment of information value with cost considerations in the design and acquisition process, evaluating different system designs based on their value and lifecycle costs to aid in decision-making.    The results and analysis showcase how the Bayesian framework can help in identifying valuable system designs, understanding the trade-offs between value and cost, and making informed decisions in securing space systems that provide maximum value to stakeholders.",NA,1,Include,NA,"VOI/Bayesian decision theory, disaster early warning systems for hurricanes with respect to oil rigs",voi,improved forecasting of extreme weather events,financial,hypothetical,disaster response,
Economic Potential of Oil Palm Plantation Using Remote Sensing-Based Technology in Indonesia,"Center for Aerospace Policy Studies, National Institute of Aeronautics and Space (LAPAN), Indonesia} and Diana, Shinta Rahma and Farida, Farida and {Faculty of Economics and Bussiness, UPI, YAI, Indonesia",2021,10696,"The methods used in the paper ""Economic Potential of Oil Palm Plantation Using Remote Sensing-Based Technology in Indonesia"" involved a multi-faceted approach to estimating and quantifying the societal benefits of satellite or Earth Observation data in the context of oil palm production in Indonesia. Here is a summary of the key methods employed:    1. **Primary and Secondary Data Collection**: Both primary and secondary data collection methods were used in the research to gather relevant information for the study.    2. **Quantitative Methods**:     - **Multiple Regression Model with Panel Data**: A multiple regression model with panel data was used to analyze the relationships between various variables affecting oil palm plantation productivity.     - **Data Envelopment Analysis (DEA) Tool**: DEA was used to calculate productivity efficiency, comparing the usage of remote sensing technology to non-usage.     - **Multinomial Logistic Regression Technique**: A multinomial logistic regression technique was employed to assess the impact of remote sensing technology on the efficiency of oil palm production.    3. **Calculating Economic Potential**: The economic potential from the utilization of remote sensing technology was determined in terms of efficiency and productivity, with a specific focus on factors such as labor, fertilizer, and nutrient management.    4. **Statistical Analysis**:     - **Model Fit Test**: Various tests, such as Pearson and Deviance tests, were conducted to check the fit of the model.     - **Parameter Coefficient Interpretation**: Coefficients obtained from regression analyses were interpreted to understand the impact of input variables such as labor and fertilizer on oil palm productivity.     - **Multinomial Logistic Regression**: The regression results were analyzed to determine the effect of remote sensing on efficiency levels in oil palm production.    5. **Outcome Measurement**:     - The study concluded that the use of remote sensing technology, specifically from the Spot-6 satellite, significantly increased the productivity and efficiency of oil palm plantations in Indonesia compared to traditional manual methods.    By employing a combination of quantitative methods and statistical analyses, the research was able to estimate the economic potential and benefits of employing remote sensing technology in the oil palm industry in Indonesia.",NA,1,Include,NA,Statistical methods to tease out effects of remote sensing to improve management efficiency (fertilization) in oil palm production,panel regression,improved agricultural production efficiency,efficiency,SPOT,agriculture,
Value of Information for Climate Observing Systems,"Cooke, Roger and Wielicki, Bruce A. and Young, David F. and Mlynczak, Martin G.",2014,11592,"The paper discusses the value of information provided by improved climate observing systems, specifically comparing the benefits of an advanced observing system (referred to as ""Clarreo"") relative to existing satellite observations (referred to as ""I/A/C""). The methods involve calculating the societal benefits of the improved observing system by estimating the reduction in damages due to climate change that could be achieved by switching to a reduced emissions path based on earlier and more accurate information on key climate parameters.    The analysis is based on a decision context in which society switches from a business-as-usual emissions path to a reduced emissions path upon achieving sufficient confidence that a trigger variable (such as the decadal rate of global temperature rise) exceeds a critical value. The societal benefits are quantified as the difference in expected net present value of averted damages under the two observing systems.    The study uses the DICE integrated assessment model to compute the social cost of carbon and assess the economic impacts of climate change. Various scenarios are considered, including different discount rates, trigger values, launch dates for the advanced observing system, and confidence levels for triggering the switch to a reduced emissions path. The results show the potential societal benefits of investing in an improved climate observing system like Clarreo.    Overall, the methods involve modeling the link between improved climate observations, decision-making based on trigger variables, and the resulting reductions in climate damages. The calculations consider uncertainties in climate sensitivity, emissions scenarios, and observing system accuracy to estimate the value of information provided by an advanced observing system in mitigating the impacts of climate change.",NA,1,Include,NA,"Modeling link between improved climate observations, decision-making trigger status, and resulting reductions in climate damage",voi,earlier switch to reduced carbon emissions path,financial,CLARREO,climate,
Market-Based Methods for Monetizing Uncertainty Reduction,"Cooke, Roger and Golub, Alexander",2020,8712,"The paper focuses on market-based methods for monetizing uncertainty reduction, particularly in the context of satellite systems aimed at improving soil moisture prediction in the USA. The methods used include options pricing models, specifically the Bachelier formula, to estimate the societal benefits of reducing uncertainty in weather-related components of corn and soybean futures pricing.    Key points:    1. The study quantifies the reductions in uncertainty related to predicting soil moisture using satellite data.  2. Options pricing models are applied to assess the value of information gained from improved weather forecasting.  3. The study provides calculations for the annual consumer surplus and total present value of the satellite system's information.  4. The analysis considers the impacts of reduced uncertainty on corn and soybean production and pricing.  5. The results indicate significant potential economic benefits from the improved accuracy of weather predictions, with a focus on market instruments for risk trading and monetization of uncertainty reduction.    The paper demonstrates the application of economic methods to evaluate the value of satellite data in enhancing decision-making processes related to agricultural production and crop yield predictions.",NA,1,Include,NA,"Options pricing to assess VOI/Bayesian, based on improved accuracy of weather forecasting",voi;options pricing,improved weather forecasting,financial,hypothetical,agriculture,
Cost and Value of Multidisciplinary Fixed-Point Ocean Observatories,"Cristini, Luisa and Lampitt, Richard S. and Cardin, Vanessa and Delory, Eric and Haugan, Peter and O'Neill, Nick and Petihakis, George and Ruhl, Henry A.",2016,12016,"The paper discusses the value of sustained ocean observations using multidisciplinary fixed-point ocean observatories, such as those included in the fixo3 network. The methods used in the paper involve providing a rationale for eulerian time series monitoring of essential ocean variables (EOVs), estimating the costs to operate a typical fixed-point observatory, and assessing the services and products derived from eulerian ocean observations for societal benefits.     The cost estimation for a typical fixed-point observatory involves considering both capital and running costs. The initial investment for setting up a fully-equipped eulerian observatory is estimated at 501 k€, with annual operating costs estimated at 731 k€. The total capital cost for the entire fixo3 network of 23 observatories is estimated at approximately 11.5 m€. The annual cost for running the network, including coordination and data management, is estimated at around 17 m€.    The societal benefits derived from ocean observations provided by fixo3 observatories include economic benefits (reduced operational costs, environmental compliance), environmental benefits (better resource management), and social benefits (improved understanding of the marine environment). These benefits contribute to improved decision-making, economic growth, and better protection of marine resources for multiple users, including commercial industries and society at large.    The paper also highlights the challenges in accurately quantifying the economic value of ocean observations, especially in terms of collaborations among multiple stakeholders to maximize the benefits from these observatories. The integrated network of observatories like fixo3 generates higher-impact results through shared expertise and data, leading to a better understanding of marine processes and improved forecasting for various applications.",NA,1,Include,NA,"Cost-benefit analysis? Highlights challenges in accurately quantifying economic value of ocean observations - fairly surface level analysis.  Ocean-based observation, not satellite",cost benefit analysis,improved ocean and climate prediction,financial,FixO3,climate;disaster response;other,
An Analysis of the Value of Additional Information Provided by a Water Quality Measurement Network,"Destandau, F. and Diop, A. P.",2016,7084,"The paper uses Bayesian decision theory to estimate the value of additional information provided by a water quality measurement network. The authors define the value of information in relation to parameters such as prior probabilities on the states of nature, costs associated with poor decisions, and the accuracy of additional information. They analyze how these parameters impact the value of information, particularly focusing on the role of prior probabilities and error costs in increasing or decreasing the value of information based on the initial uncertainty level.    The authors illustrate their methodology using a case study of a stream in the Bas-Rhin department in France, where a monitoring station provides information on the sensitivity of the environment to nutrients for decision-making regarding wastewater treatment plant techniques. The economic utility of modifying decisions based on the additional information is calculated to determine the value of the information provided by the monitoring network.    The paper discusses the impact of the accuracy of the additional information, initial assumptions, and error costs on the value of information. It also highlights how the value of information changes based on the ecological damage, prior probabilities, and the precision of the additional information. Figures and analysis are presented to show how these parameters influence the value of information in the context of the water quality monitoring network case study. The study aims to contribute to the rationalization of monitoring networks by quantifying the economic value of the information they produce.",NA,1,Include,NA,VOI/Bayesian decision theory - economic benefit of improved decision in water quality measurement network,voi,improved decisionmaking about water treatment,financial,In situ water measurement,water resources,
Intangible Economic Benefit of Remote Sensing Data in Indonesia,"Diana, Shinta Rahma and Ibrahim, Ida Musdafia",2020,7899,"The paper titled ""Intangible Economic Benefit of Remote Sensing Data in Indonesia"" examines the intangible economic benefits of remote sensing activities in Indonesia. Here is a summary of the methods used in the study:    1. **Research Design**: The study employed qualitative techniques for descriptive and exploratory research.    2. **Data Collection**:      - Questionnaire: The research collected data through questionnaires distributed to end-users of remote sensing information from LAPAN in Indonesia, particularly in the agriculture and palm oil sectors.     - In-Depth Interviews: In-depth interviews were conducted with end-users in the Indonesian Center for Agricultural Land Resources Research and Development and the Indonesian Sustainable Palm Oil research department.    3. **Questionnaire Structure**:     - Perceived System Quality: Adaptability/portability, availability/response time, reliability/economy, usability/understandability.     - Information Quality: Completeness, user-friendliness, user satisfaction, relevance/use, security.     - User Satisfaction: Level of satisfaction, repeat uses, appropriateness of use.     - Intended Use: Nature of use, navigation patterns, number of visits, number of transactions executed.     - Net Benefit: Cost savings, work quality, decision making, reduced search costs, time savings.    4. **Sampling**:     - Purposive Sampling: Respondents included users of LAPAN's remote sensing data.       5. **Data Analysis**:     - Descriptive Analysis: Questionnaire results indicated high levels of user satisfaction and intended use of remote sensing information.     - In-Depth Interviews: Revealed the economic benefits of remote sensing in the agriculture and palm oil sectors, with an average of 64% cost savings post-implementation.    6. **Results and Discussion**:     - System and Information Quality: Respondents rated remote sensing information positively, highlighting benefits in work quality and productivity.     - Net Benefit: Remote sensing led to cost savings and improved decision-making capacity for both individuals and organizations.       7. **Implications and Recommendations**:     - The study confirmed the intangible economic benefits of remote sensing in Indonesia, demonstrating LAPAN's success in providing economic value.     - Recommendations include the continued utilization and development of remote sensing for societal and economic benefits.    Overall, the study utilized a combination of questionnaires and in-depth interviews to explore the intangible economic benefits of remote sensing data provided by LAPAN in Indonesia, primarily in the agriculture and palm oil sectors.",NA,1,Include,NA,"Qualitative techniques, questionnaire and in-depth interviews",stated preference,User satisfaction and intangible benefits,"qualitative satisfaction, quality, benefit",remote sensing in general,agriculture,
A Conceptual Framework for Assessing the Benefits of a Global Earth Observation System of Systems,"Fritz, S. and Scholes, R.J. and Obersteiner, M. and Bouma, J. and Reyers, B.",2008,15528,"The paper presents a conceptual framework for assessing the benefits of a global Earth observation system of systems (GEOSS). The aim of GEOSS is to improve information available to decision makers pertaining to various aspects such as human health, environmental protection, disaster reduction, and sustainable development. The paper proposes better international cooperation in collecting, interpreting, and sharing Earth observation data to achieve these goals.    Specific methods used in the paper include developing a ""benefit chain"" concept to assess the societal benefits of Earth observation data. The benefit chain concept establishes a causal pathway from incremental improvements in the observing system to better decision-making and ultimately better societal outcomes. The paper also discusses using order-of-magnitude approaches and qualitative understanding of cost-benefit curves to guide rational investment decisions in Earth observation systems.    The paper also provides three case studies illustrating the application of the benefit chain concept in different societal benefit areas: improved fire control with weather forecasts, improved data for conservation planning, and enhanced water quality monitoring. These case studies demonstrate how assessing the value of improved information can lead to more efficient decision-making and potentially substantial societal benefits.    Overall, the paper emphasizes the importance of quantifying the societal benefits of Earth observation data and justifying the investment in global collaboration efforts, such as GEOSS, by demonstrating that the benefits outweigh the incremental costs.",NA,1,Include,NA,"Benefit chain concept - causal pathway from incremental improvements in the observing system (cost = investment cost for marginal increase in EO effort) to better management and outcomes (benefit = marginal increase in societal benefits given a marginal increase in effort) - marginal cost-benefit ratio, i.e., shape of a logistic benefit-cost curve, max incremental benefit:cost is where the slope is steepest",cost benefit analysis; benefit chain assessment,"many (case studies: fire control due to better weather forecasts, improved data for conservation planning; marine water quality monitoring)",many,GEOSS,wildfire; conservation; water resources,
Pricing Policy and Legal Issues: 6th and 7th EOPOLE Workshops,"Harris, Ray and Olby, Nicola",2000,3493,"This paper discusses the methods and findings of the sixth and seventh EOpole workshops, focusing on pricing policy and legal issues related to Earth Observation data. The paper evaluates different approaches to pricing policy and assesses the impact of new developments in Earth Observation and information technology on data pricing. It also explores the constraints that legal frameworks impose on Earth Observation and ways to leverage them.     The methods used in estimating the societal benefits of satellite or Earth Observation data involve assessing the European Earth Observation market size and growth forecasts. Market analysis is conducted to understand the pricing mechanisms employed by suppliers based on factors such as pixel size, spatial resolution, and market demand. The paper also discusses the impact of commercialization models, such as offering data for free or through advertising, and the potential for new business models utilizing the internet and satellite technology. Additionally, the paper highlights the importance of legal frameworks and policies in shaping Earth Observation activities, including the need for regulatory structures to balance privacy concerns with data availability.    Overall, the methods used in the paper include market analysis, pricing strategies, legal framework assessments, and discussions on new business models to quantify the societal benefits of Earth Observation data. These methods aim to provide insights into the economic value of satellite data and strategies to promote sustainable growth in the Earth Observation sector.",NA,1,Include,NA,"Pricing policy of earth observation data, linear regression of log(price per km2) as a function of log(pixel size)",regression,efficient EO markets,financial,general,general,
Earth Observation and the Public Good,"Harris, Ray and Miller, Lewis",2011,11193,"The paper examines the meaning of the concept of public goods in the context of Earth Observation data. It discusses the characteristics of public goods, such as non-rivalry and non-excludability, and applies these concepts to nine Earth Observation missions, programs, and data types. Here is a summary of the methods used to estimate or quantify societal benefits of satellite or Earth Observation data:    1. **Public Good Theory and Related Models:** The paper explores the theory of public goods, particularly focusing on the work of economists like Samuelson and Buchanan. It discusses the characteristics of public goods, private goods, common pool resources, merit goods, club goods, orphan drug scenarios, and information goods.    2. **Application to Earth Observation Data:** The study analyzes nine Earth Observation missions, programs, or data types, placing them on a diagram based on rivalry and excludability. The paper discusses each data type's classification and characteristics in terms of public goods, merit goods, club goods, and private goods.    3. **Case Studies of Earth Observation Data:** The analysis of specific Earth Observation data types, such as meteorological data, Landsat data, NOAA AVHRR data, Envisat ASAR data, SPOT data, RADARSAT SAR data, Google Earth, the International Charter for Space and Major Disasters, and Very High Resolution Sensors, is conducted to assess their non-rivalry and non-excludability characteristics and their categorization as public goods, merit goods, club goods, or private goods.    4. **Policy Implications and Recommendations:** The paper concludes by discussing the implications of misusing the term ""public good"" in the context of Earth Observation data and suggests a more nuanced approach to classifying and valuing Earth Observation data to better inform policy development and investment decisions in the sector.",NA,1,Include,NA,"Public goods theory; framework of thinking about satellite data in terms of rivalry and excludability, with nine EO missions placed in various locations on this plane.  Not technically valuing the data, but ranking them relatively along the two axes?",public goods theory,efficient EO markets,"rivalry, excludability",various,various,
A Method for Estimating the Socioeconomic Impact of Earth Observations in Wildland Fire Suppression Decisions,"Herr, Vincent and Kochanski, Adam K. and Miller, Van V. and McCrea, Rich and O'Brien, Dan and Mandel, Jan",2020,12223,"The paper proposes a method for estimating the socioeconomic impact of Earth observations in the context of wildland fire suppression decisions. The core of the method involves analyzing outcomes of hypothetical fire suppression scenarios generated using a coupled atmosphere-fire behavior model. The scenarios are based on decisions made by a wildfire incident management team with and without the benefits of MODIS satellite observations and the WRF-SFIRE wildfire behavior simulation system. These scenarios were based on the New Mexico 2011 Las Conchas fire.    For each scenario, fire break line location decisions were used as inputs to the model, generating fire progression outcomes. The model's output was integrated with a property database to estimate the total losses associated with each scenario. The analysis aimed to estimate the socioeconomic impact of satellite and modeling data used during the decision-making process.    The study considered additional socioeconomic impacts, including property losses, timber values, firefighter safety, tourism impacts, and more. It also discussed limitations and future research questions to further refine the methodology and understand the broader impacts of leveraging satellite and modeling data in wildfire management decisions.",NA,1,Include,NA,Hypothetical scenarios of fire suppression decisions with and without MODIS data.  Sounds like VOI/Bayesian as done through simulations,voi; scenario simulation,reduced losses from wildfire due to improved firebreak decisions,financial,MODIS,wildfire,
Agricultural Producers' Willingness to Pay for Real-Time Mesoscale Weather Information,"Kenkel, Phil L. and Norris, Patricia E.",1995,10140,"The paper uses the contingent valuation technique to determine agricultural producers' willingness to pay for real-time mesoscale weather information. The study includes a mail survey of 508 Oklahoma farmers and ranchers to gather data on their willingness to pay for improved weather information. The research focuses on the development of the mesoscale weather network ""Mesonet"" in Oklahoma, which provides more localized and timely weather data.    Key factors impacting the willingness to pay identified in the study include gross sales, irrigation usage, past weather-related losses, and crop production types such as cotton, peanut, and alfalfa. The analysis employs maximum likelihood models to estimate willingness to pay for both raw weather data and value-added information products derived from the mesoscale weather data.    The results indicate that, on average, producers are willing to pay approximately $5.83-$6.55 per month for raw weather data and value-added weather-related products. This modest willingness to pay suggests that user fees alone may not be sufficient to cover the operational costs of providing the improved weather information. The study provides insights into the economic value that agricultural producers place on real-time mesoscale weather information and decision aids.",NA,1,Include,NA,Contingent valuation - survey of farmers and ranchers on willingness to pay for improved weather information.  Includes both raw weather data and value-added information products.  Not satellite data but still seems like remote observation can apply,stated preference,improved agricultural production efficiency,financial,Mesonet,agriculture,
Valuing Weather Observation Systems For Forest Fire Management,"Khabarov, N. and Moltchanova, E. and Obersteiner, M.",2008,8240,"The paper presents a methodology to evaluate the societal benefits of improved weather observations for forest fire management using simulation studies. The study focuses on how enhancements in weather observation systems can help reduce burned areas by targeting and monitoring high-risk fire locations. The main method used in the paper is a simulation-based model that considers two weather datasets based on ""rough"" and ""fine"" grids to assess the impact of weather observations on forest fire management.    The Nesterov index is used to calculate the fire danger level based on observed weather data, which helps in determining air patrolling schedules to prevent forest fires. The study considers the reduction in burned areas and the total patrolling area as key metrics to evaluate the benefits of using better weather observations. Additionally, the paper explores the sensitivity of the model to the quality of input data, such as grid resolution, number of weather stations, and the design of the observation system.    Overall, the methodology involves developing a model that simulates forest fires based on weather data and air patrolling rules, and then assessing the benefits of improved weather observations in reducing burned areas and enhancing fire management efficiency. The results suggest that integrating precise yet expensive weather observations with broader, cheaper data can optimize the overall performance and cost-effectiveness of forest fire management systems.",NA,1,Include,NA,VOI/Bayesian based on reduction in burned areas based on either coarse or fine resolution weather data.  Not satellite data - aerial patrols - but can be generalized,voi,reduced area burned,financial,air patrol,wildfire,
Valuing Geospatial Information: Using the Contingent Valuation Method to Estimate the Economic Benefits of Landsat Satellite Imagery,"Loomis, John and Koontz, Steve and Miller, Holly and Richardson, Leslie",2015,13137,"The paper ""Valuing Geospatial Information: Using the Contingent Valuation Method to Estimate the Economic Benefits of Landsat Satellite Imagery"" by John Loomis, Steve Koontz, Holly Miller, and Leslie Richardson illustrates a method to value Landsat and other imagery to users. A survey of downloaders of Landsat Lite imagery found that established US users value a scene at $912 USD, while new US users and users returning when the imagery became free value a scene at $367 USD. The total benefits for the 2.38 million scenes downloaded is estimated at $1.8 billion USD. The paper shows that charging for Landsat imagery would lead to an efficiency loss, with a price of $100 USD per scene resulting in a loss of $37.5 million USD per year.    The methods used in the paper include the contingent valuation method to estimate economic benefits, understanding users' willingness-to-pay through survey responses, and modeling the demand curve for Landsat imagery. The paper also calculates the societal benefits of Landsat imagery by analyzing the economic losses associated with charging various prices for the use of Landsat imagery. Overall, the research demonstrates the value of Landsat satellite imagery and the potential economic impact of charging for its use.",NA,1,Include,NA,"Contingent valuation survey of Landsat users - established and new users.  Societal benefit - looks at economic losses associated with charging for use, based on modeled demand curve",stated preference,various,financial,Landsat,various,
The Value of Information: Measuring the Contribution of Space-Derived Earth Science Data to Resource Management,"Macauley, Molly K.",2006,9503,"In the paper ""The Value of Information: Measuring the Contribution of Space-Derived Earth Science Data to Resource Management"" by Molly K. Macauley, the author discusses various methods and frameworks for measuring the societal benefits of Earth observation data. Here is a summary of the methods used to estimate the value of satellite or Earth observation data:    1. **General Framework:** The paper presents a general framework for measuring the value of information derived from Earth science data. This framework aims to provide a common basis for conducting and evaluating studies on the value of Earth science information.    2. **Econometric Estimation:** Some studies in the paper employ econometric methods to estimate the gains in output or productivity attributable to information derived from satellite data. These studies often compare expected profits under uncertain weather conditions with profits under forecasted weather conditions. They may use statistical analyses and simulation models to quantify the economic benefits.    3. **Hedonic Pricing Studies:** The paper also mentions the use of hedonic pricing models, which infer the value of specific characteristics (such as weather information) by analyzing how these characteristics are capitalized into prices of goods and services. For example, housing prices or wages may reflect differences in environmental quality due to weather conditions.    4. **Contingent Valuation Surveys:** Another approach discussed is contingent valuation surveys, which involve directly asking individuals or agencies how much they would be willing to pay for specific information or services derived from Earth science data. This method helps in understanding the perceived value of the information to stakeholders.    5. **Case Studies:** The paper provides examples of applications of these methods in various sectors like agriculture, energy forecasting, aviation safety, and environmental resource management. These case studies illustrate how the value of Earth observation data can be quantified in terms of productivity gains, cost savings, or improved decision-making.    By using these methods and frameworks, researchers aim to quantify and communicate the societal benefits of space-derived Earth science data, helping decision-makers justify investments in data acquisition and information development.",NA,1,Include,NA,"Might be a review; sounds like overview of various methods incl econometrics, hedonic pricing, contingent valuation, and looks at case studies",voi,various,financial,hypothetical,various,
Using Architecture Modeling to Assess the Societal Benefits of the Global Earth Observation System-of-Systems,"Martin, J.N.",2008,4685,"The paper describes the use of enterprise architecture modeling to assess the societal benefits of the Global Earth Observation System of Systems (GEOSS) by NASA. The architecture model includes around 3000 elements related to Earth science research, such as observation sources, sensors, environmental parameters, data products, and decision-support tools. The modeling approach incorporates traditional and nontraditional systems engineering methods.    The Earth Observation data are utilized to improve weather forecasting, reduce loss of life and property from disasters, protect and monitor ocean resources, understand and adapt to climate variability and change, support sustainable agriculture, and monitor energy resources. The architecture modeling process involves problem framing, conceptual schema development, and metamodel creation to capture business questions and priorities.    One example in the paper focuses on the contribution of Earth observation satellites to hurricane prediction. Satellites like Quikscat and TRMM provide crucial data for improving hurricane forecasts and tracking. Decision-support tools are utilized by organizations like NOAA to make policy decisions based on environmental predictions and models derived from Earth observation data.    Overall, the paper demonstrates the application of enterprise architecture modeling to understand the societal benefits of Earth Observation data and its impact on decision-making processes related to environmental monitoring and disaster management.",NA,1,Include,NA,"“Enterprise architecture modeling”? Various contexts - Fig. 3 assigns ""high"" ""medium"" and ""low"" importance (value?) of certain types of earth observations to benefit areas that closely map onto the current NASA Applied Science themes.",enterprise architecture?,various,various,various,various,
Banda Aceh-The Value of Earth Observation Data in Disaster Recovery and Reconstruction: A Case Study,"McCallum, I. and Kidd, R. and Fritz, S. and Kraxner, F. and Obersteiner, M. and Shvidenko, Anatoly",2008,8511,"The study conducted by the International Institute for Applied Systems Analysis aimed to quantify the societal benefits of Earth observation data in disaster recovery and reconstruction efforts, focusing on the case study of Banda Aceh in Indonesia after the 2004 tsunami. The methodology employed included designing and analyzing a questionnaire to assess the use, sources, and quality of Earth observation data, as well as collecting and analyzing specific cost-benefit examples.     The study found improvements in spatial data quality since the tsunami, although challenges were identified such as insufficient training, delays in receiving data, and poor resolution. Specific cost-benefit examples provided included:  1. Cost-benefit of GPS for community-based bathymetric mapping: Demonstrated savings in fishing equipment damage costs.  2. Comparison of traditional surveying to orthophotos: Showed significant cost savings and faster results using aerial photogrammetry.  3. Use of orthophotos for community-based mapping and survey: Highlighted a 36-fold savings in effort compared to traditional survey methods.  4. Banda Aceh Water Strategy 2007–2030 and short-term action plan: Showed a 20-fold savings in effort compared to traditional methods in mapping reconstruction progress.  5. Digital orthophoto cost-benefit: Estimated critical support for projects totaling 28.4 million € and supported projects totaling 880.73 million €, with a significant effort reduction compared to traditional survey techniques.    Overall, the study demonstrated the substantial benefits and cost savings associated with the use of high-quality Earth observation data in disaster recovery and reconstruction efforts.",NA,1,Include,NA,"Questionnaire - contingent value? Cost-benefit for bathymetry, photo vs traditional surveying/mapping - context of disaster relief in Banda Aceh",cost benefit analysis; expert elicitation,improvement in data for improved disaster response,financial,various,disaster response,
