title,author,year,doi,key,phase,screening_decision,reason_for_exclusion,quick_notes,soc_method,societal_benefit,value_units,eo_data,applied_science_theme,notes
Integrating Inland And Coastal Water Quality Data For Actionable Knowledge,"El Serafy, Ghada Y. H. and Schaeffer, Blake A. and Neely, Merrie-Beth and Spinosa, Anna and Odermatt, Daniel and Weathers, Kathleen C. and Baracchini, Theo and Bouffard, Damien and Carvalho, Laurence and Conmy, Robyn N. and De Keukelaere, Liesbeth and Hunter, Peter D. and Jamet, Cedric and Joehnk, Klaus D. and Johnston, John M. and Knudby, Anders and Minaudo, Camille and Pahlevan, Nima and Reusen, Ils and Rose, Kevin C. and Schalles, John and Tzortziou, Maria",2021,10.3390/rs13152899,elserafy_integratinginlandcoastalwater_2021,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wireless Sensor Networks To Study, Monitor And Manage Cattle In Grazing Systems","Gonzalez, L. A. and Bishop-Hurley, G. and Henry, D. and Charmley, E.",2014,10.1071/an14368,gonzalez_wirelesssensornetworksstudy_2014,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
A Daily 25km Short-Latency Rainfall Product For Data-Scarce Regions Based On The Integration Of The Global Precipitation Measurement Mission Rainfall And Multiple-Satellite Soil Moisture Products,"Massari, Christian and Brocca, Luca and Pellarin, Thierry and Abramowitz, Gab and Filippucci, Paolo and Ciabatta, Luca and Maggioni, Viviana and Kerr, Yann and Prieto, Diego Fernandez",2020,10.5194/hess-24-2687-2020,massari_daily25kmshortlatency_2020,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perspectives From Landscape Ecology Can Improve Environmental Impact Assessment,"Harker, Karly J. and Arnold, Lauren and Sutherland, Ira J. and Gergel, Sarah E.",2021,10.1139/facets-2020-0049,harker_perspectiveslandscapeecologyimprove_2021,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centers For Space Science And Technology Education - A United-Nations Initiative,"ABIODUN, AA",1993,10.1080/01431169308953992,abiodun_centersspacesciencetechnology_1993,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Construction Of Super-Resolution Model Of Remote Sensing Image Based On Deep Convolutional Neural Network,"Wei, Zikang and Liu, Yunqing",2021,10.1016/j.comcom.2021.06.022,wei_constructionsuperresolutionmodel_2021,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conservation Impacts Of A Near Real-Time Forest Monitoring And Alert System For The Tropics,"Musinsky, John and Tabor, Karyn and Cano, Carlos A. and Ledezma, Juan Carlos and Mendoza, Eddy and Rasolohery, Andriambolantsoa and Sajudin, Ermayanti R.",2018,10.1002/rse2.78,musinsky_conservationimpactsrealtime_2018,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accessing Satellite Imagery For Disaster Response Through The International Charter: Lessons Learned From The 2011 Us Midwestern Floods,"Sivanpillai, Ramesh and Jones, Brenda K. and Lamb, Rynn M.",2017,10.1016/j.spacepol.2017.08.003,sivanpillai_accessingsatelliteimagerydisaster_2017,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Groundwater Recharges Assessment Using Novel Remote Sensing Approach In Asir Region, Saudi Arabia","Elhag, M. and Bahrawi, J.",2013,10.5829/idosi.wasj.2013.28.01.1871,elhag_groundwaterrechargesassessmentremote_2013,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Assumption-Versus Data-Based Approaches To Summarizing Species' Ranges,"Peterson, A. Townsend and Navarro-Siguenza, Adolfo G. and Gordillo, Alejandro",2018,10.1111/cobi.12801,peterson_assumptionversusdatabased_2018,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remotely Sensed Data For Ecosystem Analyses: Combining Hierarchy Theory And Scene Models,"Phinn, SR and Stow, DA and Franklin, J and Mertes, LAK and Michaelsen, J",2003,10.1007/s00267-002-2837-x,phinn_remotelysenseddataecosystem_2003,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
An Observing System Simulation Experiment Framework For Air Quality Forecasts In Northeast Asia: A Case Study Utilizing Virtual Geostationary Environment Monitoring Spectrometer And Surface Monitored Aerosol Data,"Kim, Hyeon-Kook and Lee, Seunghee and Bae, Kang-Ho and Jeon, Kwonho and Lee, Myong-In and Song, Chang-Keun",2022,10.3390/rs14020389,kim_observingsystemsimulationexperiment_2022,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
On Timeliness And Accuracy Of Wildfire Detection By The Goes Wf-Abba Algorithm Over California During The 2006 Fire Season,"Koltunov, Alexander and Ustin, Susan L. and Prins, Elaine M.",2012,10.1016/j.rse.2012.09.001,koltunov_timelinessaccuracywildfiredetection_2012,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Added Value Of A Proposed Satellite Imager For Ground Level Particulate Matter Analyses And Forecasts,"Timmermans, Renske M. A. and Segers, Arjo J. and Builtjes, Peter J. H. and Vautard, Robert and Siddans, Richard and Elbern, Hendrik and Tjemkes, Stephen A. T. and Schaap, Martijn",2009,10.1109/jstars.2009.2034613,timmermans_addedproposedsatelliteimager_2009,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Impacts Of Geospatial Information For Decision Making,"Pearlman, F. and Bernknopf, R. and Stewart, M. A. and Pearlman, J. S.",2014,10.1007/978-3-319-01821-8_10,pearlman_impactsgeospatialinformationdecision_2014,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Economic Valuation Of Mangroves In The Niger Delta: An Interdisciplinary Approach,"James, G. K. and Adegoke, J. O. and Saba, E. and Nwilo, P. and Akinyede, J. and Osagie, S.",2010,10.1002/9781444392241.ch15,james_economicvaluationmangrovesniger_2010,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Exploring The Potential Value Of Satellite Remote Sensing To Monitor Chlorophyll-A For Us Lakes And Reservoirs,"Papenfus, Michael and Schaeffer, Blake and Pollard, I, Amina and Loftin, Keith",2020,10.1007/s10661-020-08631-5,papenfus_exploringpotentialsatelliteremote_2020,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Role Of Satellite Remote Sensing In The Geographic Information Economics In France,"Denégre, J.",1991,10.1016/0924-2716(91)90065-4,denegre_rolesatelliteremotesensing_1991,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Securing Sustainability In Indian Agriculture Through Civilian Uav: A Responsible Innovation Perspective,"Chamuah, Anjan and Singh, Rajbeer",2020,10.1007/s42452-019-1901-6,chamuah_securingsustainabilityindianagriculture_2020,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Multilayer Data And Artificial Intelligence For The Delineation Of Homogeneous Management Zones In Maize Cultivation,"Gallardo-Romero, Diego Jose and Apolo-Apolo, Orly Enrique and Martinez-Guanter, Jorge and Perez-Ruiz, Manuel",2023,10.3390/rs15123131,gallardoromero_multilayerdataartificialintelligence_2023,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Integrative Geospatial Approaches For The Comprehensive Monitoring And Assessment Of Land Management Sustainability: Rationale, Potentials, And Characteristics","Buenemann, M. and Martius, C. and Jones, J. W. and Herrmann, S. M. and Klein, D. and Mulligan, M. and Reed, M. S. and Winslow, M. and Washington-Allen, R. A. and Lal, R. and Ojima, D.",2011,10.1002/ldr.1074,buenemann_integrativegeospatialapproachescomprehensive_2011,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sebu: A Novel Fully Automated Google Earth Engine Surface Energy Balance Model For Urban Areas,"Abunnasr, Yaser and Mhawej, Mario and Chrysoulakis, Nektarios",2022,10.1016/j.uclim.2022.101187,abunnasr_sebuautomatedgoogleearth_2022,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Possibilities Of The Practical Application Of Remote Sensing Data In Real Property Appraisal,"Dąbrowski, R. and Latos, D.",2015,10.1515/remav-2015-0016,dabrowski_possibilitiespracticalapplicationremote_2015,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remote Sensing Of Wetlands: Case Studies Comparing Practical Techniques,"Klemas, V.",2011,10.2112/jcoastres-d-10-00174.1,klemas_remotesensingwetlandsstudies_2011,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Potential Of Npp-Viirs Nighttime Light Imagery For Modeling The Regional Economy Of China,"Li, X. and Xu, H. and Chen, X. and Li, C.",2013,10.3390/rs5063057,li_potentialnppviirsnighttime_2013,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Value Of Rapid Damage Assessment For Efficient Earthquake Response,"Moltchanova, Elena and Khabarov, Nikolay and Obersteiner, Michael and Ehrlich, Daniele and Moula, Micheline",2011,10.1016/j.ssci.2011.03.008,moltchanova_rapiddamageassessmentefficient_2011,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comprehensive Analysis For Long-Term Hydrological Simulation By Deep Learning Techniques And Remote Sensing,"Xu, Chaowei and Wang, Yizhen and Fu, Hao and Yang, Jiashuai",2022,10.3389/feart.2022.875145,xu_comprehensiveanalysistermhydrological_2022,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comparison Of Multi-Source Satellite Data For Quantifying Water Quality Parameters In A Mining Environment,"Modiegi, Monaledi and Rampedi, Isaac T. and Tesfamichael, Solomon G.",2020,10.1016/j.jhydrol.2020.125322,modiegi_comparisonmultisourcesatellite_2020,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justification For Site-Specific Weed Management Based On Ecology And Economics,"Maxwell, BD and Luschei, EC",2005,10.1614/ws-04-071r2,maxwell_justificationsitespecificweed_2005,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Assessing Impacts Of Mining: Recent Contributions From Gis And Remote Sensing,"Werner, T. T. and Bebbington, Anthony and Gregory, Gillian",2019,10.1016/j.exis.2019.06.011,werner_assessingimpactsminingrecent_2019,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
On The Contribution Of Satellite Altimetry-Derived Water Surface Elevation To Hydrodynamic Model Calibration In The Han River,"Shen, Youjiang and Liu, Dedi and Jiang, Liguang and Yin, Jiabo and Nielsen, Karina and Bauer-Gottwein, Peter and Guo, Shenglian and Wang, Jun",2020,10.3390/rs12244087,shen_contributionsatellitealtimetryderived_2020,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
2d Vs. 3d Change Detection Using Aerial Imagery To Support Crisis Management Of Large-Scale Events,"Gstaiger, Veronika and Tian, Jiaojiao and Kiefl, Ralph and Kurz, Franz",2018,10.3390/rs10122054,gstaiger_2d3dchangedetection_2018,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evaluation Financiere De L‘integration De Technologies Satellitaires, Pour Le Suivi Du Couvert Nival, Au Sein D‘une Entreprise Hydroelectrique (Le Cas De L‘utilisation Du Satellite Radarsat I Dans Le Bassin De La Riviere La Grande (Quebec))","Martin, D. and Bernier, M. and Sasseville, J. L. and Charbonneau, R.",1999,10.1080/014311699212335,martin_evaluationfinancieredel‘integration_1999,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comparative Analysis Of Machine Learning Algorithms In Automatic Identification And Extraction Of Water Boundaries,"Li, A. and Fan, M. and Qin, G. and Xu, Y. and Wang, H.",2021,10.3390/app112110062,li_comparativeanalysismachinelearning_2021,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geo-Cropsim: A Geo-Spatial Crop Simulation Modeling Framework For Regional Scale Crop Yield And Water Use Assessment,"Bandaru, V. and Yaramasu, R. and Jones, C. and César Izaurralde, R. and Reddy, A. and Sedano, F. and Daughtry, C. S. T. and Becker-Reshef, I. and Justice, C.",2022,10.1016/j.isprsjprs.2021.10.024,bandaru_geocropsimgeospatial_2022,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Redefining Climate Regions In The United States Of America Using Satellite Remote Sensing And Machine Learning For Public Health Applications,"Liss, A. and Koch, M. and Naumova, E. N.",2014,10.4081/gh.2014.294,liss_redefiningclimateregionsunited_2014,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
A Sensor Web And Web Service-Based Approach For Active Hydrological Disaster Monitoring,"Zhai, Xi and Yue, Peng and Zhang, Mingda",2016,10.3390/ijgi5100171,zhai_sensorwebwebservice_2016,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Open-Source Satellite Data And Gis For Land Resource Mapping,"Kumar, Nirmal and Singh, S. K. and Mishra, V. N. and Reddy, G. P. Obi and Bajpai, R. K.",2018,10.1007/978-3-319-78711-4\_10,kumar_sourcesatellitedatagis_2018,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Operational Meteorological Satellites And Utilization Of Their Data By Deutscher Wetterdienst,"Benesch, W. and Kurz, M.",1991,10.1007/bf00213056,benesch_operationalmeteorologicalsatellitesutilization_1991,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aggregating High-Priority Landscape Areas To The Parcel Level: An Easement Implementation Tool,"Strager, M. P. and Rosenberger, R. S.",2007,10.1016/j.jenvman.2006.01.007,strager_aggregatingprioritylandscapeparcel_2007,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remote Sensing Capabilities For Observational Drought Assessment,"Abdollahi, K. and Eslami, Z.",2023,10.1201/9781003276548-20,abdollahi_remotesensingcapabilitiesobservational_2023,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Autonomous Unmanned Aerial Vehicles In Bushfire Management: Challenges And Opportunities,"Partheepan, Shouthiri and Sanati, Farzad and Hassan, Jahan",2023,10.3390/drones7010047,partheepan_autonomousunmannedaerialvehicles_2023,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evaluating The Potential Of Freely Available Multispectral Remotely Sensed Imagery In Mapping American Bramble (Rubus Cuneifolius),"Rajah, Perushan and Odindi, John and Mutanga, Onisimo",2018,10.1080/03736245.2018.1461683,rajah_evaluatingpotentialfreelymultispectral_2018,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Resilience Aspects In The Sensor Web Infrastructure For Natural Disaster Monitoring And Risk Assessment Based On Earth Observation Data,"Kussul, Nataliia and Skakun, Sergii and Shelestov, Andrii Yu and Kussul, Olga and Yailymov, Bohdan",2014,10.1109/jstars.2014.2313573,kussul_resilienceaspectssensorweb_2014,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maximizing Societal Benefit Across Multiple Hyperspectral Earth Observation Missions: A User Needs Approach,"Schiavon, Emma and Taramelli, Andrea and Tornato, Antonella and Lee, Christine M. and Luvall, Jeffrey C. and Uz, Stephanie Schollaert and Townsend, Philip A. and Cima, Valentina and Geraldini, Serena and Xuan, Alessandra Nguyen and Valentini, Emiliana and Miller, Charles E.",2023,10.1029/2023jg007569,schiavon_maximizingsocietalbenefitmultiple_2023,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
To Pay Or Not To Pay? Monitoring Performance And Enforcing Conditionality When Paying For Forest Conservation In Mexico,"Honey-Roses, Jordi and Lopez-Garcia, Jose and Rendon-Salinas, Eduardo and Peralta-Higuera, Armando and Galindo-Leal, Carlos",2009,10.1017/s0376892909990063,honeyroses_paypaymonitoringperformance_2009,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Formalizing A Two-Step Decision-Making Process In Land Use: Evidence From Controlling Forest Clearcutting Using Spatial Information,"Jabbour, Chady and Hoayek, Anis and Salles, Jean-Michel",2023,10.3390/land12010015,jabbour_formalizingstepdecisionprocess_2023,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Supporting Management Of Refugee Streams By Earth Observation And Geoinformation,"Komp, Klaus-Ulrich and Mueterthies, Andreas",2016,10.1127/pfg/2016/0308,komp_supportingmanagementrefugeestreams_2016,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate Data For The European Forestry Sector: From End-User Needs To Opportunities For Climate Resilience,"Fraccaroli, Cecilia and Govigli, Valentino Marini and Briers, Siebe and Cerezo, Nieves Pena and Jimenez, Jorge Paz and Romero, Maria and Lindner, Marcus and de Arano, Inazio Martinez",2021,10.1016/j.cliser.2021.100247,fraccaroli_climatedataeuropeanforestry_2021,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estimating The Societal Benefits Of Satellite Instruments: Application To A Break-Even Analysis Of The Geoxo Hyperspectral Ir Sounder,"Lauer, Christopher and Conran, Joseph and Adkins, Jeffery",2021,10.3389/fenvs.2021.749044,lauer_estimatingsocietalbenefitssatellite_2021,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
How Valuable Is Remotely Sensed Information? The Case Of Tropical Deforestation Modelling,"Bounfour, A and Lambin, EF",1999,10.1016/s0265-9646(99)00025-9,bounfour_valuableremotelysensedinformation_1999,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Advanced Processing Of Multiplatform Remote Sensing Imagery For The Monitoring Of Coastal And Mountain Ecosystems,"Marcello, Javier and Eugenio, Francisco and Gonzalo-Martin, Consuelo and Rodriguez-Esparragon, Dionisio and Marques, Ferran",2021,10.1109/access.2020.3046657,marcello_advancedprocessingmultiplatformremote_2021,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
A Review Of Approaches For Automated Habitat Mapping And Their Potential Added Value For Biodiversity Monitoring Projects,"Jongman, R. H. G. and Mücher, C. A. and Bunce, R. G. H. and Lang, M. and Sepp, K.",2019,10.2478/jlecol-2019-0015,jongman_reviewapproachesautomatedhabitat_2019,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digitalization And Agricultural Development: Evidence From Morocco,"Lionboui, H. and Boudhar, A. and Lebrini, Y. and Htitiou, A. and Elame, F. and Hadria, R. and Benabdelouahab, T.",2022,10.1007/978-3-030-92738-7_16,lionboui_digitalizationagriculturaldevelopmentevidence_2022,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detection And Mapping The Spatial Distribution Of Bracken Fern Weeds Using The Landsat 8 Oli New Generation Sensor,"Matongera, Trylee Nyasha and Mutanga, Onisimo and Dube, Timothy and Sibanda, Mbulisi",2017,10.1016/j.jag.2016.12.006,matongera_detectionmappingspatialdistribution_2017,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Optimal Decision-Making Model Of Spatial Sampling For Survey Of China's Land With Remotely Sensed Data,"Li, LF and Wang, JF and Liu, JY",2005,10.1360/03yd0376,li_optimaldecisionmodelspatial_2005,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Advantages Of Using Drones Over Space-Borne Imagery In The Mapping Of Mangrove Forests,"Ruwaimana, Monika and Satyanarayana, Behara and Otero, Viviana and Muslim, Aidy M. and Syafiq, Muhammad A. and Ibrahim, Sulong and Raymaekers, Dries and Koedam, Nico and Dahdouh-Guebas, Farid",2018,10.1371/journal.pone.0200288,ruwaimana_advantagesdronesspaceborne_2018,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Influence Of Spatial Resolution On Satellite-Based Pm2.5 Estimation: Implications For Health Assessment,"Bai, H. and Shi, Y. and Seong, M. and Gao, W. and Li, Y.",2022,10.3390/rs14122933,bai_influencespatialresolutionsatellite_2022,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grid-Scale Agricultural Land And Water Management: A Remote-Sensing-Based Multiobjective Approach,"Tang, Yikuan and Zhang, Fan and Engel, Bernard A. and Liu, Xiao and Yue, Qiong and Guo, Ping",2020,10.1016/j.jclepro.2020.121792,tang_gridscaleagriculturalland_2020,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Economic Comparison Of Satellite, Plane And Uav-Acquired Ndvi Images For Site-Specific Nitrogen Application: Observations From Italy","Sozzi, Marco and Kayad, Ahmed and Gobbo, Stefano and Cogato, Alessia and Sartori, Luigi and Marinello, Francesco",2021,10.3390/agronomy11112098,sozzi_economiccomparisonsatelliteplane_2021,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Key Technologies Of Monitoring High Temperature Stress To Rice By Portable Uav Multi Spectral Remote Sensing,"Shi, T. and Yang, T. M. and Huang, Y. and Li, X. and Liu, Q. and Yang, Y. J.",2020,10.3969/j.issn.1000-6362.2020.09.006,shi_keytechnologiesmonitoringtemperature_2020,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water Balance Estimation Of A Poorly Gauged Catchment In West Africa Using Dynamically Downscaled Meteorological Fields And Remote Sensing Information,"Wagner, S. and Kunstmann, H. and Bárdossy, A. and Conrad, C. and Colditz, R. R.",2009,10.1016/j.pce.2008.04.002,wagner_waterbalanceestimationpoorly_2009,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mapping Crop Fractional Green Canopy Cover Using High Spatial Resolution Thermal And Optical Remote Sensing In Southern Ontario, Canada","He, Y. and Dosanjh, M. and Shang, J. and Liu, J. and Drury, C. F. and Yang, X. and Yang, J. and Dao, P. D. and Axiotis, A. and Proctor, C.",2022,10.1139/geomat-2021-0008,he_mappingcropfractionalgreen_2022,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monitoring Water-Related Ecosystems With Earth Observation Data In Support Of Sustainable Development Goal (Sdg) 6 Reporting,"Hakimdavar, Raha and Hubbard, Alfred and Policelli, Frederick and Pickens, Amy and Hansen, Matthew and Fatoyinbo, Temilola and Lagomasino, David and Pahlevan, Nima and Unninayar, Sushel and Kavvada, Argyro and Carroll, Mark and Smith, Brandon and Hurwitz, Margaret and Wood, Danielle and Uz, Stephanie Schollaert",2020,10.3390/rs12101634,hakimdavar_monitoringwaterrelatedecosystems_2020,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Applying Bag Of Words Approach To Determine Remote Sensing Technology Acceptance Among Smallholder Plantations,NA,NA,10.1108/agjsr-02-2023-0056,NA,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ground Level Lidar As A Contributing Indicator In An Environmental Protection Application,"Coman, Ciprian M. and Toma, Bogdan C. and Constantin, Mihai A. and Florescu, Adriana",2023,10.1109/access.2023.3319453,coman_groundlevellidarcontributing_2023,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Measuring The Economic Benefits Of Advanced Technology Use For River Flood Forecasting,"Lim, Siew Hoon and Ge, Yue and Jacobs, Jennifer M. and Jia, Xinhua",2022,10.1111/jfr3.12781,lim_measuringeconomicbenefitsadvanced_2022,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evapotranspiration Estimation Using Sebal Algorithm Integrated With Remote Sensing And Experimental Methods,"Shamloo, Nazila and Taghi Sattari, Mohammad and Apaydin, Halit and Valizadeh Kamran, Khalil and Prasad, Ramendra",2021,10.1080/17538947.2021.1962996,shamloo_evapotranspirationestimationsebalalgorithm_2021,classifier round 2a,NA,NA,NA,NA,NA,NA,NA,NA,NA
