title,author,year,screening_decision,reason_for_exclusion,quick_notes,soc_method,societal_benefit,value_units,eo_data,applied_science_theme,notes
Combining Passive Acoustics and Environmental Data for Scaling up Ecosystem Monitoring: A Test on Coral Reef Fishes,"Elise, Simon and Guilhaumon, Francois and {Mou-Tham}, Gerard and {Urbina-Barreto}, Isabel and Vigliola, Laurent and Kulbicki, Michel and Bruggemann, J. Henrich",2022,exclude,calibration/validation,"passive acoustic, not satellite or anything? combines visual surveys with passive acoustic surveys to predict fish assemblage structures.  ""globally, the acoustic data showed relatiely low added value in predicting fish assemblage structures.""  does not explicitly value in terms of societal benefits though",NA,NA,NA,passive acoustic monitoring,ecological conservation,looks like a cool study - includes functional entities?
Big Data Technology Oriented to Wetland Resource Ecosystem Value Evaluation,"Fan, L.",2022,exclude,data not valued,"uses ""big data"" to estimate the value of ecosystem services, not the value of the data for informing decisions",NA,NA,NA,NA,NA,NA
Competition and Burn Severity Determine Post-Fire Sapling Recovery in a Nationally Protected Boreal Forest of China: An Analysis from Very High-Resolution Satellite Imagery,"Fang, L. and Crocker, E. V. and Yang, J. and Yan, Y. and Yang, Y. and Liu, Z.",2019,exclude,calibration/validation,"maybe: compares 30m landsat to 0.5m worldview-2 imagery, based on field sampling data.  they qualitatively compare performance and show that vhr data outperforms moderate res data; but is more costly currently.  societal benefit: monitoring recovery from wildfires, informing management?  they don't quantify the benefit",NA,NA,NA,NA,NA,NA
The Role of Satellite and Decentralized Strategies in Water Resources Management,"Gikas, Petros and Tchobanoglous, George",2009,exclude,eo data not used,"""satellite and decentralized wastewater management systems"" - that sense of ""satellite""",NA,NA,NA,NA,NA,NA
Integrating Drone Imagery with Existing Rangeland Monitoring Programs,"Gillan, J. K. and Karl, J. W. and {van Leeuwen}, W. J. D.",2020,exclude,calibration/validation,"does not calculate a quantified value, shows that uav imagery can do a good job of classifying vegetation  type and height (for most veg types), toward ""assessment, inventory, and monitoring"" for rangeland management.  but when answering ""is drone monitoring worth the effort?"", responds no, it will not replace most of the field methods, but can be complementary.",NA,NA,NA,NA,NA,NA
Three Most Widely Used Gnss-Based Shoreline Monitoring Methods to Support Integrated Coastal Zone Management Policies,"Goncalves, R. M. and Awange, J. L.",2017,exclude,eo data not used,"while they use gnss data, it is not remote observation - it is manual surveying using gps coordinates.  additionally, it is more comparing methods of surveying rather than calculating the value of the esi data (such as it is).",NA,NA,NA,NA,NA,model
Portability of Semantic and Spatial-Temporal Machine Learning Methods to Analyse Social Media for near-Real-Time Disaster Monitoring,"Havas, Clemens and Resch, Bernd",2021,exclude,data not valued,"very interesting, looking at tweet analysis as a way to understand natural disasters in near real time, compared to ""official"" products like usgs info.  however, the emphasis is more on validating an approach, rather than showing the added value that such an approach would have (not to mention, tweets aren't esi per se).",NA,NA,NA,NA,NA,validation/calibration; social media
From Forest Dynamics to Wetland Siltation in Mountainous Landscapes: A Rs-Based Framework for Enhancing Erosion Control,"Hernandez-Romero}, Gonzalo and {Alvarez-Martinez}, Jose Manuel and {Perez-Silos}, Ignacio and {Silio-Calzada}, Ana and Vieites, David R. and Barquin, Jose",2022,exclude,data not valued,"satellite-based ro data to classify lulc, which enables identification of lulc dynamics and prioritization of nature-based solutions for conservation and resource management.  but they don?t compare the value achieved based on the rs method!",NA,NA,NA,NA,NA,calibration/validation
The Emerging Role of Satellite Rainfall Data in Improving the Hydro-Political Situation of Flood Monitoring in the under-Developed Regions of the World,"Hossain, Faisal and Katiyar, Nitin and Hong, Yang and Wolf, Aaron",2007,exclude,data not valued,"focuses on a model for watersheds, the ""open book"" watershed idealization, rather than the eo data that might go into the model",NA,NA,NA,NA,NA,model
Extending the Utility of Modis Daily Snow-Cover Products through Snow-Cover Prediction of Cloud-Obscured Areas in Idaho's Big Lost River Basin (Usa),"Hruska, Ryan C. and Lee, Randy",2008,exclude,data not valued,"improves utility of modis data for estimating snow cover, using a logic algorithm.  does not connect to societal value except in passing.",NA,NA,NA,NA,NA,calibration
Assessing the Role of Climate and Resource Management on Groundwater Dependent Ecosystem Changes in Arid Environments with the Landsat Archive,"Huntington, Justin and McGwire, Kenneth and Morton, Charles and Snyder, Keirith and Peterson, Sarah and Erickson, Tyler and Niswonger, Richard and Carroll, Rosemary and Smith, Guy and Allen, Richard",2016,exclude,data not valued,"compares results of ndvi calculations between landsat 7 and landsat 8, using different atmospheric correction algorithms.  more validation/calibration type",NA,NA,NA,landsat,NA,calibration/validation
Applications and Research Using Remote Sensing for Rangeland Management,"Hunt Jr, E. R. and Everitt, J. H. and Ritchie, J. C. and Moran, M. S. and Booth, D. T. and Anderson, G. L. and Clark, P. E. and Seyfried, M. S.",2003,exclude,review,NA,NA,NA,NA,NA,NA,NA
The Value of Site-Specific Information and the Environment: Technology Adoption and Pesticide Use under Uncertainty,"Isik, M and Hudson, D and Coble, {\relax KH",2005,include,NA,"theoretical model to compare conventional practice and remote sensing in pest management, then applies empirically",option value model; cost-benefit; voi,ag production,dollars,hypothetical,agriculture,NA
Cost-Effective Disaster-Induced Land Cover Analysis: A Semi-Automatic Methodology Using Machine Learning and Satellite Imagery,"I. Volke, M. and {Abarca-Del-Rio}, R. and A. Warner, T.",2024,exclude,data not valued,"new method of land cover analysis proposed and validated, but value not calculated (""cost-effective"" is assumed)",NA,NA,NA,NA,NA,calibration/validation
Spectral Matching Based on Discrete Particle Swarm Optimization: A New Method for Terrestrial Water Body Extraction Using Multi-Temporal Landsat 8 Images,"Jia, Kai and Jiang, Weiguo and Li, Jing and Tang, Zhenghong",2018,exclude,data not valued,"improved method for water detection, but not valued",NA,NA,NA,NA,NA,NA
Where's Woolly? An Integrative Use of Remote Sensing to Improve Predictions of the Spatial Distribution of an Invasive Forest Pest the Hemlock Woolly Adelgid,"Jones, Chris and Song, Conghe and Moody, Aaron",2015,exclude,data not valued,"uses rs and dmss to improve detection of invasive woodland pests? accuracy is compared, but no value is assessed",NA,NA,NA,NA,NA,NA
"Value of Insar for Monitoring Land Subsidence to Support Water Management in the San Joaquin Valley, California","Jones, Jeanine and Jones, Cathleen E. and Bekaert, David P. S.",2022,exclude,data not valued,"insar used to detect subsidence in san joaquin valley; potential value in infrastructure decisions, but not assessed here",NA,NA,NA,NA,NA,NA
"Characterizing Off-Highway Road Use with Remote-Sensing, Social Media and Crowd-Sourced Data: An Application to Grizzly Bear (Ursus Arctos) Habitat","Kearney, Sean P. and Larsen, Terrence A. and Goodbody, Tristan R. H. and Coops, Nicholas C. and Stenhouse, Gordon B.",2021,exclude,data not valued,"""the network- and image-based methods show promise as cost-effective approaches to characterize road use for conservation applications where data is not available"" - value/cost-effectiveness is assumed not assessed",NA,NA,NA,NA,NA,NA
Evaluation of Earth Observation Systems for Estimating Environmental Determinants of Microbial Contamination in Recreational Waters,"Kotchi, S. O. and Brazeau, S. and Turgeon, P. and Pelcat, Y. and Legare, J. and Lavigne, M. P. and Essono, F. N. and Fournier, R. A. and Michel, P.",2015,exclude,reduced cost for scientific data,"qualitative (likert-style) comparison of eo systems on criteria like performance, accuracy, detection of environmental determinants, cost, hours of work, etc.",NA,microbial contamination,qualitative,various,water resources,qualitative comparison among multiple eo systems
Open-Source Processing and Analysis of Aerial Imagery Acquired with a Low-Cost Unmanned Aerial System to Support Invasive Plant Management,"Lehmann, Jan R. K. and Prinz, Torsten and Ziller, Silvia R. and Thiele, Jan and Heringer, Gustavo and {Meira-Neto}, Joao A. A. and Buttschardt, Tillmann K.",2017,exclude,data not valued,"low-cost sensors/unmanned aerial systems, but cost-effectiveness assumed/asserted not assessed",NA,NA,NA,NA,NA,NA
Global Multi-Scale Grid Integer Coding and Spatial Indexing: A Novel Approach for Big Earth Observation Data,"Lei, Yi and Tong, Xiaochong and Zhang, Yongsheng and Qiu, Chunping and Wu, Xiangyu and Lai, Guangling and Li, He and Guo, Congzhou and Zhang, Yong",2020,exclude,data not valued,"assesses methods for working with big data, but does not assess societal benefits",NA,NA,NA,NA,NA,NA
Where Have All the People Gone? Enhancing Global Conservation Using Night Lights and Social Media,"Levin, Noam and Kark, Salit and Crandall, David",2015,exclude,data not valued,combines flickr photo frequency with viirs night lights to identify conservation priorities? but doesn't assess value,NA,NA,NA,NA,NA,NA
Incorporating Water Quantity and Quality Modelling into Forest Management,"Li, Xiangfei and Nour, Mohamed H. and Smith, Daniel W. and Prepas, Ellie E. and Putz, Gordon and Watson, Brett M.",2008,exclude,data not valued,NA,NA,NA,NA,NA,forest management,NA
Observation of Pm2.5 Using a Combination of Satellite Remote Sensing and Low-Cost Sensor Network in Siberian Urban Areas with Limited Reference Monitoring,"Lin, C. and Labzovskii, L. D. and Mak, H. W. L. and Fung, J. C. H. and Lau, A. K. H. and Kenea, S. T. and Bilal, M. and Vande Hey, J. D. and Lu, X. and Ma, J.",2020,exclude,data not valued,NA,NA,NA,NA,NA,air pollution and health,calibration/validation
Environmental Indicators Combined with Risk Analysis to Evaluate Potential Wildfire Incidence on the Dadu Plateau in Taiwan,"Lin, Chao-Yuan and Shieh, Pei-Ying and Wu, Shao-Wei and Wang, Po-Cheng and Chen, Yung-Chau",2022,exclude,data not valued,NA,NA,NA,NA,NA,wildfire,calibration/validation
"Comparative Assessment of Uav and Sentinel-2 Ndvi and Gndvi for Preliminary Diagnosis of Habitat Conditions in Burunge Wildlife Management Area, Tanzania","Mangewa, Lazaro J. and Ndakidemi, Patrick A. and Alward, Richard D. and Kija, Hamza K. and Bukombe, John K. and Nasolwa, Emmanuel R. and Munishi, Linus K.",2022,exclude,data not valued,"""the detailed qualitative information observed in the uav-based vi maps improve managers? abilities to fulfill near real-time needs in ecological monitoring of wildlife habitats."" ""the obtained ndvi and gndvi preliminary signals of any possible abnormalities regarding habitat conditions would guide wildlife managers and ecologists to quickly get to those sites for timely interventions.""  but the value is implicit, not explicit",NA,NA,NA,NA,ecological conservation,calibration/validation
Understanding the Spatio-Temporal Behaviour of the Sunflower Crop for Subfield Areas Delineation Using Sentinel-2 Ndvi Time-Series Images in an Organic Farming System,"Marino, Stefano",2023,exclude,data not valued,sentinel ndvi for monitoring crops,NA,NA,NA,NA,agriculture,calibration/validation
Demonstration of a Modular Prototype End-to-End Simulator for Aquatic Remote Sensing Applications,"Matthews, M. W. and Dekker, A. and Price, I. and Drayson, N. and Pease, J. and Antoine, D. and Anstee, J. and Sharp, R. and Woodgate, W. and Phinn, S. and Gensemer, S.",2023,exclude,eo data not used (simulation); data not valued,"""having a tool that can simulate how sensor design trade-offs impact the final product quality will enhance the efficient and cost-effective design of future sensors."" but not valued here",NA,NA,NA,simulation,water resources,calibration/validation
Possibility Investigation of Tree Diversity Mapping Using Landsat Etm+ Data in the Hyrcanian Forests of Iran,"Mohammadi, J. and Shataee, S.",2010,exclude,data not valued,NA,NA,NA,NA,NA,forest management,calibration/validation
Automatic Parameter Optimization for Support Vector Regression for Land and Sea Surface Temperature Estimation from Remote Sensing Data,"Moser, Gabriele and Serpico, Sebastiano B.",2009,exclude,data not valued,algorithm for tuning parameters,NA,NA,NA,NA,NA,NA
Application of High-Resolution Stereo Satellite Images to Detailed Landslide Hazard Assessment,"Nichol, J. E. and Shaker, A. and Wong, M. S.",2006,exclude,data not valued,"stereo air photos for landslide vs. other remote sensing options - but just cost of equal(ish) data, not added value",cost-benefit analysis,landslide hazard assessment,dollars,various,disaster response,NA
Land Use Change and Environmental Sustainability: The Case of Lagos Metropolis,"Nwokoro, I. I. C. and Dekolo, S. O.",2011,exclude,data not valued,measures land use change,NA,NA,NA,NA,NA,application
An Open Data and Citizen Science Approach to Building Resilience to Natural Hazards in a Data-Scarce Remote Mountainous Part of Nepal,"Parajuli, Binod Prasad and Khadka, Prakash and Baskota, Preshika and Shakya, Puja and Liu, Wei and Pudasaini, Uttam and Roniksh, B. C. and Paul, Jonathan D. and Buytaert, Wouter and Vij, Sumit",2020,include,NA,"digital mapping in nepal - citizen science field data combined with rs data - map literacy, interest in digital mapping",qualitative,map literacy; interest in digital mapping,citizens empowered,satellite digital imagery;open street map,various,NA
The Activities of the Italian Coast Guard in the Field of Airborne Remote Sensing and the Eventual Use of Satellite Platforms in Marine Pollution Abatement Activities,"Patruno, R and Mancini, M and Malfatti, A",1996,exclude,data not valued,"suggests that a cost-benefit should be applied, but is not done here",NA,NA,NA,NA,NA,NA
The Role of Remote Sensing Data and Methods in a Modern Approach to Fertilization in Precision Agriculture,"Rado{\v c}aj, D. and Juri{\v s}i{\'c}, M. and Ga{\v s}parovi{\'c}, M.",2022,exclude,data not valued,"compares many algorithms for better mapping crops and soil qualities at high resolution, but doesn't lead to assessment of value of the data",NA,NA,NA,NA,agriculture,NA
Future Perspectives of Earth Observation: Indian Scenario,"Rao, M. and Jayaraman, V. and Chandrasekhar, M. G.",1998,exclude,data not valued,"qualitatively discusses ways in which data from indian space missions have been used, with value implicit, but not explicit",NA,various,NA,NA,various,NA
Management Recommendation Generation for Areas under Forest Restoration Process through Images Obtained by Uav and Lidar,"Reis, B. P. and Martins, S. V. and Filho, E. I. F. and Sarcinelli, T. S. and Gleriani, J. M. and Marcatti, G. E. and Leite, H. G. and Halassy, M.",2019,exclude,calibration/validation,"compares model recommendations based on different remote sensing technologies, and simply compares the cost of imaging ($/ha) to that of field monitoring - same info but cheaper…",cost-benefit analysis,ecosystem restoration monitoring,dollars,"uav, lidar",ecological conservation,"simple comparison, easy to replicate!"
"Analysis of Suspended Particulate Matter and Its Drivers in Sahelian Ponds and Lakes by Remote Sensing (Landsat and Modis): Gourma Region, Mali","Robert, Elodie and Kergoat, Laurent and Soumaguel, Nogmana and Merlet, Sebastien and Martinez, Jean-Michel and Diawara, Mamadou and Grippa, Manuela",2017,exclude,data not valued,NA,NA,NA,NA,NA,water resources,calibration/validation
Using Copernicus Sentinel-2 and Sentinel-3 Data to Monitor Harmful Algal Blooms in Southern Chile during the Covid-19 Lockdown,"Rodr{\'i}guez-Benito}, C. V. and Navarro, G. and Caballero, I.",2020,exclude,data not valued,value is implicit,NA,hab monitoring,NA,NA,NA,calibration/validation
"Food, Water, and Fault Lines: Remote Sensing Opportunities for Earthquake-Response Management of Agricultural Water","Rodriguez, Jenna and Ustin, Susan and {Sandoval-Solis}, Samuel and O'Geen, Anthony Toby",2016,exclude,data not valued,value is implicit,NA,NA,NA,NA,NA,calibration/validation
Combined Use of Local and Global Hydro Meteorological Data with Hydrological Models for Water Resources Management in the Magdalena-Cauca Macro Basin - Colombia,"Rodriguez, Erasmo and Sanchez, Ines and Duque, Nicolas and Arboleda, Pedro and Vega, Carolina and Zamora, David and Lopez, Patricia and Kaune, Alexander and Werner, Micha and Garcia, Camila and Burke, Sophia",2020,exclude,data not valued,NA,NA,NA,NA,NA,NA,NA
Dynamic Partitioning of Tropical Indian Ocean Surface Waters Using Ocean Colour Data - Management and Modelling Applications,"Schwarz, Jill N.",2020,exclude,data not valued,NA,NA,NA,NA,NA,NA,NA
"Assessing the Influence of Land-Cover Change and Conflicting Land-Use Authorizations on Ecosystem Conversion on the Forest Frontier of Madre de Dios, Peru","Scullion, Jason J. and Vogt, Kristiina A. and Sienkiewicz, Alison and Gmur, Stephan J. and Trujillo, Cristina",2014,exclude,data not valued,"uses gis and ro data to perform the analysis, but no comparison to other data options",NA,NA,NA,NA,NA,NA
Can Remote Sensing Fill the United States' Monitoring Gap for Watershed Management?,"Sridharan, Vamsi Krishna and Kumar, Saurav and Kumar, Swetha Madhur",2022,include,NA,"looks at cloud cover, distance to population, and five metrics of risk where rs can play a role",NA,water resource management,potential for rs to augment or replace ambient monitoring,various; hypothetical,water resources; ecological conservation,NA
Grassland Wildfires in the Southern Great Plains: Monitoring Ecological Impacts and Recovery,"Steiner, Jean L. and Wetter, Jeffrey and Robertson, Shelby and Teet, Stephen and Wang, Jie and Wu, Xiaocui and Zhou, Yuting and Brown, David and Xiao, Xiangming",2020,exclude,data not valued,NA,NA,NA,NA,NA,NA,NA
Input Data Resolution Affects the Conservation Prioritization Outcome of Spatially Sparse Biodiversity Features,"Tanhuanpaa, Topi and Mikkonen, Ninni and Kujala, Heini and Heinaro, Einari and Mayra, Janne and Kumpula, Timo",2023,include,NA,"""our focus was not on the accuracy of state-of-the-art object-based methods, but on the effect their output detail has on conservation outcomes.""",conservation prioritization,conservation outcomes,error in conservation prioritization,airborne remote sensing,ecological conservation,cool example - go beyond validation to effects on outcomes
"Active Fire Monitoring of Thailand and Upper Asean by Earth Observation Data: Benefits, Lessons Learned, and What Still Needs to Be Known","Tanpipat, V. and McCarty, J. L. and Davies, D. and Schroeder, W. and Elvidge, C.",2023,exclude,data not valued,NA,NA,NA,NA,NA,NA,NA
Use and Benefits of Nasa's Recover for Post-Fire Decision Support,"Toombs, William and Weber, Keith and Stegner, Tesa and Schnase, John L. and Lindquist, Eric and Lippitt, Frances",2018,include,NA,"""although the benefit of better-informed decisions is difficult to quantify, the results of this study illustrate that recover?s decision support capabilities provided information to land managers that either validated or altered their decisions on post-fire treatments estimated at over $1.2 million (usd) and saved nearly 800 hours of staff time by streamlining data collection as well as communication with local stakeholders and partnering agencies.""",structured interviews,efficiency in post-fire decisionmaking,dollars; staff hours,recover,wildfire,good example
Global Flood Mapper: A Novel Google Earth Engine Application for Rapid Flood Mapping Using Sentinel-1 Sar,"Tripathy, Pratyush and Malladi, Teja",2022,exclude,data not valued,NA,NA,NA,NA,NA,NA,calibration/validation
"Cross-Scale Sensing of Field-Level Crop Residue Cover: Integrating Field Photos, Airborne Hyperspectral Imaging, and Satellite Data","Wang, S. and Guan, K. and Zhang, C. and Zhou, Q. and Wang, S. and Wu, X. and Jiang, C. and Peng, B. and Mei, W. and Li, K. and Li, Z. and Yang, Y. and Zhou, W. and Huang, Y. and Ma, Z.",2023,exclude,data not valued,NA,NA,NA,NA,NA,NA,calibration/validation
Normalizing Land Surface Temperature for Environmental Parameters in Mountainous and Urban Areas of a Cold Semi-Arid Climate,"Weng, Qihao and Firozjaei, Mohammad Karimi and Kiavarz, Majid and Alavipanah, Seyed Kazem and Hamzeh, Saeid",2019,exclude,data not valued,NA,NA,NA,NA,NA,NA,calibration/validation
Historical Eco-Environmental Quality Mapping in China with Multi-Source Data Fusion,"Wu, S. and Cao, L. and Xu, D. and Zhao, C.",2023,exclude,data not valued,NA,NA,NA,NA,NA,NA,time series of environmental quality but no decision context
"Mapping Daily Evapotranspiration at Field Scale Using the Harmonized Landsat and Sentinel-2 Dataset, with Sharpened Viirs as a Sentinel-2 Thermal Proxy","Xue, Jie and Anderson, Martha C. and Gao, Feng and Hain, Christopher and Yang, Yun and Knipper, Kyle R. and Kustas, William P. and Yang, Yang",2021,exclude,data not valued,NA,NA,NA,NA,NA,NA,calibration/validation
Deep Learning--Based Monitoring Sustainable Decision Support System for Energy Building to Smart Cities with Remote Sensing Techniques,"Yue, W. and Yu, C. and Antonidoss, A. and Anbarasan, M.",2022,exclude,eo data not used (internet of things/smart buildings),NA,NA,NA,NA,NA,NA,NA
Is Acoustic Tracking Appropriate for Air-Breathing Marine Animals? Dugongs as a Case Study,"Zeh, Daniel R. and Heupel, Michelle R. and Limpus, Colin J. and Hamann, Mark and Fuentes, Mariana M. P. B. and Babcock, Russel C. and Pillans, Richard D. and Townsend, Kathy A. and Marsh, Helene",2015,include,NA,compares cost estimates of several technologies in several situations,cost-benefit analysis,conservation/protection of dugongs,dollars,"acoustic tracking, gps/satellite tracking",ecological conservation,NA
Ecological Environment Dynamic Monitoring and Driving Force Analysis of Karst World Heritage Sites Based on Remote-Sensing: A Case Study of Shibing Karst,"Zhang, Ning and Xiong, Kangning and Xiao, Hua and Zhang, Juan and Shen, Chuhong",2023,exclude,data not valued,NA,NA,NA,NA,NA,NA,NA
Mapping Plastic-Mulched Farmland by Coupling Optical and Synthetic Aperture Radar Remote Sensing,"Zhongxin, C. and Fei, L. and Yuncai, H.",2020,exclude,data not valued,NA,NA,NA,NA,NA,NA,calibration/validation
Satellite Sensors and Retrieval Algorithms of Atmospheric Methane,"Zhuo, He and Zhengqiang, Li and Cheng, Fan and Ying, Zhang and Zheng, Shi and Yang, Zheng and Haoran, Gu and Jinji, Ma and Jinhui, Zuo and Yinghui, Han and Yuanxun, Zhang and Kai, Qin and Hao, Zhang and Wenbin, Xu and Jun, Zhu",2023,exclude,not in english!,how did chatgpt do a summary then??? look at full text extracted,NA,NA,NA,NA,NA,NA
