title,author,year,doi,notes,phase,screening_decision,reason_for_exclusion,quick_notes,soc_method,societal_benefit,value_units,eo_data,applied_science_theme
The Utility Of Historical Aerial Photographs For Detecting And Judging The Effectiveness Of Rangeland Remediation Treatments,"Rango, A. and Havstad, K.",2003,10.1017/s1466046603031065,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Forestry,"Roberts, D.",2014,10.1007/978-0-387-36699-9_48,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
The Role Of Remote Sensing In Agriculture And Future Vision,"Šafář, V. and Charvát, K. and Mildorf, T. and Crehan, P. and Kolitzus, D. and Orlickas, T. and Rimgaila, M. and Kučinskas, A. and Rybokienė, S. and Horáková, Š and Kubíčková, H.",2022,10.7160/aol.2022.140109,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Geometric Accuracy Assessment Of Very High-Resolution Optical Data Orthorectified Using Terrasar-X Dsm To Support Disaster Management In Indonesia,"Sari, I. L. and Siwi, S. E. and Brahmantara, R. P. and Dyatmika, H. S. and Suprijanto, A. and Pradono, K. A.",2018,10.18517/ijaseit.8.6.7486,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Applications Of Remote Sensing To Precision Agriculture With Dual Economic And Environmental Benefits,"Seielstad, G. A. and Laguette, S. and Seelan, S. and Lawrence, R. and Nielsen, G. A. and Clay, D. and Dalsted, K.",2002,10.1117/12.454211,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Application Of Remote Sensing Technology For Impact Assessment Of Watershed Development Programme,"Shanwad, U. K. and Patil, V. C. and Gowda, H. H. and Dasog, G. S.",2008,10.1007/s12524-008-0037-8,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Use Of Satellite Data In Coastal Zone Programmes,"Szekielda, K. H.",1976,10.1016/0302-184x(76)90011-1,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Drone Remote Sensing For Forestry Research And Practices,"Tang, L. and Shao, G.",2015,10.1007/s11676-015-0088-y,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
"Smart Environmental Monitoring And Assessment Technologies (Semat)—A New Paradigm For Low-Cost, Remote Aquatic Environmental Monitoring","Trevathan, J. and Johnstone, R.",2018,10.3390/s18072248,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Application Of Near Real-Time And Multiscale Three Dimensional Earth Observation Platforms In Disaster Prevention,"Tsai, W. F. and Chen, B. and Chang, J. Y. and Lin, F. P. and Chang, C. H. and Sun, C. Y. and Su, W. R. and Chen, M. F. and Shih, D. S. and Chen, C. H. and Lin, S. C. and Yu, S. J.",2011,10.5875/ausmt.v1i2.124,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Air Quality Management Using Modern Remote Sensing And Spatial Technologies And Associated Societal Costs,"Uddin, W.",2006,10.3390/ijerph2006030028,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Integrating Remote Sensing In Natura 2000 Habitat Monitoring: Prospects On The Way Forward,"Vanden Borre, J. and Paelinckx, D. and Mücher, C. A. and Kooistra, L. and Haest, B. and De Blust, G. and Schmidt, A. M.",2011,10.1016/j.jnc.2010.07.003,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
"Volume 9 Overview: Remote Sensing, Human Dimension And Societal Benefits","Walsh, S. J.",2017,10.1016/b978-0-12-409548-9.10521-4,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Incorporation Of Satellite Remote Sensing Pan-Sharpened Imagery Into Digital Soil Prediction And Mapping Models To Characterize Soil Property Variability In Small Agricultural Fields,"Xu, Y. and Smith, S. E. and Grunwald, S. and Abd-Elrahman, A. and Wani, S. P.",2017,10.1016/j.isprsjprs.2016.11.001,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Diversity Features Collaboration Technology For Monitoring Forest Before And After Hurricane By Remote Sensing,"Zhong, X. and Feng, W. and Quan, Y. and Huang, W. and Xing, M.",2022,10.11834/jrs.20210230,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
An Active Service Recommendation Model For Multi-Source Remote Sensing Information Using Fusion Of Attention And Multi-Perspective,"Zhu, L. and Wu, F. and Fu, K. and Hu, Y. and Wang, Y. and Tian, X. and Huang, K.",2023,10.3390/rs15102564,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Earth Observations Into Action: The Systemic Integration Of Earth Observation Applications Into National Risk Reduction Decision Structures,"Borges, D. E. and Ramage, S. and Green, D. and Justice, C. and Nakalembe, C. and Whitcraft, A. and Barker, B. and Becker-Reshef, I. and Balagizi, C. and Salvi, S. and Ambrosia, V. and San-Miguel-Ayanz, J. and Boschetti, L. and Field, R. and Giglio, L. and Kuhle, L. and Low, F. and Kettner, A. and Schumann, G. and Brakenridge, G. R. and Adler, R. and Kontoes, H. and De Boissezon, H. and Eddy, A. and Kirschbaum, D. and Emberson, R. and Cooley, S. and Lloyd, S. and Blake, C. and Reichenbach, K.",2023,10.1108/dpm-09-2022-0186,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
A Global Vision For Monitoring Ecosystem Services With Satellite Sensors,"Alcaraz-Segura, D. and Di Bella, C. M.",2013,10.1201/b15628,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
"Remote Sensing For The Study, Protection And Conservation Of Cultural Heritage: The Experience Of Itaca Mission In Southern America (2007-2013)","Masini, N. and Lasaponara, R.",2014,10.1201/b17802,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Agricultural Case Studies For Measuring The Value Of Information Of Earth Observation And Other Geospatial Information For Decisions,"Bernknopf, R.",2017,10.1201/b20712,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Potential Of Virtual Earth Observation Constellations In Archaeological Research,"Agapiou, Athos and Alexakis, Dimitrios D. and Hadjimitsis, Diofantos G.",2019,10.3390/s19194066,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Cooperation In Earth Observation Missions In Africa: A Role For Afrigeoss,"Agbaje, Ganiy I. and John, Olusoji N.",2018,10.1007/s10708-017-9840-5,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
The Efficacy Of Tm Satellite Imagery For Rapid Assessment Of Chihuahuan Xeric Habitat Intactness For Ecoregion-Scale Conservation Planning,"Allnutt, TF and Wettengel, WW and Reyna, JV and Garcia, RCD and Elias, EEI and Olson, DM",2002,10.1006/jare.2001.0984,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
An Evaluation Of Public Servant Awareness And Use Of Gis/Remote Sensing In Africa-Nigeria,"Asiyanbola, Raimi Abidemi",2018,10.4314/sajg.v7i1.3,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
May Smart Technologies Reduce The Environmental Impact Of Nitrogen Fertilization? A Case Study For Paddy Rice,"Bacenetti, Jacopo and Paleari, Livia and Tartarini, Sofia and Vesely, Fosco M. and Foi, Marco and Movedi, Ermes and Ravasi, Riccardo A. and Bellopede, Valeria and Durello, Stefano and Ceravolo, Carlo and Amicizia, Francesca and Confalonieri, Roberto",2020,10.1016/j.scitotenv.2020.136956,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
An Ecosystem Model And Content Research Of The Satellite Information Utilization Business,"Baik, Seungkuk and Roh, Jinhwa and Shim, Hyounjoo and Zhu, Xuanning",2023,10.7780/kjrs.2023.39.5.4.2,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Remote Sensing Products And Services In Support Of Agricultural Public Policies In Africa: Overview And Challenges,"Begue, Agnes and Leroux, Louise and Soumare, Mamy and Faure, Jean-Francois and Diouf, Abdoul Aziz and Augusseau, Xavier and Toure, Labaly and Tonneau, Jean-Philippe",2020,10.3389/fsufs.2020.00058,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Metrics To Accelerate Private Sector Investment In Sustainable Development Goal 2-Zero Hunger,"Brown, Molly E.",2021,10.3390/su13115967,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Nasa's Early Adopter Program Links Satellite Data To Decision Making,"Brown, Molly E. and Escobar, Vanessa M.",2019,10.3390/rs11040406,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Planning Iterative Investment For Landscape Restoration: Choice Of Biodiversity Indicator Makes A Difference,"Butler, Don William",2009,10.1016/j.biocon.2009.04.023,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Integrating Multisensor Satellite Data Merging And Image Reconstruction In Support Of Machine Learning For Better Water Quality Management,"Chang, Ni-Bin and Bai, Kaixu and Chen, Chi-Farn",2017,10.1016/j.jenvman.2017.06.045,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
"Use Of Uav Or Remotely Piloted Aircraft And Forward-Looking Infrared In Forest, Rural And Wildland Fire Management: Evaluation Using Simple Economic Analysis","Christensen, B. R.",2015,10.1186/s40490-015-0044-9,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Remote Sensing For Restoration Planning: How The Big Picture Can Inform Stakeholders,"Cordell, Susan and Questad, Erin J. and Asner, Gregory P. and Kinney, Kealoha M. and Thaxton, Jarrod M. and Uowolo, Amanda and Brooks, Sam and Chynoweth, Mark W.",2017,10.1111/rec.12448,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
"Organisational Drivers For, Constraints On And Impacts Of Decision And Information Support Tool Use In Desertification Policy And Management","Diez, Esther and McIntosh, Brian S.",2011,10.1016/j.envsoft.2010.04.003,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Measuring The Economic Benefits Of An Environmental Monitoring Satellite Project: The Value Of Information Approach,"Eom, Young Sook and Hong, Jong Ho",2013,10.1016/j.spacepol.2013.06.003,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Mapping Spatial Pattern In Biodiversity For Regional Conservation Planning: Where To From Here?,"Ferrier, S",2002,10.1080/10635150252899806,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Impact Of Satellite Imagery Spatial Resolution On Land Use Classification Accuracy And Modeled Water Quality,"Fisher, Jonathan R. B. and Acosta, Eileen A. and Dennedy-Frank, P. James and Kroeger, Timm and Boucher, Timothy M.",2018,10.1002/rse2.61,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
A Real Options Approach To Satellite Mission Planning,"Fuss, Sabine and Szolgayova, Jana and Obersteiner, Michael",2008,10.1016/j.spacepol.2008.09.008,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Acquisition Of Earth Science Remote Sensing Observations From Commercial Sources: Lessons Learned From The Space Imaging Ikonos Example,"Goward, SN and Townshend, JRG and Zanoni, V and Policelli, F and Stanley, T and Ryan, R and Holekamp, K and Underwood, L and Pagnutti, M and Fletcher, R",2003,10.1016/j.rse.2003.06.007,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Exploring The Utility Of Bathymetry Maps Derived With Multispectral Satellite Observations In The Field Of Underwater Archaeology,"Guzinski, Radoslaw and Spondylis, Elias and Michalis, Myrto and Tusa, Sebastiano and Brancato, Giacoma and Minno, Lorenzo and Hansen, Lars Boye",2016,10.1515/opar-2016-0018,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Role Of Irs-1c In Developing Remote Sensing Applications For Water Management In India,"Hakeem, K. Abdul and Raju, P. V. and Sankar, E. Siva and Jonna, Saindranath",2021,10.1007/s12524-020-01280-8,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Using Very High Resolution Remote Sensing For The Management Of Coral Reef Fisheries: Review And Perspectives,"Hamel, Melanie A. and Andrefouet, Serge",2010,10.1016/j.marpolbul.2010.07.002,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Translating Marine Animal Tracking Data Into Conservation Policy And Management,"Hays, Graeme C. and Bailey, Helen and Bograd, Steven J. and Bowen, W. Don and Campagna, Claudio and Carmichael, Ruth H. and Casale, Paolo and Chiaradia, Andre and Costa, Daniel P. and Cuevas, Eduardo and de Bruyn, P. J. Nico and Dias, Maria P. and Duarte, Carlos M. and Dunn, Daniel C. and Dutton, Peter H. and Esteban, Nicole and Friedlaender, Ari and Goetz, Kimberly T. and Godley, Brendan J. and Halpin, Patrick N. and Hamann, Mark and Hammerschlag, Neil and Harcourt, Robert and Harrison, Autumn-Lynn and Hazen, Elliott L. and Heupel, Michelle R. and Hoyt, Erich and Humphries, Nicolas E. and Kot, Connie Y. and Lea, James S. E. and Marsh, Helene and Maxwell, Sara M. and McMahon, Clive R. and di Sciara, Giuseppe Notarbartolo and Palacios, Daniel M. and Phillips, Richard A. and Righton, David and Schofield, Gail and Seminoff, Jeffrey A. and Simpfendorfer, Colin A. and Sims, David W. and Takahashi, Akinori and Tetley, Michael J. and Thums, Michele and Trathan, Philip N. and Villegas-Amtmann, Stella and Wells, Randall S. and Whiting, Scott D. and Wildermann, Natalie E. and Msequeira, Ana M. M.",2019,10.1016/j.tree.2019.01.009,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Benchmarking Optical/Thermal Satellite Imagery For Estimating Evapotranspiration And Soil Moisture In Decision Support Tools,"Hendrickx, Jan M. H. and Allen, Richard G. and Brower, Al and Byrd, Aaron R. and Hong, Sung-ho and Ogden, Fred L. and Pradhan, Nawa Raj and Robison, Clarence W. and Toll, David and Trezza, Ricardo and Umstot, Todd G. and Wilson, John L.",2016,10.1111/1752-1688.12371,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Building User-Readiness For Satellite Earth Observing Missions: The Case Of The Surface Water And Ocean Topography (Swot) Mission,"Hossain, Faisal and Das, Pritam and Srinivasan, Margaret and Tsontos, Vardis and Oaida, Catalina M. and Nickles, Cassandra and McNelis, Jack and Bonnema, Matthew and Picot, Nicolas and Pena-Luque, Santiago and Doorn, Bradley and Vinogradova-Shiffer, Nadya and Andral, Alice and Gaultier, Lucile and Jayaluxmi, Indu and Zhu, John and Fernando, Nelun and Ul-Hasan, Faizan and Fatima, Bareerah and Ahsan, Mufeezah and Dhanya, C. T. and Jayasinghe, Susantha and Meechaiya, Chinaporn and Barajas, Miguel and Balakrishnan, Vivek and Eldardiry, Hisham and Elkholy, Mohamed and Abdelrazek, Ahmed and Fenoglio, Luciana and Durand, Mike and Wei, Rui and Pavelsky, Tamlin",2022,10.1029/2022av000680,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Geospatial Web-Based Sensor Information Model For Integrating Satellite Observation: An Example In The Field Of Flood Disaster Management,"Hu, Chuli and Chen, Nengcheng and Li, Jia",2013,10.14358/pers.79.10.915,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
How Much Would You Pay For A Satellite Image?: Lessons Learned From French Spatial-Data Infrastructure,"Jabbour, Chady and Hoayek, Anis and Maurel, Pierre and Rey-Valette, Helene and Salles, Jean-Michel",2020,10.1109/mgrs.2019.2941751,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Benefits Of Earth Observation Data For Conservation Planning In The Case Of European Wetland Biodiversity,"Jantke, Kerstin and Schleupner, Christine and Schneider, Uwe A.",2013,10.1017/s0376892912000331,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
"Smart Solutions For Municipal Flood Management: Overview Of Literature, Trends, And Applications In German Cities","Josipovic, Neven and Viergutz, Kathrin",2023,10.3390/smartcities6020046,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
"The Potential Of Remote Sensing Data For Decision Makers At The State, Local And Tribal Level: Experiences From Nasa's Synergy Program","Kalluri, S and Gilruth, P and Bergman, R",2003,10.1016/j.envsci.2003.08.002,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Value Of Airborne Laser Scanning And Digital Aerial Photogrammetry Data In Forest Decision Making,"Kangas, A. and Gobakken, T. and Puliti, S. and Hauglin, M. and Naesset, E.",2018,10.14214/sf.9923,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Evaluating Nox Emission Inventories For Regulatory Air Quality Modeling Using Satellite And Air Quality Model Data,"Kemball-Cook, Susan and Yarwood, Greg and Johnson, Jeremiah and Dornblaser, Bright and Estes, Mark",2015,10.1016/j.atmosenv.2015.07.002,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Satellite Remote Sensing As A Tool In Lahar Disaster Management,"Kerle, N and Oppenheimer, C",2002,10.1111/1467-7717.00197,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
The Role Of African Emerging Space Agencies In Earth Observation Capacity Building For Facilitating The Implementation And Monitoring Of The African Development Agenda: The Case Of African Earth Observation Program,"Kganyago, Mahlatse and Mhangara, Paidamwoyo",2019,10.3390/ijgi8070292,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Evaluating The Public Value Of Improving Early Detection Accuracy Of Cumulonimbus Using A Geostationary Satellite In South Korea,"Kim, Ju-Hee and Lim, Hancheol and Shin, Jinho and Yoo, Seung-Hoon",2022,10.1016/j.spacepol.2022.101507,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Space Assets For Demining Assistance,"Kruijff, Michiel and Eriksson, Daniel and Bouvet, Thomas and Griffiths, Alexander and Craig, Matthew and Sahli, Hichem and Valcarce Gonzalez-Roson, Fernando and Willekens, Philippe and Ginati, Amnon",2013,10.1016/j.actaastro.2012.08.016,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
The Role Of Satellite Telemetry Data In 21St Century Conservation Of Polar Bears (Ursus Maritimus),"Laidre, Kristin L. and Durner, George M. and Lunn, Nicholas J. and Regehr, Eric V. and Atwood, Todd C. and Rode, Karyn D. and Aars, Jon and Routti, Heli and Wiig, Oystein and Dyck, Markus and Richardson, Evan S. and Atkinson, Stephen and Belikov, Stanislav and Stirling, Ian",2022,10.3389/fmars.2022.816666,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
An Inter-Comparison Exercise Of Sentinel-2 Radiometric Validations Assessed By Independent Expert Groups,"Lamquin, Nicolas and Woolliams, Emma and Bruniquel, Veronique and Gascon, Ferran and Gorrono, Javier and Govaerts, Yves and Leroy, Vincent and Lonjou, Vincent and Alhammoud, Bahjat and Barsi, Julia A. and Czapla-Myers, Jeffrey S. and McCorkel, Joel and Helder, Dennis and Lafrance, Bruno and Clerc, Sebastien and Holben, Brent N.",2019,10.1016/j.rse.2019.111369,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Factors Affecting Farmer Adoption Of Remotely Sensed Imagery For Precision Management In Cotton Production,"Larson, James A. and Roberts, Roland K. and English, Burton C. and Larkin, Sherry L. and Marra, Michele C. and Martin, Steven W. and Paxton, Kenneth W. and Reeves, Jeanne M.",2008,10.1007/s11119-008-9065-1,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Integrating Indigenous Ecological Knowledge And Multi-Spectral Image Classification For Marine Habitat Mapping In Oceania,"Lauer, Matthew and Aswani, Shankar",2008,10.1016/j.ocecoaman.2008.04.006,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Space-Based Earth Observations For Disaster Risk Management,"Le Cozannet, G. and Kervyn, M. and Russo, S. and Speranza, C. Ifejika and Ferrier, P. and Foumelis, M. and Lopez, T. and Modaressi, H.",2020,10.1007/s10712-020-09586-5,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Remote Sensing In Support For Monitoring Rice In The Senegal Catchment,"Lefrancq, Marie and Diarra, Mamadou and Hane, Ousmane and Lhuissier, Ludovic and Ndour, Thierno and Thumerel, Bernard and Toumiat, Farouk and Yena, Mama",2020,10.1051/lhb/2020049,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Economic Feasibility Study For Pavement Monitoring Using Synthetic Aperture Radar-Based Satellite Remote Sensing Cost-Benefit Analysis,"Li, Mingxin and Faghri, Ardeshir and Ozden, Abdulkadir and Yue, Yixiang",2017,10.3141/2645-01,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Application Of The Remote-Sensing Communication Model To A Time-Sensitive Wildfire Remote-Sensing System,"Lippitt, Christopher D. and Stow, Douglas A. and Riggan, Philip J.",2016,10.1080/01431161.2016.1196840,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Design And Simulation In Sar Satellites' Task Planning System Using Genetic Algorithm With Entropy Operator,"Liu, Wan and Li, Zeyu and Chen, Li and Zhang, Dexin and Shao, Xiaowei",2021,10.1108/aeat-11-2020-0247,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
A Disaster Information And Monitoring System Utilizing Earth Observation,"Louhisuo, Machiko and Veijonen, Teppo and Ahola, Jussi and Morohoshi, Toshikazu",2007,10.1108/14777830710731725,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Agronomic Performance And Remote Sensing Assessment Of Organic And Mineral Fertilization In Rice Fields,"Marti-Jerez, Karen and Catala-Forner, Mar and Tomas, Nuria and Murillo, Gemma and Ortiz, Carlos and Sanchez-Torres, Maria Jose and Vitali, Andrea and Lopes, Marta S.",2023,10.3389/fpls.2023.1230012,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Integrating Research Using Animal-Borne Telemetry With The Needs Of Conservation Management,"McGowan, Jennifer and Beger, Maria and Lewison, Rebecca L. and Harcourt, Rob and Campbell, Hamish and Priest, Mark and Dwyer, Ross G. and Lin, Hsien-Yung and Lentini, Pia and Dudgeon, Christine and McMahon, Clive and Watts, Matt and Possingham, Hugh P.",2017,10.1111/1365-2664.12755,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
