title,author,year,key,screening_decision,reason_for_exclusion,quick_notes,econ_method,societal_benefit,value_units,eo_data,applied_science_theme,notes
Nasa's Early Adopter Program Links Satellite Data to Decision Making,"Brown, Molly E. and Escobar, Vanessa M.",2019,brown_nasa'sadopterprogramlinks_2019,exclude,data not valued,"Conceptually describes methods used and notes several examples, but doesn't actually do the valuing here.",,,,,,
Metrics to Accelerate Private Sector Investment in Sustainable Development Goal 2-Zero Hunger,"Brown, Molly E.",2021,brown_metricsaccelerateprivatesector_2021,exclude,data not valued,"""This article proposes two quantitative metrics that could be used to evaluate the impact of private sector activities on SDG2: measuring increases in yield over baseline and ensuring input availability and affordability in all markets"" - but does not apply metrics to satellite data",,,,,,
Planning Iterative Investment for Landscape Restoration: Choice of Biodiversity Indicator Makes a Difference,"Butler, Don William",2009,butler_planningiterativeinvestmentlandscape_2009,exclude,data not valued,I had thought the different classification scales meant different resolution of RS imagery but nope,,,,,,
Integrating Multisensor Satellite Data Merging and Image Reconstruction in Support of Machine Learning for Better Water Quality Management,"Chang, Ni-Bin and Bai, Kaixu and Chen, Chi-Farn",2017,chang_integratingmultisensorsatellitedata_2017,exclude,calibration/validation,,,,,,,
"Use of Uav or Remotely Piloted Aircraft and Forward-Looking Infrared in Forest, Rural and Wildland Fire Management: Evaluation Using Simple Economic Analysis","Christensen, B. R.",2015,christensen_uavremotelypilotedaircraft_2015,include,,,cost benefit informed by expert elicitation,reduced cost in fire fighting efforts,dollars,UAV/remote-piloted aircraft with IR cameras,wildfire,UAV/remote operated aircraft with IR cameras - is this really remote sensing in the same sense?
Remote Sensing for Restoration Planning: How the Big Picture Can Inform Stakeholders,"Cordell, Susan and Questad, Erin J. and Asner, Gregory P. and Kinney, Kealoha M. and Thaxton, Jarrod M. and Uowolo, Amanda and Brooks, Sam and Chynoweth, Mark W.",2017,cordell_remotesensingrestorationplanning_2017,exclude,data not valued,"""We review the benefits of using remotely sensed data for restoration planning, and highlight the costs and benefits of various data sources."" Includes costs of different tech types, but benefits left as conceptual/potential",,,,,,
"Organisational Drivers for, Constraints on and Impacts of Decision and Information Support Tool Use in Desertification Policy and Management","Diez, Esther and McIntosh, Brian S.",2011,diez_organisationaldriversconstraintsimpacts_2011,include,,,structured interview,various; organizational efficiency,,general RS,desertification,"Interviews of policy makers around desertification, who use different decision tools and techs including RS. only 3 of 14 organizations were using RS; 3 also used aerial photography (overlap?)"
Complementing Satellites and Unmanned Aerial Vehicles for Rangeland Assessment in Patagonia,"Easdale, M. H. and Uma{\~n}a, F. and Raffo, F. and Fari{\~n}a, C. and Bruzzone, O.",2019,easdale_complementingsatellitesunmannedaerial_2019,exclude,not in English; calibration/validation,,,,,,,
Measuring the Economic Benefits of an Environmental Monitoring Satellite Project: The Value of Information Approach,"Eom, Young Sook and Hong, Jong Ho",2013,eom_measuringeconomicbenefitsenvironmental_2013,include,,,contingent valuation,improved air quality,dollars,GEMS,air quality/health,
Mapping Spatial Pattern in Biodiversity for Regional Conservation Planning: Where to from Here?,"Ferrier, S",2002,ferrier_mappingspatialpatternbiodiversity_2002,exclude,data not valued,,,,,,,
"Geoinformatics for Disaster Risk Assessment, Monitoring, and Management","Fisher, A. R.",2017,fisher_geoinformaticsdisasterriskassessment_2017,exclude,data not valued,(chapter in larger report - pages 83-86),,,,,,
Impact of Satellite Imagery Spatial Resolution on Land Use Classification Accuracy and Modeled Water Quality,"Fisher, Jonathan R. B. and Acosta, Eileen A. and {Dennedy-Frank}, P. James and Kroeger, Timm and Boucher, Timothy M.",2018,fisher_impactsatelliteimageryspatial_2018,include,,,cost-benefit analysis;voi,water quality monitoring,dollars;hours,Landsat;Digital Globe,water resources,they compare costs (dollars and processing time) for two different resolutions of data and return on investment
A Real Options Approach to Satellite Mission Planning,"Fuss, Sabine and Szolgayova, Jana and Obersteiner, Michael",2008,fuss_realoptionsapproachsatellite_2008,include,,,real options; voi,theoretical - damage avoided or mitigated from disasters,dollars,theoretical,disaster response,
Numerical Modelling and Satellite Remote Sensing as Tools for Research and Management of Marine Fishery Resources,"George, G.",2014,george_numericalmodellingsatelliteremote_2014,exclude,data not valued,,,,,,,
Exploring the Utility of Bathymetry Maps Derived with Multispectral Satellite Observations in the Field of Underwater Archaeology,"Guzinski, Radoslaw and Spondylis, Elias and Michalis, Myrto and Tusa, Sebastiano and Brancato, Giacoma and Minno, Lorenzo and Hansen, Lars Boye",2016,guzinski_exploringutilitybathymetrymaps_2016,exclude,data not valued,,,,,,,
Role of Irs-1c in Developing Remote Sensing Applications for Water Management in India,"Hakeem, K. Abdul and Raju, P. V. and Sankar, E. Siva and Jonna, Saindranath",2021,hakeem_roleirs1cdeveloping_2021,exclude,data not valued,,,,,,,
Using Very High Resolution Remote Sensing for the Management of Coral Reef Fisheries: Review and Perspectives,"Hamel, Melanie A. and Andrefouet, Serge",2010,hamel_resolutionremotesensingmanagement_2010,exclude,review,,,,,,,
Current Policy Issues in Remote Sensing: Report by the International Policy Advisory Committee of Isprs,"Harris, R.",2003,harris_currentpolicyissuesremote_2003,exclude,conference,"Brief report of a committee meeting/workshop?  conceptual description of costs and benefits, no analysis but some specific numbers estimated - calling it a conference summary",,,,,,
Translating Marine Animal Tracking Data into Conservation Policy and Management,"Hays, Graeme C. and Bailey, Helen and Bograd, Steven J. and Bowen, W. Don and Campagna, Claudio and Carmichael, Ruth H. and Casale, Paolo and Chiaradia, Andre and Costa, Daniel P. and Cuevas, Eduardo and {de Bruyn}, P. J. Nico and Dias, Maria P. and Duarte, Carlos M. and Dunn, Daniel C. and Dutton, Peter H. and Esteban, Nicole and Friedlaender, Ari and Goetz, Kimberly T. and Godley, Brendan J. and Halpin, Patrick N. and Hamann, Mark and Hammerschlag, Neil and Harcourt, Robert and Harrison, Autumn-Lynn and Hazen, Elliott L. and Heupel, Michelle R. and Hoyt, Erich and Humphries, Nicolas E. and Kot, Connie Y. and Lea, James S. E. and Marsh, Helene and Maxwell, Sara M. and McMahon, Clive R. and {di Sciara}, Giuseppe Notarbartolo and Palacios, Daniel M. and Phillips, Richard A. and Righton, David and Schofield, Gail and Seminoff, Jeffrey A. and Simpfendorfer, Colin A. and Sims, David W. and Takahashi, Akinori and Tetley, Michael J. and Thums, Michele and Trathan, Philip N. and {Villegas-Amtmann}, Stella and Wells, Randall S. and Whiting, Scott D. and Wildermann, Natalie E. and Msequeira, Ana M. M.",2019,hays_translatingmarineanimaltracking_2019,include,,,none,various conservation outcomes,various,satellite telemetry,conservation,"Examines many case studies where marine animal tracking (often using satellite telemetry) led to conservation outcomes. This doesn't do the actual analysis, but at least in some cases ties scientific studies to application studies"
Benchmarking Optical/Thermal Satellite Imagery for Estimating Evapotranspiration and Soil Moisture in Decision Support Tools,"Hendrickx, Jan M. H. and Allen, Richard G. and Brower, Al and Byrd, Aaron R. and Hong, Sung-ho and Ogden, Fred L. and Pradhan, Nawa Raj and Robison, Clarence W. and Toll, David and Trezza, Ricardo and Umstot, Todd G. and Wilson, John L.",2016,hendrickx_benchmarkingopticalthermalsatellite_2016,include,,,cost-benefit assessment,groundwater recharge estimates,dollars,Landsat,water resources,"""In fact, the value of reduced error in estimating average annual groundwater recharge in the San Gabriel Mountains, California alone, in terms of value of water, may be as large as $1 billion, more than sufficient to pay for one new Landsat satellite.""  Mostly validation/calibration, but at the end compares potential benefits to costs"
Willingness to Pay for an Early Warning System for Infectious Diseases,"Himmler, S. and {van Exel}, J. and {Perry-Duxbury}, M. and Brouwer, W.",2020,himmler_willingnesspaywarningsystem_2020,exclude,esi data not used,"""early warning system"" is conceptual and does not (necessarily) involve any ESI",,,,,,
Building User-Readiness for Satellite Earth Observing Missions: The Case of the Surface Water and Ocean Topography (Swot) Mission,"Hossain, Faisal and Das, Pritam and Srinivasan, Margaret and Tsontos, Vardis and Oaida, Catalina M. and Nickles, Cassandra and McNelis, Jack and Bonnema, Matthew and Picot, Nicolas and {Pena-Luque}, Santiago and Doorn, Bradley and {Vinogradova-Shiffer}, Nadya and Andral, Alice and Gaultier, Lucile and Jayaluxmi, Indu and Zhu, John and Fernando, Nelun and {Ul-Hasan}, Faizan and Fatima, Bareerah and Ahsan, Mufeezah and Dhanya, C. T. and Jayasinghe, Susantha and Meechaiya, Chinaporn and Barajas, Miguel and Balakrishnan, Vivek and Eldardiry, Hisham and Elkholy, Mohamed and Abdelrazek, Ahmed and Fenoglio, Luciana and Durand, Mike and Wei, Rui and Pavelsky, Tamlin",2022,hossain_buildinguserreadinesssatellite_2022,exclude,data not valued,"References: (""Landsat imagery produced savings of approximately half a billion dollars each year for federal and state governments, non-governmental organizations, and the private sector"")
Lauer, D. T., Morain, S. A., & Salomonso, V. V. (1997). The Landsat program: Its origins, evolution, and impacts. Photogrammetric Engineering & Remote Sensing, 63(7), 831–838
National Geospatial Advisory Committee. (2014). Landsat Advisory Group1. The value proposition for Landsat applications – 2014 Update. Retrieved from https://www.fgdc.gov/ngac/meetings/december-2014/ngac-landsat-economic-value-paper-2014-update.pdf
These refs are not in our database!",,,,,,
Geospatial Web-Based Sensor Information Model for Integrating Satellite Observation: An Example in the Field of Flood Disaster Management,"Hu, Chuli and Chen, Nengcheng and Li, Jia",2013,hu_geospatialwebbasedsensor_2013,exclude,data not valued,"""The results show that, three kinds of users including FO-SSs providers, common emergency responders, and emergency managers can benefit from the proposed FO-SSI model,"" but only conceptually discussed",,,,,,
How Much Would You Pay for a Satellite Image?: Lessons Learned from French Spatial-Data Infrastructure,"Jabbour, Chady and Hoayek, Anis and Maurel, Pierre and {Rey-Valette}, Helene and Salles, Jean-Michel",2020,jabbour_paysatelliteimagelessons_2020,include,,,stated preference/survey,depends on user,euros,GEOSUD Theia images,,Survey to elicit willingness to pay; also brief lit review with other potential papers to scour
Benefits of Earth Observation Data for Conservation Planning in the Case of European Wetland Biodiversity,"Jantke, Kerstin and Schleupner, Christine and Schneider, Uwe A.",2013,jantke_benefitsearthobservationdata_2013,include,,,cost-benefit assessment,efficiency of conservation planning,euros,conceptual,conservation,"This doesn't seem to use specific EO data though might be input to some of the habitat data; framed as ""Obtaining finer scale EO data is costly, and questions arise over whether conservation planning will benefit from the availability of better data.""  Compared conservation planning results between coarse-scale data and fine-scale data on habitats and land rents; four scenarios (coarse-coarse, coarse-fine, fine-course, fine-fine)"
"Smart Solutions for Municipal Flood Management: Overview of Literature, Trends, and Applications in German Cities","Josipovic, Neven and Viergutz, Kathrin",2023,josipovic_smartsolutionsmunicipalflood_2023,exclude,data not valued,Kind of a review of applications but no valuation,,,,,,
"The Potential of Remote Sensing Data for Decision Makers at the State, Local and Tribal Level: Experiences from Nasa's Synergy Program","Kalluri, S and Gilruth, P and Bergman, R",2003,kalluri_potentialremotesensingdata_2003,exclude,data not valued,Some nods to costs and benefits but no real valuation methodology,,,,,,
Value of Airborne Laser Scanning and Digital Aerial Photogrammetry Data in Forest Decision Making,"Kangas, A. and Gobakken, T. and Puliti, S. and Hauglin, M. and Naesset, E.",2018,kangas_airbornelaserscanningdigital_2018,include,,,cost-plus-loss; voi,reduced costs/losses in forestry,euros,digital aerial photogrammetry,forest management,
Evaluating Nox Emission Inventories for Regulatory Air Quality Modeling Using Satellite and Air Quality Model Data,"Kemball-Cook}, Susan and Yarwood, Greg and Johnson, Jeremiah and Dornblaser, Bright and Estes, Mark",2015,kemballcook_evaluatingnoxemissioninventories_2015,exclude,calibration/validation,,,,,,,
Satellite Remote Sensing as a Tool in Lahar Disaster Management,"Kerle, N and Oppenheimer, C",2002,kerle_satelliteremotesensingtool_2002,exclude,data not valued,"Posits that satellites (as of writing) are NOT sufficient for disaster management - no actual valuation - with potential benefits of future satellites left as conceptual descriptions.  Possible reference: Martín-Rico, C., J. Gonzalo, A. Mariani and W. Leibrandt (2001) The FUEGO System Concept. Acta Astronautica 48(1): 45–056.",,,,,,
The Role of African Emerging Space Agencies in Earth Observation Capacity Building for Facilitating the Implementation and Monitoring of the African Development Agenda: The Case of African Earth Observation Program,"Kganyago, Mahlatse and Mhangara, Paidamwoyo",2019,kganyago_roleafricanemergingspace_2019,exclude,data not valued,"""This paper discusses the potential of Earth observation capacity building for supporting the implementation, monitoring of, and reporting towards achieving AU-Agenda 2063 development imperatives."" Is this value of capacity building? Or value of data?",,,,,,
Satellite Analysis Ready Data for the Sustainable Development Goals,"Killough, B. D.",2022,killough_satelliteanalysisreadydata_2022,exclude,data not valued,"""It is these use cases that demonstrate the value and impact of Earth observation data for a sustainable future"" - shows applications but does not translate data to a quantifiable value",,,,,,
Evaluating the Public Value of Improving Early Detection Accuracy of Cumulonimbus Using a Geostationary Satellite in South Korea,"Kim, Ju-Hee and Lim, Hancheol and Shin, Jinho and Yoo, Seung-Hoon",2022,kim_evaluatingpublicimprovingdetection_2022,include,,,contingent valuation,weather forecasting,Korean won,Cheollian geostationary satellite,weather,
Using Remote Sensing Data for Earthquake Damage Assessment in Afghanistan: The Role of the International Charter,"Korsu Kandeh, J. M. and Ahadi, A. W. and Kumar, L.",2005,korsukandeh_remotesensingdataearthquake_2005,exclude,data not valued,,,,,,,
Space Assets for Demining Assistance,"Kruijff, Michiel and Eriksson, Daniel and Bouvet, Thomas and Griffiths, Alexander and Craig, Matthew and Sahli, Hichem and {Valcarce Gonzalez-Roson}, Fernando and Willekens, Philippe and Ginati, Amnon",2013,kruijff_spaceassetsdeminingassistance_2013,exclude,data not valued,Prospective values,,,,,,
"Coordinated Capacity Development to Maximize the Contributions of Space Science, Technology, and Its Applications in Support of Implementing Global Sustainable Development Agendas-a Conceptual Framework","Kumar, A. Senthil and Camacho, Sergio and Searby, Nancy D. and Teuben, Joost and Balogh, Werner",2020,kumar_coordinatedcapacitydevelopmentmaximize_2020,exclude,data not valued,,,,,,,
The Role of Satellite Telemetry Data in 21st Century Conservation of Polar Bears (Ursus Maritimus),"Laidre, Kristin L. and Durner, George M. and Lunn, Nicholas J. and Regehr, Eric V. and Atwood, Todd C. and Rode, Karyn D. and Aars, Jon and Routti, Heli and Wiig, Oystein and Dyck, Markus and Richardson, Evan S. and Atkinson, Stephen and Belikov, Stanislav and Stirling, Ian",2022,laidre_rolesatellitetelemetrydata_2022,exclude,review,,,,,,,
An Inter-Comparison Exercise of Sentinel-2 Radiometric Validations Assessed by Independent Expert Groups,"Lamquin, Nicolas and Woolliams, Emma and Bruniquel, Veronique and Gascon, Ferran and Gorrono, Javier and Govaerts, Yves and Leroy, Vincent and Lonjou, Vincent and Alhammoud, Bahjat and Barsi, Julia A. and {Czapla-Myers}, Jeffrey S. and McCorkel, Joel and Helder, Dennis and Lafrance, Bruno and Clerc, Sebastien and Holben, Brent N.",2019,lamquin_intercomparisonexercisesentinel_2019,exclude,calibration/validation,,,,,,,
Factors Affecting Farmer Adoption of Remotely Sensed Imagery for Precision Management in Cotton Production,"Larson, James A. and Roberts, Roland K. and English, Burton C. and Larkin, Sherry L. and Marra, Michele C. and Martin, Steven W. and Paxton, Kenneth W. and Reeves, Jeanne M.",2008,larson_factorsaffectingfarmeradoption_2008,include,,,survey; logit regression,cotton crop management,adopt/not adopt,generic RS,agriculture,"Looks at variables that correlate with whether a farmer used RS data - not quite value of data, but what factors influence how the farmer values data"
Integrating Indigenous Ecological Knowledge and Multi-Spectral Image Classification for Marine Habitat Mapping in Oceania,"Lauer, Matthew and Aswani, Shankar",2008,lauer_integratingindigenousecologicalknowledge_2008,exclude,calibration/validation,"indigenous ecological knowledge to help improve ML classification, but no translation to decisions",,,,,,
"Policy Implications of Remote Sensing in Understanding Urban Environments: Developing a Wetlands Inventory for Community Decision-Making in Lucas County, Ohio","Lawrence, P. L. and Czajowski, K. and Torbick, N.",2005,lawrence_policyimplicationsremotesensing_2005,exclude,calibration/validation,,,,,,,
Space-Based Earth Observations for Disaster Risk Management,"Le Cozannet, G. and Kervyn, M. and Russo, S. and Speranza, C. Ifejika and Ferrier, P. and Foumelis, M. and Lopez, T. and Modaressi, H.",2020,lecozannet_spacebasedearthobservations_2020,exclude,review; data not valued,,,,,,,
Remote Sensing in Support for Monitoring Rice in the Senegal Catchment,"Lefrancq, Marie and Diarra, Mamadou and Hane, Ousmane and Lhuissier, Ludovic and Ndour, Thierno and Thumerel, Bernard and Toumiat, Farouk and Yena, Mama",2020,lefrancq_remotesensingsupportmonitoring_2020,exclude,not in English,,,,,,,
Economic Feasibility Study for Pavement Monitoring Using Synthetic Aperture Radar-Based Satellite Remote Sensing Cost-Benefit Analysis,"Li, Mingxin and Faghri, Ardeshir and Ozden, Abdulkadir and Yue, Yixiang",2017,li_economicfeasibilitystudypavement_2017,include,,,cost-benefit assessment,road and infrastructure monitoring,dollars,"SAR - ERS, ENVISAT, RADARSAT",,
Application-Oriented Real-Time Remote Sensing Service Technology,"Li, D. and Ding, L. and Shao, Z.",2021,li_applicationorientedrealtime_2021,exclude,not in English,,,,,,,
Application of the Remote-Sensing Communication Model to a Time-Sensitive Wildfire Remote-Sensing System,"Lippitt, Christopher D. and Stow, Douglas A. and Riggan, Philip J.",2016,lippitt_applicationremotesensingcommunication_2016,exclude,data not valued,change in fire scene sensor to reduce transmission time - more about image processing than the data itself,,,,,,
Design and Simulation in Sar Satellites' Task Planning System Using Genetic Algorithm with Entropy Operator,"Liu, Wan and Li, Zeyu and Chen, Li and Zhang, Dexin and Shao, Xiaowei",2021,liu_designsimulationsarsatellites_2021,exclude,data not valued,"any improvements are due to algorithm, not data",,,,,,
A Disaster Information and Monitoring System Utilizing Earth Observation,"Louhisuo, Machiko and Veijonen, Teppo and Ahola, Jussi and Morohoshi, Toshikazu",2007,louhisuo_disasterinformationmonitoringsystem_2007,exclude,data not valued,,,,,,,
Uav-Based Smart Environmental Monitoring,"Majid, M. I. and Chen, Y. and Mahfooz, O. and Ahmed, W.",2019,majid_uavbasedsmartenvironmental_2019,exclude,data not valued,,,,,,,
Agronomic Performance and Remote Sensing Assessment of Organic and Mineral Fertilization in Rice Fields,"Marti-Jerez}, Karen and {Catala-Forner}, Mar and Tomas, Nuria and Murillo, Gemma and Ortiz, Carlos and {Sanchez-Torres}, Maria Jose and Vitali, Andrea and Lopes, Marta S.",2023,martijerez_agronomicperformanceremotesensing_2023,exclude,data not valued,Sentinel-2 used to monitor crops but no decisions,,,,,,
Using Landsat Satellite Data to Support Pesticide Exposure Assessment in California,"Maxwell, Susan K. and Airola, Matthew and Nuckols, John R.",2010,maxwell_landsatsatellitedatasupport_2010,exclude,calibration/validation,,,,,,,
The Sea from Space-Applying Remote Sensing to Societal Needs,"McCarthy, E. and Lichtman, F.",2007,mccarthy_seaspaceapplyingremote_2007,exclude,data not valued,"case studies some of which *report* values, but do not apply any methodology to *assess* the value",,,,,,
Integrating Research Using Animal-Borne Telemetry with the Needs of Conservation Management,"McGowan, Jennifer and Beger, Maria and Lewison, Rebecca L. and Harcourt, Rob and Campbell, Hamish and Priest, Mark and Dwyer, Ross G. and Lin, Hsien-Yung and Lentini, Pia and Dudgeon, Christine and McMahon, Clive and Watts, Matt and Possingham, Hugh P.",2017,mcgowan_integratingresearchanimalborne_2017,exclude,data not valued,describes VOI methodology briefly but doesn't apply to any data - just conceptual,,,,,,
Measuring and Monitoring Restored Ecosystems: Can Remote Sensing Be Applied to the Ecological Recovery Wheel to Inform Restoration Success?,"McKenna, Phillip B. and Lechner, Alex M. and Santin, Lorna Hernandez and Phinn, Stuart and Erskine, Peter D.",2023,mckenna_measuringmonitoringrestoredecosystems_2023,exclude,data not valued,,,,,,,
Satellite Data for the Offshore Renewable Energy Sector: Synergies and Innovation Opportunities,"Medina-Lopez}, E. and McMillan, D. and Lazic, J. and Hart, E. and Zen, S. and Angeloudis, A. and Bannon, E. and Browell, J. and Dorling, S. and Dorrell, R. M. and Forster, R. and Old, C. and Payne, G. S. and Porter, G. and Rabaneda, A. S. and Sellar, B. and Tapoglou, E. and Trifonova, N. and Woodhouse, I. H. and Zampollo, A.",2021,medinalopez_satellitedataoffshorerenewable_2021,exclude,data not valued,,,,,,,
Increasing the Use of Earth Science Data and Models in Air Quality Management,"Milford, Jana B. and Knight, Daniel",2017,milford_increasingearthsciencedata_2017,exclude,data not valued,,,,,,,
Modis Provides a Satellite Focus on Operation Iraqi Freedom,"Miller, S. D. and Hawkins, J. D. and Lee, T. F. and Turk, F. J. and Richardson, K. and Kuciauskas, A. P. and Kent, J. and Wade, R. and Skupniewicz, C. E. and Cornelius, J. and O'Neal, J. and Haggerty, P. and Sprietzer, K. and Legg, G. and Henegar, J. and Seaton, B.",2006,miller_modissatellitefocusoperation_2006,exclude,data not valued,,,,,,,
The Value of Earth Observations: Methods and Findings on the Value of Landsat Imagery,"Miller, Holly M. and Serbina, Larisa O. and Richardson, Leslie A. and Ryker, Sarah J. and Newman, Timothy R.",2016,miller_earthobservationsmethodsfindings_2016,include,,,survey; contingent valuation;,various,dollars;various,Landsat,water resources;agriculture,"review of other studies, and then three recent case studies"
The Social Value of Earth Observation: A New Evaluation Framework for Public High-Tech Infrastructures,"Morretta, Valentina and Florio, Massimo and Landoni, Matteo",2023,morretta_socialearthobservationevaluation_2023,include,,,cost-benefit assessment,various,various,hypothetical,various,
"Artisanal Exploitation of Mineral Resources: Remote Sensing Observations of Environmental Consequences, Social and Ethical Aspects","Ngom, Ndeye Marame and Baratoux, David and Bolay, Matthieu and Dessertine, Anna and Saley, Abdoulatif Abass and Baratoux, Lenka and Mbaye, Modou and Faye, Gayane and Yao, Alphonse Kouakou and Kouame, Kan Jean",2023,ngom_artisanalexploitationmineralresources_2023,exclude,data not valued,,,,,,,
"Quantitative Assessment of Soil Condition, Basic Environmental Factors and Productivity of Linum Usitatissimum in the Steppe Zone of Kazakhstan Using the Remote Sensing Method","Nugmanov, A. and Tulayev, Y. and Ershov, V. and Vasin, V. and Kuanyshbaev, S. and Valiev, K. and Tulkubayeva, S. and Somova, S. and Bugubaeva, A. and Bulaev, A. and Chashkov, V. and Tokusheva, A. and Nauanova, A. and Zhikeyev, A. and Yerish, N. and Yeleuov, B.",2023,nugmanov_quantitativeassessmentsoilcondition_2023,exclude,data not valued,,,,,,,
Valuing the Potential Impacts of Geoss: A Systems Dynamics Approach,"Obersteiner, M. and Rydzak, F. and Fritz, S. and McCallum, I.",2012,obersteiner_valuingpotentialimpactsgeoss_2012,include,,,benefit chain approach,"energy, disaster, climate, agriculture, health, water",various,GEOSS,various,"Modeled scenarios / ""storylines"" across multiple societal benefit areas to see how GEOSS might create benefits"
