title,author,year,key,screening_decision,reason_for_exclusion,quick_notes,soc_method,societal_benefit,value_units,eo_data,applied_science_theme,notes
Estimation of Surface Soil Moisture with Downscaled Land Surface Temperatures Using a Data Fusion Approach for Heterogeneous Agricultural Land,"Bai, L. and Long, D. and Yan, L.",2019,bai_estimationsurfacesoilmoisture_2019,exclude,calibration/validation,"""The downscaled LSTE and SSM developed in this study enhance the spatiotemporal resolutions of the SSM estimates, maximizing the potential of remotely sensed information for agricultural water resource management""",,,,,,
Influence of Spatial Resolution on Satellite-Based Pm2.5 Estimation: Implications for Health Assessment,"Bai, H. and Shi, Y. and Seong, M. and Gao, W. and Li, Y.",2022,bai_influencespatialresolutionsatellite_2022,exclude,calibration/validation,"""Additionally, we find that annual population-weighted mean (PWM) PM2.5 concentration and attributable mortality strongly depend on spatial resolution, with larger values estimated from coarser resolution"" - more about warning of uncertainty/error based on resolution of studies",,,,,,
Geo-Cropsim: A Geo-Spatial Crop Simulation Modeling Framework for Regional Scale Crop Yield and Water Use Assessment,"Bandaru, V. and Yaramasu, R. and Jones, C. and C{\'e}sar Izaurralde, R. and Reddy, A. and Sedano, F. and Daughtry, C. S. T. and {Becker-Reshef}, I. and Justice, C.",2022,bandaru_geocropsimgeospatial_2022,exclude,calibration/validation,"""Overall, this study demonstrated that Geo-CropSim has considerable potential to serve as a reliable operational tool to assess crop yields and water use under various cropping systems and to help in regional yield monitoring and water resource management.""",,,,,,
Mapping Open Data and Big Data to Address Climate Resilience of Urban Informal Settlements in Sub-Saharan Africa,"Banzhaf, Ellen and Bulley, Henry N. and Inkoom, Justice Nana and Elze, Sebastian",2022,banzhaf_mappingdatadataaddress_2022,exclude,data is not valued,,,,,,,
Testing and Validation of Cloud Infrastructures for Earth Observation Services with Satellite Constellations,"Becedas, J. and P{\'e}rez, R. and Gonz{\'a}lez, G.",2015,becedas_testingvalidationcloudinfrastructures_2015,exclude,data is not valued,"this focuses on evaluating system architecture, not data - this was an accidental click on the ""include"" button",,,,,,
Operational Meteorological Satellites and Utilization of Their Data by Deutscher Wetterdienst,"Benesch, W. and Kurz, M.",1991,benesch_operationalmeteorologicalsatellitesutilization_1991,exclude,data is not valued,"""Satellite data have become an indispensable tool for the legal tasks of meteorological services. Furthermore they have an enormous benefit even for other sciences than operational meteorology."" Science value is not societal benefit though",,,,,,
More than Counting Pixels - Perspectives on the Importance of Remote Sensing Training in Ecology and Conservation,"Bernd, Asja and Braun, Daniela and Ortmann, Antonia and {Ulloa-Torrealba}, Yrneh Z. and Wohlfart, Christian and Bell, Alexandra",2017,bernd_countingpixelsperspectivesimportance_2017,exclude,data is not valued,"""To successfully prepare students for a career, study programmes need to provide RS courses based on state-of-the-art methods, including programming, and interdisciplinary projects linking research and practice supported by a sound technical background.""  This is more about the value of training in use of RS/GIS, rather than the value of the data themselves.",,,,,,
Examining the Value of Satellite Data in Halting Transmission of Polio in Nigeria: A Socioeconomic Analysis,"Borowitz, Mariel and Zhou, Janet and Azelton, Krystal and Nassar, Isabelle-Yara",2023,borowitz_examiningsatellitedatahalting_2023,include,,,voi,"health benefits, healthcare savings",reduced polio cases;dollars,Maxar/Digital Globe,health,"""We calculate the increase in the likelihood of halting transmission of polio associated with the use of satellite-based information compared to traditional data sources, and we consider the benefits associated with savings to the healthcare system as well as health benefits. Using a conservative approach focused on just 1 year of benefits, we estimate net socioeconomic benefits of between $46.0 million and $153.9 million."""
Optimizing Observing Systems Using Aspen: An Analysis Tool to Assess the Benefit and Cost Effectiveness of Observations to Earth System Applications,"Boukabara, Sid-Ahmed and Hoffman, Ross N.",2022,boukabara_optimizingobservingsystemsaspen_2022,include,,"""ASPEN could be extended to other types of studies, such as assessing the cost effectiveness of commercial data to applications in all the NOAA mission service areas, and ultimately to societal application areas, and thereby become a valuable addition to the observing systems assessment toolbox""",cost-benefit analysis,various,benefit per billion USD,various,various,"This is mostly focused on *scientific* benefit but going into societal benefit types of bins, so maybe?"
How Valuable Is Remotely Sensed Information? The Case of Tropical Deforestation Modelling,"Bounfour, A and Lambin, {\relax EF",1999,bounfour_valuableremotelysensedinformation_1999,include,,,cost-benefit analysis,more efficient implmentation of forestry projects and policies,dollars,hypothetical,natural resource management,
Remote Sensing Satellites and Privacy: A Framework for Policy Assessment,"Brennan, T. J. and Macauley, M. K.",1995,brennan_remotesensingsatellitesprivacy_1995,include,,,,privacy,,hypothetical,,"Honestly they don't attribute a specific value, but it's a cool paper that looks at an overlooked problem/societal value.  Check out papers that cite it for a formalization of the framework?"
Accuracy and Impact of Spatial Aids Based upon Satellite Enumeration to Improve Indoor Residual Spraying Spatial Coverage,"Bridges, Daniel J. and Pollard, Derek and Winters, Anna M. and Winters, Benjamin and Sikaala, Chadwick and Renn, Silvia and Larsen, David A.",2018,bridges_accuracyimpactspatialaids_2018,include,,,counterfactual?,improved efficiency of malaria spraying,,Google and Bing satellite imagery,health,
"Integrative Geospatial Approaches for the Comprehensive Monitoring and Assessment of Land Management Sustainability: Rationale, Potentials, and Characteristics","Buenemann, M. and Martius, C. and Jones, J. W. and Herrmann, S. M. and Klein, D. and Mulligan, M. and Reed, M. S. and Winslow, M. and {Washington-Allen}, R. A. and Lal, R. and Ojima, D.",2011,buenemann_integrativegeospatialapproachescomprehensive_2011,exclude,review,,,,,,,
Compliance with European Union Environmental Law: An Analysis of Digitalization Effects on Institutional Capacities,"Burgin, Alexander",2020,burgin_complianceeuropeanunionenvironmental_2020,include,,"""Third, inspection networks benefitted from technical advances, such as the access to satellite images, presenting new opportunities for the detection of environmental crimes, and new software programs facilitating risk-based inspections. Finally, citizens' and nongovernmental organizations' improved access to data and to justice in environmental matters strengthened their monitoring capacities.""",,,,,,"maybe not? This is about *digitalization* rather than specifically ESI data, but seems maybe appropriate?"
Securing Sustainability in Indian Agriculture through Civilian Uav: A Responsible Innovation Perspective,"Chamuah, Anjan and Singh, Rajbeer",2020,chamuah_securingsustainabilityindianagriculture_2020,include,,,stated preference/survey,"sustainability, transparency, trust, efficiency, affordability, safety, privacy",,UAV,agriculture,
Characterization of Field-Scale Soil Variation Using a Stepwise Multi-Sensor Fusion Approach and a Cost-Benefit Analysis,"Chatterjee, Sumanta and Hartemink, Alfred E. and Triantafilis, John and Desai, Ankur R. and Soldat, Doug and Zhu, Jun and Townsend, Philip A. and Zhang, Yakun and Huang, Jingyi",2021,chatterjee_characterizationfieldscalesoil_2021,exclude,data is not valued,"Cost-benefit is comparing to accuracy, not some societal benefit",,,,,,
Ground Level Lidar as a Contributing Indicator in an Environmental Protection Application,"Coman, Ciprian M. and Toma, Bogdan C. and Constantin, Mihai A. and Florescu, Adriana",2023,coman_groundlevellidarcontributing_2023,exclude,data is not valued,,,,,,,
"Testing the Water Balance Model Criteria Using Tdr Measurements, Micrometeorological Data and Satellite-Based Information","Consoli, S. and Licciardello, F. and Vanella, D. and Pasotti, L. and Villani, G. and Tomei, F.",2016,consoli_testingwaterbalancemodel_2016,exclude,data is not valued,"""The satellite-based approach provided reliable crop evapotranspiration estimates, confirming the utility of the remote sensing techniques as support for water management in agriculture.""",,,,,,
Using the Social Cost of Carbon to Value Earth Observing Systems,"Cooke, R. and Golub, A. and Wielicki, B. A. and Young, D. F. and Mlynczak, M. G. and Baize, R. R.",2017,cooke_socialcostcarbonearth_2017,include,,,cost-benefit analysis,reduced carbon,social cost of carbon,CLARREO,climate,
Contribution of Remote Sensing for Crop and Water Monitoring,"Courault, D. and Demarez, V. and Gu{\'e}rif, M. and Le Page, M. and Simonneaux, V. and Ferrant, S. and Veloso, A.",2016,courault_contributionremotesensingcrop_2016,include,,,counterfactual?,various,various,various,agriculture,note: only one or two case studies that specifically quantify benefits due to RS
High Resolution Satellite Image Orientation Models,"Crespi, M. and Fratarcangeli, F. and Giannone, F. and Pieralice, F.",2009,crespi_resolutionsatelliteimageorientation_2009,exclude,data is not valued,,,,,,,
System Modelling of Very Low Earth Orbit Satellites for Earth Observation,"Crisp, N. H. and Roberts, P. C. E. and Romano, F. and Smith, K. L. and Oiko, V. T. A. and {Sulliotti-Linner}, V and Hanessian, V and Herdrich, G. H. and {Garcia-Alminana}, D. and Kataria, D. and Seminari, S.",2021,crisp_systemmodellinglowearth_2021,exclude,esi data not used,"""In addition to the upstream benefits of reduced capital expense and a faster return on investment, lower costs and increased access to high quality observational data may also be passed to the downstream EO industry, with impact across a wide range of commercial, societal, and environmental application areas.""  But no assessment of these benefits - only cost of missions",,,,,,
Using Remote Sensing as a Support to the Implementation of the European Marine Strategy Framework Directive in Sw Portugal,"Cristina, Sonia and Icely, John and Goela, Priscila Costa and Angel DelValls, Tomas and Newton, Alice",2015,cristina_remotesensingsupportimplementation_2015,exclude,calibration/validation,"Calibration/validation of satellite data to detect an indicator (chlorophyll) toward environmental status for a Marine Strategy Framework Directive, but does not translate that into social benefit",,,,,,
Role of Satellite Remote Sensing in the Geographic Information Economics in France,"Den{\'e}gre, J.",1991,denegre_rolesatelliteremotesensing_1991,exclude,reduced cost for scientific data,,cost-benefit analysis,reduced time (costs) for analysis (include?),dollars,spot,various,
"Use of Social Networks for Outreach, Education and Training on Space Applications: Know-how and Experience of Planete Sciences Midi-Pyrenees and Cnes","Denis, Gil and Klein, Severine and Gueguen, Berengere",2014,denis_socialnetworksoutreacheducation_2014,exclude,esi data not used,"this is about the use of social networks to disseminate space content, rather than the content itself",,,,,,
Challenges and Opportunities of Digital Technology in Soil Quality and Land Management Research,"de Paul Obade}, V. and Gaya, C. and Obade, P. T.",2021,depaulobade_challengesopportunitiesdigitaltechnology_2021,exclude,data is not valued,,,,,,,
Applying Bag of Words Approach to Determine Remote Sensing Technology Acceptance among Smallholder Plantations,"Diana, S. R. and Farida, F.",2023,diana_applyingbagwordsapproach_2023,include,,,sentiment analysis,acceptance/resistance to RS by smallholders and industrial farms,sentiment,hypothetical RS,agriculture,sentiment analysis! Looks like a Sumatran version of the NRC lexicon
Possibilities of the Practical Application of Remote Sensing Data in Real Property Appraisal,"D{\k a}browski, R. and Latos, D.",2015,dabrowski_possibilitiespracticalapplicationremote_2015,exclude,data is not valued,,,,,,,
Implication of Geo-Informatics (Gis/Rs) on Agricultural Irrigation Management: The State of the Art,"Elbana, M. and Bakr, N. and Karajeh, F.",2019,elbana_implicationgeoinformaticsgis_2019,exclude,review,"""Geo-informatics implication in combination with suitable decision support systems plays a relevant role in water management in agricultural sector, especially when applying precision irrigation and farming techniques.""",,,,,,
Integrating Inland and Coastal Water Quality Data for Actionable Knowledge,"El Serafy, Ghada Y. H. and Schaeffer, Blake A. and Neely, Merrie-Beth and Spinosa, Anna and Odermatt, Daniel and Weathers, Kathleen C. and Baracchini, Theo and Bouffard, Damien and Carvalho, Laurence and Conmy, Robyn N. and De Keukelaere, Liesbeth and Hunter, Peter D. and Jamet, Cedric and Joehnk, Klaus D. and Johnston, John M. and Knudby, Anders and Minaudo, Camille and Pahlevan, Nima and Reusen, Ils and Rose, Kevin C. and Schalles, John and Tzortziou, Maria",2021,elserafy_integratinginlandcoastalwater_2021,exclude,data is not valued,"""This aims to develop and build the global capacity and utility of water quality data, products, and information to support equitable and inclusive access for water resource management, policy and decision making.""",,,,,,
Pollution Monitoring: Optimal Design of Inspection - an Economic Analysis of the Use of Satellite Information to Deter Oil Pollution,"Florens, {\relax JP} and Foucher, C",1999,florens_pollutionmonitoringoptimaldesign_1999,include,,,game theory; voi,monitoring/enforcement of oil polluting tankers,dollars,hypothetical,pollution,
Climate Data for the European Forestry Sector: From End-User Needs to Opportunities for Climate Resilience,"Fraccaroli, Cecilia and Govigli, Valentino Marini and Briers, Siebe and Cerezo, Nieves Pena and Jimenez, Jorge Paz and Romero, Maria and Lindner, Marcus and {de Arano}, Inazio Martinez",2021,fraccaroli_climatedataeuropeanforestry_2021,include,,,SWOT analysis,forestry management,various,Copernicus,forestry,
Multilayer Data and Artificial Intelligence for the Delineation of Homogeneous Management Zones in Maize Cultivation,"Gallardo-Romero}, Diego Jose and {Apolo-Apolo}, Orly Enrique and {Martinez-Guanter}, Jorge and {Perez-Ruiz}, Manuel",2023,gallardoromero_multilayerdataartificialintelligence_2023,exclude,calibration/validation,"""This leads to enhanced farm profitability, improved natural resource efficiency, and reduced environmental impact.""  But not assessed",,,,,,
Sharing Environmental Data through Geoss,"Giuliani, Gregory and Ray, Nicolas and Schwarzer, Stefan and De Bono, Andrea and Peduzzi, Pascal and Dao, Hy and Van Woerden, Jaap and Witt, Ron and Beniston, Martin and Lehmann, Anthony",2011,giuliani_sharingenvironmentaldatageoss_2011,exclude,data is not valued,"""Various United Nations projects could greatly benefit from the GEOSS approach.""",,,,,,
Crossing the (Watershed) Divide: Satellite Data and the Changing Politics of International River Basins,"Gleason, Colin J. and Hamdan, Ali N.",2017,gleason_crossingwatersheddividesatellite_2017,include,,"""For these basins we find that satellite flow rate retrievals will likely reinforce and favour state-level negotiations of water resource governance. Also, satellite flow retrievals can have the direct, concrete effect of improving hydrologic understanding of the upstream Ganges–Brahmaputra, a sorely needed advance that will positively benefit millions of Bangladeshis and affect state-level interactions between India, China, and Bangladesh.""",,water resource negotiations,,Landsat,water resource management,"This is more like a simple calibration/validation, but the ideas of how water data can affect international negotiations on water use definitely tie it to some sort of value. if not formally measured"
"Wireless Sensor Networks to Study, Monitor and Manage Cattle in Grazing Systems","Gonzalez, L. A. and {Bishop-Hurley}, G. and Henry, D. and Charmley, E.",2014,gonzalez_wirelesssensornetworksstudy_2014,exclude,esi data not used,"this is remotely-sensed info on cattle weights, which doesn't really seem like ""earth science information""",,,,,,
2d vs. 3d Change Detection Using Aerial Imagery to Support Crisis Management of Large-Scale Events,"Gstaiger, Veronika and Tian, Jiaojiao and Kiefl, Ralph and Kurz, Franz",2018,gstaiger_2d3dchangedetection_2018,exclude,calibration/validation,,,,,,,
Monitoring Water-Related Ecosystems with Earth Observation Data in Support of Sustainable Development Goal (Sdg) 6 Reporting,"Hakimdavar, Raha and Hubbard, Alfred and Policelli, Frederick and Pickens, Amy and Hansen, Matthew and Fatoyinbo, Temilola and Lagomasino, David and Pahlevan, Nima and Unninayar, Sushel and Kavvada, Argyro and Carroll, Mark and Smith, Brandon and Hurwitz, Margaret and Wood, Danielle and Uz, Stephanie Schollaert",2020,hakimdavar_monitoringwaterrelatedecosystems_2020,exclude,data is not valued,,,,,,,
Precision Farming: Technologies and Information as Risk-Reduction Tools,"Hall, F. R.",1999,hall_precisionfarmingtechnologiesinformation_1999,exclude,data is not valued,,,,,,,
Developments in Land Information Systems: Examples Demonstrating Land Resource Management Capabilities and Options,"Hallett, S. H. and Sakrabani, R. and Keay, C. A. and Hannam, J. A.",2017,hallett_developmentslandinformationsystems_2017,exclude,data is not valued,,,,,,,
"Comparing the Information Content of Coral Reef Geomorphological and Biological Habitat Maps, Amirantes Archipelago (Seychelles), Western Indian Ocean","Hamylton, S. and Andrefouet, S. and Spencer, T.",2012,hamylton_comparinginformationcontentcoral_2012,exclude,calibration/validation,"""Such maps therefore demonstrate high potential value for informing coastal management activities and conservation planning by drawing on information beyond their own thematic content and thus maximizing the return on mapping investment.""",,,,,,
Spaceborne Imaging Spectroscopy for Sustainable Agriculture: Contributions and Challenges,"Hank, Tobias B. and Berger, Katja and Bach, Heike and Clevers, Jan G. P. W. and Gitelson, Anatoly and {Zarco-Tejada}, Pablo and Mauser, Wolfram",2019,hank_spaceborneimagingspectroscopysustainable_2019,exclude,review,,,,,,,
Perspectives from Landscape Ecology Can Improve Environmental Impact Assessment,"Harker, Karly J. and Arnold, Lauren and Sutherland, Ira J. and Gergel, Sarah E.",2021,harker_perspectiveslandscapeecologyimprove_2021,exclude,review,"""Lastly, we explore the benefits of using long-term historical remote sensing products. Because these approaches are straightforward to implement using publicly available data, they provide sensible opportunities to improve EIA and enhance the monitoring of natural resource development activities in Canada and elsewhere""",,,,,,
"Gap-Free Monitoring of Annual Mangrove Forest Dynamics in ca Mau Province, Vietnamese Mekong Delta, Using the Landsat-7-8 Archives and Post-Classification Temporal Optimization","Hauser, L. T. and Binh, N. A. and Hoa, P. V. and Quan, N. H. and Timmermans, J.",2020,hauser_gapfreemonitoringannual_2020,exclude,calibration/validation,"""The study contributes to a growing body of work advocating full exploitation of temporal information in optimizing land cover classification and demonstrates its use for mangrove forest monitoring.""",,,,,,
"Mapping Crop Fractional Green Canopy Cover Using High Spatial Resolution Thermal and Optical Remote Sensing in Southern Ontario, Canada","He, Y. and Dosanjh, M. and Shang, J. and Liu, J. and Drury, C. F. and Yang, X. and Yang, J. and Dao, P. D. and Axiotis, A. and Proctor, C.",2022,he_mappingcropfractionalgreen_2022,exclude,calibration/validation,,,,,,,
To Pay or Not to Pay? Monitoring Performance and Enforcing Conditionality When Paying for Forest Conservation in Mexico,"Honey-Roses}, Jordi and {Lopez-Garcia}, Jose and {Rendon-Salinas}, Eduardo and {Peralta-Higuera}, Armando and {Galindo-Leal}, Carlos",2009,honeyroses_paypaymonitoringperformance_2009,include,,,cost-benefit analysis,forest conservation,dollars,landsat; aerial photography,forestry,"They do not do a formal value calculation but the data allow them to make decisions relating to disbursement of PES, including one non-disbursement that would not have been detected with Landsat."
Viirs Nighttime Light Data for Income Estimation at Local Level,"Ivan, Kinga and Holobaca, Iulian-Horia and Benedek, Jozsef and Torok, Ibolya",2020,ivan_viirsnighttimelightdata_2020,exclude,calibration/validation,"""When integrated in the information systems specific for smart cities, the y can serve as a support for decision-making in order to fight poverty and reduce social inequalities""",,,,,,
Formalizing a Two-Step Decision-Making Process in Land Use: Evidence from Controlling Forest Clearcutting Using Spatial Information,"Jabbour, Chady and Hoayek, Anis and Salles, Jean-Michel",2023,jabbour_formalizingstepdecisionprocess_2023,include,,"""Reducing uncertainty in a decision-making context related to forest management provides greater opportunities for improving productivity and for saving time and money. The results show that the information structure through the SDI signals has the most significant information power.""",voi,improved monitoring of clear cutting,euros,GEOSUD SDI,forestry,
Economic Valuation of Mangroves in the Niger Delta: An Interdisciplinary Approach,"James, G. K. and Adegoke, J. O. and Saba, E. and Nwilo, P. and Akinyede, J. and Osagie, S.",2010,james_economicvaluationmangrovesniger_2010,exclude,data is not valued,"""By integrating results from satellite remote sensing analysis and socioeconomic surveys, the economic value of mangroves in the Niger Delta, discounted over a 30-year period at 20% discount rate, ranges from $640–2,825ha.""",,,,,,
The Utility of Airborne Hyperspectral and Satellite Multispectral Images in Identifying Natura 2000 Non-Forest Habitats for Conservation Purposes,"Jarocinska, Anna and Kopec, Dominik and Niedzielko, Jan and Wylazlowska, Justyna and {Halladin-Dabrowska}, Anna and Charyton, Jakub and Piernik, Agnieszka and Kaminski, Dariusz",2023,jarocinska_utilityairbornehyperspectralsatellite_2023,exclude,calibration/validation,"""The HS and S2 data make it possible to create maps that provide a great deal of new knowledge about the distribution of Natura 2000 habitats, which is necessary for the management of protected areas.""  But habitat classification does not quite make it to societal benefit.",,,,,,
Rejuvenation of Agriculture in India: Cost Benefits in Using Eo Products,"Jayaraman, V. and Parihar, J. S. and Srivastava, S. K.",2008,jayaraman_rejuvenationagricultureindiacost_2008,include,,"""The cost effective role EO has played in the watershed development planning and implementation in India, including improving the livelihoods as well as natural resources assets building, is one success story worth emulating in many developing countries.""",cost-benefit analysis,productivity gains; risk reduction; livelihood improvements,"rupees, other",various,various,
Big Data Analysis Applied in Agricultural Planting Layout Optimization,"Jiang, Y. M. and Wang, T. and Zhao, H. H. and Shao, X. D. and Cui, W. H. and Huang, K. and Li, L. P.",2019,jiang_dataanalysisappliedagricultural_2019,exclude,data is not valued,"""The results based on agricultural big data analysis, such as crop selection cluster analysis, economic benefit analysis, and crop planting layout optimization, can give suggests to farmers plant suitable crops on right lands, in right time. Thus, it can help farmers stabilize their revenue and minimize the risk by choosing the right crops and planting strategy in accordance with the local conditions.""",,,,,,
A Review of Approaches for Automated Habitat Mapping and Their Potential Added Value for Biodiversity Monitoring Projects,"Jongman, R. H. G. and M{\""u}cher, C. A. and Bunce, R. G. H. and Lang, M. and Sepp, K.",2019,jongman_reviewapproachesautomatedhabitat_2019,exclude,review,,,,,,,
Copernicus Program,"Jutz, S. and {Milagro-P{\'e}rez}, M. P.",2017,jutz_copernicusprogram_2017,exclude,data is not valued,,,,,,,
Applications of Geospatial Technologies for Precision Agriculture,"Khan, M. R. and Crabbe, R. A. and Malik, N. A. and O'Meara, L.",2023,khan_applicationsgeospatialtechnologiesprecision_2023,exclude,review,,,,,,,
An Observing System Simulation Experiment Framework for Air Quality Forecasts in Northeast Asia: A Case Study Utilizing Virtual Geostationary Environment Monitoring Spectrometer and Surface Monitored Aerosol Data,"Kim, Hyeon-Kook and Lee, Seunghee and Bae, Kang-Ho and Jeon, Kwonho and Lee, Myong-In and Song, Chang-Keun",2022,kim_observingsystemsimulationexperiment_2022,exclude,calibration/validation,,,,,,,
Remote Sensing of Wetlands: Case Studies Comparing Practical Techniques,"Klemas, V.",2011,klemas_remotesensingwetlandsstudies_2011,exclude,data is not valued,"""The results of the case studies show that analysis of satellite and aircraft imagery, combined with on-the-ground observations, allows researchers to effectively determine long-term trends and short-term changes of wetland vegetation and hydrology.""  Scientific value but not translated to societal benefit",,,,,,
Early Detection and Monitoring Droughts from Noaa Environmental Satellites,"Kogan, F. and Guo, W.",2011,kogan_detectionmonitoringdroughtsnoaa_2011,exclude,calibration/validation,,,,,,,
On Timeliness and Accuracy of Wildfire Detection by the Goes Wf-Abba Algorithm over California during the 2006 Fire Season,"Koltunov, Alexander and Ustin, Susan L. and Prins, Elaine M.",2012,koltunov_timelinessaccuracywildfiredetection_2012,exclude,calibration/validation,,,,,,,
Supporting Management of Refugee Streams by Earth Observation and Geoinformation,"Komp, Klaus-Ulrich and Mueterthies, Andreas",2016,komp_supportingmanagementrefugeestreams_2016,exclude,data is not valued,"""The societal benefits of EO/GIS are no longer just potential possibilities, but actual results in real political, administrative and humanitarian day to day reality.""  But leaves them as conceptual/assertions",,,,,,Interesting ideas
Assessing the Impact of L-Band Observations on Drought and Flood Risk Estimation: A Decision-Theoretic Approach in an Osse Environment,"Kumar, Sujay V. and Harrison, Kenneth W. and {Peters-Lidard}, Christa D. and Santanello, Jr., Joseph A. and Kirschbaum, Dalia",2014,kumar_assessingimpactbandobservations_2014,include,,,C-L model; voi,hypothetical loss,hypothetical,NASA Land Information System,drought and flood management,
Open-Source Satellite Data and Gis for Land Resource Mapping,"Kumar, Nirmal and Singh, S. K. and Mishra, V. N. and Reddy, G. P. Obi and Bajpai, R. K.",2018,kumar_sourcesatellitedatagis_2018,exclude,review,,,,,,,
Resilience Aspects in the Sensor Web Infrastructure for Natural Disaster Monitoring and Risk Assessment Based on Earth Observation Data,"Kussul, Nataliia and Skakun, Sergii and Shelestov, Andrii Yu and Kussul, Olga and Yailymov, Bohdan",2014,kussul_resilienceaspectssensorweb_2014,exclude,esi data not used,Focuses on resilience of the sensor web architecture of delivering ESI,,,,,,
Ocean Colour Opportunities from Meteosat Second and Third Generation Geostationary Platforms,"Kwiatkowska, Ewa J. and Ruddick, Kevin and Ramon, Didier and Vanhellemont, Quinten and Brockmann, Carsten and Lebreton, Carole and Bonekamp, Hans G.",2016,kwiatkowska_oceancolouropportunitiesmeteosat_2016,exclude,data is not valued,"""A survey of user requirements and a study of technical capabilities and limitations of the SEVIRI instruments are the basis for this development and are described in this paper.""  But they're not administering the survey; otherwise, this is basically a review",,,,,,
Estimating the Societal Benefits of Satellite Instruments: Application to a Break-Even Analysis of the Geoxo Hyperspectral Ir Sounder,"Lauer, Christopher and Conran, Joseph and Adkins, Jeffery",2021,lauer_estimatingsocietalbenefitssatellite_2021,include,,,voi,avoided costs; various,dollars,GeoXO,weather,this might be in SBR already
"Earth Observation for Citizen Science Validation, or Citizen Science for Earth Observation Validation? The Role of Quality Assurance of Volunteered Observations","Leibovici, Didier G. and Williams, Jamie and Rosser, Julian F. and Hodges, Crona and Chapman, Colin and Higgins, Chris and Jackson, Mike J.",2017,leibovici_earthobservationcitizenscience_2017,exclude,data is not valued,"One might argue that citizen science in itself is a societal benefit? But not going to make that leap here - this is still scientific benefits, not societal",,,,,,
Optimal Decision-Making Model of Spatial Sampling for Survey of China's Land with Remotely Sensed Data,"Li, {\relax LF} and Wang, {\relax JF} and Liu, {\relax JY",2005,li_optimaldecisionmodelspatial_2005,exclude,data is not valued,,,,,,,
