title,topic,prob
A Census of Fishes and Everything They Eat: How the Census of Marine Life Advanced Fisheries Science,topic  42,0.427
A Century of French Railways: The Value of Remote Sensing and VGI in the Fusion of Historical Data,topic  8,0.174
A Century of French Railways: The Value of Remote Sensing and VGI in the Fusion of Historical Data,topic  14,0.292
A Century of French Railways: The Value of Remote Sensing and VGI in the Fusion of Historical Data,topic  19,0.386
A Century of French Railways: The Value of Remote Sensing and VGI in the Fusion of Historical Data,topic  23,0.144
A CitSci Approach for Rapid Earthquake Intensity Mapping: A Case Study from Istanbul (Turkey),topic  14,0.231
A CitSci Approach for Rapid Earthquake Intensity Mapping: A Case Study from Istanbul (Turkey),topic  39,0.737
A Combined Method for Preparation of Landslide Susceptibility Map in Izmir (Turkiye),topic  19,0.955
A Community-Driven Workflow Recommendations and Reuse Infrastructure,topic  20,0.266
A Community-Driven Workflow Recommendations and Reuse Infrastructure,topic  22,0.725
A Comparison of Fire Weather Indices with MODIS Fire Days for the Natural Regions of Alaska,topic  43,0.519
A Comparison of Fire Weather Indices with MODIS Fire Days for the Natural Regions of Alaska,topic  44,0.444
A Conceptual Framework for Assessing the Benefits of a Global Earth Observation System of Systems,topic  20,0.465
A Conceptual Framework for Assessing the Benefits of a Global Earth Observation System of Systems,topic  21,0.528
A Contour-Directional Detection for Deriving Terrace Ridge From Open Source Images and Digital Elevation Models,topic  28,0.8
A Contour-Directional Detection for Deriving Terrace Ridge From Open Source Images and Digital Elevation Models,topic  33,0.167
A Data Fusion Modeling Framework for Retrieval of Land Surface Temperature from Landsat-8 and Modis Data,topic  5,0.149
A Data Fusion Modeling Framework for Retrieval of Land Surface Temperature from Landsat-8 and Modis Data,topic  10,0.106
A Data Fusion Modeling Framework for Retrieval of Land Surface Temperature from Landsat-8 and Modis Data,topic  15,0.228
A Data Fusion Modeling Framework for Retrieval of Land Surface Temperature from Landsat-8 and Modis Data,topic  49,0.446
A Decision Support Tool for Green Infrastructure Planning in the Face of Rapid Urbanization,topic  16,0.529
A Decision Support Tool for Green Infrastructure Planning in the Face of Rapid Urbanization,topic  20,0.118
A Decision Support Tool for Green Infrastructure Planning in the Face of Rapid Urbanization,topic  21,0.112
A Decision Support Tool for Green Infrastructure Planning in the Face of Rapid Urbanization,topic  42,0.147
A Decision Support Tool for Green Infrastructure Planning in the Face of Rapid Urbanization,topic  49,0.087
A Deep Learning Approach to Increase the Value of Satellite Data for PM<sub>2.5</sub> Monitoring in China,topic  7,0.874
A Deep Learning Approach to Increase the Value of Satellite Data for PM<sub>2.5</sub> Monitoring in China,topic  28,0.074
A Dilemma between Flood and Drought Management: Case Study of the Upper Chao Phraya Flood-Prone Area in Thailand,topic  29,0.596
A Dilemma between Flood and Drought Management: Case Study of the Upper Chao Phraya Flood-Prone Area in Thailand,topic  31,0.062
A Dilemma between Flood and Drought Management: Case Study of the Upper Chao Phraya Flood-Prone Area in Thailand,topic  39,0.255
A Dilemma between Flood and Drought Management: Case Study of the Upper Chao Phraya Flood-Prone Area in Thailand,topic  41,0.08
A Diversity Index Model based on Spatial Analysis to Estimate High Conservation Value in a Mining Area,topic  3,0.085
A Diversity Index Model based on Spatial Analysis to Estimate High Conservation Value in a Mining Area,topic  24,0.184
A Diversity Index Model based on Spatial Analysis to Estimate High Conservation Value in a Mining Area,topic  42,0.107
A Diversity Index Model based on Spatial Analysis to Estimate High Conservation Value in a Mining Area,topic  45,0.231
A Diversity Index Model based on Spatial Analysis to Estimate High Conservation Value in a Mining Area,topic  50,0.313
A EUROPEAN HYBRID HIGH PERFORMANCE SATELLITE-AIS SYSTEM,topic  1,0.66
A EUROPEAN HYBRID HIGH PERFORMANCE SATELLITE-AIS SYSTEM,topic  18,0.3
"A Framework for Assessing Readiness of Satellite Assembly, Integration and Testing Organization",topic  20,0.853
"A Framework for Assessing Readiness of Satellite Assembly, Integration and Testing Organization",topic  43,0.142
"A Framework for the Development, Design and Implementation of a Sustained Arctic Ocean Observing System",topic  20,0.577
"A Framework for the Development, Design and Implementation of a Sustained Arctic Ocean Observing System",topic  21,0.403
A GIS based flood vulnerability modelling of Anambra State using an integrated IVFRN-DEMATEL-ANP model,topic  14,0.092
A GIS based flood vulnerability modelling of Anambra State using an integrated IVFRN-DEMATEL-ANP model,topic  19,0.259
A GIS based flood vulnerability modelling of Anambra State using an integrated IVFRN-DEMATEL-ANP model,topic  39,0.6
A GIS-based methodology for sustainable farming planning: Assessment of land use/cover changes and carbon dynamics at farm level,topic  30,0.777
A GIS-based methodology for sustainable farming planning: Assessment of land use/cover changes and carbon dynamics at farm level,topic  48,0.216
"A GIS-based soil erosion prediction using the Revised Universal Soil Loss Equation (RUSLE) (Lebna watershed, Cap Bon, Tunisia)",topic  33,0.994
"A GIS-based spatially distributed crop water demand modelling for Pullambadi canal command area in lower Cauvery basin, Tamil Nadu, India",topic  10,0.612
"A GIS-based spatially distributed crop water demand modelling for Pullambadi canal command area in lower Cauvery basin, Tamil Nadu, India",topic  27,0.117
"A GIS-based spatially distributed crop water demand modelling for Pullambadi canal command area in lower Cauvery basin, Tamil Nadu, India",topic  41,0.2
A Geospatial Database for Wind and Solar Energy Applications: The Kingdom of Bahrain Study Case,topic  12,0.076
A Geospatial Database for Wind and Solar Energy Applications: The Kingdom of Bahrain Study Case,topic  13,0.068
A Geospatial Database for Wind and Solar Energy Applications: The Kingdom of Bahrain Study Case,topic  14,0.125
A Geospatial Database for Wind and Solar Energy Applications: The Kingdom of Bahrain Study Case,topic  19,0.139
A Geospatial Database for Wind and Solar Energy Applications: The Kingdom of Bahrain Study Case,topic  27,0.458
A Geospatial Database for Wind and Solar Energy Applications: The Kingdom of Bahrain Study Case,topic  49,0.062
A Global Implementation of Single- and Dual-Source Surface Energy Balance Models for Estimating Actual Evapotranspiration at 30-m Resolution Using Google Earth Engine,topic  10,0.649
A Global Implementation of Single- and Dual-Source Surface Energy Balance Models for Estimating Actual Evapotranspiration at 30-m Resolution Using Google Earth Engine,topic  37,0.302
A High-Precision Water Body Extraction Method Based on Improved Lightweight U-Net,topic  28,0.891
A High-Precision Water Body Extraction Method Based on Improved Lightweight U-Net,topic  36,0.101
A Hybrid Computational Intelligence Approach to Groundwater Spring Potential Mapping,topic  10,0.116
A Hybrid Computational Intelligence Approach to Groundwater Spring Potential Mapping,topic  13,0.082
A Hybrid Computational Intelligence Approach to Groundwater Spring Potential Mapping,topic  19,0.748
"A LANDSAT MSS-derived fire history of Kakadu National Park, monsoonal northern Australia, 1980-94: Seasonal extent, frequency and patchiness",topic  31,0.913
"A LANDSAT MSS-derived fire history of Kakadu National Park, monsoonal northern Australia, 1980-94: Seasonal extent, frequency and patchiness",topic  44,0.083
"A METHOD FOR LANDSLIDE SUSCEPTIBILITY ASSESSMENT INTEGRATING ROUGH SET AND DECISION TREE: A CASE STUDY IN BEICHUAN, CHINA",topic  19,0.989
A MODEL FOR PROGRAMMING DESIGN INTERVENTIONS AIMED AT REDUCING THERMAL DISCOMFORT IN URBAN OPEN SPACES: A Case Study on the Politecnico di Milano Campus,topic  13,0.067
A MODEL FOR PROGRAMMING DESIGN INTERVENTIONS AIMED AT REDUCING THERMAL DISCOMFORT IN URBAN OPEN SPACES: A Case Study on the Politecnico di Milano Campus,topic  16,0.562
A MODEL FOR PROGRAMMING DESIGN INTERVENTIONS AIMED AT REDUCING THERMAL DISCOMFORT IN URBAN OPEN SPACES: A Case Study on the Politecnico di Milano Campus,topic  21,0.076
A MODEL FOR PROGRAMMING DESIGN INTERVENTIONS AIMED AT REDUCING THERMAL DISCOMFORT IN URBAN OPEN SPACES: A Case Study on the Politecnico di Milano Campus,topic  26,0.069
A MODEL FOR PROGRAMMING DESIGN INTERVENTIONS AIMED AT REDUCING THERMAL DISCOMFORT IN URBAN OPEN SPACES: A Case Study on the Politecnico di Milano Campus,topic  37,0.117
A MODIS-based automated flood monitoring system for southeast asia,topic  20,0.135
A MODIS-based automated flood monitoring system for southeast asia,topic  29,0.124
A MODIS-based automated flood monitoring system for southeast asia,topic  39,0.418
A MODIS-based automated flood monitoring system for southeast asia,topic  49,0.246
A Machine Learning Framework for Predicting and Understanding the Canadian Drought Monitor,topic  1,0.47
A Machine Learning Framework for Predicting and Understanding the Canadian Drought Monitor,topic  22,0.23
A Machine Learning Framework for Predicting and Understanding the Canadian Drought Monitor,topic  39,0.215
A Merging Approach for Urban Boundary Correction Acquired By Remote Sensing Images,topic  16,0.302
A Merging Approach for Urban Boundary Correction Acquired By Remote Sensing Images,topic  22,0.175
A Merging Approach for Urban Boundary Correction Acquired By Remote Sensing Images,topic  28,0.516
A Method for Ground Filtering of Laser Point Cloud and Extraction of Tunnel Wall and Target Sphere,topic  46,0.998
A Multi-Modal Fusion Network Guided by Feature Co-Occurrence for Urban Region Function Recognition,topic  28,0.948
"A Multidisciplinary Approach to Evaluate the Environmental Impacts of Hydrocarbon Production in Khuzestan Province, Iran",topic  8,0.112
"A Multidisciplinary Approach to Evaluate the Environmental Impacts of Hydrocarbon Production in Khuzestan Province, Iran",topic  9,0.657
"A Multidisciplinary Approach to Evaluate the Environmental Impacts of Hydrocarbon Production in Khuzestan Province, Iran",topic  39,0.078
"A Multidisciplinary Approach to Evaluate the Environmental Impacts of Hydrocarbon Production in Khuzestan Province, Iran",topic  49,0.106
A Multiscalar Approach to Mapping Marginal Agricultural Land: Smallholder Agriculture in Malawi,topic  14,0.169
A Multiscalar Approach to Mapping Marginal Agricultural Land: Smallholder Agriculture in Malawi,topic  15,0.105
A Multiscalar Approach to Mapping Marginal Agricultural Land: Smallholder Agriculture in Malawi,topic  41,0.174
A Multiscalar Approach to Mapping Marginal Agricultural Land: Smallholder Agriculture in Malawi,topic  48,0.497
A NOVEL APPROACH TO QUANTIFYING THE DEGREE OF ANTHROPOGENIC SURFACE TRANSFORMATION - THE CONCEPT OF `HEMEROMORPHY',topic  17,0.752
A NOVEL APPROACH TO QUANTIFYING THE DEGREE OF ANTHROPOGENIC SURFACE TRANSFORMATION - THE CONCEPT OF `HEMEROMORPHY',topic  48,0.165
"A NOVEL STUDY OF THE INTERRELATIONSHIP OF SEASONALITY, SATELLITE DATA AND WEED COMPOSITIONAL CHANGES OF THE AGRO-ECOLOGICAL SYSTEM OF GUJRAT, PAKISTAN",topic  24,0.114
"A NOVEL STUDY OF THE INTERRELATIONSHIP OF SEASONALITY, SATELLITE DATA AND WEED COMPOSITIONAL CHANGES OF THE AGRO-ECOLOGICAL SYSTEM OF GUJRAT, PAKISTAN",topic  34,0.383
"A NOVEL STUDY OF THE INTERRELATIONSHIP OF SEASONALITY, SATELLITE DATA AND WEED COMPOSITIONAL CHANGES OF THE AGRO-ECOLOGICAL SYSTEM OF GUJRAT, PAKISTAN",topic  41,0.296
"A NOVEL STUDY OF THE INTERRELATIONSHIP OF SEASONALITY, SATELLITE DATA AND WEED COMPOSITIONAL CHANGES OF THE AGRO-ECOLOGICAL SYSTEM OF GUJRAT, PAKISTAN",topic  50,0.191
A New Deep-Learning-Based Approach for Earthquake-Triggered Landslide Detection From Single-Temporal RapidEye Satellite Imagery,topic  19,0.136
A New Deep-Learning-Based Approach for Earthquake-Triggered Landslide Detection From Single-Temporal RapidEye Satellite Imagery,topic  28,0.636
A New Deep-Learning-Based Approach for Earthquake-Triggered Landslide Detection From Single-Temporal RapidEye Satellite Imagery,topic  39,0.125
A New Deep-Learning-Based Approach for Earthquake-Triggered Landslide Detection From Single-Temporal RapidEye Satellite Imagery,topic  49,0.097
A New Framework of 17 Hydrological Ecosystem Services (HESS17) for Supporting River Basin Planning and Environmental Monitoring,topic  10,0.222
A New Framework of 17 Hydrological Ecosystem Services (HESS17) for Supporting River Basin Planning and Environmental Monitoring,topic  20,0.096
A New Framework of 17 Hydrological Ecosystem Services (HESS17) for Supporting River Basin Planning and Environmental Monitoring,topic  29,0.09
A New Framework of 17 Hydrological Ecosystem Services (HESS17) for Supporting River Basin Planning and Environmental Monitoring,topic  30,0.496
A New Framework of 17 Hydrological Ecosystem Services (HESS17) for Supporting River Basin Planning and Environmental Monitoring,topic  33,0.079
A Novel Approach to Capacity Building for Security Applications,topic  5,0.305
A Novel Approach to Capacity Building for Security Applications,topic  20,0.121
A Novel Approach to Capacity Building for Security Applications,topic  22,0.378
A Novel Approach to Capacity Building for Security Applications,topic  39,0.171
A Novel Approach to Using Seabed Geomorphology as a Predictor of Habitat Use in Highly Mobile Marine Predators: Implications for Ecology and Conservation,topic  26,0.133
A Novel Approach to Using Seabed Geomorphology as a Predictor of Habitat Use in Highly Mobile Marine Predators: Implications for Ecology and Conservation,topic  42,0.863
A Novel Deep Learning Based Model for Tropical Intensity Estimation and Post-Disaster Management of Hurricanes,topic  10,0.074
A Novel Deep Learning Based Model for Tropical Intensity Estimation and Post-Disaster Management of Hurricanes,topic  28,0.468
A Novel Deep Learning Based Model for Tropical Intensity Estimation and Post-Disaster Management of Hurricanes,topic  39,0.454
A PLSR model to predict soil salinity using Sentinel-2 MSI data,topic  31,0.437
A PLSR model to predict soil salinity using Sentinel-2 MSI data,topic  33,0.128
A PLSR model to predict soil salinity using Sentinel-2 MSI data,topic  34,0.163
A PLSR model to predict soil salinity using Sentinel-2 MSI data,topic  45,0.264
A Phenology-Based Method for Monitoring Woody and Herbaceous Vegetation in Mediterranean Forests from NDVI Time Series,topic  24,0.728
A Phenology-Based Method for Monitoring Woody and Herbaceous Vegetation in Mediterranean Forests from NDVI Time Series,topic  38,0.073
A Phenology-Based Method for Monitoring Woody and Herbaceous Vegetation in Mediterranean Forests from NDVI Time Series,topic  49,0.098
A Phenology-Based Method for Monitoring Woody and Herbaceous Vegetation in Mediterranean Forests from NDVI Time Series,topic  50,0.063
A Physico-Economic Model of Low Earth Orbit Management,topic  4,0.733
A Physico-Economic Model of Low Earth Orbit Management,topic  27,0.222
A Prediction Model of Maize Field Yield Based on the Fusion of Multitemporal and Multimodal UAV Data: A Case Study in Northeast China,topic  10,0.326
A Prediction Model of Maize Field Yield Based on the Fusion of Multitemporal and Multimodal UAV Data: A Case Study in Northeast China,topic  24,0.119
A Prediction Model of Maize Field Yield Based on the Fusion of Multitemporal and Multimodal UAV Data: A Case Study in Northeast China,topic  28,0.201
A Prediction Model of Maize Field Yield Based on the Fusion of Multitemporal and Multimodal UAV Data: A Case Study in Northeast China,topic  41,0.246
A Proposal for a Forest Digital Twin Framework and Its Perspectives,topic  14,0.119
A Proposal for a Forest Digital Twin Framework and Its Perspectives,topic  21,0.136
A Proposal for a Forest Digital Twin Framework and Its Perspectives,topic  22,0.14
A Proposal for a Forest Digital Twin Framework and Its Perspectives,topic  32,0.097
A Proposal for a Forest Digital Twin Framework and Its Perspectives,topic  38,0.143
A Proposal for a Forest Digital Twin Framework and Its Perspectives,topic  42,0.36
A Remote-Sensing Ecological Index Approach for Restoration Assessment of Rare-Earth Elements Mining,topic  11,0.967
A Restitution Study for the Plans of a Group of Traditional Erzurum Houses in Ibrahim Pasa District,topic  8,0.103
A Restitution Study for the Plans of a Group of Traditional Erzurum Houses in Ibrahim Pasa District,topic  27,0.876
A Review of Crop Classification Using Satellite-Based Polarimetric SAR Imagery,topic  3,0.093
A Review of Crop Classification Using Satellite-Based Polarimetric SAR Imagery,topic  28,0.632
A Review of Crop Classification Using Satellite-Based Polarimetric SAR Imagery,topic  41,0.194
A Review of Irrigation Information Retrievals from Space and Their Utility for Users,topic  10,0.465
A Review of Irrigation Information Retrievals from Space and Their Utility for Users,topic  14,0.109
A Review of Irrigation Information Retrievals from Space and Their Utility for Users,topic  20,0.276
A Review of Irrigation Information Retrievals from Space and Their Utility for Users,topic  29,0.14
A Review of the Tools Used for Marine Monitoring in the UK: Combining Historic and Contemporary Methods with Modeling and Socioeconomics to Fulfill Legislative Needs and Scientific Ambitions,topic  3,0.085
A Review of the Tools Used for Marine Monitoring in the UK: Combining Historic and Contemporary Methods with Modeling and Socioeconomics to Fulfill Legislative Needs and Scientific Ambitions,topic  22,0.675
A Review of the Tools Used for Marine Monitoring in the UK: Combining Historic and Contemporary Methods with Modeling and Socioeconomics to Fulfill Legislative Needs and Scientific Ambitions,topic  42,0.231
A Robust Technique for Mapping Vegetation Condition Across a Major River System,topic  19,0.207
A Robust Technique for Mapping Vegetation Condition Across a Major River System,topic  26,0.116
A Robust Technique for Mapping Vegetation Condition Across a Major River System,topic  29,0.16
A Robust Technique for Mapping Vegetation Condition Across a Major River System,topic  45,0.209
A Robust Technique for Mapping Vegetation Condition Across a Major River System,topic  50,0.302
A SUCCESSFUL PRACTICAL EXPERIENCE WITH DEDICATED GEOSTATIONARY OPERATIONAL ENVIRONMENTAL SATELLITES <i>GOES-10</i> AND-<i>12</i> SUPPORTING BRAZIL,topic  5,0.751
A SUCCESSFUL PRACTICAL EXPERIENCE WITH DEDICATED GEOSTATIONARY OPERATIONAL ENVIRONMENTAL SATELLITES <i>GOES-10</i> AND-<i>12</i> SUPPORTING BRAZIL,topic  20,0.178
A Satellite Infrastructure for Health Early Warning in Post-Disaster Health Management,topic  18,0.095
A Satellite Infrastructure for Health Early Warning in Post-Disaster Health Management,topic  20,0.221
A Satellite Infrastructure for Health Early Warning in Post-Disaster Health Management,topic  23,0.398
A Satellite Infrastructure for Health Early Warning in Post-Disaster Health Management,topic  39,0.232
A Satellite-Based Assessment of the Relative Contribution of Hydroclimatic Variables on Vegetation Growth in Global Agricultural and Nonagricultural Regions,topic  15,0.745
A Satellite-Based Assessment of the Relative Contribution of Hydroclimatic Variables on Vegetation Growth in Global Agricultural and Nonagricultural Regions,topic  24,0.115
A Satellite-Based Assessment of the Relative Contribution of Hydroclimatic Variables on Vegetation Growth in Global Agricultural and Nonagricultural Regions,topic  41,0.092
A Simple Enhanced Water Index (EWI) for Percent Surface Water Estimation Using Landsat Data,topic  10,0.179
A Simple Enhanced Water Index (EWI) for Percent Surface Water Estimation Using Landsat Data,topic  11,0.146
A Simple Enhanced Water Index (EWI) for Percent Surface Water Estimation Using Landsat Data,topic  28,0.064
A Simple Enhanced Water Index (EWI) for Percent Surface Water Estimation Using Landsat Data,topic  29,0.106
A Simple Enhanced Water Index (EWI) for Percent Surface Water Estimation Using Landsat Data,topic  36,0.33
A Simple Enhanced Water Index (EWI) for Percent Surface Water Estimation Using Landsat Data,topic  49,0.14
A Simple Method to Estimate Weed Control Threshold by Using RGB Images from Drones,topic  10,0.32
A Simple Method to Estimate Weed Control Threshold by Using RGB Images from Drones,topic  14,0.102
A Simple Method to Estimate Weed Control Threshold by Using RGB Images from Drones,topic  28,0.447
A Simple Method to Estimate Weed Control Threshold by Using RGB Images from Drones,topic  41,0.074
A Simple Process-Based Snowmelt Routine to Model Spatially Distributed Snow Depth and Snowmelt in the SWAT Model,topic  26,0.298
A Simple Process-Based Snowmelt Routine to Model Spatially Distributed Snow Depth and Snowmelt in the SWAT Model,topic  33,0.163
A Simple Process-Based Snowmelt Routine to Model Spatially Distributed Snow Depth and Snowmelt in the SWAT Model,topic  47,0.506
A Study of Autonomous Small Satellite Constellations for Disaster Management and Deep Space Strategy,topic  4,0.224
A Study of Autonomous Small Satellite Constellations for Disaster Management and Deep Space Strategy,topic  18,0.692
A Study of Autonomous Small Satellite Constellations for Disaster Management and Deep Space Strategy,topic  20,0.077
A Study of Defense Applications of Space Solar Power,topic  1,0.383
A Study of Defense Applications of Space Solar Power,topic  4,0.407
A Study of Defense Applications of Space Solar Power,topic  12,0.202
A Study on Domestic Applicability for the Korean Cosmic-Ray Soil Moisture Observing System,topic  4,0.077
A Study on Domestic Applicability for the Korean Cosmic-Ray Soil Moisture Observing System,topic  34,0.532
A Study on Domestic Applicability for the Korean Cosmic-Ray Soil Moisture Observing System,topic  47,0.359
A Survey of Geomatics Solutions for the Rapid Mapping of Natural Hazards,topic  14,0.705
A Survey of Geomatics Solutions for the Rapid Mapping of Natural Hazards,topic  39,0.233
"A Systematic Review of Disaster Management Systems: Approaches, Challenges, and Future Directions",topic  14,0.376
"A Systematic Review of Disaster Management Systems: Approaches, Challenges, and Future Directions",topic  22,0.236
"A Systematic Review of Disaster Management Systems: Approaches, Challenges, and Future Directions",topic  39,0.344
"A Two-Stage Seismic Damage Assessment Method for Small, Dense, and Imbalanced Buildings in Remote Sensing Images",topic  13,0.113
"A Two-Stage Seismic Damage Assessment Method for Small, Dense, and Imbalanced Buildings in Remote Sensing Images",topic  28,0.686
"A Two-Stage Seismic Damage Assessment Method for Small, Dense, and Imbalanced Buildings in Remote Sensing Images",topic  39,0.196
A Unified Multi-Purpose Calibration Site for Aerial and High Resolution Satellite Sensors,topic  5,0.11
A Unified Multi-Purpose Calibration Site for Aerial and High Resolution Satellite Sensors,topic  18,0.13
A Unified Multi-Purpose Calibration Site for Aerial and High Resolution Satellite Sensors,topic  31,0.165
A Unified Multi-Purpose Calibration Site for Aerial and High Resolution Satellite Sensors,topic  37,0.123
A Unified Multi-Purpose Calibration Site for Aerial and High Resolution Satellite Sensors,topic  49,0.432
A Visualization Tool for Flood Dynamics Monitoring Using a Graph-Based Approach,topic  36,0.084
A Visualization Tool for Flood Dynamics Monitoring Using a Graph-Based Approach,topic  39,0.322
A Visualization Tool for Flood Dynamics Monitoring Using a Graph-Based Approach,topic  49,0.511
A Workflow Model for Earth Observation Sensor Webs,topic  14,0.294
A Workflow Model for Earth Observation Sensor Webs,topic  20,0.116
A Workflow Model for Earth Observation Sensor Webs,topic  22,0.579
A XGBoost-Based Downscaling-Calibration Scheme for Extreme Precipitation Events,topic  10,0.553
A XGBoost-Based Downscaling-Calibration Scheme for Extreme Precipitation Events,topic  39,0.116
A XGBoost-Based Downscaling-Calibration Scheme for Extreme Precipitation Events,topic  47,0.325
A biomass map of the Brazilian Amazon from multisource remote sensing,topic  30,0.093
A biomass map of the Brazilian Amazon from multisource remote sensing,topic  32,0.11
A biomass map of the Brazilian Amazon from multisource remote sensing,topic  37,0.052
A biomass map of the Brazilian Amazon from multisource remote sensing,topic  38,0.172
