title,author,year,pdf_out,csv_out
Combined Use of Local and Global Hydro Meteorological Data with Hydrological Models for Water Resources Management in the Magdalena-Cauca Macro Basin - Colombia,"Rodriguez, Erasmo and Sanchez, Ines and Duque, Nicolas and Arboleda, Pedro and Vega, Carolina and Zamora, David and Lopez, Patricia and Kaune, Alexander and Werner, Micha and Garcia, Camila and Burke, Sophia",2020,_data/5b_sample_1000/pdf/rodriguez_2020_combined_use_of_local.pdf,_data/5b_sample_1000/csv/rodriguez_2020_combined_use_of_local.csv
The Value of Remotely Sensed vs. Field-surveyed Habitat Structure for Predicting Bird Abundance: A Case Study in Traditional Orchards,"Chaparro, Laura and Schmieder, Klaus and Schurr, Frank M.",2022,_data/5b_sample_1000/pdf/chaparro_2022_the_value_of_remotely.pdf,_data/5b_sample_1000/csv/chaparro_2022_the_value_of_remotely.csv
Diagnosing Irrigation Performance and Water Productivity through Satellite Remote Sensing and Secondary Data in a Large Irrigation System of Pakistan,"Ahmad, M. D. and Turral, H. and Nazeer, A.",2009,_data/5b_sample_1000/pdf/ahmad_2009_diagnosing_irrigation_performance_and.pdf,_data/5b_sample_1000/csv/ahmad_2009_diagnosing_irrigation_performance_and.csv
Grassland Wildfires in the Southern Great Plains: Monitoring Ecological Impacts and Recovery,"Steiner, Jean L. and Wetter, Jeffrey and Robertson, Shelby and Teet, Stephen and Wang, Jie and Wu, Xiaocui and Zhou, Yuting and Brown, David and Xiao, Xiangming",2020,_data/5b_sample_1000/pdf/steiner_2020_grassland_wildfires_in_the.pdf,_data/5b_sample_1000/csv/steiner_2020_grassland_wildfires_in_the.csv
Three Most Widely Used Gnss-Based Shoreline Monitoring Methods to Support Integrated Coastal Zone Management Policies,"Goncalves, R. M. and Awange, J. L.",2017,_data/5b_sample_1000/pdf/goncalves_2017_three_most_widely_used.pdf,_data/5b_sample_1000/csv/goncalves_2017_three_most_widely_used.csv
Spectral Matching Based on Discrete Particle Swarm Optimization: A New Method for Terrestrial Water Body Extraction Using Multi-Temporal Landsat 8 Images,"Jia, Kai and Jiang, Weiguo and Li, Jing and Tang, Zhenghong",2018,_data/5b_sample_1000/pdf/jia_2018_spectral_matching_based_on.pdf,_data/5b_sample_1000/csv/jia_2018_spectral_matching_based_on.csv
"Value of Insar for Monitoring Land Subsidence to Support Water Management in the San Joaquin Valley, California","Jones, Jeanine and Jones, Cathleen E. and Bekaert, David P. S.",2022,_data/5b_sample_1000/pdf/jones_2022_value_of_insar_for.pdf,_data/5b_sample_1000/csv/jones_2022_value_of_insar_for.csv
Is Acoustic Tracking Appropriate for Air-Breathing Marine Animals? Dugongs as a Case Study,"Zeh, Daniel R. and Heupel, Michelle R. and Limpus, Colin J. and Hamann, Mark and Fuentes, Mariana M. P. B. and Babcock, Russel C. and Pillans, Richard D. and Townsend, Kathy A. and Marsh, Helene",2015,_data/5b_sample_1000/pdf/zeh_2015_is_acoustic_tracking_appropriate.pdf,_data/5b_sample_1000/csv/zeh_2015_is_acoustic_tracking_appropriate.csv
"Characterizing Off-Highway Road Use with Remote-Sensing, Social Media and Crowd-Sourced Data: An Application to Grizzly Bear (Ursus Arctos) Habitat","Kearney, Sean P. and Larsen, Terrence A. and Goodbody, Tristan R. H. and Coops, Nicholas C. and Stenhouse, Gordon B.",2021,_data/5b_sample_1000/pdf/kearney_2021_characterizing_off_highway_road.pdf,_data/5b_sample_1000/csv/kearney_2021_characterizing_off_highway_road.csv
Dynamic Partitioning of Tropical Indian Ocean Surface Waters Using Ocean Colour Data - Management and Modelling Applications,"Schwarz, Jill N.",2020,_data/5b_sample_1000/pdf/schwarz_2020_dynamic_partitioning_of_tropical.pdf,_data/5b_sample_1000/csv/schwarz_2020_dynamic_partitioning_of_tropical.csv
"Mapping Daily Evapotranspiration at Field Scale Using the Harmonized Landsat and Sentinel-2 Dataset, with Sharpened Viirs as a Sentinel-2 Thermal Proxy","Xue, Jie and Anderson, Martha C. and Gao, Feng and Hain, Christopher and Yang, Yun and Knipper, Kyle R. and Kustas, William P. and Yang, Yang",2021,_data/5b_sample_1000/pdf/xue_2021_mapping_daily_evapotranspiration_at.pdf,_data/5b_sample_1000/csv/xue_2021_mapping_daily_evapotranspiration_at.csv
The Activities of the Italian Coast Guard in the Field of Airborne Remote Sensing and the Eventual Use of Satellite Platforms in Marine Pollution Abatement Activities,"Patruno, R and Mancini, M and Malfatti, A",1996,_data/5b_sample_1000/pdf/patruno_1996_the_activities_of_the.pdf,_data/5b_sample_1000/csv/patruno_1996_the_activities_of_the.csv
Evaluation of Earth Observation Systems for Estimating Environmental Determinants of Microbial Contamination in Recreational Waters,"Kotchi, S. O. and Brazeau, S. and Turgeon, P. and Pelcat, Y. and Legare, J. and Lavigne, M. P. and Essono, F. N. and Fournier, R. A. and Michel, P.",2015,_data/5b_sample_1000/pdf/kotchi_2015_evaluation_of_earth_observation.pdf,_data/5b_sample_1000/csv/kotchi_2015_evaluation_of_earth_observation.csv
Assessing the Role of Climate and Resource Management on Groundwater Dependent Ecosystem Changes in Arid Environments with the Landsat Archive,"Huntington, Justin and McGwire, Kenneth and Morton, Charles and Snyder, Keirith and Peterson, Sarah and Erickson, Tyler and Niswonger, Richard and Carroll, Rosemary and Smith, Guy and Allen, Richard",2016,_data/5b_sample_1000/pdf/huntington_2016_assessing_the_role_of.pdf,_data/5b_sample_1000/csv/huntington_2016_assessing_the_role_of.csv
"Assessing the Influence of Land-Cover Change and Conflicting Land-Use Authorizations on Ecosystem Conversion on the Forest Frontier of Madre de Dios, Peru","Scullion, Jason J. and Vogt, Kristiina A. and Sienkiewicz, Alison and Gmur, Stephan J. and Trujillo, Cristina",2014,_data/5b_sample_1000/pdf/scullion_2014_assessing_the_influence_of.pdf,_data/5b_sample_1000/csv/scullion_2014_assessing_the_influence_of.csv
National Forest Carbon Inventories: Policy Needs and Assessment Capacity,"Andersson, K. and Evans, T. P. and Richards, K. R.",2009,_data/5b_sample_1000/pdf/andersson_2009_national_forest_carbon_inventories.pdf,_data/5b_sample_1000/csv/andersson_2009_national_forest_carbon_inventories.csv
Competition and Burn Severity Determine Post-Fire Sapling Recovery in a Nationally Protected Boreal Forest of China: An Analysis from Very High-Resolution Satellite Imagery,"Fang, L. and Crocker, E. V. and Yang, J. and Yan, Y. and Yang, Y. and Liu, Z.",2019,_data/5b_sample_1000/pdf/fang_2019_competition_and_burn_severity.pdf,_data/5b_sample_1000/csv/fang_2019_competition_and_burn_severity.csv
Environmental Indicators Combined with Risk Analysis to Evaluate Potential Wildfire Incidence on the Dadu Plateau in Taiwan,"Lin, Chao-Yuan and Shieh, Pei-Ying and Wu, Shao-Wei and Wang, Po-Cheng and Chen, Yung-Chau",2022,_data/5b_sample_1000/pdf/lin_2022_environmental_indicators_combined_with.pdf,_data/5b_sample_1000/csv/lin_2022_environmental_indicators_combined_with.csv
Observation of Pm2.5 Using a Combination of Satellite Remote Sensing and Low-Cost Sensor Network in Siberian Urban Areas with Limited Reference Monitoring,"Lin, C. and Labzovskii, L. D. and Mak, H. W. L. and Fung, J. C. H. and Lau, A. K. H. and Kenea, S. T. and Bilal, M. and Vande Hey, J. D. and Lu, X. and Ma, J.",2020,_data/5b_sample_1000/pdf/lin_2020_observation_of_pm2_5.pdf,_data/5b_sample_1000/csv/lin_2020_observation_of_pm2_5.csv
Cost-Effective Disaster-Induced Land Cover Analysis: A Semi-Automatic Methodology Using Machine Learning and Satellite Imagery,"I. Volke, M. and {Abarca-Del-Rio}, R. and A. Warner, T.",2024,_data/5b_sample_1000/pdf/ivolke_2024_cost_effective_disaster_induced.pdf,_data/5b_sample_1000/csv/ivolke_2024_cost_effective_disaster_induced.csv
Assessment of the Utility of Remote Sensing Techniques for Monitoring Compliance with Direct Payment Programs,"Ahn, H. and Ryu, J. H. and Lee, K.",2023,_data/5b_sample_1000/pdf/ahn_2023_assessment_of_the_utility.pdf,_data/5b_sample_1000/csv/ahn_2023_assessment_of_the_utility.csv
Lake Nasser Evaporation Reduction Study,"Ebaid, Hala M. I. and Ismail, Sherine S.",2010,_data/5b_sample_1000/pdf/ebaid_2010_lake_nasser_evaporation_reduction.pdf,_data/5b_sample_1000/csv/ebaid_2010_lake_nasser_evaporation_reduction.csv
Integrating Drone Imagery with Existing Rangeland Monitoring Programs,"Gillan, J. K. and Karl, J. W. and {van Leeuwen}, W. J. D.",2020,_data/5b_sample_1000/pdf/gillan_2020_integrating_drone_imagery_with.pdf,_data/5b_sample_1000/csv/gillan_2020_integrating_drone_imagery_with.csv
"Analysis of Suspended Particulate Matter and Its Drivers in Sahelian Ponds and Lakes by Remote Sensing (Landsat and Modis): Gourma Region, Mali","Robert, Elodie and Kergoat, Laurent and Soumaguel, Nogmana and Merlet, Sebastien and Martinez, Jean-Michel and Diawara, Mamadou and Grippa, Manuela",2017,_data/5b_sample_1000/pdf/robert_2017_analysis_of_suspended_particulate.pdf,_data/5b_sample_1000/csv/robert_2017_analysis_of_suspended_particulate.csv
An Open Data and Citizen Science Approach to Building Resilience to Natural Hazards in a Data-Scarce Remote Mountainous Part of Nepal,"Parajuli, Binod Prasad and Khadka, Prakash and Baskota, Preshika and Shakya, Puja and Liu, Wei and Pudasaini, Uttam and Roniksh, B. C. and Paul, Jonathan D. and Buytaert, Wouter and Vij, Sumit",2020,_data/5b_sample_1000/pdf/parajuli_2020_an_open_data_and.pdf,_data/5b_sample_1000/csv/parajuli_2020_an_open_data_and.csv
"Comparative Assessment of Uav and Sentinel-2 Ndvi and Gndvi for Preliminary Diagnosis of Habitat Conditions in Burunge Wildlife Management Area, Tanzania","Mangewa, Lazaro J. and Ndakidemi, Patrick A. and Alward, Richard D. and Kija, Hamza K. and Bukombe, John K. and Nasolwa, Emmanuel R. and Munishi, Linus K.",2022,_data/5b_sample_1000/pdf/mangewa_2022_comparative_assessment_of_uav.pdf,_data/5b_sample_1000/csv/mangewa_2022_comparative_assessment_of_uav.csv
Development of a Hydrological Telemetry System in Bago River,"Acierto, R. A. and Kawasaki, A. and Zin, W. W. and Oo, A. T. and Ra, K. and Komori, D.",2018,_data/5b_sample_1000/pdf/acierto_2018_development_of_a_hydrological.pdf,_data/5b_sample_1000/csv/acierto_2018_development_of_a_hydrological.csv
Normalizing Land Surface Temperature for Environmental Parameters in Mountainous and Urban Areas of a Cold Semi-Arid Climate,"Weng, Qihao and Firozjaei, Mohammad Karimi and Kiavarz, Majid and Alavipanah, Seyed Kazem and Hamzeh, Saeid",2019,_data/5b_sample_1000/pdf/weng_2019_normalizing_land_surface_temperature.pdf,_data/5b_sample_1000/csv/weng_2019_normalizing_land_surface_temperature.csv
Success Stories of Satellite Radar Altimeter Applications,"Eldardiry, Hisham and Hossain, Faisal and Srinivasan, Margaret and Tsontos, Vardis",2022,_data/5b_sample_1000/pdf/eldardiry_2022_success_stories_of_satellite.pdf,_data/5b_sample_1000/csv/eldardiry_2022_success_stories_of_satellite.csv
Open-Source Processing and Analysis of Aerial Imagery Acquired with a Low-Cost Unmanned Aerial System to Support Invasive Plant Management,"Lehmann, Jan R. K. and Prinz, Torsten and Ziller, Silvia R. and Thiele, Jan and Heringer, Gustavo and {Meira-Neto}, Joao A. A. and Buttschardt, Tillmann K.",2017,_data/5b_sample_1000/pdf/lehmann_2017_open_source_processing_and.pdf,_data/5b_sample_1000/csv/lehmann_2017_open_source_processing_and.csv
The Value of Site-Specific Information and the Environment: Technology Adoption and Pesticide Use under Uncertainty,"Isik, M and Hudson, D and Coble, {\relax KH",2005,_data/5b_sample_1000/pdf/isik_2005_the_value_of_site.pdf,_data/5b_sample_1000/csv/isik_2005_the_value_of_site.csv
Wetland Landscape Spatio-Temporal Degradation Dynamics Using the New Google Earth Engine Cloud-Based Platform: Opportunities for Non-Specialists in Remote Sensing,"Alonso, A. and {Munoz-Carpena}, R. and Kennedy, R. E. and Murcia, C.",2016,_data/5b_sample_1000/pdf/alonso_2016_wetland_landscape_spatio_temporal.pdf,_data/5b_sample_1000/csv/alonso_2016_wetland_landscape_spatio_temporal.csv
Remote Sensing of Soil and Water Quality in Agroecosystems,"De Paul Obade, V. and Lal, R. and Chen, J.",2013,_data/5b_sample_1000/pdf/depaulobade_2013_remote_sensing_of_soil.pdf,_data/5b_sample_1000/csv/depaulobade_2013_remote_sensing_of_soil.csv
Incorporating Water Quantity and Quality Modelling into Forest Management,"Li, Xiangfei and Nour, Mohamed H. and Smith, Daniel W. and Prepas, Ellie E. and Putz, Gordon and Watson, Brett M.",2008,_data/5b_sample_1000/pdf/li_2008_incorporating_water_quantity_and.pdf,_data/5b_sample_1000/csv/li_2008_incorporating_water_quantity_and.csv
Extending the Utility of Modis Daily Snow-Cover Products through Snow-Cover Prediction of Cloud-Obscured Areas in Idaho's Big Lost River Basin (Usa),"Hruska, Ryan C. and Lee, Randy",2008,_data/5b_sample_1000/pdf/hruska_2008_extending_the_utility_of.pdf,_data/5b_sample_1000/csv/hruska_2008_extending_the_utility_of.csv
Demonstration of a Modular Prototype End-to-End Simulator for Aquatic Remote Sensing Applications,"Matthews, M. W. and Dekker, A. and Price, I. and Drayson, N. and Pease, J. and Antoine, D. and Anstee, J. and Sharp, R. and Woodgate, W. and Phinn, S. and Gensemer, S.",2023,_data/5b_sample_1000/pdf/matthews_2023_demonstration_of_a_modular.pdf,_data/5b_sample_1000/csv/matthews_2023_demonstration_of_a_modular.csv
"Cross-Scale Sensing of Field-Level Crop Residue Cover: Integrating Field Photos, Airborne Hyperspectral Imaging, and Satellite Data","Wang, S. and Guan, K. and Zhang, C. and Zhou, Q. and Wang, S. and Wu, X. and Jiang, C. and Peng, B. and Mei, W. and Li, K. and Li, Z. and Yang, Y. and Zhou, W. and Huang, Y. and Ma, Z.",2023,_data/5b_sample_1000/pdf/wang_2023_cross_scale_sensing_of.pdf,_data/5b_sample_1000/csv/wang_2023_cross_scale_sensing_of.csv
Management Recommendation Generation for Areas under Forest Restoration Process through Images Obtained by Uav and Lidar,"Reis, B. P. and Martins, S. V. and Filho, E. I. F. and Sarcinelli, T. S. and Gleriani, J. M. and Marcatti, G. E. and Leite, H. G. and Halassy, M.",2019,_data/5b_sample_1000/pdf/reis_2019_management_recommendation_generation_for.pdf,_data/5b_sample_1000/csv/reis_2019_management_recommendation_generation_for.csv
"Broadband, Red-Edge Information from Satellites Improves Early Stress Detection in a New Mexico Conifer Woodland","Eitel, J. U. H. and Vierling, L. A. and Litvak, M. E. and Long, D. S. and Schulthess, U. and Ager, A. A. and Krofcheck, D. J. and Stoscheck, L.",2011,_data/5b_sample_1000/pdf/eitel_2011_broadband_red_edge_information.pdf,_data/5b_sample_1000/csv/eitel_2011_broadband_red_edge_information.csv
Future Perspectives of Earth Observation: Indian Scenario,"Rao, M. and Jayaraman, V. and Chandrasekhar, M. G.",1998,_data/5b_sample_1000/pdf/rao_1998_future_perspectives_of_earth.pdf,_data/5b_sample_1000/csv/rao_1998_future_perspectives_of_earth.csv
Mapping Floristic Gradients of Forest Composition Using an Ordination-Regression Approach with Landsat Oli and Terrain Data in the Central Hardwoods Region,"Adams, B. T. and Matthews, S. N. and Peters, M. P. and Prasad, A. and Iverson, L. R.",2019,_data/5b_sample_1000/pdf/adams_2019_mapping_floristic_gradients_of.pdf,_data/5b_sample_1000/csv/adams_2019_mapping_floristic_gradients_of.csv
From Forest Dynamics to Wetland Siltation in Mountainous Landscapes: A Rs-Based Framework for Enhancing Erosion Control,"Hernandez-Romero}, Gonzalo and {Alvarez-Martinez}, Jose Manuel and {Perez-Silos}, Ignacio and {Silio-Calzada}, Ana and Vieites, David R. and Barquin, Jose",2022,_data/5b_sample_1000/pdf/hernandezromero_2022_from_forest_dynamics_to.pdf,_data/5b_sample_1000/csv/hernandezromero_2022_from_forest_dynamics_to.csv
Input Data Resolution Affects the Conservation Prioritization Outcome of Spatially Sparse Biodiversity Features,"Tanhuanpaa, Topi and Mikkonen, Ninni and Kujala, Heini and Heinaro, Einari and Mayra, Janne and Kumpula, Timo",2023,_data/5b_sample_1000/pdf/tanhuanpaa_2023_input_data_resolution_affects.pdf,_data/5b_sample_1000/csv/tanhuanpaa_2023_input_data_resolution_affects.csv
Mapping Landscape-Scale Peatland Degradation Using Airborne Lidar and Multispectral Data,"Carless, D. and Luscombe, D. J. and Gatis, N. and Anderson, K. and Brazier, R. E.",2019,_data/5b_sample_1000/pdf/carless_2019_mapping_landscape_scale_peatland.pdf,_data/5b_sample_1000/csv/carless_2019_mapping_landscape_scale_peatland.csv
Applications and Research Using Remote Sensing for Rangeland Management,"Hunt Jr, E. R. and Everitt, J. H. and Ritchie, J. C. and Moran, M. S. and Booth, D. T. and Anderson, G. L. and Clark, P. E. and Seyfried, M. S.",2003,_data/5b_sample_1000/pdf/huntjr_2003_applications_and_research_using.pdf,_data/5b_sample_1000/csv/huntjr_2003_applications_and_research_using.csv
Global Flood Mapper: A Novel Google Earth Engine Application for Rapid Flood Mapping Using Sentinel-1 Sar,"Tripathy, Pratyush and Malladi, Teja",2022,_data/5b_sample_1000/pdf/tripathy_2022_global_flood_mapper_a.pdf,_data/5b_sample_1000/csv/tripathy_2022_global_flood_mapper_a.csv
Combining Passive Acoustics and Environmental Data for Scaling up Ecosystem Monitoring: A Test on Coral Reef Fishes,"Elise, Simon and Guilhaumon, Francois and {Mou-Tham}, Gerard and {Urbina-Barreto}, Isabel and Vigliola, Laurent and Kulbicki, Michel and Bruggemann, J. Henrich",2022,_data/5b_sample_1000/pdf/elise_2022_combining_passive_acoustics_and.pdf,_data/5b_sample_1000/csv/elise_2022_combining_passive_acoustics_and.csv
The Emerging Role of Satellite Rainfall Data in Improving the Hydro-Political Situation of Flood Monitoring in the under-Developed Regions of the World,"Hossain, Faisal and Katiyar, Nitin and Hong, Yang and Wolf, Aaron",2007,_data/5b_sample_1000/pdf/hossain_2007_the_emerging_role_of.pdf,_data/5b_sample_1000/csv/hossain_2007_the_emerging_role_of.csv
Mapping Plastic-Mulched Farmland by Coupling Optical and Synthetic Aperture Radar Remote Sensing,"Zhongxin, C. and Fei, L. and Yuncai, H.",2020,_data/5b_sample_1000/pdf/zhongxin_2020_mapping_plastic_mulched_farmland.pdf,_data/5b_sample_1000/csv/zhongxin_2020_mapping_plastic_mulched_farmland.csv
Historical Eco-Environmental Quality Mapping in China with Multi-Source Data Fusion,"Wu, S. and Cao, L. and Xu, D. and Zhao, C.",2023,_data/5b_sample_1000/pdf/wu_2023_historical_eco_environmental_quality.pdf,_data/5b_sample_1000/csv/wu_2023_historical_eco_environmental_quality.csv
"Food, Water, and Fault Lines: Remote Sensing Opportunities for Earthquake-Response Management of Agricultural Water","Rodriguez, Jenna and Ustin, Susan and {Sandoval-Solis}, Samuel and O'Geen, Anthony Toby",2016,_data/5b_sample_1000/pdf/rodriguez_2016_food_water_and_fault.pdf,_data/5b_sample_1000/csv/rodriguez_2016_food_water_and_fault.csv
The Role of Remote Sensing in the Development of Smart Indicators for Ecosystem Services Assessment,"Dawson, T. P. and Cutler, M. E. J. and Brown, C.",2016,_data/5b_sample_1000/pdf/dawson_2016_the_role_of_remote.pdf,_data/5b_sample_1000/csv/dawson_2016_the_role_of_remote.csv
Where's Woolly? An Integrative Use of Remote Sensing to Improve Predictions of the Spatial Distribution of an Invasive Forest Pest the Hemlock Woolly Adelgid,"Jones, Chris and Song, Conghe and Moody, Aaron",2015,_data/5b_sample_1000/pdf/jones_2015_where_s_woolly_an.pdf,_data/5b_sample_1000/csv/jones_2015_where_s_woolly_an.csv
