title,author,year,key,n_tokens,summary,error,pass,screening_decision,reason_for_exclusion,quick_notes,econ_method,societal_benefit,value_units,eo_data,applied_science_theme,notes
Challenges and Opportunities for Cost-Effective Use of Unmanned Aerial System in Agriculture,"Cavalaris, C.",2023,cavalaris_challengesopportunitiescosteffective_2023,17956,"The paper discusses various methods to estimate the societal benefits of Unmanned Aerial Systems (UAS) in agriculture, primarily focusing on cost-effectiveness in operations. It highlights the importance of quantifying both direct and indirect costs associated with UAS usage, including personnel costs, ownership, energy, maintenance, and insurance.     To evaluate the economic benefits, the paper suggests using decision-making tools that incorporate these cost components to guide farmers in assessing the viability of UAS for specific applications such as crop monitoring and material applications (e.g., spraying fertilizers or pesticides). It emphasizes the comparative analysis of drone data versus satellite imagery, considering factors like resolution, timeliness, and specific agricultural needs.     The authors also point out the need for optimizing flight paths and operational efficiency to reduce costs, alongside leveraging advancements in drone technology to enhance performance. Furthermore, case studies demonstrate significant reductions in pesticide use and operational costs when UAS are employed effectively, thereby illustrating the potential for higher productivity and reduced environmental impact in agriculture.",NA,1,exclude,data not valued,"Itemizes all the costs that go into using unmanned aerial systems/drones, but not benefits; points to a paper by Spa:ti that is in the corpus that might actually calculate (spaeti_benefitsÖ_2021)",cost-benefit analysis,cost effective ag improvements,dollars,aerial photography,agriculture,
A Land Use Regression Model Incorporating Data on Industrial Point Source Pollution,"Chen, Li and Wang, Yuming and Li, Peiwu and Ji, Yaqin and Kong, Shaofei and Li, Zhiyong and Bai, Zhipeng",2012,chen_landregressionmodelincorporating_2012,7095,"The paper employs a land use regression (LUR) model to assess air pollution concentrations (SO2, NO2, PM10) in Tianjin, China, integrating various data sources for enhanced predictive accuracy. Key independent variables include traffic volume, road networks, land use types, population density, meteorological conditions, and remote sensing-derived variables (brightness, greenness, wetness).     To account for the influence of pollution sources, the authors calculate point source indices (PSIndex) and line source indices (LSIndex) based on proximity to industrial sites and roadways, respectively, using buffer radii of 1 to 20 km. The study utilizes multiple linear regression equations, demonstrating significant correlations between remote sensing data and pollutant concentrations, with R¬≤ values of 0.78, 0.89, and 0.84 for SO2, NO2, and PM10, respectively.     The model's predictive performance is validated against monitoring sites, yielding predictions within 15% of observed values. The integration of remote sensing data enhances the model's capacity to characterize spatial pollution distributions, thereby providing valuable insights for exposure assessment and environmental policy.",NA,1,exclude,calibration/validation,,,,,,,
Enhancing Land Cover Mapping and Monitoring: An Interactive and Explainable Machine Learning Approach Using Google Earth Engine,"Chen, Haifei and Yang, Liping and Wu, Qiusheng",2023,chen_enhancinglandcovermapping_2023,12856,"The paper presents an interactive machine-learning tool developed using Google Earth Engine (GEE) to enhance land cover mapping and monitoring. The tool integrates various feature importance metrics‚Äîimpurity-based, permutation-based, and Shapley Additive Explanations (SHAP)‚Äîto quantify the societal benefits of satellite data in land management. The methodology includes the generation of time series land cover maps, enabling dynamic monitoring of land cover changes over time.    Feature importance metrics are crucial for understanding model performance and guiding users on which variables most significantly impact predictions. Impurity-based importance provides a quick assessment, while permutation-based importance evaluates performance changes when features are shuffled. SHAP offers deeper insights, attributing specific contributions to predictions by leveraging game theory.    The tool is designed for ease of use, allowing users with limited coding experience to classify land cover and visualize results interactively. It supports the uploading of labeled data, facilitates spatial and temporal analysis, and provides a framework for future applications in remote sensing, thereby promoting transparency and interpretability in machine learning models used for societal benefit in environmental monitoring.",NA,1,exclude,data not valued,"This is more about interpreting ML models that use GEE, rather than the GEE iteself",,,,,,
"Monitoring Soil-Plant Interactions and Maize Yield by Satellite Vegetation Indexes, Soil Electrical Conductivity and Management Zones","de Almeida}, Gabriele Silva and Rizzo, Rodnei and Amorim, Merilyn Taynara Accorsi and {dos Santos}, Natasha Valadares and Rosas, Jorge Tadeu Fim and Campos, Lucas Rabelo and Rosin, Nicolas Augusto and Zabini, Andre Vinicius and Dematte, Jose A. M.",2023,dealmeida_monitoringsoilplantinteractions_2023,13591,"The paper employs a multi-faceted methodology to estimate the societal benefits of satellite and Earth Observation data in precision agriculture, specifically focusing on maize yield. The study compares various data sources, including soil electrical conductivity (EC), conventional soil analysis, and satellite-derived vegetation indices from Landsat 8.     Management zones (MZs) were delineated from these datasets using principal component analysis (PCA) followed by fuzzy c-means clustering to identify areas with homogeneous conditions for crop management. The effectiveness of these MZs was evaluated against yield maps to establish correlation strengths, with the normalized burn ratio 2 (NBR2) index showing the highest correlation (0.75) with maize yield.     The authors also conducted geostatistical analyses to map spatial variability in soil attributes and yield, using techniques like ordinary kriging. They validated the delineated MZs by comparing them with yield variations using statistical tests (e.g., Wilcoxon tests). Overall, the study highlights the potential of remote sensing data to enhance agricultural practices by providing detailed insights into soil-plant interactions and optimizing resource use for sustainable crop production.",NA,1,exclude,calibration/validation,,,,,,,
"Catching ""Butterflies"" in the Morning: A New Methodology for Rapid Detection of Aerially Deployed Plastic Land Mines from Uavs","De Smet, T. S. and Nikulin, A.",2018,desmet_catchingbutterfliesmorningmethodology_2018,4889,"The paper presents a novel methodology for detecting aerially deployed plastic land mines, specifically the Soviet PFN-1, utilizing unmanned aerial vehicles (UAVs) equipped with low-cost thermal infrared (IR) cameras. The key method involves analyzing the thermal signatures of these mines relative to their geophysical background. The authors hypothesize that the plastic mines exhibit distinct thermal behaviors due to differences in specific heat capacity and thermal conductivity, allowing for their identification during early morning hours when temperature fluctuations are pronounced.    The experimental setup included a UAV with a FLIR camera, capturing data at high resolution while hovering over a designated area containing inert mines and surrounding rock. Time-series data were collected to analyze thermal changes, and statistical tests, including t-tests, were conducted to assess the significance of temperature differences between the mines and the background geology. The results indicated that the PFN-1 mines could be detected effectively during early morning when their thermal signature deviated significantly from the surrounding materials, suggesting the method's potential for rapid, cost-effective mine detection in remote areas. Future research aims to refine this approach by incorporating additional environmental variables and automated detection algorithms.",NA,1,exclude,calibration/validation,"Interesting and important use, but not ESI really (drones at 2 m elevation) and didnít value the data",,,,,,
Lessons Learned from Participatory Land Use Planning with High-Resolution Remote Sensing Images in Tanzania: Practitioners' and Participants' Perspectives,"Eilola, Salla and Kayhko, Niina and Fagerholm, Nora",2021,eilola_lessonslearnedparticipatoryland_2021,15589,"The paper employs qualitative methods to explore the societal benefits of participatory mapping (PM) using high-resolution remote sensing imagery in Tanzania. Data were collected through interviews with 12 practitioners, a group discussion with 33 participants, and feedback surveys from 351 community members involved in six case studies. Thematic analysis was conducted on the qualitative data to identify perceived benefits and limitations of the PM methods.    Key findings highlight that PM improves the quality of practitioners' work, enhances professional competence, and fosters active participation and spatial understanding among community members. The remote sensing imagery facilitates better decision-making by providing high spatial data quality and enabling collective discussions, thus increasing the ownership of planning processes among participants. However, limitations include technological challenges, lack of institutional support, and insufficient technical expertise among practitioners and participants.    The study concludes that while the benefits of PM methods are evident, their broader adoption requires addressing infrastructural deficits and enhancing training for stakeholders. Overall, the findings emphasize the transformative potential of integrating remote sensing data into participatory planning processes in resource-limited settings.",NA,1,include,,,stated preference;structured interviews,participatory mapping,,remote sensing imagery,land use planning,
"Evaluating Remote Sensing Approaches for Mapping the Bathymetry of Lake Manzala, Egypt","Elshazly, Rana E. and Armanuos, Asaad M. and Zeidan, Bakenaz A. and Elshemy, Mohamed",2021,elshazly_evaluatingremotesensingapproaches_2021,8659,"The paper employs various advanced statistical and machine learning methods to estimate the bathymetry of Lake Manzala, Egypt, utilizing Landsat 8 satellite imagery. The methodologies applied include Generalized Linear Models (GLM), Artificial Neural Networks (ANN), Decision Trees, Bagging, Least-Squares Boosting (LSB), and Support Vector Machines (SVM).     Initially, the Landsat images were corrected for atmospheric effects and sunglint to enhance the accuracy of the derived data. The study extracted logarithmic values from the relevant spectral bands (coastal, blue, green, and red) at GPS-surveyed locations. The performance of the models was evaluated using two metrics: Root Mean Square Error (RMSE) and correlation (r) between the predicted and in-situ depths.    The results indicated that the Bagging and Decision Tree methods outperformed others, achieving an RMSE of 0.11 m and a correlation of 0.94. The findings underscore the effectiveness of remote sensing methodologies for bathymetry assessment in shallow lakes, thus facilitating management and ecological modeling efforts while saving time and costs associated with traditional field surveys.",NA,1,exclude,calibration/validation,"""Such methodologies should be applied for bathymetry determination, especially for shallow lakes, to save monitoring effort and costs"" - but not applied here",,,,,,
"Monitoring, Evaluation, Accountability, and Learning (Meal) in Anticipatory Action-Earth Observation as a Game Changer","Enenkel, Markus and Dall, Karen and Huyck, Charles K. and McClain, Shanna N. and Bell, Veronica",2022,enenkel_monitoringevaluationaccountabilitylearning_2022,4528,"The paper discusses the integration of Earth Observation (EO) data into the Monitoring, Evaluation, Accountability, and Learning (MEAL) framework for anticipatory action (AA) in humanitarian assistance. The authors argue that EO can enhance the evidence base for AA by enabling rapid and cost-effective assessments of risks and vulnerabilities before disasters occur. They emphasize the need for a structured MEAL approach that includes both direct evaluations (e.g., assessing specific early actions like crop protection) and indirect evaluations (e.g., monitoring broader socioeconomic impacts).    The methods proposed include leveraging high-resolution satellite imagery for real-time monitoring of agricultural conditions, crop yields, and community vulnerabilities. The authors advocate for interdisciplinary collaboration among EO practitioners, humanitarian experts, and local stakeholders to optimize the use of EO data. They suggest that institutionalizing learning processes and establishing technical working groups can facilitate the effective integration of EO into AA projects. Ultimately, the paper highlights the potential of EO to improve the efficiency of humanitarian responses and enhance accountability to affected communities while suggesting pilot use cases to demonstrate these benefits in practice.",NA,1,exclude,data not valued,conceptual,,,,,,
Enabling Efficient Service Function Chains at Terrestrial-Satellite Hybrid Cloud Networks,"Feng, B. and Li, G. and Li, G. and Zhang, Y. and Zhou, H. and Yu, S.",2019,feng_enablingefficientservicefunction_2019,6208,"The paper presents an elastic framework for deploying Service Function Chains (SFCs) in terrestrial-satellite hybrid cloud networks, emphasizing methods for estimating societal benefits derived from satellite or Earth Observation data. The authors utilize Software-Defined Networking (SDN) and Network Functions Virtualization (NFV) to enhance the flexibility and efficiency of network service deployments. Key methods include developing an SFC mapping approach that maximizes resource utilization by multiplexing existing virtual services rather than creating new virtual machines, thereby reducing operational and capital expenditures.    They validate their framework through a proof-of-concept prototype, conducting extensive simulations based on real-world topologies to evaluate performance metrics like resource efficiency and request acceptance ratios. The societal benefits are quantified by the improved network agility and service delivery, which can lead to enhanced user experiences and reduced latency in critical applications like emergency response and multimedia services. The findings demonstrate the feasibility of integrated terrestrial-satellite networks in meeting diverse user needs, ultimately contributing to broader access to data-driven services enabled by satellite observations.",NA,1,exclude,ESI data not used,algorithms to sync communications,,,,,,
Machine Learning as a Strategic Tool for Helping Cocoa Farmers in Cote d'ivoire,"Ferraris, Stefano and Meo, Rosa and Pinardi, Stefano and Salis, Matteo and Sartor, Gabriele",2023,ferraris_machinelearningstrategictool_2023,19747,"The paper employs machine learning to quantify societal benefits from satellite and Earth observation data for cocoa farmers in C√¥te d'Ivoire. It focuses on two main tasks: (1) crop health monitoring and (2) water resource management. For crop monitoring, a deep neural network (YOLOv5m) analyzes mobile phone images to classify cocoa pods as healthy or damaged, achieving a 98% accuracy in identifying healthy fruits. This tool aids farmers in timely interventions, potentially increasing yields and reducing losses.    For water management, the authors develop a convolutional neural network (ciwa-net) to predict total water storage anomalies using data from the GRACE satellite and ERA5 climate reanalysis. The ciwa-net architecture incorporates autoregressive features to improve forecasting accuracy. Results indicate that ciwa-net provides valuable insights into water availability, crucial for sustainable agricultural practices and policy-making. The study emphasizes the accessibility of low-cost, open-source tools for local farmers and policymakers, highlighting the potential for improved agricultural productivity and resource management in developing regions.",NA,1,exclude,data not valued,"compares effectiveness of different ML models, not the value of the data itself",,,,,,
Fuel Modelling Characterisation Using Low-Density Lidar in the Mediterranean: An Application to a Natural Protected Area,"Ferrer Palomino, Aurora and Rodriguez Y Silva, Francisco",2021,ferrerpalomino_fuelmodellingcharacterisationlow_2021,13361,"This study develops a methodology for characterizing fuel models using low-density lidar data to aid forest managers in understanding wildfire risks in protected areas. The authors conducted field inventories to gather data on the characteristics of tree stands, which included variables essential for fuel models. Using both lidar intensity and structural data, they performed statistical analyses, applying linear regression to connect field measurements with lidar-derived metrics. The statistical analysis focused on dominant tree strata to enhance predictive accuracy, yielding R¬≤ values from 0.4393 to 0.8677, depending on the model.    The methodology allows for efficient mapping of fuel models in areas that are difficult to access, significantly reducing costs associated with traditional fieldwork. By integrating lidar data, the researchers produced algorithms to predict variables like crown height and biomass, which are vital for assessing fire behavior. The generated fuel model maps can improve fire management decisions by enabling simulations of potential fires and optimizing suppression efforts. The findings demonstrate the effectiveness of low-density lidar in generating reliable forest fuel data, enhancing the capacity for wildfire risk management in protected landscapes.",NA,1,exclude,calibration/validation,"""it is possible to update the mapping of fuel models in inaccessible areas, thereby significantly reducing costs"" - but they don't actually estimate these",,,,,,
Monitoring Canopy Quality and Improving Equitable Outcomes of Urban Tree Planting Using Lidar and Machine Learning,"Francis, John and Disney, Mathias and Law, Stephen",2023,francis_monitoringcanopyqualityimproving_2023,15596,"This paper presents a novel framework to quantify urban tree canopy benefits using a combination of airborne LiDAR and machine learning techniques. The authors developed a multi-task deep learning model (U-Net architecture) to estimate both canopy cover and height. Initially, they processed LiDAR data to create baseline canopy metrics, which were then used to train the model on multi-spectral imagery from aerial and satellite sources. The model was evaluated through geographically weighted regression (GWR) to analyze the relationship between canopy metrics and urban heat island (UHI) effects.    The results informed four tree allocation scenarios aimed at minimizing UHI and optimizing equity in tree distribution across Chicago's neighborhoods. By incorporating canopy height alongside cover, the authors demonstrated significant improvements in tree allocation strategies, ensuring that new trees were placed in areas with the highest cooling potential and addressing historical inequities in green space distribution. The study emphasizes the importance of holistic canopy assessments in urban forestry planning to maximize both climate mitigation and social equity outcomes.",NA,1,include,,LIDAR to find tree canopy height,regression;optimization,climate adaptation;equity,cooling potential;tree distribution,LIDAR,climate;equity,reference is current distribution of tree canopy
